,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,290.8851484525553,339.130750174206,311.45215033711514,324.51366123574485,295.5846288317161,305.2778780669182,299.7734044972096,306.37772270874433,250.47767440828738,231.0209358376304,271.3918008438915,283.95233338807196,276.1609948549174,265.9546324293217,308.56063529376564,318.7211461025279,329.88229816859064,269.04648116332015,276.5978605107122,324.3555956852893,337.87538071994487,390.68037798591104,302.8216583906484,303.94995253780104,298.3514505094344,258.4097276704407,287.3862073061097,319.28700072093955,352.68540230644265,293.07950804973854,307.2360903490697,311.9123059219378,306.3342549580336,290.2026489538379,291.0894475707857,306.6614301135125,294.0693254141153,269.1558673291744,309.61606868679905,306.17035494761404,312.61933358125407
Albanian,290.8851484525553,0,334.13792801296836,306.4895190675256,329.9293831090034,302.0224354962786,305.22959083945364,304.93878672508794,315.1291067638523,283.7768986208421,302.25832579565105,312.4344083907039,280.3196224293304,275.4757279275784,306.2446133789835,305.6527157534261,323.821465894712,326.45999745983374,302.3106261856878,277.14146181802147,320.7017062151734,347.64271840511526,397.50854567552375,307.09628212193843,301.8503880910521,294.1587618979188,302.8945182343926,284.5921957287134,317.0787876140954,358.9603553533665,291.1352180017109,305.9612551979826,312.48094299937145,314.19595258303696,278.8820449729694,297.01258214202477,309.51480356927294,291.7436957209868,307.8425878061774,307.00473502109696,299.82653248981313,316.39405725435466
Armenian,339.130750174206,334.13792801296836,0,359.0465961725286,363.84191854763304,351.848093472824,364.7768554731617,349.17094237695363,361.32364551587455,344.4051900795145,353.18552421182227,361.98914998023037,348.36315180333264,336.6017712872885,350.8146116126033,347.15585363029794,372.3238973499061,378.09344099747915,336.19686420148105,333.38020244286747,366.55027751687,373.8067856359695,416.6700379789282,349.4148478495736,357.20590536280525,352.6531177304445,348.64837217356154,337.0353662779089,347.92294067549636,398.611887408796,350.4636699061688,355.02431125457673,355.3840064468919,351.0769300350498,335.7903236142605,344.4615553882177,360.0888044552186,352.69303611028715,352.16278410499405,351.78902778757754,357.24864913449204,361.4883854922715
Bengali,311.45215033711514,306.4895190675256,359.0465961725286,0,334.13440834683763,300.7570274544576,311.65499853072004,307.347451245802,317.07157867983403,297.93486814246137,309.5901086463903,313.46523188693624,299.92173091654354,296.60901900944157,311.61549146883095,316.9495000699937,269.5630924721413,272.75802123137004,317.64192838439027,301.0381598307818,321.2184442084665,355.21328114845846,395.5986664862208,304.0665694996735,268.851496581507,264.6235567115664,313.4618779270651,295.6167169021185,328.71067806048524,350.65003085375093,307.763214424752,315.5723784309974,324.1428579255234,311.3934457004838,295.62837086544266,305.54505284343315,314.3205875004106,299.61034977581363,312.5284372514464,317.07784118017486,269.3397995426547,328.3333696057137
Bosnian,324.51366123574485,329.9293831090034,363.84191854763304,334.13440834683763,0,273.6157360856547,341.3500961157223,221.6280822741154,285.85076981356707,324.9054395423927,332.6320316341144,343.8404862122236,328.41077210430745,322.99674439559857,336.85624437707594,342.76536401497236,346.248990327052,353.76481781215443,330.5228252000282,335.79934078437583,335.9324767450185,342.71404541912034,375.8817098501743,247.7847805835865,337.7398544520686,331.1727958039896,330.9374947243245,330.7048813150579,340.933437395437,306.7721736044068,332.97563254513426,329.6373232119767,268.82769783957815,198.1207986076997,322.3651255428826,264.7447119941958,279.7555075517703,327.23941426592063,334.13690131113447,264.47540790285893,336.7939019047924,347.62746373970464
Bulgarian,295.5846288317161,302.0224354962786,351.848093472824,300.7570274544576,273.6157360856547,0,301.16124039306703,243.81942943921808,273.67004017976024,284.5365744700782,298.9500932649542,307.3616910694092,295.7236881736362,282.9902481785027,305.27599634488064,310.7988491427852,307.28654962836447,312.36710015362013,307.379135983743,290.79439879334797,315.0032430978508,345.68724605202044,377.2005856198416,234.92176846508383,296.15393685238075,301.1896371370629,304.9046238563048,296.7679342582421,320.47072702963004,313.772677070209,300.6637608529438,304.27666904940776,278.1274005730399,251.99296926986483,295.35950434892226,258.8926998277038,274.78365925887607,288.0661238154801,301.76796554077333,271.58614318010393,296.4837305510495,310.36387556293545
Catalan,305.2778780669182,305.22959083945364,364.7768554731617,311.65499853072004,341.3500961157223,301.16124039306703,0,307.9855985450709,323.0538552193248,284.8943802197988,304.5144256060901,305.2937572742956,266.85163191386926,239.6694933700969,312.70317568667997,313.7639731887053,327.658404025838,333.95659678158955,313.6904192607804,291.32038169108586,288.72906208325605,356.29484297499226,394.82027138338503,309.41850384144266,308.21872081295754,313.4503836764613,298.6307990292644,302.71387316755846,331.01121268018295,359.84794072966923,261.78849660617203,291.3248135294851,327.7160778453013,315.8251292261597,305.0299753499225,303.35901541143,316.3603508847436,243.47358933761987,302.6204388554188,319.2431583612916,311.53883686487933,325.55063825763364
Croatian,299.7734044972096,304.93878672508794,349.17094237695363,307.347451245802,221.6280822741154,243.81942943921808,307.9855985450709,0,261.18571515299806,290.5932989822844,302.56338168338687,311.9339007889102,298.4107785610324,290.2075365516104,306.56090484594563,312.71882318048347,316.4828095036604,320.74046924125344,308.86005782997563,297.89700725918027,312.60740406378346,336.4871272456603,366.26642514200796,243.33529529621165,304.7860345248418,308.46729836769856,307.0630594811445,300.6035710365202,318.03918227039696,294.85553279385164,305.5506089160671,303.34253541132733,270.25278258215656,206.3102055167891,297.87052949367404,245.18520567811973,253.32057809368692,297.88922522907023,304.35855625613624,259.1400222475927,306.05007766144064,316.69545624234433
Czech,306.37772270874433,315.1291067638523,361.32364551587455,317.07157867983403,285.85076981356707,273.67004017976024,323.0538552193248,261.18571515299806,0,294.07488894849257,311.2574043585677,315.7820348263533,305.80018757763514,299.76541509977915,315.87949982432855,325.8627796507369,322.2765945264679,329.238977833845,317.0781061306167,309.35598591547546,328.8899574237743,338.2260567598507,379.65270863492026,277.12729676607955,312.796392813338,312.6851893438334,314.6333242733554,307.58138521144195,330.7572680557931,293.7057882522903,314.36981192865767,313.3459223279157,282.53883209143254,263.2402382975377,311.27347912514165,222.7975463576543,283.1210095264904,304.97609360430835,316.9880908081728,267.8672456885901,310.41268870651453,323.6533998419894
Danish,250.47767440828738,283.7768986208421,344.4051900795145,297.93486814246137,324.9054395423927,284.5365744700782,284.8943802197988,290.5932989822844,294.07488894849257,0,265.2307902464679,256.83924662513806,268.7510640843249,261.03250521724675,254.5311442793783,299.51202752027865,301.16975682173353,309.6212932667891,255.30133635162696,251.8990512163597,311.05488577023044,351.6161155542935,396.6465703180325,300.3074182750413,284.499689864211,288.6871848151953,234.7193900415781,274.0056661689475,308.63223024696754,346.147013671886,281.28566055216544,291.2839071811957,310.7999716981782,304.2097350182364,278.0270184897764,281.23480852415844,296.8887345166827,273.5032145672796,247.06068917980252,301.22753644276054,288.6113440214783,293.1378171132081
