,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,307.7894505376899,353.1105986374031,336.7478459030124,342.66993925380154,317.5894825364989,329.1947420271882,318.80331445051144,321.18301122999503,264.32724504521923,225.38539589374201,290.98806985087845,305.2953895492381,294.58652213408163,285.08090040985314,326.6343854228668,345.8468827629593,357.39255940651265,288.28535249213024,289.67058505211867,353.2257090601448,349.0174253534277,427.95532160864377,327.0087740225358,326.8328027205525,314.7027011521288,276.60807528685115,299.1085386174666,341.09724473125686,369.1364013143524,307.95804345112975,335.34420246102786,332.21875966461363,326.6400429137137,308.51288776841557,311.2432180926916,326.5707603332328,317.5329604971189,289.1537244319236,332.1073509697401,324.18676329753924,340.630553281214
Albanian,307.7894505376899,0,354.8745563137789,334.6638236089987,349.4445121829061,325.5997019851934,330.65800555977876,325.6667817357307,337.56594536346864,309.3811205378957,322.981684487589,344.08580573059254,301.6145933729641,296.9316721584973,332.70242120995124,323.26472951342936,354.02061566393724,353.8846705482408,326.8872219105281,295.57357479999627,343.1001041516986,363.3090646665774,430.7004633480893,330.17938126324066,328.65865917201967,313.904627424466,324.90843026395316,304.0984480264024,346.095938621558,378.2653455983103,310.3756689922061,331.6954061715075,338.061082326164,336.68740871718626,298.9192126637783,321.9525352410534,333.1160249598855,315.3077061994973,336.20159800294834,332.18817414359563,323.3296454049936,345.63817987109144
Armenian,353.1105986374031,354.8745563137789,0,379.18674532112703,381.9988384385667,368.13039716607017,379.5968275800239,360.7519910258335,376.933606190208,361.8023180192069,369.54238978825686,384.0434662934825,362.3570352120667,350.06537336338766,371.8811124057136,365.5093053364147,395.7478731319231,401.03115078975577,356.8286733571319,348.13431398835894,389.4770338850125,390.241518703065,442.09666297016634,370.2809018774845,377.52529565278246,368.24934387080623,367.00774686809433,349.9481890538305,367.831181339801,409.79896224599327,361.9304170844442,375.7823673109069,377.43095779661087,368.3542920739659,349.3668573299819,362.7462801098281,380.8767385325334,370.26118922808075,370.08179722135577,374.4812504669438,372.3478823401988,376.10061626293185
Bengali,336.7478459030124,334.6638236089987,379.18674532112703,0,367.5361703418099,335.013600789462,346.5649616901592,338.5645830873912,349.376701491486,335.59113352130606,344.26301148626305,354.1685538874032,332.0405686114531,324.1437109070921,351.134986780697,345.02629160021354,296.84535598372514,298.2701952355385,350.2377722307699,327.8308227871507,360.81799069255675,382.8602804759335,443.99331297833123,341.70927477732386,295.23143178403467,278.50715589434634,344.2371580227741,322.3262162300241,362.021885248355,382.98512896416173,337.41638000589967,355.5070873699791,359.75832339594336,347.4524459421044,320.5666101987853,338.4869492651606,344.59860836453544,333.2238585049168,346.60649109479147,353.5062111998586,290.4506654423479,369.36140810798463
Bosnian,342.66993925380154,349.4445121829061,381.9988384385667,367.5361703418099,0,284.82695819671574,371.97383201056635,212.16384444346414,298.9703379240048,352.8420780087342,360.4618104438507,384.1930675938909,357.74879893826824,341.8113707036775,367.45968044521663,367.03386388452054,382.27053469690696,391.18749299463974,349.7836023084141,354.39919082961273,369.78531577510074,358.71523049098147,403.6516106798774,254.44234308678386,372.46474865129096,360.6767722248297,356.8195953711628,350.28862372009564,365.9844463747448,319.71343932646465,355.948863436644,359.8243973887444,281.9390596913666,185.58576754462905,343.0027098050416,276.284456848304,291.3146636455846,353.88431640911733,362.4552303895354,273.7295227680455,366.80847379145746,382.94788542598906
Bulgarian,317.5894825364989,325.5997019851934,368.13039716607017,335.013600789462,284.82695819671574,0,331.63156293692896,251.6337643828601,293.8107811487025,319.3095481388495,330.0217649211271,346.17806487794684,324.1296985104757,307.16591427274835,340.1423279279272,331.15310476240626,345.4905488860249,349.9994214358573,335.0065127659077,315.7461525418057,343.6239384895996,364.541136740042,410.0079545936686,248.49257096298894,333.5343075129163,325.64506854777164,331.8901258899102,322.62732465073253,351.44479263780175,328.10293467589185,324.5602144877999,334.02506451940985,296.32924530848777,266.782941640561,315.9764212810084,276.2978632706578,292.22593521113475,315.8609232535906,334.22897034183944,295.69032212263704,325.84292796943015,348.13702696721026
Catalan,329.1947420271882,330.65800555977876,379.5968275800239,346.5649616901592,371.97383201056635,331.63156293692896,0,336.8101800783943,351.6975451607035,322.2487447678412,337.1675966469272,343.4431481422637,293.0796593508813,252.5175365424483,349.1112536337655,339.391376438844,363.3175802476801,366.3299683970061,344.62358144321456,319.6245109600846,311.7634707232552,383.75390758988243,440.7029552933894,345.70746519058235,342.4902126802644,339.61405224600827,325.68661956320005,329.2404174774634,363.8965147148099,386.4049580082756,276.8498973022759,317.7530139281855,361.8472138086216,349.9170847823094,330.2949428517378,333.73287914758254,346.8568196362473,262.13440180049287,335.45058044716063,355.5576300329592,342.9914513764453,366.3080074803565
Croatian,318.80331445051144,325.6667817357307,360.7519910258335,338.5645830873912,212.16384444346414,251.6337643828601,336.8101800783943,0,275.9071609776681,320.56225944336836,331.66771418119447,350.97376847902325,324.25637422559424,311.8934367040254,338.12066866328365,333.1737692588539,348.91848457526726,355.73511896358474,332.33594920405864,318.0279330162893,339.81528774984434,353.1732928455196,390.11457149215073,256.95744757734775,335.85059013424,327.4007936067611,332.3295912876676,320.12790163006684,343.0191800634935,310.21652339729985,329.2736311888815,332.12314816819384,284.8880813646328,201.07286312273985,314.31557477328806,260.5127881786008,260.6093563414142,321.1398586992722,335.4850313938146,272.95042422061243,332.29520979254505,349.8901797723184
Czech,321.18301122999503,337.56594536346864,376.933606190208,349.376701491486,298.9703379240048,293.8107811487025,351.6975451607035,275.9071609776681,0,324.03294231093156,341.54609290553594,352.1794611251327,329.218869939205,319.1033515711797,353.4490752534354,350.2646400038096,359.7152510946445,366.7634969992553,340.6339597447277,323.59424617625666,364.53204484014026,355.9481089714086,415.5487127854005,301.6597523211377,346.8987257188316,336.0609958957471,339.2542088684166,327.1018694659544,359.7610573277643,309.42844206751886,340.0559271700064,346.16310631591926,296.2244348306973,282.350995503506,328.64159351385933,225.52162759690614,303.6657053547878,331.96006323240135,347.6880777160411,287.5116876348226,338.2799805451331,357.36556842183427
Danish,264.32724504521923,309.3811205378957,361.8023180192069,335.59113352130606,352.8420780087342,319.3095481388495,322.2487447678412,320.56225944336836,324.03294231093156,0,288.87320842268326,288.84411478208045,297.6411171773015,288.69245723898774,281.41561762352774,326.42366482385455,341.97876281068835,348.1193572439552,275.80690501027266,275.58295269512445,349.1682472214971,368.6920107168878,440.72158199070293,333.9178070973371,322.72135018121617,310.94320505269786,248.92573804044926,296.2902467547766,339.9291059258343,374.01351614579403,306.38708277908523,331.5067675113809,341.5688384829019,334.5769531580769,304.3104847777535,312.3160746996964,325.25663307395735,308.47536659842825,269.55836683380903,337.2556934633632,317.82426870715267,335.90138683648706
