,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.8438213749181929,0.9364225254225421,0.8420896076189699,0.9288230848522562,0.8456319060176999,0.8495932519792307,0.8548766397265388,0.8522613995210574,0.8251489760208232,0.8461101238097641,0.8699483244501944,0.825974727024411,0.8176796563014613,0.863589106777849,0.8581077487811681,0.8941776385708538,0.8975775107327411,0.8655611236933195,0.8068601134073553,0.9134309820935416,0.9370521358180235,1.0423302252774382,0.8641567178204267,0.856098696168753,0.889017184999913,0.8225068933968183,0.8425116899701912,0.9105934497184063,0.9624742250615479,0.8444576380743495,0.8672224479015197,0.887380483542108,0.8570707131760226,0.8517090052142305,0.8508020463232359,0.9005417124690636,0.8363477639030351,0.8513914956092538,0.8786527483803414,0.8302201744954397,0.927819594740068
Albanian,0.8438213749181929,0,0.9293535071619833,0.8340182032314616,0.9133659792324319,0.8277015770907711,0.8472586520311797,0.8354898023110764,0.8313865711769591,0.8210943344262729,0.8639233179072527,0.8673714884979976,0.8138816001611099,0.8030727312989172,0.8684406659524347,0.8533623828618261,0.8980433869221878,0.9040732135265117,0.8724339305434539,0.802389420726709,0.9042222900519327,0.9252752563803502,1.0337147861221907,0.847539919933126,0.8554169797822552,0.8821304216029311,0.8149740195550279,0.8442149404713816,0.8928746901796224,0.9552543862749292,0.8296105791029028,0.8529926276424021,0.8667406679703314,0.8389676121057297,0.8276056380200136,0.8335134807340535,0.8893805182538188,0.8148173725197103,0.8422388716792477,0.854195651239079,0.8128006829999065,0.9176584956971321
Armenian,0.9364225254225421,0.9293535071619833,0,0.9285074603242447,0.9962997871222128,0.9382773136578506,0.9437453494802598,0.939257284716255,0.9364915095070709,0.9349343961551134,0.9538266960946961,0.962455250499886,0.9226701488093285,0.9125183433683955,0.9547377238882897,0.9403735430749718,0.9796972698785373,0.9803334236521736,0.9529555795143536,0.9129587310448467,0.9793883660354542,1.0028409323004428,1.0783240259918572,0.9441871880054632,0.9458746322815269,0.9591691054282069,0.9337494454653281,0.9356977361888461,0.9743914505079664,1.0246317443988626,0.9322907509722137,0.9508902276433544,0.9630795146156711,0.9386624751707793,0.9237158018163628,0.9412118010333552,0.9839893557711367,0.9172004455906831,0.9407877848623468,0.9542403228469313,0.9165223403054837,0.9881277228426956
Bengali,0.8420896076189699,0.8340182032314616,0.9285074603242447,0,0.9112749796584221,0.8291594161893578,0.8446138033818654,0.83741955826647,0.8410715608248376,0.8231763463593587,0.8631616592523651,0.8638907126018049,0.8136543215976352,0.8141013846615008,0.867224308502548,0.8521676874068926,0.8861610686422432,0.8896902100649038,0.8715716075852216,0.8049377120907444,0.900883648140152,0.9225566082758365,1.0273382402136657,0.8488513279341584,0.84682112256654,0.8664662890054126,0.8194759444637794,0.8434789364754842,0.8996231305776033,0.9526984631466976,0.8341147201835309,0.8560258356089562,0.8711956139266394,0.8423608799127132,0.8389182932462854,0.8400349328144702,0.8892045972245061,0.8208978765093748,0.8430027359116078,0.8615137767681714,0.808867280286013,0.9135847023307171
Bosnian,0.9288230848522562,0.9133659792324319,0.9962997871222128,0.9112749796584221,0,0.8967701403467649,0.9245765098725918,0.894788337805325,0.907491142336649,0.9063210774976082,0.9381480791048137,0.9323629884230937,0.9031409881956658,0.8957299968526297,0.9425714110359562,0.9265254416368123,0.9719866515449674,0.9742603702174839,0.9485604157542711,0.8967147688019365,0.9603840097726265,0.9848066221371791,1.073045117457297,0.901062940477856,0.938690211829625,0.9445112533499521,0.9030136467429035,0.9336984158139511,0.9636828809001581,0.997372094395711,0.9136664682341012,0.9267981824949991,0.9206154663767377,0.8840467463688547,0.9190479959575635,0.9096477972296706,0.9528164085752725,0.9017571417002476,0.9199120381777302,0.9042719225677242,0.8943319314073978,0.9717341516089508
Bulgarian,0.8456319060176999,0.8277015770907711,0.9382773136578506,0.8291594161893578,0.8967701403467649,0,0.8434097976431187,0.808663765959972,0.8188335532218789,0.8119026998430242,0.8561377751885315,0.8430902595149108,0.809881976831283,0.812121496646434,0.8644253717752739,0.8476176419898181,0.8970508162657518,0.8964187302218384,0.8732510947008639,0.8031165737029792,0.8864789040396995,0.9162380034366799,1.0251142883192186,0.8371441169144026,0.8566550600661507,0.8712240774694651,0.8115987887200081,0.8488850576513756,0.8972163643568027,0.9393813960287296,0.8293705025845358,0.8412476349867843,0.8598249947423301,0.828342476046992,0.8330076777274563,0.8251115513347564,0.8834676206657465,0.8183376247548207,0.8362326277431135,0.843735207431213,0.8110967376618287,0.8987526194502254
Catalan,0.8495932519792307,0.8472586520311797,0.9437453494802598,0.8446138033818654,0.9245765098725918,0.8434097976431187,0,0.8535453948282532,0.8533079397228072,0.8315395992725659,0.870025997303253,0.8733542139821967,0.8227156706075204,0.81296463959508,0.8757867295948205,0.8580477215171932,0.9009708756281566,0.9078027985607198,0.8833112068255912,0.8135773875029589,0.9056721572989591,0.9335625916381124,1.0413438688474537,0.8665437477733902,0.8636792663635201,0.8886629738882745,0.8271516578688083,0.8536181673176397,0.9120189771551962,0.966311334251831,0.8376858063867378,0.8597724732615597,0.8868312946831594,0.8568621890457444,0.8569392546872361,0.8516641739365005,0.8990784900348406,0.8242936216005247,0.8488652115782555,0.8763753710950106,0.8304436636754756,0.9283798810445073
Croatian,0.8548766397265388,0.8354898023110764,0.939257284716255,0.83741955826647,0.894788337805325,0.808663765959972,0.8535453948282532,0,0.8261786109851078,0.8263686714224028,0.8640891962454342,0.8569791869241683,0.8194437335363227,0.8197222565891118,0.8692533443156223,0.8553392870615513,0.9034021757301363,0.9057182022402464,0.8825062609078246,0.8156580922051829,0.8909449926034237,0.9243620551848896,1.024703137814987,0.8441163324030049,0.8646635751443366,0.877976544282488,0.8244779285391896,0.8602064330440987,0.9005608944090773,0.9409777597371133,0.834830334235438,0.8542614904966109,0.866772681024504,0.8285593388247003,0.8416134273556306,0.8337485059985816,0.8910623089504558,0.8259381114482898,0.8462626085778172,0.8492238745184978,0.8201877470626849,0.9067630758251092
Czech,0.8522613995210574,0.8313865711769591,0.9364915095070709,0.8410715608248376,0.907491142336649,0.8188335532218789,0.8533079397228072,0.8261786109851078,0,0.8296922922626911,0.8628141254512978,0.8679929109768278,0.8203961546001232,0.8153402171238119,0.8656391895664973,0.8557421617321649,0.9038515351975964,0.9047218916862886,0.8781522560539213,0.8112824621310989,0.8960239765246505,0.9258230270165482,1.0271946591188987,0.8508378199804253,0.8653833001962198,0.8797318129719001,0.8229315132040084,0.8561627268739901,0.8964303976236052,0.9392272764707195,0.8346934396375032,0.8542541515012058,0.8683878589318244,0.8392257645289078,0.843116537080361,0.8279283016622271,0.8973851783683362,0.8255678191457881,0.8470756217273996,0.8533262539509798,0.8198749949379395,0.9141912268937491
Danish,0.8251489760208232,0.8210943344262729,0.9349343961551134,0.8231763463593587,0.9063210774976082,0.8119026998430242,0.8315395992725659,0.8263686714224028,0.8296922922626911,0,0.8504893365436462,0.8423003455701515,0.8002724863814319,0.7975994370652635,0.8510418492396454,0.8483856066390588,0.8881150185186275,0.8921916671687048,0.8602892048835078,0.7851763895932679,0.8963274145123759,0.9183876650697107,1.0370866037465567,0.8425634221689011,0.843879660187043,0.8721895885901739,0.7813788403506445,0.8350263939469035,0.8942520720488912,0.9527110130093978,0.8257017946522864,0.8419465755564824,0.8662165208511193,0.8311754541848745,0.8317749399727598,0.8253958982034306,0.8749867120666155,0.8126871741257717,0.824223715206235,0.8525898508288585,0.8066264954434087,0.909859180486342
