,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,42.193120581848184,46.44807443998971,42.46098982531309,45.27352186666672,42.1485718056802,41.579388327037485,42.7008698305808,43.25860779780253,39.124511946843256,35.32865688060292,41.098955179474224,40.850912340569835,40.874570860137744,40.444773217349805,42.78851393806225,42.4795386253463,43.14895403496227,40.58942050539818,39.6788832411654,46.48339627391627,44.62186314048973,50.99278683722861,43.066570294510804,41.86710101929559,44.7713343073315,39.1220738950224,40.79491552331809,45.07626798052289,46.34214598062421,42.06432177860001,43.03627089639107,43.68943706452541,42.77137288553418,44.55676590642836,42.125850572204996,42.65429020477846,43.23234048328324,40.7687780017648,44.0076076769049,42.56818727146421,46.70138859168097
Albanian,42.193120581848184,0,47.48513936930873,44.280730420203774,46.297270035577746,43.4988364222285,43.2023119486084,43.9826952759014,45.07502701112456,42.51255320819386,44.13149122007408,44.57290154826789,42.37646259886634,42.292363292087934,44.17499209505834,44.207029624807724,44.762680396581615,45.06852640245273,44.136221870222606,41.839490324215234,47.18732270890945,46.1015679140493,52.275834143593,44.054103603493765,43.59647796585245,46.050240734385035,42.589269170555795,42.95241270286477,46.56795701299828,47.67315087443585,43.62086808320493,44.49269504231504,44.93353467214293,44.110779556780244,45.141182535579574,43.67627664188543,44.187300405466736,44.11201832677387,44.20622008224207,45.15303897019177,44.08148788395697,47.87735785602918
Armenian,46.44807443998971,47.48513936930873,0,48.17813357387981,50.03393148437994,48.14543113452938,47.44347780293581,48.15124291871656,48.85432999829826,46.784936217406454,47.845577239975,48.367359589441485,47.159447844649684,46.7629134208092,48.17377855943021,48.36887478253848,48.74250268947628,48.96060839286686,47.34160220427262,46.37151921542029,51.20406043683048,49.14476273618266,54.07294067245205,48.26986125255251,48.09364699744695,50.05549308786688,46.85988007058436,46.8291000681965,49.077683151062544,50.838136399664094,47.601347070329425,48.699079062227746,48.96739567204394,48.24236465332948,48.9953257284707,48.07080361979733,48.71698595077259,48.59330712170986,47.88677603833728,49.04874438498923,48.01067519548396,51.01255412894246
Bengali,42.46098982531309,44.280730420203774,48.17813357387981,0,47.14154403689699,43.76245518631605,43.02397765869354,44.59810895954993,45.03733406553243,42.45121900060098,43.93931803298858,44.47111855219048,42.47935225398961,42.583692991939664,43.99057646780824,43.71994833495472,41.47627983022852,41.65619975294076,44.15278036322868,41.97148137806483,47.43517993574782,46.506927909901094,52.24881151728908,44.77222893146066,41.2781706148215,42.98735737304503,42.30194239802479,42.75614221662559,46.44483898605127,47.493473483533066,43.47072795671102,44.62461094827207,45.541660323782224,44.7755825104,45.43153337805976,44.0830993451134,44.19747326367731,44.21848655008775,43.82025801629699,45.8409537723531,40.849768427312775,48.37523097140449
Bosnian,45.27352186666672,46.297270035577746,50.03393148437994,47.14154403689699,0,42.59268491170381,46.3053089098737,38.253444778575094,44.60583270417491,45.51851057912415,46.73439400625317,47.55869216547788,45.51740464572813,45.55084919494511,46.641261805630684,47.31019730749119,47.51878905654317,47.91799446376087,46.63289744146371,45.65310967983571,48.88574700700137,47.47658001119914,52.613076725070705,40.237710773676525,46.72204194854042,48.912261540440525,45.31192857965223,46.31036272006384,49.087848234537326,46.64554078916555,46.25062921709849,47.15878863382771,42.803945382701244,35.34483160375677,48.329001505997276,42.77884604534552,43.267906118441985,46.962832021016,46.69967257495986,42.62676728641417,47.136557033865515,50.259236914467536
Bulgarian,42.1485718056802,43.4988364222285,48.14543113452938,43.76245518631605,42.59268491170381,0,42.80585027887104,39.1678948706557,41.96672776845111,41.87217072802913,43.78274397024765,44.07616659122278,42.40961185263741,41.898237424234466,43.77018519963335,43.8313606040103,43.87836000271726,44.35122171143072,43.87678819690501,41.83630944257237,46.329788414167616,45.782847318306715,51.31067842045446,39.32447012465909,43.072609488714825,45.920421020430645,41.86666648653416,42.8681636763182,46.26367469042525,45.13737904788657,43.262641013348166,44.066221347634944,42.51332627950605,40.325762988345886,45.342044989169544,40.63344200414836,41.39143956558547,43.543143306622675,43.554253957776986,42.7979298373494,43.72728160688321,47.706087884530156
Catalan,41.579388327037485,43.2023119486084,47.44347780293581,43.02397765869354,46.3053089098737,42.80585027887104,0,43.57843213825228,44.295192926378064,40.98625038037012,42.9456572010832,43.34574162171692,40.54551091213342,38.79107844981474,43.02784136322753,42.67456810146609,43.36193708543746,43.58916348472608,43.34644394544169,40.91895663290996,44.357335768510225,45.24981398955701,51.42179043469782,43.757692786342766,42.49365683488619,45.824236629640026,40.58164766059766,42.30874407602673,46.12243632783236,46.98266546531488,40.08322907356863,42.038132824983684,44.73804665657047,43.78394820810844,45.393438964286986,42.825196081763075,42.885059863610465,40.28105437697675,42.34375419506024,44.90625235106801,43.08045693066346,47.967033273935
Croatian,42.7008698305808,43.9826952759014,48.15124291871656,44.59810895954993,38.253444778575094,39.1678948706557,43.57843213825228,0,42.16004634991094,42.65395239771546,44.337716607635556,44.58689068861332,42.758915131257886,42.81399394485271,44.13780114431681,44.5794144149862,44.39195998888979,45.177778692446275,44.50358157828908,42.42366528157611,46.72122757342309,46.02350669731849,51.260421525828896,39.960873372400506,43.421077235072396,46.448530449979856,42.555934533221404,43.3108399599569,46.89900005327345,44.6608591371531,43.98212827082838,44.71017038738494,42.20856516395833,36.14141127622059,46.142469439027394,40.10054764103843,39.65357343457387,44.49950814853574,44.365705337711745,41.93328169969731,44.55986700627008,48.373060971965764
Czech,43.25860779780253,45.07502701112456,48.85432999829826,45.03733406553243,44.60583270417491,41.96672776845111,44.295192926378064,42.16004634991094,0,42.920419588620064,44.95316960474257,45.36710875997385,43.468058541203206,43.06359220531117,44.59528077940715,45.32564956252599,45.38944762029721,45.8564949593843,44.84264950561487,42.97524518903107,47.6450986868289,46.51833314630748,52.62124965326227,43.35295100775121,44.742030488875976,46.69356433045994,43.06079737210674,44.06057755739459,47.131086304924445,44.74135732243897,44.54345441243319,45.05182077719884,43.158973517460645,42.44243232799164,46.5511801508337,38.315022293135215,43.15816432727419,45.03520769854034,44.91015941899743,43.3948182895509,45.16566898825002,48.65471778466519
Danish,39.124511946843256,42.51255320819386,46.784936217406454,42.45121900060098,45.51851057912415,41.87217072802913,40.98625038037012,42.65395239771546,42.920419588620064,0,40.90621543853227,41.224776708737956,40.293571394872075,40.36199194939198,40.49230691325021,42.431014494220825,42.32543319093248,43.04127455191889,40.79316009127447,39.271189295938555,45.71607413688701,45.1057855153243,51.2671138260543,42.89757256126506,41.423912029156675,44.525338487288636,36.963038330734065,40.91193553255488,45.09201824374567,46.34846188941224,41.84322103829585,42.68349725865146,43.80436362431388,42.888790989961294,44.42283117753969,41.68268709503662,42.05991985012468,42.509844301178894,39.97385848311488,43.83253309693474,42.104596145111586,46.54502948253011
