,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,40.4408147299742,43.851334772161984,40.44842185228859,43.06864380415691,40.34400976866913,39.65630617300073,40.181451352887485,41.36541101738855,36.30757103271496,31.471368868728412,39.0289290097624,38.60064400647994,38.47980578338843,37.96365942797504,41.199350879621925,40.801498030389396,41.19374169384602,37.96618580979295,38.34655006613786,44.294344856730696,42.73717350891589,47.77724090067781,40.83967393578899,39.8253784701738,42.669648643408074,35.69072238970512,38.60306150093199,43.12788549521071,44.20003949856066,40.297093645869985,40.554827586731896,41.64292606987107,40.62456228244853,42.80483268211165,39.783935031739084,39.97035791828307,41.28850717844733,37.01558530600928,41.733977757197074,40.51533192063075,45.104683988687135
Albanian,40.4408147299742,0,45.13493447639767,42.34009937794915,44.48118556058314,42.37401622983936,41.999348833518376,42.4738082314958,43.850135469067936,40.792428250213376,42.5224130686322,43.80104679096395,41.07273740254643,40.432321347359746,42.59875925364041,42.770809751365235,43.03255340943759,43.114807632540625,42.14470619553236,40.70706387982345,46.09228479935165,44.61452127799283,49.173351191458394,42.249019340416595,41.87030198607166,44.35370215757192,40.75684406689486,41.11378748001749,44.527607240263166,45.76198889576119,42.421510061843776,42.34860229819119,42.69828410850835,42.28734187764188,43.2569414951783,41.72505255133727,42.581472376816585,43.29272273999963,42.070744222188374,43.00623323876378,42.194416794416426,46.777963686949775
Armenian,43.851334772161984,45.13493447639767,0,45.71844884129214,47.444023440459446,46.36479705828609,45.42039135515963,45.68682239083856,46.58578121154061,44.77509781409319,45.75595683333257,46.306329643682254,45.03603768407074,44.675631255906346,45.92120441323669,46.34183627833035,46.17587678447955,46.79883345433046,44.762013273020884,44.72350515234307,49.13383073025614,46.36969177542059,50.40290718830385,45.869988752719166,45.589408228211305,47.58375442398812,44.59176655596102,44.57602989738195,46.90694966981096,48.39931807743839,45.74848815085955,45.954580096869236,46.538502106878575,45.848635459540155,47.070538219617596,45.5809960715268,45.95928704602965,46.826006465509906,44.87116300263156,46.78122461064576,45.470465088327245,49.40426607356501
Bengali,40.44842185228859,42.34009937794915,45.71844884129214,0,45.144218092271764,41.789573679619146,40.98230203107268,42.573708488751365,42.92872516883571,40.57550300397048,41.78855818736581,42.02446792499954,40.50458910290827,40.888886020658305,41.9720248640765,41.86384550830971,38.56193156615594,39.03540432547908,42.082743631528885,40.11656195996631,45.136103638597056,44.67588494230891,49.32872061272802,42.67029714554149,38.216487368023266,40.622856855006766,40.77885068357072,40.8177150217967,44.487926061176246,45.25940072493956,41.40911697921734,42.27923691029219,43.46394194048607,42.633037749816914,43.75273606821673,41.96383364143766,42.13611945759696,41.70230209009355,41.543635262472115,43.72329432116476,38.38036444010737,46.04161179507672
Bosnian,43.06864380415691,44.48118556058314,47.444023440459446,45.144218092271764,0,39.940256787538345,44.26960927110274,33.626285089310976,41.25871988082201,43.194223723743924,44.64103098273008,45.8484373320802,43.73384907235908,43.40406957350417,45.12495740649031,45.36171350216184,45.21489160037532,45.684171879948494,44.70151445711066,43.931597036647446,47.1910874079274,44.47200412138497,49.858785045974685,35.66835942648076,44.541477502626414,46.634588131512004,42.36826229625223,44.25554169260446,46.98167255201904,43.840987981722705,44.28374615135563,44.67219574062654,38.84400739583428,30.07974240129588,46.44152313612821,38.64859248688433,39.070867276794104,44.744219127522314,44.13521940020409,39.086680644687206,44.44337931101693,48.46785998472946
Bulgarian,40.34400976866913,42.37401622983936,46.36479705828609,41.789573679619146,39.940256787538345,0,40.113682880820235,35.65270794208038,38.27201817629246,39.97434735231158,41.36323584855112,41.436071012652064,40.54602477306346,39.80060699144039,41.97089181444947,41.628670845479974,41.37407709938469,41.99022610613353,42.132561721674705,39.999117539904816,44.114599789771766,44.06155119143645,49.19747155590917,35.212696178967434,40.51051206003502,44.92717015560359,40.11157499324748,41.118190505197596,44.39867535320621,42.247713101523374,41.00582241125055,41.73688700536903,39.677332817120444,36.539109373607836,44.1217949371084,36.905717204102594,38.09154664424577,41.403208745362825,41.41876331434536,39.595706651231325,41.53465836681365,45.35757241354918
Catalan,39.65630617300073,41.999348833518376,45.42039135515963,40.98230203107268,44.26960927110274,40.113682880820235,0,40.96279150295646,41.843773811073056,38.88717102099282,40.631279640392044,40.58238385245997,37.97609380123204,35.47646087158097,41.08783527336722,40.65395022341167,40.792057601338755,41.150893192018366,41.3560920822381,38.7510864850911,39.96725626538076,43.769449446634866,48.93940713355228,41.374559128987386,39.672079047169454,44.15391257692386,38.883112084907495,40.457802905708945,44.51207481632385,44.9420901430869,36.096991524768576,39.52998256584812,42.58644937631146,41.35257894909341,43.66810751994636,40.61462275946358,40.618503110143585,35.666250514169796,40.18510778266194,42.58642110490144,40.67780190071167,45.053712662911266
Croatian,40.181451352887485,42.4738082314958,45.68682239083856,42.573708488751365,33.626285089310976,35.65270794208038,40.96279150295646,0,38.46673832855975,40.1305930923843,42.11740856584697,42.21943556950457,40.934937091145876,40.54403764999433,42.36725685120719,42.62736222909314,41.99412088377179,42.52015210862384,42.21605054428758,40.72819696071252,44.82146531764207,44.204820534132146,48.70234823967253,35.28823229765056,41.27399519312708,44.80817503332335,40.08085713399172,41.215282734241704,44.45053291974039,42.21252395774183,41.70421948653892,42.03676008749544,38.42543215969301,31.06144565204857,44.14160254437627,35.822078466653366,36.21188635932312,42.30586526254699,41.742332884568484,38.31162149740233,41.85935110978508,46.01745545818586
Czech,41.36541101738855,43.850135469067936,46.58578121154061,42.92872516883571,41.25871988082201,38.27201817629246,41.843773811073056,38.46673832855975,0,40.61077968949526,42.67921745201682,43.04062185413837,41.67714191618495,41.35278737659482,42.74959543059804,43.01822061464402,43.113325869570936,43.52055724017469,42.874474941829924,41.2077902583306,45.4009994608906,44.31014571737989,50.06969348339963,39.817101808285464,42.38912353148237,45.45521337046392,40.931113492998925,42.12139910293106,45.152644169587234,41.98229184778291,42.38758147220907,42.785084126540625,40.40734284908591,38.60868690263272,45.3545487156981,34.57297383540672,39.037297245190814,43.15352066685154,42.722649690286595,40.140243144864115,42.77030764212634,46.328189506019896
Danish,36.30757103271496,40.792428250213376,44.77509781409319,40.57550300397048,43.194223723743924,39.97434735231158,38.88717102099282,40.1305930923843,40.61077968949526,0,38.63768495198505,39.42124105693724,38.44831206092854,38.30540571278846,38.60347298171692,40.74810860005619,40.52906531798695,41.25760045589337,38.028486347808055,37.36765060420705,43.38533651220628,43.58128241686377,48.95040168581928,40.602146616869014,39.564617268004476,43.01553576389301,34.38902783193556,39.41244398500392,43.42692134654017,44.36842265490136,39.995564909754165,40.37109303148523,41.63252073616354,40.64877575653856,42.18709412014614,39.51121358305066,39.47723882033511,40.42163420044576,36.743324922090686,41.445171916233306,40.38057433119092,44.53841478802728
Dutch,31.471368868728412,42.5224130686322,45.75595683333257,41.78855818736581,44.64103098273008,41.36323584855112,40.631279640392044,42.11740856584697,42.67921745201682,38.63768495198505,0,40.17185864011594,40.41741754472008,40.86963518882855,38.15888434204421,42.11001916642167,41.52054696141098,42.01399956273928,40.08336773224724,39.979824938867154,44.62539669857468,44.11940986654403,49.16483557376711,42.383786707393625,40.993742248394135,44.58772103739233,37.993416775273616,41.27392332818385,44.662319140175974,45.05978313813879,41.32235250283065,42.225125208105034,43.27981626688829,42.30457677362694,44.48357000455406,41.41408818650494,41.57669922970556,41.92998790561671,38.94880542785257,43.386640278518314,41.95033987218653,45.85266565194894
English,39.0289290097624,43.80104679096395,46.306329643682254,42.02446792499954,45.8484373320802,41.436071012652064,40.58238385245997,42.21943556950457,43.04062185413837,39.42124105693724,40.17185864011594,0,40.89407393518803,41.3600162693209,41.29719061730895,42.69735361031458,41.6237480666505,42.95633873549117,42.268267826325136,39.53351165539817,45.24452367859027,44.83520196281365,50.25267416523311,42.86776604263213,41.07811257529172,44.92187645903597,39.376050517094285,41.92244634220269,45.54305144411112,46.5047256340635,41.527047744355976,42.91855216119528,44.086635301065364,42.588418103181056,45.11373154030341,42.04151619134997,42.174177936250125,41.74701907585566,41.41180882006323,43.77839614264877,42.070448999244746,45.696383126600246
French,38.60064400647994,41.07273740254643,45.03603768407074,40.50458910290827,43.73384907235908,40.54602477306346,37.97609380123204,40.934937091145876,41.67714191618495,38.44831206092854,40.41741754472008,40.89407393518803,0,37.89298873765911,40.28648089916241,41.075219253187555,40.74366179454396,41.55930575583894,40.94553089722626,38.270549381028566,42.3827446374456,43.42444957613435,48.65394595565974,41.24422513906434,39.64747630283251,43.33836737235923,38.48866906394892,39.69181318796984,43.630847463719554,44.47137656464405,39.140158864583036,40.142522968792846,42.27360348884026,41.209147735887996,43.10290041012862,40.29967325842885,40.49502394828974,39.60231937092881,39.9684034544892,42.48850449129677,40.88249620661665,44.84413923608641
Galician,38.47980578338843,40.432321347359746,44.675631255906346,40.888886020658305,43.40406957350417,39.80060699144039,35.47646087158097,40.54403764999433,41.35278737659482,38.30540571278846,40.86963518882855,41.3600162693209,37.89298873765911,0,41.12876680183455,40.653625731822906,41.16396480151331,41.644439463155315,39.901103961399315,38.29775430524933,40.65275504735547,43.499869787943524,48.641327927760564,41.059821764421095,39.98714779975537,43.39258653434136,38.54522074222597,39.64794797981054,43.1918713156746,44.80140607557482,34.1094613121502,39.38423292478317,41.88123442310053,40.84145264121358,42.240677960341905,39.88077940589172,40.53589534813588,31.70319279028018,40.139226793058576,41.808084389580536,41.11705551996984,44.76960738715587
German,37.96365942797504,42.59875925364041,45.92120441323669,41.9720248640765,45.12495740649031,41.97089181444947,41.08783527336722,42.36725685120719,42.74959543059804,38.60347298171692,38.15888434204421,41.29719061730895,40.28648089916241,41.12876680183455,0,42.17549499923125,41.95161926841646,42.497765207453476,41.12989969967721,39.958176410551985,44.526185663229484,44.31339987183209,49.19339207393342,42.992452007548174,41.429637538740494,44.575447287992766,39.31380482175396,41.55341034973795,44.582883494060624,45.169492907396595,41.95063925221681,42.34599354873392,43.833269088999074,42.768969272621014,44.79652003084576,41.21335266386838,41.87773918446139,42.45445710552327,39.539601612372714,43.93469870512037,42.4082157464105,45.97198940113824
Greek,41.199350879621925,42.770809751365235,46.34183627833035,41.86384550830971,45.36171350216184,41.628670845479974,40.65395022341167,42.62736222909314,43.01822061464402,40.74810860005619,42.11001916642167,42.69735361031458,41.075219253187555,40.653625731822906,42.17549499923125,0,41.7419358148975,42.204133809547265,42.42662044618451,40.158761893951485,45.154201094337346,44.44735035488544,49.83806954679499,42.483291394620174,41.11361527240232,44.83160962052158,40.882468146819335,41.478253533230664,45.397601684853896,45.968078926003045,41.386282258430235,42.6717526656658,43.549682480544,42.55371518173751,44.07014735515537,41.74402776231168,42.26237717028748,41.22927914923707,42.04287836199573,43.35701748349243,41.98824405764621,46.12311455764111
Gujarati,40.801498030389396,43.03255340943759,46.17587678447955,38.56193156615594,45.21489160037532,41.37407709938469,40.792057601338755,41.99412088377179,43.113325869570936,40.52906531798695,41.52054696141098,41.6237480666505,40.74366179454396,41.16396480151331,41.95161926841646,41.7419358148975,0,34.328715742652406,42.47083219849057,39.73584886446648,45.390889378338095,45.187994807570625,49.60876727267287,42.69183615135219,31.861208286934804,41.34760141647716,40.83404765535728,40.62461607456087,45.211448161323446,45.83079546268045,42.0022921067355,42.66087029554529,43.735486643248855,42.263585053238735,44.02819737761329,41.80145658853216,41.896945444837975,41.93707026780008,41.73462232288844,43.49860350781093,37.99848720287629,45.98080896897528
Hindi,41.19374169384602,43.114807632540625,46.79883345433046,39.03540432547908,45.684171879948494,41.99022610613353,41.150893192018366,42.52015210862384,43.52055724017469,41.25760045589337,42.01399956273928,42.95633873549117,41.55930575583894,41.644439463155315,42.497765207453476,42.204133809547265,34.328715742652406,0,42.8751561306939,40.64887624690713,45.658496172904776,45.44780382006661,50.14046930926273,43.08243760172059,35.67815190931118,41.73006990199739,41.31743442141038,41.025594609619404,44.9846040247671,45.925011124816976,42.22002563405873,42.745925810604504,44.36189392536465,43.06720660789872,44.06573858623851,42.241362984336206,42.46860682542874,42.37974738260383,42.158735014125995,44.27618397177748,34.53375798294841,47.02018979326027
Icelandic,37.96618580979295,42.14470619553236,44.762013273020884,42.082743631528885,44.70151445711066,42.132561721674705,41.3560920822381,42.21605054428758,42.874474941829924,38.028486347808055,40.08336773224724,42.268267826325136,40.94553089722626,39.901103961399315,41.12989969967721,42.42662044618451,42.47083219849057,42.8751561306939,0,40.48290448779106,45.6171873408208,44.2999883440482,48.55350869014967,42.479562564050184,41.634389034757085,44.64826794828272,38.020405130186525,41.05294199669512,44.332875543183754,45.69384471092174,41.79556326690993,42.4311005447083,43.09047322982044,42.43123110151588,43.25675903723229,41.73354603193725,42.393892578662445,42.78306737364306,38.35606647234675,43.47658266628416,42.08735690998379,46.426117347800236
