,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,41.94858135577539,46.336484272532715,42.551817797501734,44.8440293635899,42.20858269589711,41.54389980021154,42.506713699717984,42.99647175724339,38.89789129031519,36.334682039438015,41.08287473155501,40.66674678215341,40.72796213917003,40.27781469363967,42.771645392439424,42.665129752467074,43.344505239554564,40.14842686954232,39.81909671350267,46.441859544137074,44.318794733158285,50.991437266389454,42.69601281006201,42.009188345611555,44.73525862466094,38.46792526849183,40.81159937318852,44.77603259287845,46.03003721759516,42.01310866912531,43.08972399574921,43.3804849398115,42.481260164086805,44.35224598213753,41.88195404526036,42.59990318870828,43.36605182144979,40.289065364033135,43.52590098143564,42.701880922232775,46.856489676209456
Albanian,41.94858135577539,0,46.92310503354135,44.00248999149409,46.30327804909564,43.663572639465315,43.28752729273069,43.86442660687037,44.89450295832595,42.79157746263186,43.83162745738904,44.79903446068187,42.433893261168535,42.50587685736414,44.11960441190195,44.057663152557566,44.401840476739274,44.7559228619733,43.61737359165111,41.88244644967709,47.35652047166268,46.24307629781471,52.21586743788094,44.072440523187055,43.530774566623116,46.18458757542383,42.51651384326165,42.620986459161195,45.961447315329366,47.43505399655841,43.606249315543,44.494509030053315,44.851946812070906,44.23799399070689,44.956544865154854,43.57180504433126,44.19702612287859,44.585003541323324,44.103211107723155,44.98908801973792,44.068695013885126,48.07343467387716
Armenian,46.336484272532715,46.92310503354135,0,48.56779327469747,49.50177392768263,48.087390637367804,47.96273519191215,48.14424901245927,48.828401416373495,47.187976216718056,48.080333617341786,48.76445614042344,47.304130936487574,47.19813667970422,48.06160395018285,48.320687826815444,49.014510807445795,49.30020704284748,46.874974672119066,46.4953117607969,51.17317881646849,49.08035320055844,54.016796218255294,48.132705819722496,48.39109590480176,50.262349725937355,46.81313320090551,46.68556547684886,48.795058036328285,51.111604876518456,48.0283722033496,48.919645689170586,48.77018302966305,48.01166561347711,48.74575093173815,48.02752272618459,48.70038018046695,49.39033190062453,47.799749473079345,49.020726748644464,48.331171195959186,51.10068603367308
Bengali,42.551817797501734,44.00248999149409,48.56779327469747,0,46.476016499781686,43.082800481346084,42.690755774452846,43.7676870018882,44.35833996785494,42.0022326739854,43.55972360895835,44.12425740695323,42.04055738233241,42.354393044065816,43.356697724343626,43.55403419900482,40.79791066984758,41.371270170851766,43.98353872257319,41.86573498323069,46.61436010228029,45.99726993672249,52.33218458324542,43.91216579369753,40.71373581217603,42.783268921275294,42.310961778678454,42.189873774751426,46.12113595036567,46.64165889616703,43.56350226412341,44.0573125853399,44.84546069091596,43.95987569494873,44.916127720572256,43.35884834830101,43.411311006773715,44.05357979739376,43.46569177011689,44.83534666722085,41.01818303632276,47.87663370075397
Bosnian,44.8440293635899,46.30327804909564,49.50177392768263,46.476016499781686,0,43.07656678771787,45.93877161014336,39.71687424321837,44.856525215283774,45.423407953944356,46.46996798177504,47.31188451155818,45.32578467063165,45.52705306681476,46.42270373815431,47.065186024687186,47.34021290420055,47.62903934962798,46.11518637765181,45.66092445959482,48.60857397964624,46.771101708808466,52.3006554714763,40.62875161080965,46.643381535721545,48.49183700424364,45.274380239535134,45.81888333288843,48.25522742502828,45.861459914636846,46.12443544578615,46.625630262223964,42.47997162030651,36.58543976005365,48.087656598613975,42.848790632046565,43.815501548833346,47.224597916453895,46.41189612063314,42.52714915956428,46.65354463454389,49.84028183081951
Bulgarian,42.20858269589711,43.663572639465315,48.087390637367804,43.082800481346084,43.07656678771787,0,42.23515327835335,38.942332545446874,41.55619473361348,41.44074636859903,43.32808502063107,43.55489190333932,42.20949557622304,41.782937399468075,43.31962341358316,43.67210459578529,43.182664813580956,43.60095346848226,43.50578718752856,41.7040053710318,45.973083019530385,45.66179579551781,50.964695184941455,39.09221354865929,42.29786440537171,45.98243892531108,41.66443162119166,42.39580473291453,45.682393095573616,44.799778210494,43.32435617198813,43.52229234530787,42.26482243251073,40.3857171783061,45.16251631063403,40.28076887374873,41.17887046921675,43.49514865761813,42.84660609779609,42.286904102040836,43.33295938260756,47.14306832387756
Catalan,41.54389980021154,43.28752729273069,47.96273519191215,42.690755774452846,45.93877161014336,42.23515327835335,0,42.52450522503776,43.67272278919284,40.55329692302902,42.29255608790099,42.73146670246199,40.14297469978111,38.48043749989286,42.480998531609515,42.62014183452437,42.94942513226026,43.40923314854022,43.3167430938979,40.5667713563,44.28243330508828,45.34056678515445,51.410101574070005,43.01712600205136,41.96128759934371,45.83628946234043,40.54018865678517,41.83647035599062,45.85994432704793,46.292987639167826,39.85425053973834,41.40098072674995,44.14076762417415,43.10234510096567,45.193002670264995,42.23280687697753,42.38477454850009,39.88733939989712,42.21498959619125,44.093462207100565,42.79646349255119,47.40790736212241
Croatian,42.506713699717984,43.86442660687037,48.14424901245927,43.7676870018882,39.71687424321837,38.942332545446874,42.52450522503776,0,41.924705226173124,42.09655901017114,43.521221178778724,44.154066342499625,42.37191503820908,42.35034346926842,43.50837968081938,43.75929387438056,43.905567681259164,44.42695129697682,43.7170334892738,42.17429733353712,46.34987031320908,45.69846608462472,50.949469053225016,39.619803892760515,43.1210664010881,46.48689467900969,42.14113208760056,42.63531147702864,45.916908142399144,43.871114744055,43.44012518606076,43.74893970952761,41.88019486803181,37.005350996001305,45.49156816277557,39.60790362715277,39.81919257151815,43.91598379848788,43.47319639758104,41.43157738309597,43.61506133833698,47.78627743879382
Czech,42.99647175724339,44.89450295832595,48.828401416373495,44.35833996785494,44.856525215283774,41.55619473361348,43.67272278919284,41.924705226173124,0,42.46043666133548,44.15187460163275,44.90318226847878,43.06639748338161,42.82990522832579,44.18945357488313,44.74645461252704,44.67961164355663,45.253875023840074,44.41772304901512,42.629900836255466,47.44997447078433,46.315919722243116,52.38512810983502,42.74456063906169,44.182679581423784,46.370347220938314,42.84557320646219,43.33380343324185,46.43145337613279,44.35077632342081,44.50214458707092,44.606230903746884,42.64943850227467,42.02202402705996,46.31718647039894,38.63941596297991,42.58083206554513,44.705417618262615,44.141507625057216,42.801980972787604,44.56290348881162,48.387630962371794
Danish,38.89789129031519,42.79157746263186,47.187976216718056,42.0022326739854,45.423407953944356,41.44074636859903,40.55329692302902,42.09655901017114,42.46043666133548,0,40.24224165553669,40.17624583700061,40.23897584442311,40.12895687411965,39.52077081796181,42.17921758815585,41.70520174948211,42.55284492007025,40.215074416165585,39.023171263151816,45.38497752384336,45.09812726908358,51.14530471843638,42.801199766239385,40.82170947045301,44.48331812562566,36.74035117699003,40.522697542444355,44.74066823745281,45.84754931589773,41.78994987032565,42.0632476249258,43.863211026775595,42.68961134919446,44.2072158973222,41.29635177302882,41.61799297026997,42.32424850024455,38.93652700878941,43.85677400621408,41.857560511552144,46.11035283132091
