,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,37.09113896036071,38.655621843796766,36.07601800444137,36.52870376699597,34.75549313550858,35.54635851059677,35.68480320783642,35.13339228375484,30.403759637955265,26.995674096234985,31.10980303034978,33.830032417806024,34.6204431188956,30.964612088452565,36.602730893285504,36.57733820767465,37.77795878039096,31.537174565703864,34.52386718903342,38.57035008642776,36.134755244144465,41.77489886878137,35.119165412359735,36.372791164238635,37.844783375747696,30.30200437282662,35.00432475219743,37.450319031545625,37.83474154202928,34.679095496442,36.005677448723304,35.911789790877286,34.944877749627814,39.1305419674584,35.016021012872955,35.34394168560769,37.29626005868853,31.931468388366792,36.22788564351332,36.49712995243199,39.00717129336802
Albanian,37.09113896036071,0,39.10323822462008,37.323583776041424,38.60754702930951,36.849703366273474,37.58413483994995,37.353221888785875,37.960176320263585,37.94295919822538,37.89502003343831,39.64883013659797,36.20843414400385,36.4022887127873,37.86905166853605,37.66816139667377,39.107119008861716,39.14494188572903,38.038626004034576,37.116179379208134,40.08410157206822,39.019469289592315,44.17107096067907,37.495803095006316,38.453416391511,39.55732376040792,37.44449144015955,37.09433220862556,38.62106484587987,39.70927766629641,37.1049271959164,37.55487719882992,37.37036184409997,37.27232365115155,39.627330344541015,36.89217063444496,37.110539538538916,38.54923257512305,38.749211217741106,37.205262025661106,37.63524709858232,41.23666595289721
Armenian,38.655621843796766,39.10323822462008,0,40.46261217068955,38.6052341635558,38.65656164872307,40.60785958897498,38.73284959210079,38.802757822691156,40.194914435221975,39.080330533353994,41.089068043874924,39.621648984431786,39.83975572844339,38.883109214732734,39.105606568333876,41.288330683125864,42.17188936718012,37.43972006365008,39.365321906776856,42.37904051555094,38.80766888693858,42.24612712014132,38.60666909970643,41.49219129960493,42.48364425361414,39.05068478113532,38.81684768121425,38.83124845581949,41.12789737195646,39.69618348478385,39.68287636509582,38.72557729003261,38.12324256961829,41.70439923405812,38.78318537652808,39.123198099023206,41.85418994389579,39.94282997530445,39.02109863958663,40.36788680059958,42.400546566227256
Bengali,36.07601800444137,37.323583776041424,40.46261217068955,0,37.40521861438107,35.42529767287768,37.102057668510895,36.1020859262985,36.524243260020675,36.32712524816891,36.40258396982081,38.20319546125247,35.12375761976691,36.10739541606943,36.49716757648359,36.377436775791715,32.58100613768593,32.85311807314093,36.964074798621965,36.385378306848686,38.536947348456756,37.54254213184629,43.74580647321329,36.3995992208844,34.143197259240615,33.227421012296666,36.677458007094366,35.17091187089864,37.90530688685514,38.10879268560157,36.514390469649015,36.84224114477277,37.00234473144562,36.15439544923348,38.893728011030134,36.2545545232213,35.5493213016556,37.49115805846891,36.8674812517977,37.08580350514229,32.374583743488024,40.91453633953136
Bosnian,36.52870376699597,38.60754702930951,38.6052341635558,37.40521861438107,0,30.585222229592727,37.585843723716756,27.183686204421846,31.157783265105973,37.65236678470633,36.88188269571881,39.05330852016242,36.0164194946322,37.74472284928358,36.74016202099786,37.58549014922527,39.643852598836006,39.69362678527717,36.748920569807666,38.83118689446075,38.64571836252955,34.17248641516281,37.938660537648126,29.049618840079486,40.016754193393915,39.49383783970079,36.20558752881833,37.490401000496206,36.96477976911433,31.454194983224383,36.8524920592246,36.260800460475714,30.10006454382737,23.881073736715546,41.21237026287254,29.853232997310485,30.805784200815996,38.898152101352736,37.881395315194794,31.26023580564107,38.08285516873407,41.00567643519089
Bulgarian,34.75549313550858,36.849703366273474,38.65656164872307,35.42529767287768,30.585222229592727,0,35.4380505036086,29.0686620925221,30.806168243235756,35.1203290080057,35.36640295467567,37.272157099578564,34.56225655107953,34.66524821854347,35.38319660719562,35.85110996356457,36.379760991096674,36.42089045093087,35.32261214814564,35.5475187492788,37.29673686867102,36.23020307131937,40.3003728585784,27.1561726525392,35.78183674911017,38.10690048822121,34.65690081588833,35.33817583954641,36.56849898371933,33.44406479715508,35.49634005865133,35.221047900973296,31.471968321953135,28.927243741936824,38.74590754594558,30.38370304592452,30.966509334837806,35.63676172124542,35.82388170937965,31.285864376731563,35.58104678991412,38.999344974354656
Catalan,35.54635851059677,37.58413483994995,40.60785958897498,37.102057668510895,37.585843723716756,35.4380505036086,0,35.36092632860188,36.398081776977854,34.60347480613418,35.95950639560062,36.61608146833894,32.21116698335083,30.2022187421251,35.80368287232316,35.33406097394459,37.52400661184403,38.06651763061709,35.958358994213626,35.53948636124602,34.48888640299602,37.627738066261266,42.157517301379954,35.865597012880734,36.705417103412074,39.990839186407975,34.48647833712872,36.10533126325908,38.57536322007695,38.93333412918329,31.952838208888565,33.09439216929859,36.35373545671693,35.34151774187301,39.86137104645209,35.94276503328235,35.08379521554786,31.672748349280834,36.10731593605536,36.49648673123355,37.22797158348709,40.47686748274641
Croatian,35.68480320783642,37.353221888785875,38.73284959210079,36.1020859262985,27.183686204421846,29.0686620925221,35.36092632860188,0,30.37741971004371,35.78702728471195,36.03533093098227,38.11164720911097,35.227901923755724,35.58231077270208,35.727810162610304,36.1268061192661,36.981652287194336,36.88998533332904,36.22721075706169,36.02233974506647,37.78941224069117,36.730421958527806,40.2314556055456,29.046934437002918,37.0147057326735,38.29793516988409,35.2705491824156,35.21153786062457,36.303800775207044,32.83219579010245,36.535670423885854,35.60934403858896,31.882783847342484,25.43358181077584,38.84548931560062,30.117081814809207,29.685437979372885,36.57478408760184,36.32878769100888,31.338507604613987,35.84409314245013,39.924386925110014
Czech,35.13339228375484,37.960176320263585,38.802757822691156,36.524243260020675,31.157783265105973,30.806168243235756,36.398081776977854,30.37741971004371,0,35.0111724611116,35.400040235484546,37.50952190777183,34.64581951002349,35.41795360266858,35.52622493290075,36.923432848344625,37.424893718771784,37.618876485237486,35.950883877171144,35.869733000647244,37.402796096076,35.473652884210615,40.936067662519484,31.110629593108765,37.16476750138616,37.655423847845896,34.98060816929153,35.519062426164275,37.0022536727732,30.78699474193465,35.34029758167142,35.92592964476947,31.470793773575835,29.386061721185893,39.94223896773265,25.94252241839114,31.03688545060415,36.76758799222231,36.591689390070826,30.81490408069989,36.20163113008149,39.92410069304798
Danish,30.403759637955265,37.94295919822538,40.194914435221975,36.32712524816891,37.65236678470633,35.1203290080057,34.60347480613418,35.78702728471195,35.0111724611116,0,32.1568232786897,31.110722989134906,33.50328559430744,33.94056726868741,30.1830063987323,36.25788781102777,35.8961096568027,36.77387448893848,31.568705388560435,33.234566551287244,37.39248616510179,38.393190767104436,43.60510413855737,36.14027686316606,35.476546412933416,37.06935763075609,27.047698754029657,34.752380272336616,37.08576552549917,38.33240763895498,35.17247385749268,35.49950533123972,37.12713651064527,35.889013119821925,39.330774137340754,34.85851899384978,34.80172580711296,36.41903376549397,29.148555285358544,36.74323898767128,35.93442523378499,38.549985394392046
