,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,42.27670250511905,46.203433442245235,42.406670203199425,45.18341291817312,42.18408945334954,41.3256472868638,42.799785609838146,43.31361058708806,38.63153050410623,33.55662691911483,40.53089673568294,40.63647819567829,40.76157213234864,39.879788724818596,42.53684313886122,42.40942449051159,43.02883887218976,40.01989003833107,39.59396886644787,46.38118502652758,44.11354548453785,50.486458261703795,43.028489680103526,41.71888024924149,44.823015229207115,38.80285463741646,40.84865364010317,45.1861944942553,46.01292211934373,41.92290389302534,42.72302338318759,43.78645366152875,42.88811512138518,44.72378399981626,41.84463384933408,42.65650010962381,43.11501154045842,39.904279275953805,44.12803726879494,42.74070419307101,46.88304718074263
Albanian,42.27670250511905,0,47.27873626575832,44.09536854130932,45.82079576900756,43.1444940974602,42.881695907964435,43.69242952761661,44.96581722079745,42.52940210871746,43.75860859551667,44.568154706981844,41.973425624596416,42.07574638642854,43.7076958422693,43.82518019758144,44.62159575249212,44.69061010781729,43.79230428408567,41.92555656812269,46.41853498086531,45.79641814440643,51.529923610620926,43.638000592448655,43.50683877084862,46.0602446248876,42.715069561184656,43.37803970213583,46.089500158105174,47.279622743838544,43.31381854497642,44.04363295982018,44.61763450166794,43.681296061512235,44.82042087265629,43.450014552534654,44.15502777174076,43.713684775344305,43.60640863214568,44.532852630024664,44.07282839919614,47.502644785431386
Armenian,46.203433442245235,47.27873626575832,0,47.745085172369656,49.618785290416184,47.88479773585885,47.24517149617832,48.01198205017788,48.683259750686,46.68851481375593,47.10078182562367,47.84955342754858,46.62552957989009,46.845830562058154,47.282730129859075,47.5649925763651,48.42786137435111,48.57077278459385,46.61939377322505,46.26133822701995,50.17469644451019,48.56167577060421,52.91753990060468,47.814470876006666,47.933279814453925,50.31846649469453,47.38019472060525,47.19437334338231,48.82066614429018,50.337776466274974,47.20098226917104,48.15384069757615,48.64732940463753,47.92026180553034,48.66559012820104,47.826746791724645,48.931994240746576,48.01287547746396,46.99588181759438,48.86656170833139,47.92345954564638,50.507424893134264
Bengali,42.406670203199425,44.09536854130932,47.745085172369656,0,47.125190479528875,43.54177328961298,42.70253236906889,44.666741886293586,45.10138784803839,42.30993502062321,43.40893632798571,44.149268105323,42.11135827197043,42.63309309739227,43.495869238753606,43.16229330716599,40.503017342968896,40.53210715182716,43.6990999331235,41.949038320923734,46.65486799184553,46.11585346696125,51.71942186265108,44.46911502668554,40.39493949775419,41.89331396321703,42.733014896314465,42.636043043276146,46.15611456046515,47.092693892757914,43.18086018029656,44.199680689765316,45.445451639622846,44.5583351119211,44.90044239078507,43.928373584166565,44.06171527911783,43.55040697927791,43.4224053561385,45.828406868764496,39.833395630324354,48.03292231038901
Bosnian,45.18341291817312,45.82079576900756,49.618785290416184,47.125190479528875,0,41.094034719831704,45.96430110427979,36.221134479875076,43.68763462156883,45.33387308852295,46.46117315836814,47.292765597445616,45.390104937106976,45.19866708052662,46.542851739108336,47.07426611178081,47.33168065458699,47.81753201586277,46.19230608399316,45.721308455922234,48.41576763951225,46.91578119475062,51.90368810155007,38.20817942894004,46.524983373947336,49.188812425821915,45.45153260644807,46.562567997833625,48.73689227343911,45.776640465224844,45.9902724517707,46.643677191968706,41.14124857148495,32.34858371105117,48.2065992881043,41.526289574414356,42.130197633818426,46.503481151932746,46.155265569997255,40.87715461523488,47.034215456874456,49.9343086350832
Bulgarian,42.18408945334954,43.1444940974602,47.88479773585885,43.54177328961298,41.094034719831704,0,42.310011990227515,37.17537072063404,40.805824865949724,41.718020369724826,43.38198933030049,43.54773341482618,42.042687986484815,41.666957688541125,43.33858280851477,43.42643687574982,43.77690921371269,44.02992460450628,43.5377071795218,41.85614466855663,45.44313512871577,45.14006541319056,50.379765410386,37.57727186670204,42.92721316631462,45.85138590333889,41.83827475785537,43.057534859043365,46.050344420051445,43.781709100092236,42.76308431253995,43.431715920705024,41.387334707793585,38.90449738557922,44.97195277621291,39.44722451537559,40.598191191345045,42.77200175328531,43.20594139116114,41.48338625511326,43.55363443097527,47.10903452537206
Catalan,41.3256472868638,42.881695907964435,47.24517149617832,42.70253236906889,45.96430110427979,42.310011990227515,0,43.15719588729524,44.07747783744521,40.78332351773487,42.42544547518894,42.8074424048549,39.98092741208915,37.57464525808394,42.785904588213675,42.201806438901286,43.04394275698493,43.20526434784947,42.86399848107046,40.888239823910325,43.055495641196615,44.75027718753302,50.99937339084921,43.37186104992994,42.04961209668694,45.64729558292999,40.91939911006036,42.25754462121321,46.08956229791887,46.446185662253384,38.74933262603255,41.12045162826085,44.47708039105705,43.45978274897981,45.22236359737935,42.51907260707155,42.91056466530117,38.62545338969428,41.83892292141464,44.63630426597172,42.77952635443396,47.45593132420475
Croatian,42.799785609838146,43.69242952761661,48.01198205017788,44.666741886293586,36.221134479875076,37.17537072063404,43.15719588729524,0,40.935033914488415,42.56252858749152,43.94278092492683,44.02439445055541,42.74838337703156,42.58440217654534,43.86413834924278,44.30822192702228,44.34219019111029,45.23508178383586,44.491523153713146,42.59706294442106,45.95371121722083,45.27178767623864,50.31370747542727,38.568105093135166,43.48169842991373,46.556058828692905,42.80596812936882,43.52653121930672,46.750747220287195,43.493423913418965,43.49310164798538,44.00003152251687,41.1497238921997,34.121841187616,46.136376008498594,38.95392968956658,38.71748502883803,43.82782307476592,44.1297868532199,40.604091939135685,44.54259222014876,47.900650044512666
Czech,43.31361058708806,44.96581722079745,48.683259750686,45.10138784803839,43.68763462156883,40.805824865949724,44.07747783744521,40.935033914488415,0,42.8543939913573,45.02840261183,45.295116461242515,43.40346514162404,43.10870255426681,44.80365342333873,45.11309872743883,45.45836194981586,45.93208132980892,44.71858970901981,42.992028592879144,47.56718340541542,45.71165771457517,52.0105347785684,42.541460172699054,44.780427664976074,47.050084144291155,43.044020414280446,44.29084853625546,47.30403590007798,43.69073424328424,44.19683346374267,44.81345749152956,42.00142791567732,41.51078054889787,46.44430687876903,36.366779804334556,42.617111161139924,44.78792812292358,44.85330689042698,42.57215173985379,45.308055961720406,48.598006260660696
Danish,38.63153050410623,42.52940210871746,46.68851481375593,42.30993502062321,45.33387308852295,41.718020369724826,40.78332351773487,42.56252858749152,42.8543939913573,0,40.29847364241141,40.3794667746874,40.105726833589074,40.2930443726475,39.842068122850975,42.186201608312444,42.229462262759675,42.75321798819913,40.134965058279,39.05901633615901,45.413246360313316,44.9314291258825,50.81039818524524,42.830719439880255,41.383377639055794,44.28834040586619,36.12351794318764,40.844580905262134,44.99128703880449,46.13616151273882,41.69844238148051,42.49838046608235,43.661431727512024,42.718597163199924,44.30892676596023,41.55042151711932,41.90552109597467,42.300195304037324,38.96583607412745,43.650896509261074,41.7977164355802,45.95263793806276
