,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,41.2034825179626,45.09833600906027,41.49584573930681,44.05730044627392,41.09678654464633,40.15976580024873,41.463190955873834,42.029410250971694,37.52894800776934,32.85811692843642,39.76182737874401,39.66295759278493,39.66034479815649,38.932856336119606,41.46840693523911,41.40512927934058,41.83914593952799,39.11391280892107,38.73117289175169,45.16112607722561,43.27447048952038,49.470531528854465,41.81126678810735,40.546758633338285,43.85544029980419,37.77033333662353,39.83045341680182,43.98686052096132,44.8497014064146,41.046121768375855,41.566115267059914,42.72357802635785,41.58018513517968,43.46339306234049,40.68046416223521,41.2625403160041,41.955566863721685,39.049198240735244,42.84765530427113,41.56324706139214,45.8576361600208
Albanian,41.2034825179626,0,46.36128421651494,43.01526355912936,44.76296605716633,42.22818994219319,41.788294811030745,42.61343665415159,43.7484889869835,41.49809757393667,42.86258565222356,43.70948477629262,41.264029401899194,40.8960493186864,42.92135180563226,42.8844108358599,43.272164057705076,43.3827147822632,42.961404599705965,40.92568953356434,45.58396128044257,44.685709525113694,50.550551894421716,42.57764260856665,42.10235315264257,45.0308248649821,41.61018383207618,41.88531196620158,45.179309056154764,45.845819288271485,42.54193475741483,42.80736317568755,43.53691541723341,42.57367825924573,43.74741907810816,42.174218136312014,42.77818662271566,42.8433809500099,42.69717589016361,43.47201712558361,42.902746854896584,46.878969404891855
Armenian,45.09833600906027,46.36128421651494,0,46.74250485239116,48.52017197022193,47.01188216589578,46.087922397175554,46.69935711836849,47.42957149728124,45.55925948189872,46.374125333160734,46.990406120604895,45.904066505860904,45.804556364715395,46.54118233118303,46.45328459928365,47.14333721388647,47.27642246319796,45.9752545098664,44.98760014705342,49.26188676543004,47.6263327332816,52.30566666522689,46.917176832921385,46.51602065796885,49.04503139154231,46.35114819636797,45.857570834779615,48.03243420175845,49.19127291196745,46.47418108266063,46.87774790935732,47.64871413656267,46.935805637565174,47.7717000948129,46.53057388905243,47.390327281173235,47.03120129172154,46.291680053559645,47.95127955450882,46.84155569675866,49.64467085607947
Bengali,41.49584573930681,43.01526355912936,46.74250485239116,0,45.76805391586912,42.55089743501422,41.29875313714379,43.38088253390029,43.91653637441149,41.28223446880778,42.42173232837854,43.22824218329476,41.228796820637676,41.57771302511133,42.5948741149681,42.198637176417996,39.261508307607684,39.44100795499323,42.892346479406264,40.955060990645784,45.61588416219109,44.99593195080695,50.692091620415425,43.1867894757765,39.01857332530739,41.31456627648048,41.838305384721956,41.6210400625866,45.17996298907216,45.91319097560778,42.336145849722726,42.99530210154533,44.13550558984483,43.215368867884315,43.8610604072388,42.792367015035815,42.72833312687087,42.53387934854567,42.51100914789034,44.318661767952555,39.195657215776194,47.03115106252399
Bosnian,44.05730044627392,44.76296605716633,48.52017197022193,45.76805391586912,0,40.234279736834424,44.55463485223249,35.7226381893623,42.781393930651674,43.898298242844035,45.51129052312755,46.28574394340458,44.33358588327923,43.950492723240025,45.75178640069286,45.708266465897914,45.803151167343515,46.13763563315281,45.261625634126624,44.482644665951,47.26046944199026,45.944240591063654,51.40324578298622,37.623152257689256,45.0607490527773,47.734967229799864,44.1721861745972,45.028458751175656,47.666810689256245,44.75149699732762,45.0041230436147,45.254742295890296,40.8396932590675,32.585451873414144,46.88917577589435,40.7429141232918,40.98282878222139,45.253972862123,44.92721544491933,40.563655495974196,45.56177222197185,49.05994082594816
Bulgarian,41.09678654464633,42.22818994219319,47.01188216589578,42.55089743501422,40.234279736834424,0,41.09396436681635,36.50314178897809,40.00340318343938,40.523124659137245,42.613702480073634,42.98250622381149,41.21962034574486,40.674065340035085,42.74221329921888,42.55133770258838,42.48733500038489,42.86416884568602,42.8973359428897,40.81440938518232,44.864984615349904,44.36762593678995,49.63058688154061,36.77948612943523,41.621067909475414,45.0118512384076,40.90419351064092,41.7406279253969,45.079769768224054,43.10566641466538,42.22034229298748,42.41068450524199,40.63795461593631,37.92889723468239,44.01498844845021,38.5528392974381,39.19010974311531,42.02539038449595,42.3178195883643,40.55970656782945,42.538435319077756,46.42057205373769
Catalan,40.15976580024873,41.788294811030745,46.087922397175554,41.29875313714379,44.55463485223249,41.09396436681635,0,41.90970496738835,42.75495461630815,39.66143201832855,41.432773622547685,41.836281613155165,38.997861610480285,36.51092648517329,41.86355224323951,41.12581679260948,41.620866703342266,41.79541913808426,41.807801817948345,39.63631494411695,41.804479023635,43.762991567814495,49.810937052871026,41.96761583192177,40.639011401037926,44.24868284967743,40.056264203123035,41.09662633986728,45.04349884942408,45.37717804023505,38.02860524611094,39.83962927989681,43.02274805807451,42.07150770512521,43.693715127925394,41.2908162148186,41.32672685134662,37.32475351746191,41.08203042905149,43.2543843990697,41.55449350080917,46.22820840488475
Croatian,41.463190955873834,42.61343665415159,46.69935711836849,43.38088253390029,35.7226381893623,36.50314178897809,41.90970496738835,0,40.15870755159521,41.245170980471,42.95622565508465,43.306807584185144,41.79024589471107,41.438856097970955,43.07503258352862,43.233841965416616,42.90028635190627,43.620674955258124,43.49736281436461,41.430892682418694,45.05252782965299,44.4110609631722,49.92361770737783,37.55196605389728,42.15415227956397,45.512091625249404,41.61625870799431,42.042215434586254,45.509686656417735,42.8502451399153,42.83518168119816,42.73267801744793,40.37182932046688,33.653658220387904,44.962210264235864,37.960668683626096,37.663279278213835,42.94229313518378,42.92742837476754,39.88636770901823,43.24594466031319,47.07033085538736
Czech,42.029410250971694,43.7484889869835,47.42957149728124,43.91653637441149,42.781393930651674,40.00340318343938,42.75495461630815,40.15870755159521,0,41.458505924599805,43.73998869411485,44.26248556595766,42.39016376756411,41.86435848575479,43.608045760934814,43.78619138964823,44.19630671435671,44.450527244969116,43.68572582618857,41.74129224999831,46.52563561014374,45.074634707363636,50.976901418756285,41.42180186782023,43.43341496025386,46.00608822888252,41.847486272667155,42.85810192419705,46.19388849938673,43.13188609818209,43.443491887606,43.45193638613542,41.36256190661931,40.4209094420922,45.330627962294685,35.849852054288284,40.96616707178111,43.56032447819221,43.52902877059377,41.524951194249894,44.04936089017686,47.769426304251766
Danish,37.52894800776934,41.49809757393667,45.55925948189872,41.28223446880778,43.898298242844035,40.523124659137245,39.66143201832855,41.245170980471,41.458505924599805,0,39.29118595697361,39.8077935933385,39.244453115273565,39.24269119904018,38.869326587380016,40.97818553686299,41.070918577295124,41.62192434531798,38.89176452625109,38.0734036691557,43.96385771563329,43.75062034836928,49.64460373928307,41.4617203233247,40.26299474248564,43.34662815399053,35.6963386194491,39.79636388218741,43.88291255124885,44.60003479268687,40.68081752071146,41.2190633252732,42.40137271025835,41.46232700404406,42.96204213110061,40.35233919390202,40.47276797343054,41.17416395393291,38.007794420554795,42.20072268200361,40.96130253257023,44.99229423589072
