,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,33.95790540277496,36.329394590685396,33.82115103419774,35.092986737618055,33.4867936260872,32.989966707581296,33.38863280198624,34.040050765278366,31.837815818252228,28.311120599209552,32.83795356436498,32.336203473810116,32.3476247635491,32.26788365159362,33.35495110120368,34.039476288017575,34.248008429378835,31.987811692346863,31.81879551671449,35.632132510214745,34.91715858226904,39.76534061147491,33.79638280646421,33.320977936075536,36.24652722081357,31.223890238618843,32.80157668748375,35.923190350125715,36.126847477480624,33.3045358966006,33.73003952116022,34.34528839890542,33.47868625925954,35.43658449840975,32.72501384814394,33.37730264006171,34.15002080590721,32.196427338261614,34.31337200522002,34.10183965121927,36.409520704286955
Albanian,33.95790540277496,0,37.257445882344705,34.991455660672024,36.020222766875825,34.63095880749774,34.72376759106166,34.74125835544221,35.16764188684295,34.410530903242844,35.06624968608208,35.74412743433319,33.83359224258506,33.97166185150402,35.082979423579964,34.31087017490483,35.933573424159206,35.67461352054298,34.60670662668834,34.03913087970394,36.30932834303674,36.112880058409495,40.48385594382338,34.65003120084295,35.11545226494476,37.172189205334135,33.859655538930525,34.7654602734393,36.87056406693434,37.047376559253344,34.86196706043744,34.744198024367364,35.10282121552841,34.62613389191008,36.17029454531838,34.37255953645955,34.82224433419705,35.186512534145066,34.662768561764615,34.87817046025149,35.39258192338852,37.705207105003815
Armenian,36.329394590685396,37.257445882344705,0,37.74639549954824,38.00578374530037,37.53608451024025,37.309069650979644,37.39403922727877,37.57968879407205,37.21704722397597,37.32655470036234,37.9096315925379,37.239555486276814,36.198287451281004,36.918391862369546,36.86464431558379,38.156345606201924,38.60960808973785,36.91458409909335,36.362003814165355,38.41681260754258,37.93259553709349,41.33249484322444,37.305100852936725,37.8137179435926,39.63537303292932,36.64183431468767,37.23482997853792,38.41212191579361,39.32534237822481,37.271121770808385,37.17936012157005,37.58004916215767,36.96554750919606,38.12299686995805,36.71323774709961,37.94721430468259,37.77577966027909,37.21548032330172,37.69294246576206,37.96309290010504,39.41024274529993
Bengali,33.82115103419774,34.991455660672024,37.74639549954824,0,36.12514617462918,34.55757774461944,33.805676150834344,34.68202658005482,34.77929045325478,33.66982214090046,34.460428767982044,35.07315603275722,33.4844587794842,33.6560425261245,34.31396164004664,34.10733887337453,32.30890775877099,32.36129845085071,34.83457432619946,32.98938543498682,36.085499043838745,35.83261031703053,40.04893923040132,34.568486366766884,32.16584272084226,34.50769492541054,32.99960558374048,33.84457327666374,36.70087106930244,36.20145361654574,34.00791998453341,34.39575657920914,35.27067765147848,34.48228601248073,35.8247227088897,33.612949721870805,34.16970543038315,34.778474795665474,33.92003502049625,35.17403015245567,32.08275603991562,37.5621322818867
Bosnian,35.092986737618055,36.020222766875825,38.00578374530037,36.12514617462918,0,33.2272566894034,35.620318598356015,31.10974661153564,34.16295934468882,35.84657884033162,36.084541219271195,37.20158407696609,35.316683102618356,35.067086319458454,36.32613416818419,35.16616976502603,36.38982805934305,36.47907529201586,35.1852128030844,35.37664634730071,36.64921481738653,36.05032029162212,39.66052011188106,31.430841592604374,36.117273713449265,38.82353019130448,35.00371904395413,36.19938636578438,37.66027426922159,35.414985789231174,35.34346641457961,35.4014583642215,32.492291688400506,28.436911281250662,37.231693759315164,32.19220851132015,34.266831624836605,36.393571404540076,35.22344673596069,32.86822293949283,36.0730336156455,38.445830430020685
Bulgarian,33.4867936260872,34.63095880749774,37.53608451024025,34.55757774461944,33.2272566894034,0,33.42330222968372,29.883003376699424,32.30422947011989,33.21712403404521,34.23361497331314,34.678816977785026,33.36848305820972,32.918887214665965,34.07558469971873,33.749585424861976,34.4894950516505,34.77127188958012,34.100914199285334,32.92357198353172,35.049810958635184,35.589103005391834,39.64588259540349,30.931106764563797,34.17540797672098,36.944765264104774,33.2053260769748,33.86978884575124,36.35415653443167,34.84432207340982,33.81036615420266,33.93707152627551,32.62366265634396,31.25383663186616,35.54987867919441,31.403333316093594,32.32939503263595,33.91989800470286,33.618514254779235,32.67453501090889,34.51617181909704,36.035207951372165
Catalan,32.989966707581296,34.72376759106166,37.309069650979644,33.805676150834344,35.620318598356015,33.42330222968372,0,33.15376881794229,34.28507363772381,32.699034737974166,33.88729035623681,34.28407184991724,31.522454115315444,30.504318476847427,33.9850716751928,33.60933351195033,34.09108797437307,34.150764638712154,34.00078511867544,32.42683345005045,33.2594267520908,35.50981422948048,39.950500322739124,33.73690588290006,33.3791148630978,36.92196843218263,32.30686865376648,33.80185785488032,36.66827514239005,36.41341844612643,31.3366873287669,32.64145032373596,34.45027008526809,33.8172392538225,35.56222295415001,32.89820394603461,33.32862849011032,31.504702299772593,32.95785746497352,34.414874341616816,33.96253893866046,36.40169959755651
Croatian,33.38863280198624,34.74125835544221,37.39403922727877,34.68202658005482,31.10974661153564,29.883003376699424,33.15376881794229,0,32.05309427526643,33.47988133801422,34.500160710825256,35.0365290427837,33.28415419437788,32.87105805701133,34.54978844084974,33.99569237080308,34.79190355327504,34.843199499493004,33.928195821925875,33.01598101714331,35.09175526015816,35.47815454151256,39.37006332888646,31.031819116888457,34.16686016740806,37.53210124843414,33.037314878206935,34.041089958747094,36.22064074824317,34.42888335417045,33.66662029582593,33.95292836249892,32.31717558968949,28.871195123069036,35.62839981970915,30.72499631870168,31.091638729778868,34.44407224944811,33.552346902304066,31.913109951335603,34.44578165689807,36.417153026305414
Czech,34.040050765278366,35.16764188684295,37.57968879407205,34.77929045325478,34.16295934468882,32.30422947011989,34.28507363772381,32.05309427526643,0,34.08441781157148,35.199960659473184,35.851371352132304,33.93146565457259,33.73043203970509,35.24463292920712,33.86197144760839,34.84813161916788,35.25356915808593,34.52972303481457,33.86840420783188,36.06072412780286,35.39381014395789,40.30714331376125,33.317740159563044,34.72548558631674,37.68774904640452,34.03583936827977,34.58538484732669,36.79745910997316,35.03583313949091,34.56542507078813,34.47977998287576,33.10860730168439,32.50742524124476,36.36127884766836,29.826166599896975,33.55580474219311,35.29032564667562,34.635856181332386,33.18838171050725,34.754061955738926,37.15356634461876
Danish,31.837815818252228,34.410530903242844,37.21704722397597,33.66982214090046,35.84657884033162,33.21712403404521,32.699034737974166,33.47988133801422,34.08441781157148,0,32.28459298465213,32.63145736909032,32.70330547620169,32.39153795320301,31.456205329746158,33.4658847484109,33.38622738806093,33.96680132141019,32.252468655202414,31.43142315593873,35.24322733648187,35.66336757315051,40.12685696045903,34.1127327348018,32.819936784071835,35.789830847161234,29.872725311382535,32.83613254521264,35.8879723052918,36.36814730129274,33.30706393890999,33.536160732298725,34.75720329461881,33.9233321155209,34.98417233060738,32.759693984547745,33.42258347656173,33.82421400323257,31.748736087836477,34.481958120458394,33.478514477510444,35.82877940310985
