,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,5235.8025168614295,6941.07665226679,6267.846985198136,7133.789327555244,6870.49502407386,7168.230448580694,7428.19668371908,8345.88407946353,6328.39043934388,5455.892040672588,7255.136707202263,6575.655583446096,5248.376987120868,6088.660789198735,8216.053861813632,6903.997172635063,7971.656032069569,5099.570289607079,5955.742587146611,8162.570269432456,7758.313552912427,7046.315169835445,6320.262843923096,6426.230287319478,6286.358384434724,5569.948619661382,5669.144359061723,6076.964991084373,9016.072545231835,6871.306866096578,7259.794587059553,6704.916365290501,6395.970650167121,5544.437953753418,7337.2252185361285,7956.3401491205595,7984.320527119542,5795.728128259544,6772.917411974376,6531.904951116167,7893.151514918541
Albanian,5235.8025168614295,0,7007.824542799744,6239.421567687046,7363.775148619002,7307.464340546817,7660.464999799735,7843.263301939185,8780.419064179256,7411.657602801969,7464.689266368391,8825.669305213449,6970.73167658248,5345.268339699599,7245.217221752611,8382.231308835644,7119.845263208414,8364.145100614298,5933.351765403301,6057.852525892368,8742.82976012594,7897.710700071156,7207.149709650315,6535.7600400086985,6626.952989300853,6159.740823172816,6709.466447644873,5690.987455000117,6108.414528425699,9339.38730948639,7102.893089884408,7656.6109080094,6802.42452146134,6693.919018136844,4963.616248395976,7525.712149034807,8598.023465038748,8263.307105589534,6809.368707659117,6844.846815847429,6637.274284382395,8315.2640575531
Armenian,6941.07665226679,7007.824542799744,0,7511.739198679311,8027.722398336452,8231.186602511552,8380.73334328026,8285.735660893291,9272.748790876958,8551.960375093859,8447.52188094412,8944.683273529792,8033.9794772031155,7122.5341717811925,8115.217729195788,8786.088259416887,8070.791504888935,8842.835954266997,7050.833829665979,7651.763828833653,8986.703812627029,8471.699523281683,7742.043665240851,7497.744530771589,7838.738650410852,7391.931116333253,7797.6969198940415,7022.425428321139,7227.935753751385,9575.947426286992,8066.548794945599,8332.677883108528,7826.921168292512,7536.417792294023,6960.48100318249,8384.167768437244,9041.885073451462,9028.778738581193,7681.578719282788,7735.953409649494,7615.4034116113435,8442.791852984183
Bengali,6267.846985198136,6239.421567687046,7511.739198679311,0,7956.295999700762,7371.156273142048,7463.065323355423,8005.995972398741,8685.461922539429,7910.5566447489955,7506.247872914588,8153.274333086036,7223.640060462486,6425.312826803057,7478.867402767092,8092.266441751565,6156.584155329818,7003.2930175254805,6688.892451709657,6666.023289157473,8518.075693241066,8532.84634204999,7569.65233354082,7009.300561104814,6060.239417705162,5929.649371476674,7178.519219239902,6501.693503107911,6848.418944119259,9087.219020785149,7085.95784218507,7867.730574198173,7521.6955392976815,7124.967148918344,6310.6541963063755,7844.034338981284,8704.313396193056,7775.54679909337,7100.991354990263,7400.56156187192,6002.387233678737,8174.323146978756
Bosnian,7133.789327555244,7363.775148619002,8027.722398336452,7956.295999700762,0,6926.904965779841,8765.351391083726,5835.138836062294,8218.238476062876,8563.96643171282,8469.016645888736,9395.411437032375,8159.279174991167,7426.783473453065,8463.528085692002,9220.852805321956,8648.330096623878,9306.653964121475,7515.903772573195,8079.368518329709,9140.420884290825,8173.64187494835,8052.055412815785,5565.3630675651875,8317.920973110873,7757.759583107497,7698.3880432496935,7607.426587487806,7733.209017925413,8288.206759640168,8359.533212495338,8703.605795692023,6294.619519865957,4493.8502656624005,7422.409848742508,6842.703581109794,7282.132793093709,9143.346613326421,8042.112970710567,6366.0588461019925,7948.602016590804,9118.268246883355
Bulgarian,6870.49502407386,7307.464340546817,8231.186602511552,7371.156273142048,6926.904965779841,0,7676.946067773439,6251.856674031109,7545.198913698327,8013.807214759171,7877.555094987644,8222.431281752053,7577.324120047491,6682.244661542728,7878.918944831947,8307.102533064857,7767.93533360262,8371.934845334381,7106.365178252456,7471.217845738222,8166.30770448174,8866.922163439538,8204.690339920091,5475.506671424604,7430.327719840408,7829.803532404214,7519.81433993699,7193.249859413146,7574.300848168541,8495.728473520807,7705.85482878251,8058.034684373021,6580.0051108171265,5911.952179842408,7241.722093421997,6866.319132458158,7321.287622417393,8142.20345305781,7583.573068595752,6647.268151700731,7376.36913498149,8091.11189219988
Catalan,7168.230448580694,7660.464999799735,8380.73334328026,7463.065323355423,8765.351391083726,7676.946067773439,0,8281.423397358354,9189.480847144267,8227.698346065414,8074.106867055672,8187.456730299601,7192.724528719684,6087.7606917596795,7957.948117459652,8362.018547354535,7637.461794474786,8272.341443275725,7412.618101867391,7404.017655199365,7149.6511160090795,9548.503474912137,8494.754736944291,7647.864680138106,7382.689170897253,7996.834265354087,7538.8200948713,7597.914031842717,7864.62241597071,9780.060174187192,6377.653166383368,7669.183536619374,8194.838488830062,7804.369603770574,7582.436465731251,8383.642764852684,8908.349731991739,6391.363666008247,7615.479021007081,7995.9231687617,7588.955152957131,8300.869633253951
Croatian,7428.19668371908,7843.263301939185,8285.735660893291,8005.995972398741,5835.138836062294,6251.856674031109,8281.423397358354,0,7357.485708169198,8423.272633283717,8378.080988610709,8872.715123151966,8161.493786814388,7487.978155314098,8345.333549922796,8936.366078566825,8330.177441113769,8887.116213541593,7642.155271415186,8073.351233766311,8765.119131571566,9432.37823665687,8340.166481647982,5977.194043687899,8053.965113064797,8098.4928014833295,7974.04342623294,7667.093675771076,7949.937805861474,8517.461298770813,8168.160543486513,8648.75823011933,6924.150425647356,4992.155256621803,7778.076179324239,6580.891113318275,6827.817508836714,8697.585081422434,8105.970991562347,6692.699655013154,7916.339028742757,8655.06823332122
Czech,8345.88407946353,8780.419064179256,9272.748790876958,8685.461922539429,8218.238476062876,7545.198913698327,9189.480847144267,7357.485708169198,0,8819.731039901197,8884.270475970181,9757.619635966386,8931.251975688143,8432.355414913645,8924.655034457453,9606.688126708132,9172.008073671019,9680.800214391389,8496.151338767184,8726.084114111134,9511.486947286223,9892.515754129807,9406.768482298286,7577.422217180093,8952.079083641363,8795.223877417024,8720.34299283807,8457.471645517322,8719.526355067996,8588.439624205424,8784.76396443277,9441.889928626033,7790.445883129664,7371.546170597539,8856.976191331913,6224.807433040231,8004.808192210936,9374.553015926373,8985.607906528669,7335.681810050953,8685.799016318622,9345.653712932011
Danish,6328.39043934388,7411.657602801969,8551.960375093859,7910.5566447489955,8563.96643171282,8013.807214759171,8227.698346065414,8423.272633283717,8819.731039901197,0,7409.017980927035,8500.295328154554,7747.231565522412,7069.825189669238,7257.009935107003,9116.927201075496,8357.263928346081,9133.659333608815,6276.61370250854,7475.829567674105,8832.112110085112,9364.175385056895,8826.493687676397,7784.6142428851535,8076.283592022232,7841.9351535463065,6043.292266832889,7440.634745194828,7778.027647089646,9833.313531077565,8183.478386299147,8575.42714049964,8163.794437244693,7922.378427061419,7413.293060122666,8358.220896894569,8657.511864509333,8856.014230089944,6695.721619268726,7936.336314557974,8036.956738373586,8682.311430451704
