,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,28.021694672306413,30.182253706964026,27.973648049527533,28.4619283568566,27.05883158376092,27.310852783304593,27.097098870357147,27.987921011315606,23.040272697268733,19.27802930358905,24.762398472967213,26.855393870984727,25.544866188112415,24.370078796503744,28.679967635141928,28.481195658642687,29.040732281167564,24.01192089213482,26.271467340501793,30.255382920776434,29.44052770352504,33.642874257439935,26.733706916221895,27.19553862888485,28.516326318951098,22.61766718359115,26.363059731126345,29.047073796528203,30.62556485440399,27.015655342456544,28.258371222001653,27.62610245406845,26.408178281792054,28.296938525020973,27.0479302059531,27.36149824327325,27.828803244735525,24.01814611108119,27.561370370553764,27.85070283551697,30.819734029197814
Albanian,28.021694672306413,0,30.751737049709167,27.871137572481313,29.89585025867941,28.111518916902448,28.48053303407607,27.916867029533115,29.583910786006108,29.03233050567101,29.40269661025591,31.119928468116978,27.479505108471344,26.234205461893943,30.327905121771618,29.17334280923716,28.85449448050549,28.819836262082358,29.120578451106557,27.98430006343643,30.979170345389406,31.397287923098485,34.12853589045033,27.654202490193995,27.336471997143732,27.658718415938242,28.517576719303463,27.057438402439534,30.03678494907158,32.11308953853536,28.42647016069408,28.623032546812585,28.67258983262104,27.62261518104949,25.950954406589506,28.274653201007393,29.128975126329404,28.525316215038377,28.92167025692157,28.01525398246098,27.66211501696375,31.988635030903236
Armenian,30.182253706964026,30.751737049709167,0,31.05983436871882,31.47677912490416,30.708576265199444,30.824893540466473,29.97670119075533,31.543827102944185,31.38342504586771,31.473479044487284,32.446960478360836,30.91593860351631,29.651241948623138,31.169573550328156,30.420529615897795,31.778183432400443,32.13488562432429,29.84114964755617,30.050234030433614,32.35165294598406,32.28137742486563,34.378785858404235,30.351136278539627,31.01310447342622,31.47675510067126,30.803964990618358,29.765655268205993,30.678896409114355,33.53218283352175,30.826959089144026,30.705264701617693,31.171492378804384,30.35919753792418,30.513846180919366,30.763746567459698,31.605056662008664,30.973894838227825,30.75889622288637,30.83968719316246,30.95258622006655,31.969356748057997
Bengali,27.973648049527533,27.871137572481313,31.05983436871882,0,29.591752238585432,27.39680332676223,27.85066945744782,27.86744851669132,29.301117043477436,28.781347670104175,29.024880860560486,29.711140632454807,27.720437810146358,26.791630012437253,29.80092846440252,28.40104004845584,23.053077432093236,23.041332754782875,28.987044404936725,27.689629042449305,30.232677356906716,30.987156532185953,33.567133830242746,27.3944296517783,23.26568133032613,23.38370382989462,28.304361816953243,26.75493505251295,29.69635190051059,30.823822536100817,28.01405614122101,28.633367544409303,28.781345296118047,27.443116276072022,26.832940012101897,28.370368951474155,28.55233750011487,27.523653543017947,28.305837946624518,28.397176980147748,23.641692139863867,31.56950663380345
Bosnian,28.4619283568566,29.89585025867941,31.47677912490416,29.591752238585432,0,22.75887570002514,29.581080408648905,17.93003326948154,25.393125098968152,29.7804713806867,30.017654406528237,31.547907451751733,29.42551200991094,28.250091709606544,30.61379979137975,30.19999567606699,30.691781840053853,30.898031241715604,28.79630717219526,30.076433861492756,30.476224088680706,29.513039337836855,31.899605185865724,19.98948997238067,29.89647182194168,30.546514016989022,28.66955788471216,29.581796768899803,30.60377908394969,25.75686131412994,29.513307292422493,29.181874988708405,22.939636430111534,15.376006529501868,30.101373839419672,23.069965266407962,23.17858914639788,29.088464004946434,29.2706031599567,22.669169172372538,29.626803060133547,32.48588119333865
Bulgarian,27.05883158376092,28.111518916902448,30.708576265199444,27.39680332676223,22.75887570002514,0,26.69981732840192,19.80913664452237,23.8942825541965,27.44118810110202,28.046453186155425,29.037847092853493,26.930682272150957,25.877731806007024,28.913616360542097,27.59691544490148,28.443336990529783,28.25933884410463,28.07030905585365,27.46051144327551,28.01302570502202,30.11502301118241,32.11856758919668,19.664541325334042,27.358168797544533,28.59355837988923,27.264943271835108,27.446418835586805,29.410258252915387,26.328147395895805,27.235747327356815,27.42358675636113,23.659884418454418,21.02538114458473,28.07157387958988,22.86617022091029,23.182391599716542,26.161370407056097,27.652492875389143,23.34674585868092,27.38829906567808,29.50233516486105
Catalan,27.310852783304593,28.48053303407607,30.824893540466473,27.85066945744782,29.581080408648905,26.69981732840192,0,26.806526356905138,29.243714529010017,27.514749701285698,28.23755527613299,28.326177149834535,24.365190972561425,21.34584608999207,29.040800829332056,27.619335952202764,28.48429672680844,28.68735737779116,28.57750537802359,26.697122545027913,25.090829291938547,31.786867298424472,34.20366983831761,27.666074295398793,27.39885561704625,28.949186526382363,27.26759985742133,27.789940298465524,30.273844641968573,30.90879266916414,22.955184594896277,25.261475309115255,29.025429155820785,27.63649425022675,28.61568406601878,27.507773296349388,27.69778044654497,20.870983374277337,27.498253941379403,28.289026330600553,28.395775449764514,30.281531998242837
Croatian,27.097098870357147,27.916867029533115,29.97670119075533,27.86744851669132,17.93003326948154,19.80913664452237,26.806526356905138,0,23.183444865960933,27.342432589370073,28.33188283419547,29.47909137606564,26.999213526356577,25.858401111685545,28.91844440384437,27.643186161399274,28.697486241987924,28.630422720541986,27.82920211481328,27.56483366820202,27.875725140131998,29.93590628933831,31.504473674086853,20.333442878263018,27.576184289901104,28.565032980925558,27.438650611804114,27.061352085176498,29.10836459695688,25.529281870465216,27.8048649618374,26.843083281592303,22.947795043803932,16.441605327447522,27.620957926568316,21.64445869942852,20.9473021196664,26.710955980331327,27.711988397396155,22.246034931981672,27.93153603611116,29.779145152235834
Czech,27.987921011315606,29.583910786006108,31.543827102944185,29.301117043477436,25.393125098968152,23.8942825541965,29.243714529010017,23.183444865960933,0,28.18501089858336,29.169074395889936,30.322344155629924,28.56353231841149,27.92966726105177,30.289572975536732,30.179087540807075,30.45279586044294,30.728236370951848,29.1051274419196,28.66308511113852,30.9124536793899,30.182139595353572,33.35412929143202,24.7989550569702,29.43185011326117,30.132458601289798,28.34942000683295,28.84625583781327,30.81782159718131,25.63290300955399,28.923322378085516,29.51058035634185,24.549181627370462,23.54833916382477,29.78772909314734,19.04321409953192,25.287065809574873,28.743262098658306,29.379029449918235,24.009553596181018,28.985052799513564,31.494210127533055
Danish,23.040272697268733,29.03233050567101,31.38342504586771,28.781347670104175,29.7804713806867,27.44118810110202,27.514749701285698,27.342432589370073,28.18501089858336,0,25.560144657346694,25.362840566690295,26.728134885952333,26.148431152254137,24.622025755572736,28.79675574355413,29.20047674792106,29.627426941938477,23.38916301980668,26.008175064848732,30.035766643306427,31.231992906141645,34.81652494982594,28.16812879372478,27.96609238655239,28.85081302153827,20.63676120496284,27.400873408818214,29.857326538612917,31.416897915023558,27.994231596609897,28.215223429393603,28.772517414772263,27.869502795075714,28.778484758421733,27.26965178868386,27.53434217498324,28.01493412309077,22.593131911744464,28.39176497360041,28.465516063511867,30.434623771681593
Dutch,19.27802930358905,29.40269661025591,31.473479044487284,29.024880860560486,30.017654406528237,28.046453186155425,28.23755527613299,28.33188283419547,29.169074395889936,25.560144657346694,0,25.500271911850096,28.155872956298698,27.71161536351782,23.409744813538843,29.291682302604187,29.135425560431347,29.717457744551442,26.10437727688694,27.70401496842871,30.895893092931463,30.97263332258112,34.431747198837805,28.377956838150475,28.22121889291533,29.90100835938981,24.709914091104146,28.410324528893614,30.038660930240003,31.401173369759004,27.9945547691084,29.57437337569174,29.649957621149188,28.411082393371387,29.952105889907827,28.815416172429682,28.879510876102668,28.52078292529015,25.45330453787635,29.43788748866846,28.825080718522457,31.273032786934163
English,24.762398472967213,31.119928468116978,32.446960478360836,29.711140632454807,31.547907451751733,29.037847092853493,28.326177149834535,29.47909137606564,30.322344155629924,25.362840566690295,25.500271911850096,0,28.994126821496067,28.786625834122052,26.855885916857016,30.883542780905664,30.025284151779537,31.23341940440998,27.65747847954015,27.71086582475525,31.24849639172513,32.472979555494085,35.41166712670207,30.160630860769693,29.512486183720217,30.64712674269968,25.84714531044547,30.02689797217343,31.486275373504043,32.50008224596801,28.94943869639442,30.412978844282286,31.07747289048517,29.860910108225163,31.909588879093306,29.534773177525665,29.7003741460567,29.208927975921682,26.24343707268208,30.556705902693114,29.732379322279847,30.865545696359586
French,26.855393870984727,27.479505108471344,30.91593860351631,27.720437810146358,29.42551200991094,26.930682272150957,24.365190972561425,26.999213526356577,28.56353231841149,26.728134885952333,28.155872956298698,28.994126821496067,0,23.81290098270051,28.568742176860322,27.884437510576802,28.866424767654973,29.08036205326027,28.148605904624684,26.372962503375323,26.505817444346896,30.8547720554501,34.29322728288985,27.6829648080785,27.357036241774342,28.6217385081114,26.938000125351916,26.944261681125223,29.777515765428713,30.928045150026822,25.211443472384858,26.241345889471077,28.67677757358072,27.445808821773674,28.231290386405018,27.516808504224954,27.805144197976624,25.234461418224978,27.957224790560225,28.069099757670664,27.937857946790864,30.408021884713925
Galician,25.544866188112415,26.234205461893943,29.651241948623138,26.791630012437253,28.250091709606544,25.877731806007024,21.34584608999207,25.858401111685545,27.92966726105177,26.148431152254137,27.71161536351782,28.786625834122052,23.81290098270051,0,28.5315517822882,27.366060833500676,27.80358801562969,28.287186688381663,26.558823392104294,25.775164566951563,24.942155437862016,30.063964396349952,33.38566452479444,26.035524282116686,26.454384096274875,27.21981635864914,25.817229229761907,26.266427144710242,28.722302378957174,30.537777232994006,20.4101028063097,24.757773397020387,27.38230381614832,26.079116968682296,26.100150297040415,26.412814696247487,26.849125227576216,18.172871345262443,26.5097554486392,26.83856817661938,27.24470945883642,29.8598893329713
German,24.370078796503744,30.327905121771618,31.169573550328156,29.80092846440252,30.61379979137975,28.913616360542097,29.040800829332056,28.91844440384437,30.289572975536732,24.622025755572736,23.409744813538843,26.855885916857016,28.568742176860322,28.5315517822882,0,28.908682049180047,30.021432997165853,30.351384908570118,26.7216481326934,27.910827268761313,30.151436810952532,32.062577300519145,34.972230754357646,29.62774970860907,29.345188372508844,30.27415197604753,26.307574349170338,29.208737707972517,30.511275455098147,32.19066765641177,29.482647192328173,29.433585370268318,30.774513041749117,29.32921103825442,30.989497141834217,29.43455025736662,29.53174589018865,29.06379583401096,25.67133854528628,30.104192519633166,29.806770288559783,31.161325726052915
Greek,28.679967635141928,29.17334280923716,30.420529615897795,28.40104004845584,30.19999567606699,27.59691544490148,27.619335952202764,27.643186161399274,30.179087540807075,28.79675574355413,29.291682302604187,30.883542780905664,27.884437510576802,27.366060833500676,28.908682049180047,0,29.045957708791278,29.05382869552531,28.53985579266573,28.19392577618791,28.94439857150379,30.966093882641786,33.36277869793152,28.62375494483737,28.680642877181842,28.793336076396056,29.218082560060715,28.260756197678614,30.532480230848808,32.072389516333175,28.520003709880875,27.682941848220047,29.10077068341711,28.656206063844092,29.10841874771412,28.76320073036375,29.15392442932181,27.31802325510409,29.3557726528948,28.330299709144033,28.96938886885935,30.528136895709327
Gujarati,28.481195658642687,28.85449448050549,31.778183432400443,23.053077432093236,30.691781840053853,28.443336990529783,28.48429672680844,28.697486241987924,30.45279586044294,29.20047674792106,29.135425560431347,30.025284151779537,28.866424767654973,27.80358801562969,30.021432997165853,29.045957708791278,0,21.56698161551923,29.76291845131547,28.3011595795436,31.191870640000264,32.536842073471355,34.139754709516566,28.600074352235897,19.80300766447905,24.172440438433807,28.82608076947554,27.21190197489956,30.55055363730722,32.07315752489782,29.354913258142222,29.711235325819846,30.31008705336758,28.85941673237445,28.431550919897116,29.393170153846366,29.661772426466438,28.25735557011781,28.716023955460585,29.58355926512846,24.00488534804205,32.16285023163885
Hindi,29.040732281167564,28.819836262082358,32.13488562432429,23.041332754782875,30.898031241715604,28.25933884410463,28.68735737779116,28.630422720541986,30.728236370951848,29.627426941938477,29.717457744551442,31.23341940440998,29.08036205326027,28.287186688381663,30.351384908570118,29.05382869552531,21.56698161551923,0,30.056840069205972,28.48297224085459,31.18644120429302,33.01021592931131,34.71901681017738,28.35331200476689,22.38608764244737,23.93280901660123,29.24021049433795,27.039523583402907,30.174072585064376,31.806880927971505,29.24828406988203,29.131920670802913,30.435750415159788,28.888394332769465,27.794285967165568,29.361018449521737,30.031971135361832,28.31533525827906,28.98542883400142,29.389010969080974,20.23427318306218,32.56165128621391
Icelandic,24.01192089213482,29.120578451106557,29.84114964755617,28.987044404936725,28.79630717219526,28.07030905585365,28.57750537802359,27.82920211481328,29.1051274419196,23.38916301980668,26.10437727688694,27.65747847954015,28.148605904624684,26.558823392104294,26.7216481326934,28.53985579266573,29.76291845131547,30.056840069205972,0,27.74446301577272,30.448379039647627,29.315720925264227,32.71148363545392,27.682411638081376,28.736764822898483,29.833847771709905,23.026070887836006,28.241060905335903,29.293822554242944,31.179651717105852,28.384742419520045,28.470464724352077,28.084742412381832,27.342464228012037,28.714302703610397,28.286065151291314,28.87601114814759,28.506701920241284,23.848065681419317,27.875607624552163,29.057311008345042,31.305818537550973
Irish,26.271467340501793,27.98430006343643,30.050234030433614,27.689629042449305,30.076433861492756,27.46051144327551,26.697122545027913,27.56483366820202,28.66308511113852,26.008175064848732,27.70401496842871,27.71086582475525,26.372962503375323,25.775164566951563,27.910827268761313,28.19392577618791,28.3011595795436,28.48297224085459,27.74446301577272,0,30.11601809260007,31.564870427122138,35.11620628803106,27.695059605547964,26.823387685961272,28.464064402480144,26.884713449616676,26.079718095186987,29.649410236488535,31.273065195574905,26.43423420914592,27.891263167437852,28.83391967052863,28.09728163005013,28.029854450765335,27.39320594069713,27.986969074167675,26.399868768698493,27.385050233071095,28.576616190162348,27.55336010158264,29.096235438744863
Italian,30.255382920776434,30.979170345389406,32.35165294598406,30.232677356906716,30.476224088680706,28.01302570502202,25.090829291938547,27.875725140131998,30.9124536793899,30.035766643306427,30.895893092931463,31.24849639172513,26.505817444346896,24.942155437862016,30.151436810952532,28.94439857150379,31.191870640000264,31.18644120429302,30.448379039647627,30.11601809260007,0,33.46538024219819,34.53576910902005,29.389492018774522,30.502102803829583,30.834404373684986,30.167002295935898,30.671050116694847,31.58925740610551,31.627762445845644,26.391316049330925,25.543222859418716,30.173725785873444,29.019400053894834,31.56251943093904,29.342686706244518,29.620725836976987,24.425543980487284,29.94708477859551,29.519810346841755,31.17671369207516,30.38868536902126
Latvian,29.44052770352504,31.397287923098485,32.28137742486563,30.987156532185953,29.513039337836855,30.11502301118241,31.786867298424472,29.93590628933831,30.182139595353572,31.231992906141645,30.97263332258112,32.472979555494085,30.8547720554501,30.063964396349952,32.062577300519145,30.966093882641786,32.536842073471355,33.01021592931131,29.315720925264227,31.564870427122138,33.46538024219819,0,29.466861658425927,29.1688762074707,31.492752842789645,32.782891015340304,29.91972714079117,31.256873522425412,32.63215218899011,31.232288569342685,30.357883444317352,31.82266100417862,28.659325011451912,28.568638446804993,32.342206511812485,29.15117157609687,29.97949575216086,32.24504339225818,30.618576283046252,29.548244023996613,31.247354443530924,34.14405384506378
