,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.8475964821876218,0.9393653060322356,0.8459133295470751,0.9331184543509479,0.8492990253931846,0.8535899779249252,0.8587718704561779,0.8559770775823559,0.8291851128677126,0.8502005388047471,0.8737692342700025,0.8302159938817063,0.8220441963889474,0.8677675086579529,0.862216790733832,0.898262327183268,0.9019176810308062,0.8696717435063378,0.8112795306738588,0.9166474344352442,0.9412518908672579,1.04552888928097,0.8679957411616582,0.8600601254323014,0.8924490886089839,0.8267622695427581,0.8463870467596064,0.9141613640283117,0.9661582813174209,0.8488558478626587,0.8710336525523138,0.8913172714487367,0.861465458237858,0.8550427641283386,0.8549477552855026,0.9049689547715865,0.8402691218047778,0.855214462273478,0.8823055160324471,0.8342392228667413,0.9309278649962142
Albanian,0.8475964821876218,0,0.9325334152498871,0.8378964368468401,0.9174284135523768,0.8312351521020429,0.8512390387565548,0.8392189477008823,0.8354012787751393,0.8252633640482934,0.8679227172147955,0.8709763963366934,0.8182426037740754,0.8072732067209463,0.8726106243416664,0.8571154411839174,0.9021988767596951,0.9080383747201497,0.8764123693320129,0.8064038595274167,0.9074739587244225,0.9296602876985118,1.037171603121205,0.8515190424024187,0.859502537253615,0.8855467005260025,0.8188962445515595,0.8480502302996598,0.8967330231356289,0.9591959565354875,0.8340737141997115,0.8568083082526342,0.8706755493843931,0.8432555669241657,0.8312518813229177,0.8377176850253449,0.8940817248203281,0.8192690369238261,0.8463476698101451,0.8581402233007629,0.8169373648868706,0.9208542563990322
Armenian,0.9393653060322356,0.9325334152498871,0,0.9315897187530546,0.9997502043927314,0.9412824810215258,0.9468348939095441,0.9423378267942625,0.939530838724996,0.9380948039508342,0.9569413892615865,0.9657824967517634,0.9259044616605839,0.9152838353053554,0.9578427578127205,0.9434770416081123,0.9829952823628052,0.983729657595017,0.9563417199523557,0.9156397635991482,0.9824357843314501,1.0062880847451936,1.081752069852381,0.947457096985083,0.9493078670474078,0.9624837119232946,0.9366402609035709,0.9389365373172223,0.977547964251459,1.0278813440360606,0.935736158681032,0.9539949913083726,0.966456690335786,0.9423442720924547,0.9273577722652538,0.9447626454195347,0.9877046255766573,0.9206149228717724,0.9442306482496637,0.957433227617002,0.9200695182333364,0.9912409294062631
Bengali,0.8459133295470751,0.8378964368468401,0.9315897187530546,0,0.9148528113161448,0.8325544413656513,0.848279596338815,0.841103917061323,0.8447016043936024,0.8269693399136959,0.8670416423761448,0.8674968396508562,0.8174931331287227,0.8176428823878603,0.870887526805292,0.8556755533607884,0.8897923281094196,0.8933802037095402,0.8754399049195206,0.8086896571949083,0.9039278927075821,0.9268547167932527,1.030736162276517,0.8523214734093549,0.8505694105231975,0.8698543556816928,0.8231060745800517,0.84717405262431,0.9031078912661936,0.9564375923582111,0.8381333541497005,0.8594671329844171,0.8747636940006291,0.8463948189780789,0.8428240455344108,0.8438075514974287,0.8933313089770828,0.824572319681047,0.8467519482580518,0.8650076140153005,0.8125690695655146,0.9167432820355013
Bosnian,0.9331184543509479,0.9174284135523768,0.9997502043927314,0.9148528113161448,0,0.9003434836398977,0.9279969788301321,0.8985056390132942,0.9113765846413001,0.9099555555201662,0.9419084979463314,0.936210427806265,0.9069516668043517,0.8992049129708419,0.9464673930305181,0.9299306619952422,0.9760132060563936,0.9782531540781116,0.9521934474243526,0.899954680446463,0.9635565100965667,0.9886923692395707,1.0761004189354206,0.9043190852279319,0.9428735717307033,0.94790929717478,0.9067133541783216,0.9376872107016561,0.9672190826147016,1.001170984846569,0.9173300574353029,0.9302735304807628,0.9241387486703809,0.8877756768200641,0.9236551993048269,0.9135831427704062,0.9569081133382046,0.9052606128597529,0.9237537929757705,0.9076889937429478,0.8979869260062852,0.9748691785519965
Bulgarian,0.8492990253931846,0.8312351521020429,0.9412824810215258,0.8325544413656513,0.9003434836398977,0,0.8469147243808031,0.8121830467969764,0.8223231980516073,0.8155927637020102,0.8597100082611394,0.8464391738650238,0.8137362566411158,0.8158647203834704,0.8681150267630076,0.8511224409201437,0.9009367373540029,0.8999351269213677,0.8769054698827912,0.8067708817861592,0.8894353732529351,0.919818287510517,1.0282484103233913,0.84060007405117,0.8606207588768352,0.8742977186402102,0.8151488885577943,0.8524968589543448,0.9005643442125252,0.9426911138705327,0.8332976700291302,0.8447435870831534,0.8632042389841803,0.8322249486131881,0.8368899369358243,0.8288307632050664,0.8877004183986401,0.8220235652936493,0.8398552189201078,0.8470232897009394,0.8147257559700052,0.9015102287134219
Catalan,0.8535899779249252,0.8512390387565548,0.9468348939095441,0.848279596338815,0.9279969788301321,0.8469147243808031,0,0.8571263599633816,0.856844363163083,0.8354295088736667,0.8738639421803176,0.8768442404731811,0.8267331627476543,0.8167135346953963,0.8794784333466698,0.8616795400382209,0.9049177858779776,0.9117419553301217,0.8870164729261021,0.8175169568242279,0.908690984928559,0.937286110608688,1.0442938708842486,0.8699783960803185,0.8675669536395322,0.8918977226738787,0.8308883548368665,0.8574551999565646,0.9155679688799485,0.9699368578301032,0.841472622375478,0.8633346710268419,0.8903554438863065,0.8606872979793279,0.8606765920875497,0.8555463721574826,0.9034619235390119,0.8278529565361284,0.8524498147166841,0.8796523798004982,0.8339320888972407,0.9309442736189567
Croatian,0.8587718704561779,0.8392189477008823,0.9423378267942625,0.841103917061323,0.8985056390132942,0.8121830467969764,0.8571263599633816,0,0.8297245471024823,0.8301878012825022,0.8678248963346206,0.8604439803736618,0.8233478957700948,0.823364284204425,0.8730475626263922,0.8589346057843988,0.907112319527517,0.9095551198824999,0.8861816307689505,0.8194389774773874,0.8939729833118315,0.9282184658379988,1.0279193987000845,0.847615451514778,0.868465133825718,0.8810819283492098,0.828079558234683,0.8639363926314978,0.9038526028399329,0.944483483463548,0.838779324703969,0.8577565225730257,0.8707145720670845,0.8326725865165817,0.8453442777711094,0.8377256462028648,0.8954492629525347,0.8297035723475967,0.849939166848387,0.8525778168464138,0.82399361925699,0.9096832276883807
Czech,0.8559770775823559,0.8354012787751393,0.939530838724996,0.8447016043936024,0.9113765846413001,0.8223231980516073,0.856844363163083,0.8297245471024823,0,0.8334175352396475,0.8665382263000171,0.8712684102305339,0.8240849194504162,0.8191547786066741,0.8696031241561946,0.8591054376619133,0.9074843014505113,0.9085689583156503,0.8816696341655855,0.8150087268061571,0.8990800988064556,0.9294758624737661,1.030168587079956,0.8544527720296549,0.8694421650375546,0.8829937459617355,0.8262480664250113,0.8598084874857852,0.8998014722539495,0.942695981410451,0.8385508757585719,0.857767581238886,0.8719662971228536,0.8432596916038015,0.8468882848927551,0.8320088217926892,0.9018255359061823,0.8293984552742895,0.8508547427864382,0.8568989372714952,0.8237640637307417,0.9169653941678636
Danish,0.8291851128677126,0.8252633640482934,0.9380948039508342,0.8269693399136959,0.9099555555201662,0.8155927637020102,0.8354295088736667,0.8301878012825022,0.8334175352396475,0,0.8541395463748271,0.8457252160393185,0.8045526929322319,0.8017871509946555,0.8552195088187223,0.8522754759105057,0.8920937601977699,0.8959280475493482,0.8640822194625564,0.7894698018371008,0.899331129238353,0.9227978298311423,1.040151168073503,0.8461809066278697,0.8476687521610559,0.8753606480369209,0.7854755002493264,0.8391557471538885,0.8978755182877688,0.9563200768779994,0.8300082630477845,0.8457499072481357,0.8699993582036484,0.8352156205875303,0.8356710075205569,0.8293207349940642,0.8795138572466595,0.816657888344892,0.8281667237213027,0.8562770275018647,0.8104839970925535,0.91249047957359
Dutch,0.8502005388047471,0.8679227172147955,0.9569413892615865,0.8670416423761448,0.9419084979463314,0.8597100082611394,0.8738639421803176,0.8678248963346206,0.8665382263000171,0.8541395463748271,0,0.8867425128385458,0.8498361367217022,0.8488968894826392,0.874109430096197,0.8784866401307285,0.9149035601651683,0.918331498518193,0.8941584153081815,0.8376087202236171,0.9204599829277845,0.9538532346704884,1.051339308980749,0.8849200604437817,0.8813338945188707,0.9032150308427686,0.8496756792616639,0.8752314069369079,0.924990538091707,0.9711012051228097,0.8663664706252022,0.8820304779094492,0.9048263340105708,0.8769587415373888,0.8764405984406242,0.8764352429252384,0.9267542659613298,0.8592751847506971,0.8692321310833815,0.8927773580982178,0.8539009938133176,0.9374927167262558
English,0.8737692342700025,0.8709763963366934,0.9657824967517634,0.8674968396508562,0.936210427806265,0.8464391738650238,0.8768442404731811,0.8604439803736618,0.8712684102305339,0.8457252160393185,0.8867425128385458,0,0.8549383640069218,0.8538289142090741,0.8941646008195437,0.8838013704326193,0.9316572710512623,0.9312014928279999,0.9005040201335277,0.8449385583380274,0.9173876669977659,0.947686395749358,1.0478916275368222,0.8845706691370382,0.892131158871714,0.9047840320571068,0.8479485020680746,0.8841638108581187,0.9324571841529727,0.9760241999709304,0.8728297765557075,0.8771688311263108,0.9018073108073723,0.8748354629498533,0.8759830728821874,0.8717302115677005,0.9212729267878876,0.8614541031163357,0.8718633682748348,0.8880492404138121,0.852836067224944,0.9270856676373895
French,0.8302159938817063,0.8182426037740754,0.9259044616605839,0.8174931331287227,0.9069516668043517,0.8137362566411158,0.8267331627476543,0.8233478957700948,0.8240849194504162,0.8045526929322319,0.8498361367217022,0.8549383640069218,0,0.7912330631567563,0.851219343277469,0.8422423105396648,0.8858348465475986,0.8884576754379446,0.8625502489386854,0.7832812359954812,0.8863454324235944,0.918619830652527,1.0283862378517001,0.8420361815592937,0.8411639189611689,0.8683358009123138,0.7965134581887856,0.8318449900209217,0.890605528628873,0.9436884684867837,0.813689974248965,0.8419627397231587,0.8634708944498738,0.8303243808021727,0.826899790697281,0.823745341140711,0.8828437145610262,0.8034744868097721,0.8316955660845442,0.8530593077589996,0.8019102632367993,0.9091994120214438
Galician,0.8220441963889474,0.8072732067209463,0.9152838353053554,0.8176428823878603,0.8992049129708419,0.8158647203834704,0.8167135346953963,0.823364284204425,0.8191547786066741,0.8017871509946555,0.8488968894826392,0.8538289142090741,0.7912330631567563,0,0.8495572331954266,0.8376811336201418,0.8807731796701561,0.891099193330788,0.8527403284573463,0.7765296996557468,0.8865720107027757,0.9155716656072673,1.0246387430603738,0.8340285870000897,0.8401230124890314,0.8686481385883362,0.7943630625569473,0.822054100025838,0.8825487468130042,0.9435332043655539,0.8015109082371676,0.8388826974019259,0.8570503105094098,0.8270708922987705,0.8214657057983294,0.8204170124049631,0.8741024994113596,0.7854317450560738,0.8238688253720238,0.8452921991984387,0.7984239484761904,0.9085839548411855
German,0.8677675086579529,0.8726106243416664,0.9578427578127205,0.870887526805292,0.9464673930305181,0.8681150267630076,0.8794784333466698,0.8730475626263922,0.8696031241561946,0.8552195088187223,0.874109430096197,0.8941646008195437,0.851219343277469,0.8495572331954266,0,0.8805741804837436,0.9221919726317254,0.925665615170739,0.9004656329460048,0.8392456477769071,0.9258046689648272,0.9547830706565295,1.053398477972538,0.8865955159392066,0.8860834993584723,0.9115958025512668,0.850727244592478,0.880041332327501,0.9295997833239223,0.9779687228121331,0.8685861266487783,0.8888991272371629,0.9097120626368714,0.8782787502246939,0.8794482817705462,0.8770998306453159,0.9307583246814892,0.8601006563673602,0.8743141191607742,0.8960838394103859,0.8561983011097389,0.9460118629690334
Greek,0.862216790733832,0.8571154411839174,0.9434770416081123,0.8556755533607884,0.9299306619952422,0.8511224409201437,0.8616795400382209,0.8589346057843988,0.8591054376619133,0.8522754759105057,0.8784866401307285,0.8838013704326193,0.8422423105396648,0.8376811336201418,0.8805741804837436,0,0.9064195779826033,0.9123640582348483,0.8886588994795318,0.8314114255735215,0.9091455612219348,0.9405715002604584,1.0377369769641507,0.8742151377048158,0.8719038284840798,0.8929792924299844,0.8481039926929202,0.867660524270925,0.9173371779705705,0.9662250215972072,0.858257747756448,0.8732894188124294,0.8935702500188822,0.8654261991950815,0.8660009928064208,0.8636810431871103,0.9136233486313252,0.8440938705625728,0.8638237884973928,0.8780357576200496,0.8411776037544424,0.9255805674807904
Gujarati,0.898262327183268,0.9021988767596951,0.9829952823628052,0.8897923281094196,0.9760132060563936,0.9009367373540029,0.9049177858779776,0.907112319527517,0.9074843014505113,0.8920937601977699,0.9149035601651683,0.9316572710512623,0.8858348465475986,0.8807731796701561,0.9221919726317254,0.9064195779826033,0,0.9237048766074543,0.9263370961779755,0.8712177691142485,0.9588046243568188,0.9842852124549798,1.0779248325845272,0.9172441828808534,0.8803106264273715,0.9290578001279373,0.8891667042107039,0.8984081809043706,0.9591190213286556,1.00631451732627,0.9064721825975748,0.9197730636172667,0.9362806478367008,0.911383149798432,0.9076120642796468,0.9088909101488216,0.9542607629956533,0.8958392163191199,0.9104041420397476,0.9277999075057402,0.8782287343667664,0.974428550923252
