,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,8.549777780051521,10.127212816110244,9.437159314999034,9.95656022743677,9.080909242064617,9.418069811511714,9.350990204899219,9.521148326918896,8.050702971367599,6.72338885995752,8.681629543985629,8.953888301820564,8.299364982972584,8.221357389845531,9.820510449809392,9.816300832247414,10.311415188432512,8.14278550505344,8.647000363451458,10.323236198880227,10.030105507786491,11.631200319314958,9.276163631410869,9.418987261098001,9.432880074221186,8.017091063170934,8.588304296234037,9.524738335827509,10.63982019748529,8.923159770924576,9.77283958866241,9.52048753124424,9.271221130411444,8.968621332032857,9.15750417067334,9.610340370237799,9.405247175138527,8.227041520529669,9.584235325153788,9.284085964408892,10.158021004558787
Albanian,8.549777780051521,0,10.00468315901621,9.31279006364039,10.09848863845764,9.415786286115626,9.463271556560954,9.478023956229544,9.920397453907556,9.341106684834125,9.509197388881093,10.265014804014594,9.013039712334226,8.341651086618436,9.69046100878895,9.658979013167261,9.871197515780745,10.175206090878813,9.224147247388261,8.742125399561614,10.170857689510195,10.318183488152526,11.602309143594141,9.36090417767268,9.312727469111293,9.134844086520635,9.36449187110623,8.561067556815372,9.601996006230495,10.861113944673157,9.109134521585004,9.671172518645099,9.645986616034655,9.518106630965644,8.301449894952103,9.33440440220853,9.841531161729494,9.394214801665747,9.479247272145752,9.60132955814416,9.218423780708768,10.260038284436908
Armenian,10.127212816110244,10.00468315901621,0,10.730863536559855,11.15400449542275,10.71114815098837,10.953847708882135,10.546442614630559,11.199472900046349,11.023773609443005,10.931611835253754,11.438090369046941,10.760851529031221,10.085280120686155,10.847665388090403,10.800348192093894,11.339525120574466,11.681415481716428,10.157100684019372,10.455473327386466,11.470980439651694,11.06597259099363,11.953105003544339,10.659514459545926,10.948553555145049,10.94930968007336,10.619051672484572,10.09864261228898,10.442752865620246,11.811180923426727,10.58459815740301,11.009834227168279,10.932789959457807,10.654391875338305,10.035882227549228,10.74106746300317,11.307680588090395,11.004454776629197,10.656418375384316,10.904147915055459,10.74203926812737,11.169965363904515
Bengali,9.437159314999034,9.31279006364039,10.730863536559855,0,10.541800802726017,9.682039823520777,9.966797954499075,9.943669634700308,10.20051516230791,9.97685736940189,10.01243644816322,10.306935745080457,9.706296438956299,9.23660692513384,10.09968716165413,10.095327370881494,8.497714345819604,8.695257673168104,9.89343693126714,9.569852289753811,10.619694823924668,10.643956401068953,11.910547217088647,9.717827718801562,8.532112910742617,8.282148805064567,9.734839344950702,9.329584771368445,10.17073586355657,10.919036839911794,9.6941981198463,10.20329086724733,10.230116192602814,9.878013609887303,9.319194449535994,9.811585274984713,10.142814152597579,9.829529374643656,9.838779577294924,10.177406956962283,8.215426288165084,10.922476817753488
Bosnian,9.95656022743677,10.09848863845764,11.15400449542275,10.541800802726017,0,8.395707119383387,10.899509217131703,6.503165540729845,8.873241243513451,10.554507051617362,10.547381028810712,11.446297497788086,10.510238713587741,10.053534226331172,10.537991990534152,10.999944145110415,11.118381357302654,11.455339051176761,10.197080194214864,10.738517658274562,10.819195824882884,9.993466134353927,10.991252313644159,7.5194826964762855,10.91682913558796,10.592075145750705,10.272438049073383,10.46767509854576,10.68788297080302,9.119651210917775,10.318998164547084,10.537269419563543,8.15729651164533,5.675792875375632,10.463699049750526,8.030242701771565,8.551108530389486,10.665454738221634,10.521252558374018,8.196924481361519,10.52867987284357,11.433618376293825
Bulgarian,9.080909242064617,9.415786286115626,10.71114815098837,9.682039823520777,8.395707119383387,0,9.694365093216096,7.510778968580098,8.516525428363378,9.623008146888507,9.609619205565314,10.30233565294836,9.501285972281334,8.877529284367938,9.765742459596986,9.909386316053682,10.135792935735347,10.41185114389488,9.477781586475256,9.48041235640997,10.075971443844663,10.329548668210219,11.257416788811822,7.110151667192314,9.812548103966586,10.13917737582165,9.52062948279357,9.49504803695401,10.08447745242744,9.397547785184788,9.345727181420829,9.852113762666347,8.397075800438646,7.657197971718212,9.620492067860392,8.083665591119521,8.632026446822785,9.50354345529636,9.699114004985756,8.537730480246456,9.527307556152492,10.419720288381232
Catalan,9.418069811511714,9.463271556560954,10.953847708882135,9.966797954499075,10.899509217131703,9.694365093216096,0,9.946862538624394,10.426884836782214,9.689878247427387,9.911559594918213,10.127147740575408,8.761500563705319,7.401763594108639,10.072783053982882,10.038726810329338,10.349667881332284,10.599844002966718,9.828263280903563,9.449895464203912,9.213462900770097,11.051881491875529,12.10754553932261,9.968022816867062,9.888376910324629,10.369847569602252,9.261720066688689,9.653788429532224,10.380808989102349,11.268535895929917,8.219221586422266,9.232959610060437,10.457244008570601,10.095346601728185,9.748775781241827,9.854179317461739,10.25447921139659,7.84785160651615,9.605415424191301,10.276807804958327,9.917969417250577,10.914942769017603
Croatian,9.350990204899219,9.478023956229544,10.546442614630559,9.943669634700308,6.503165540729845,7.510778968580098,9.946862538624394,0,8.356123009020196,9.813192716289393,10.015960491520504,10.641171013815262,9.7759296281261,9.16025158802507,10.080936444086692,10.196377464147139,10.2793312109273,10.600253855580123,9.713925894693267,9.795179477785084,10.25049800057393,10.368077374582775,10.828162663531785,7.483963359941539,9.935711889761762,10.191230744491794,9.746222245871238,9.548321446578981,10.055349381827073,9.160527542525388,9.779102599885347,9.993679136175588,8.274390555994858,5.956738004081612,9.56805914549328,7.786576478144564,7.7646794119865215,9.794165200633266,9.888110606061957,8.116147919595718,9.861184945115165,10.668743982171861
Czech,9.521148326918896,9.920397453907556,11.199472900046349,10.20051516230791,8.873241243513451,8.516525428363378,10.426884836782214,8.356123009020196,0,9.83812425928612,10.1403526342114,10.73672924721413,9.88416932875099,9.53009406101043,10.237333518274914,10.638313251169253,10.753868627332555,11.023891621601091,9.888353021539253,10.05823991581725,10.757869398117613,10.216060070510702,11.530453972348319,8.818826191183993,10.470269726656909,10.425370710722937,9.927682266929608,9.86159807295408,10.356951189949898,8.927622794923566,9.963990762788555,10.352286698754293,8.601123225053943,8.270860472132066,10.260276470869279,6.7454385570726245,9.100484550984339,10.192153615199848,10.246612908549288,8.482947756106702,10.02726975643565,10.831218898331924
Danish,8.050702971367599,9.341106684834125,11.023773609443005,9.97685736940189,10.554507051617362,9.623008146888507,9.689878247427387,9.813192716289393,9.83812425928612,0,8.781921021749215,9.07416511831401,9.170715494557514,8.853075662960158,8.563792203690452,10.239270133041506,10.1081919134322,10.523524431963649,8.316963910495344,8.903989414721458,10.639470222583347,10.707788277693727,12.29685560413006,9.872365798915498,9.713241935019976,9.865357635055886,7.395671018413992,9.172265276662065,10.212365515269223,11.085821070250883,9.3773861238934,10.093270813172431,10.085693745474494,9.919149120379888,9.671711486168148,9.473826886865112,9.803996035689574,9.753924569895142,8.109748428245885,10.101783411539838,9.58305813126877,10.527022165106665
