,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,15.293505550911783,16.018070231472695,15.717815745837733,15.771106509904673,14.429951972770063,15.38064731908169,14.568472070111065,15.106075177641342,13.290787540787381,12.195010541388262,13.386204076218611,14.041646210574712,14.31337182713217,13.531333305091625,14.862179516839605,16.050745195451995,15.985354596412865,13.570819829293423,14.429045202753848,15.435282924120735,17.022444613524687,19.70205509366724,15.11039015862168,15.615794575761395,15.168366472370513,13.024186768905869,14.28514417165179,15.97381476872108,16.76339570856362,14.837504183268875,14.918981404294687,15.14458495484089,15.035561307278227,15.614977789306435,14.82389137070076,15.193926240973312,14.761959309864608,13.810803516110422,15.329969035152939,15.467895440047636,15.288727802415794
Albanian,15.293505550911783,0,16.573489369849344,16.546207300077995,17.396978699792797,15.775131724480913,16.222834810726994,15.831509053564101,16.597182750704896,16.323304177406687,16.532981409579424,16.53682942025777,15.309908630231433,15.149105410249694,16.6282132459085,15.864488341972935,17.300090578760507,17.026469385002848,16.134044600953267,15.395713253595744,16.608543786669273,18.54969544306462,20.748219437449574,16.420349246695224,16.35971546841826,16.475038363836582,16.39646540015621,15.014582750459438,16.686936379295723,18.14502685950599,16.067425576876065,16.35347713982334,16.360690745919545,16.399782512177175,15.311047869574764,16.13563916763563,16.58651550670708,15.764849426276244,16.552512566749325,16.283614577197973,16.283266871561292,16.614413198922026
Armenian,16.018070231472695,16.573489369849344,0,17.706532837921703,16.603064617979012,17.061273672617595,18.07048563890983,16.722857829272385,17.75617955184311,17.655368169160642,17.997308430434334,17.591020550663337,16.657685092456287,16.971863171222687,17.261810994408943,16.254529280975795,18.618656947973438,17.98320408598679,16.296648566534337,16.89068163201489,17.123845186538595,17.966158017052415,20.34464535031435,17.531706144298138,17.930814642296085,16.918490520536157,16.754230370026402,16.233152484672573,17.121592464499873,18.784703353152775,17.587311946159996,17.02851311069373,17.238041556365925,17.082467343104852,16.68618242170738,17.217637960797305,17.518193743348977,17.466778776973527,17.58937243548198,17.396333985574294,17.593845626586855,17.297386337856413
Bengali,15.717815745837733,16.546207300077995,17.706532837921703,0,16.31362401948208,14.125400356620375,14.779519280293307,14.34766800160859,15.002796885595336,14.346209354620184,15.037070687659671,14.50649750018117,14.326173480883465,14.85564382171683,14.700073138833016,14.733218978787555,13.067181647869438,13.051071584305172,15.420372747913003,14.976765214626008,14.874210300958072,16.87295948942828,19.124379204473332,14.344508067180554,13.108828630907432,13.983361900191573,15.46519198930191,14.577751447404244,16.24313987042188,15.858385728533861,14.772879618075747,14.633661838309802,15.228828391824855,14.687036158795303,15.858692787770863,14.607026712881543,15.030977825784896,14.392431214396698,15.056705977085954,14.98039836747045,12.78989390974325,15.16748054188128
Bosnian,15.771106509904673,17.396978699792797,16.603064617979012,16.31362401948208,0,13.961281627758508,17.087284709577105,11.671649117075427,14.211727820451578,15.364124149479757,16.700183312332857,16.177621675854763,15.15769649210485,16.877987595080544,15.873430945835052,15.742159047661552,17.389284454115128,16.339925880123214,16.272292012974685,17.366473520436752,15.231858026546737,15.854089557988264,18.51944279377938,13.294791157026829,17.13609234921613,14.423802581781116,15.217765677588128,16.633876918117693,17.53900271713573,14.279602177866206,16.134367234079996,15.07626535178568,13.224009855635128,10.597227630903939,17.363406699471255,13.011178792325225,13.280481772346413,16.37024319826444,16.63919957988337,13.605155238254083,16.064508828579754,16.200204997330154
Bulgarian,14.429951972770063,15.775131724480913,17.061273672617595,14.125400356620375,13.961281627758508,0,13.800944482181524,10.877061147797603,12.618321131782052,13.258550587622139,13.818533355408714,13.62913606618447,13.648137284876546,13.567517688459548,13.950321823523266,14.132853006572493,14.462123828855248,14.561525333374048,14.23842738795268,13.987904072848302,14.130613379879984,16.61846668996485,17.994275097584385,10.520113752161642,13.92078514019992,15.681296621454264,14.606687773075464,14.040005639987896,15.435295092999159,13.903770216960089,13.826685320353512,14.065039635068885,12.529629253011011,11.629102440786804,15.606697928793897,12.203531238875003,12.950245595485086,13.258245344495808,14.186527495214783,12.311186138781737,13.739593339095245,13.812938490664568
Catalan,15.38064731908169,16.222834810726994,18.07048563890983,14.779519280293307,17.087284709577105,13.800944482181524,0,13.893094903946778,15.1404838444164,13.459508884401748,14.337056325981836,13.999715463626778,12.696559778341536,11.918364003010593,14.527537639379519,14.418261556373563,15.248793693800405,15.415718043533813,15.135653929914296,14.12242894053086,13.305454302147897,17.59516978837807,19.129217100519693,14.316320174649714,14.347877550764661,16.488227873812956,14.41969937972226,14.764767964510835,16.41107223482822,16.168777011563787,12.36882648922098,13.43895240437667,15.396012466150145,14.880782556993248,16.28062265387232,14.272035089667758,14.817407204721436,11.256397596455326,14.335188916278703,14.907291453193539,14.684095816747805,14.918150672227464
Croatian,14.568472070111065,15.831509053564101,16.722857829272385,14.34766800160859,11.671649117075427,10.877061147797603,13.893094903946778,0,12.201741903183862,13.286650980676887,14.109020477953791,14.106458437697153,13.482876682171488,13.967585840838444,13.951222446728071,13.798911245438784,14.770163237241974,14.616669311793133,14.425512722967664,14.337722695047699,13.903180338495124,16.1171376985923,17.47383961514004,11.191770641129445,14.15811255043136,15.596928892469759,14.445840244032679,14.305701728283426,15.330534673700294,13.067205042529412,13.92897182861302,13.789798807296538,12.334689568019781,9.721873086678125,15.545112335079487,11.39277157324503,11.487521658063033,13.538372293413119,14.229644111370657,11.90289410623256,14.031867081442675,14.182785825521028
Czech,15.106075177641342,16.597182750704896,17.75617955184311,15.002796885595336,14.211727820451578,12.618321131782052,15.1404838444164,12.201741903183862,0,13.472203438263207,14.369459439078176,14.396048838792828,14.009785803375173,14.793416707137851,14.291643050030832,14.78873597007268,15.608529446737945,15.511163487851688,14.937019305059819,15.177431484865862,14.660200664101431,16.19881176693276,18.54085326511598,12.865668424464435,15.231645995510668,15.47410979039844,15.094604007886234,14.776468995189461,16.071645832981062,13.491833517113243,14.406984487773595,14.52086843959727,12.787697193447931,12.308524152310019,16.945370645279777,10.643803058915218,13.120707911803784,14.436711677662064,14.878469876095075,12.576475197698207,14.524015182159513,14.763981822518277
Danish,13.290787540787381,16.323304177406687,17.655368169160642,14.346209354620184,15.364124149479757,13.258550587622139,13.459508884401748,13.286650980676887,13.472203438263207,0,12.443922818795091,11.690102316640992,12.448154581583372,13.672749671181892,11.692117168702815,13.585348793126395,14.413609678711655,14.192905450606734,12.814157435676725,13.183568201423801,13.716781717652024,16.617134841257496,19.14066228373756,14.024515435680545,13.811487453417609,14.448749994548594,11.381462131879708,13.97089406788345,15.918225689277445,15.111510758171734,13.052504223153036,13.157990687777065,14.271329987091091,14.254047193985516,16.289962292603278,12.847426667232618,13.476336844085937,13.109143227515156,12.056128039485108,13.974909012100797,13.705086667713106,13.496815081675274
