,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,14.451703328244603,14.956653334229594,14.794387266745886,15.029165756391318,13.577796714358984,14.41677320570265,13.546856462413153,14.112299153534368,12.169613207484456,10.418674828556684,12.59629755520628,13.162506213864711,13.237534230148508,12.478597740430592,13.975187565888316,15.201375990484934,15.160188027306674,12.502017637764403,13.346467339721205,14.555697049381063,15.992500445731809,18.592893203704378,14.079042276568186,14.651549750880749,14.30857613951838,12.512203423365376,13.15332818365223,14.829893803766678,15.800335017119496,13.522459452740861,14.104384329947601,14.26635281161919,14.050189100858661,14.283715264739882,13.828529790307948,14.113446311655185,13.691849055728868,12.861609369393017,14.28790056729271,14.406525134553728,14.304164500565737
Albanian,14.451703328244603,0,15.626437155394997,15.509968546542284,16.447923618877635,14.90423490272494,15.170885694415999,14.760621641260302,15.529091104945525,15.09024251113998,15.194448288871833,15.576538951394868,14.162300067792824,14.173230170222359,15.454866713287423,14.78845711558902,16.318559315144725,16.008915666911694,15.087946209997568,14.364025896702497,15.403233946620388,17.303982450267387,19.437248946008637,15.259948542073877,15.364989035680628,15.372392885201382,15.531469025359028,14.084275753368965,15.716440743537301,16.903760146224382,14.608073552937627,15.162429080288357,15.413379000134695,15.33917437287542,14.236793883627222,14.960428209300796,15.37598557520753,14.555485019691126,15.567146040901452,15.199510302963997,15.191974335857703,15.511741231835051
Armenian,14.956653334229594,15.626437155394997,0,16.119981718737844,15.91085084657591,15.520245230377132,16.267533834367004,15.047007178321808,16.161368460354485,15.923376339225424,16.02193964203497,16.102968712341998,15.159526907931054,15.312554552846947,15.782910571846848,14.843803223158496,17.141447489962435,16.66255031034174,14.858290866023175,15.278485424428073,15.643462954604686,16.60398443324316,18.69262521329511,15.767612717727765,16.347590541498313,15.93046286493082,15.720705339087218,14.772886833176099,15.654848315820464,16.99227166952786,15.558493445300986,15.489994723336288,15.768336818260035,15.596749746331415,15.083081674673213,15.585342513157997,15.984842785843744,15.682009861734144,16.032405121622322,15.75131411467306,15.969993228170818,15.52663009978852
Bengali,14.794387266745886,15.509968546542284,16.119981718737844,0,15.457513753347788,13.932041787509494,14.490349055872628,13.997277158914267,14.617976128352423,14.151753489032926,14.63791205309111,14.339310424089257,13.891140592464803,14.305272856163795,14.471320237131676,14.230370550307867,12.792967889697396,12.516915207169962,14.900604729842577,14.44631082581013,14.47228991742914,16.269567838218926,18.56099816377847,14.161320210229059,12.855927332995542,12.550393475119476,14.856582015218622,14.015846729082286,15.569010741828482,15.552696777208066,14.207567319951886,14.33937294997331,14.897348772444154,14.370810869736973,14.597209128617115,14.266603966581018,14.44659985136783,14.057628149421653,14.71083186262979,14.685790995885869,12.327049648262596,14.90416184123032
Bosnian,15.029165756391318,16.447923618877635,15.91085084657591,15.457513753347788,0,12.475798125501427,16.06273646427335,9.844341367177934,12.95935976754371,14.629395390292006,15.409274961403735,15.48204053231911,14.542494971124688,15.488486376906245,15.067554380057736,15.002940511694112,16.53436744376279,15.896483118965746,15.147041214232907,16.01037037914207,14.496522509105722,14.840937569854413,17.061475411000234,11.446550709077952,16.16886586657538,14.496799791629,14.973312421009174,15.383505139563386,16.28637748926579,13.071541323867466,14.96443480677451,14.458506459588474,11.889861860463828,8.702763086701344,15.951037627389342,11.778926856456554,12.119141525104581,15.273865534329904,15.65205808804082,12.005416112273622,15.192680005260858,15.287142300717926
Bulgarian,13.577796714358984,14.90423490272494,15.520245230377132,13.932041787509494,12.475798125501427,0,13.617510003921733,10.179802639726905,12.046120953215912,13.045714109035995,13.461960162864592,13.638944588269775,13.169505174145321,13.148987079567135,13.733681176140966,13.537179778301079,14.527588145763142,14.345050389948677,13.707943249511011,13.494839566255422,13.576816122626694,15.756377094457239,17.314282426781986,10.07833625594076,13.930221930590072,14.56535325010361,13.971995751846528,13.506693611636164,14.868774527831466,13.387361384848221,13.181831555823294,13.582767158558445,12.009635391576406,10.934376343786665,14.394696450214058,11.594862547302563,12.073822816449704,12.967146599610832,13.950108095796944,11.911065105875393,13.493054347433748,13.607268406748096
Catalan,14.41677320570265,15.170885694415999,16.267533834367004,14.490349055872628,16.06273646427335,13.617510003921733,0,13.670318701648124,14.749845978235482,13.401881164985356,14.047287096311617,13.77332784459178,12.204434426160706,11.182986674553954,14.301442101070606,13.955041963692247,15.182877220469685,15.088455381485856,14.537742448059253,13.590649953584549,12.718484785959367,16.792831055978176,18.498699390949554,14.163606114200201,14.266085017422617,15.274395524489446,13.756768800278666,14.13121700197688,15.635750708330221,15.861700769353149,11.671709709773262,12.932064822821053,15.020533102844862,14.524685422655564,14.90549339054304,13.953556799134251,14.350889873796246,10.864394671152546,14.037704124709853,14.589184374977863,14.342522278311817,14.697833007877556
Croatian,13.546856462413153,14.760621641260302,15.047007178321808,13.997277158914267,9.844341367177934,10.179802639726905,13.670318701648124,0,11.513993575797228,13.07527347517993,13.63629381094574,13.821743538385647,12.916620674246985,13.232261292782669,13.660783344190271,13.357518889061229,14.63811024983855,14.416387545341834,13.680857983661632,13.523497508617151,13.373939654037809,15.196303275601382,16.50846140899944,10.496616059600692,13.9673055035916,14.487455194721427,13.820752288049759,13.451000333048734,14.562047259522666,12.528414253499049,13.317073877329195,13.331105564631704,11.567806262891327,8.627565029744098,14.082834189920861,10.760660827995082,10.639213911652798,13.074544663233269,13.843729440471883,11.18485532561703,13.65371814863038,13.70198361557998
Czech,14.112299153534368,15.529091104945525,16.161368460354485,14.617976128352423,12.95935976754371,12.046120953215912,14.749845978235482,11.513993575797228,0,13.210713709227425,13.996310331888248,14.136063443225682,13.534660365598198,14.033241085938425,14.080271584798277,14.250804407113534,15.373070779643673,15.176738845584472,14.163245822421498,14.395454320329657,14.232741212616178,15.35436383595365,17.683597375116523,12.43744919435335,14.97057101478531,14.50278774305844,14.481644169091139,13.964819119341822,15.273689822371978,12.7682238099547,13.88477367443505,14.083222062279232,12.095598052831257,11.701033210209316,15.42425920230482,9.829806898496013,12.42584958388722,13.955261272807505,14.539962457982883,11.878703475395133,14.102769808776477,14.229169387831252
Danish,12.169613207484456,15.09024251113998,15.923376339225424,14.151753489032926,14.629395390292006,13.045714109035995,13.401881164985356,13.07527347517993,13.210713709227425,0,12.124533527273488,11.621185510772337,12.148961040773335,13.019759225312661,11.469563055339549,13.273827295980444,14.444702321636472,14.169641606296949,12.049732086734624,12.48360484318586,13.514763189302515,15.886217533641778,18.46279190297763,13.828274841106134,13.777370021108855,13.633762927163625,10.761449398491209,13.163824179162532,15.076148496970575,14.964531006541717,12.711110591791044,13.087797816623715,13.961073690852121,13.880354580790755,14.816761606112838,12.79284585753905,13.189104829020176,12.917889394689436,11.71637262980655,13.779654934213903,13.4404962766458,13.27975365109462
