,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,13.709342772270887,15.925960456433286,15.297208399265674,15.404878035720461,13.86951982204761,14.403359196189713,13.648766218702399,14.221491516497451,11.241816620020343,10.704168997481444,11.615408136550728,13.424916877019399,13.0380025823391,12.766872774362447,15.166412511353858,14.251636106973928,14.202516706573185,12.550356568405943,13.695406111488767,14.225986060749156,18.983295188644533,20.347821842534017,14.11861899018961,13.610223432473777,13.377296973212118,11.380981104868411,13.294153342880275,15.547790850181455,17.42310452960924,14.394280781147481,14.22138163479629,15.240334166863668,14.100037067739922,13.466902278073494,14.330970260793308,14.280157214747824,13.3599926988603,11.761061414345894,14.644853999136691,13.895096167217135,14.195677751409018
Albanian,13.709342772270887,0,15.083431685338056,14.661873050310081,15.5797250796489,14.077654733111064,14.487749615950857,13.72905204854922,14.611874088441624,14.227016915532625,14.944914644386863,14.892568118403506,13.698962591312572,13.020142901859009,15.608376393145441,14.600057059143012,14.183895124879667,13.70759456375333,14.845359735305937,13.45260808649288,14.21897185696534,19.31506403206879,20.64342933315692,14.573433043045034,13.408256337837361,12.987378632978542,14.175880118557785,13.214049844785887,15.439031989259844,17.760876273441795,14.605055893361078,14.026208648844225,15.00194742618595,14.449474104025812,12.425156131589903,14.347543145255768,14.486860388215627,12.928156717505678,14.270180455440004,14.204300709559938,13.259616855680694,13.976037303527974
Armenian,15.925960456433286,15.083431685338056,0,17.463022457053217,17.080449012961925,16.27697151692013,17.10322974913178,15.68947663178708,16.325076610116692,16.658601825086176,16.72278715965809,16.857105061079807,16.454217904286054,15.829363669373755,16.854492621379276,16.574963342769365,16.6558790692312,16.704018961820207,15.906497911449879,15.877595187002756,16.654075163276328,19.721430372270948,20.41038222762895,16.28814148896362,16.38601084109788,15.933964381385818,16.37570693104417,15.414290048355252,16.564468023617483,19.381111597558633,16.9422900331258,16.461435193298936,16.818152734245682,16.313653582305566,15.195162560509134,16.638058710829526,16.720457759299673,16.169601183938138,16.372161780517246,16.46103289998001,15.97644627588895,16.169719840667344
Bengali,15.297208399265674,14.661873050310081,17.463022457053217,0,16.900144092840197,15.561716823369467,16.0124305737126,15.05778877907073,15.779603709346805,15.242903866759868,16.219657770643042,15.896971459039413,15.126608901269702,14.897299924016037,16.833443568366118,16.09588817149092,12.837285532597422,12.659603647021687,16.19655462433848,15.180211866467005,15.721996284553589,20.360831719308905,22.106974546958433,15.761627439813035,13.228786331648688,12.124156647789126,15.562322668998329,14.532101248849482,16.88322914411358,18.640951834280806,16.344713517690945,15.672554709111898,16.783000566476144,15.908277863792085,14.397631815312561,15.89949726468944,15.819480305811824,14.781657950694207,15.174992121617228,16.14597298329505,12.880964141663245,15.904586969601047
Bosnian,15.404878035720461,15.5797250796489,17.080449012961925,16.900144092840197,0,12.638081712380776,16.87805365297827,10.105785953895014,13.152823394733435,15.756234539563383,16.32824871975906,16.160287566642577,15.750074067229477,15.930111706031694,16.65608041405666,16.966384369124057,16.64012248188838,16.23172984933822,16.061050008388385,16.592720988630703,16.067483373958634,18.838094015857525,19.675290805407823,11.89344820315476,16.262447080545456,14.925760406214849,15.46526789306478,15.814160227311826,16.66526418631856,14.481717040472644,16.57939536921558,15.650796312851302,13.343441428220075,9.455266118295205,15.621262352204749,12.419488650637696,12.536803588572305,15.626901091165552,15.83946453350541,13.245750453567805,15.549419594045446,16.30309862176963
Bulgarian,13.86951982204761,14.077654733111064,16.27697151692013,15.561716823369467,12.638081712380776,0,15.018273681649177,11.017958846247314,12.478918582454122,14.191644046773332,14.860681513036088,15.021214080493955,14.27301683344374,13.6427932720491,15.56365006672647,15.418773458685555,14.738255663686116,14.241603066007338,14.778412937100848,14.634284795205158,14.540230794621175,19.22623119080347,20.01433269271055,10.587106505577879,13.893810544981104,14.043682614611622,14.29543689478994,14.351851416370119,15.841132612932112,15.46477598192153,15.06887824828967,14.476452919905924,13.175805179863847,11.477391513986277,13.899350601910088,12.346485779962574,12.498218214045488,13.414905671148372,14.378515645207214,12.433476781879236,13.990894430282376,14.600788142466499
Catalan,14.403359196189713,14.487749615950857,17.10322974913178,16.0124305737126,16.87805365297827,15.018273681649177,0,14.525975174216004,15.606793173586174,14.005053185608352,15.426471089047876,14.819517891743423,13.131957952453197,11.164810849664693,15.992768044004094,15.144256339944558,14.874025895374789,14.84716530864033,15.321771326975204,14.527439635591582,12.808410691743697,20.017043305073496,21.051708933319254,15.338517006650427,14.36749077056641,14.652959879575592,14.039058559560125,14.648766996121664,16.791567321365697,18.775414136317007,13.329057633319511,13.391495335399773,16.310048802045166,15.437294205655467,14.428189124002936,15.432352023122382,15.005353907155914,11.112180456661498,14.3801737736242,15.527276008701417,14.637534395176717,15.131633819224456
Croatian,13.648766218702399,13.72905204854922,15.68947663178708,15.05778877907073,10.105785953895014,11.017958846247314,14.525975174216004,0,11.465492301766611,13.621927170099424,14.650332695498001,14.665878686112523,14.003926763874764,13.550405239416323,15.092112425071212,14.91163262169907,14.241392554555805,13.809603608772717,14.53146805179688,14.042638069285633,14.251497986548266,18.898393396046462,19.69661422983388,10.845372885759291,13.72613354508143,13.264985608583101,13.749143866945584,13.407315937247747,15.204223443873621,14.665328386966797,15.116869998302228,14.213743374238256,12.991291025435485,9.167144040439755,13.26642590209728,11.4282820531236,11.170570432806747,13.156273142026418,13.8770540226523,11.969559283004877,13.314999844303616,14.292000689787868
Czech,14.221491516497451,14.611874088441624,16.325076610116692,15.779603709346805,13.152823394733435,12.478918582454122,15.606793173586174,11.465492301766611,0,14.089143052591604,15.115069229723444,15.207439231949452,14.548031041506468,14.247156516168538,15.796114601366183,16.00282558870157,14.991602069592437,14.602062443668814,15.287893964964818,14.676380426266896,14.775970194131247,18.869338272317105,20.317740566584433,12.667808025821227,14.402522585229747,13.672743934346693,14.513689166082129,14.20687153889609,16.061320495616815,14.364087974232286,15.414817098860437,15.068296372485444,13.426107400869883,11.862021749251596,14.395350880852693,10.333179320490332,12.352149195822895,14.092738927570053,14.731897881286129,12.31624118707778,14.123492358941313,14.854298076364996
Danish,11.241816620020343,14.227016915532625,16.658601825086176,15.242903866759868,15.756234539563383,14.191644046773332,14.005053185608352,13.621927170099424,14.089143052591604,0,12.805356190162238,11.564356667128324,13.210658121977465,12.834689636379055,12.65247972281589,15.303693674330322,13.77556987007835,13.723541744415968,12.443780957764808,13.169680953255044,13.883331348764253,19.842708982942586,21.264209337590547,14.541791624649498,13.197836167957288,12.914308957612022,9.475296466059708,13.46838723599698,15.664144832539332,17.766734734704944,14.545694240262225,13.976725720606805,15.797251364219646,14.572750781522439,13.740918357319982,14.181660603216057,13.921412921933152,12.961950475151392,10.449692829374703,14.65443313521712,13.546383230355318,13.852045203885554
