,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,16.408304239804185,18.567701775491603,17.977891365138863,18.583944207483515,16.877941588609964,17.29214879142041,17.079781704803118,16.936270424824773,14.856232670916075,12.649052504801768,15.676961043874375,16.673787173337892,15.816185681960741,15.453617951902734,17.477071688029064,18.31890527603293,19.161212013822592,15.248108881282624,16.17911585983482,18.9167362187791,18.64876420874645,22.425366434432263,17.326541393119495,17.64651583271978,17.6111589378796,14.914839746550523,16.03510665081044,17.63988887793377,19.15275844150544,16.44433315050428,17.73945823526123,17.56668771519541,17.323025914736856,17.155139946783752,16.59647977731911,17.23160503972186,16.87234009930257,15.3960970834127,17.813240234008397,17.481559703882898,18.45825891316141
Albanian,16.408304239804185,0,18.694954958819828,17.368399773731955,19.14342927565355,17.092182461042572,17.2038811861668,16.948053285544745,17.53270438233865,17.099666562245986,17.34186752707211,18.434618585824403,16.331709436328836,15.599110345179621,18.026135846097592,16.92359649129244,18.203765207056996,18.570014951908576,17.357042856031658,16.275461114215855,18.269323340085055,19.37443008164536,22.57373694657456,17.533222006772018,17.12072450911453,16.79663253484962,17.29234511560982,15.840734888136279,17.691209631115022,19.537094044009525,16.642697141459315,17.409909962241176,17.899213440477,17.728298461709166,15.446101764195658,16.951317325022348,17.649815107246205,16.53479724677936,17.421290574792447,17.703231512274034,16.94115721866477,18.74359987456856
Armenian,18.567701775491603,18.694954958819828,0,19.91457662183946,20.27005456762634,19.278740011094058,19.7684452938421,19.075565510373487,19.90045627685256,19.797192254953796,19.697454534257517,20.43569911906323,19.565858694218544,18.694259555696433,19.561338287308146,19.05110837676184,20.77937489157758,21.25525722129143,18.520026167111446,19.110541344908306,20.557221014663035,20.219251892617287,22.80051745093629,19.54600364926157,20.056856786311332,20.165433091698173,19.201605104674627,18.602400675175193,19.00551252685259,21.09227699526641,19.449472841246173,19.685391872214314,19.823945851796722,19.36543614782136,18.887322179414,19.184243724817367,20.052241442726107,19.673164961916143,19.528846629914334,19.84730744328941,19.83541289265524,20.30983849695644
Bengali,17.977891365138863,17.368399773731955,19.91457662183946,0,19.37397581352477,17.365395679506705,17.905738831384184,17.495129110458752,18.048793721681765,17.872272901703667,18.33535657258444,18.556698033224176,17.610812115585457,17.11357110552933,18.54372810821068,17.701005432571336,15.45087178818035,15.85779673563828,18.342935160752493,17.731645164580904,18.957922756444127,19.752525376584003,22.965292086629095,17.6169481816497,15.5118125308657,15.008610055876273,17.907359026187137,16.98633068349764,18.64874301153338,19.51142214121317,17.78016227759602,18.228757515007608,18.500250079607138,17.953516713100253,17.279971661537548,17.46041367883265,18.021100903104013,17.516891100118496,17.840771182728872,18.26246609899207,14.9954561058236,19.742767593633666
Bosnian,18.583944207483515,19.14342927565355,20.27005456762634,19.37397581352477,0,15.42940068917332,19.682866881956286,12.425274324532783,15.689933338356889,19.20504557373375,19.26974484312677,20.493013923314482,19.20352101111823,18.94633587720163,19.348545090890898,19.378771482271386,20.17654008794903,20.8406783194689,18.63405323756416,19.941081701893097,19.578807461896602,17.953950871184848,20.052755038079656,13.960258739721821,19.966173124679703,19.313322379335034,18.673305903344772,19.428786704290964,19.324351304370687,16.036574013487545,18.98877486592136,18.640396723257282,14.657948529967555,10.422372511085829,19.663693785452736,14.393264324433673,15.211895997538845,19.23098038923344,19.13686432193262,14.538574706831993,19.43212814877958,20.520597466080854
Bulgarian,16.877941588609964,17.092182461042572,19.278740011094058,17.365395679506705,15.42940068917332,0,17.130236220581306,12.828048453522781,14.794360527577474,16.87496850164188,17.04615340681191,18.056737642948296,16.707044203000432,16.105269435427896,17.472931106964232,16.830411008108936,17.87843645288387,18.370703998260165,17.198852075830466,16.90998675752309,17.624853289576446,18.484235579283638,20.98648044037391,12.794931368812435,17.345189623417937,17.9341424196684,17.236835744034494,16.90765470252377,17.85775798051029,16.23603497398677,16.72794605331915,17.166338320839422,14.904211238830115,13.767520219145318,17.318842099312153,14.158036590588162,15.128685850963265,16.289795742308343,17.22509871874438,14.980541506596925,16.892925592337622,18.334013610727634
Catalan,17.29214879142041,17.2038811861668,19.7684452938421,17.905738831384184,19.682866881956286,17.130236220581306,0,17.319826861380616,18.006147818175968,17.030507105044226,17.571745899074802,17.916985195434304,15.240777535337566,13.354628098913027,17.88981697013462,17.17944643760387,18.540204587065727,18.923828662629475,17.720329286514303,16.78488699096565,16.2421711418066,19.663094605257683,22.192177847161574,17.835529775849853,17.536363056655745,18.535085043317036,16.498126470742356,17.21313325970574,18.600746615054106,19.320161062495846,14.560969854496427,16.11963195370743,18.40623011533859,18.014424066891394,17.772318416932823,17.138996130118738,17.840574845223983,13.644122762961466,17.141031679730357,18.04937861051753,17.854944749681145,19.31026442908215
Croatian,17.079781704803118,16.948053285544745,19.075565510373487,17.495129110458752,12.425274324532783,12.828048453522781,17.319826861380616,0,14.11845492472897,16.998097078994842,17.37169506678633,18.45465248182233,16.867860627397846,16.257933910320364,17.80526658422825,17.041381563608276,17.959025384472408,18.558925321686516,17.371259933264067,17.265425392425485,17.49876649009044,18.1270131114671,20.16303126441974,13.403627590484167,17.306486402888105,17.83847353953689,17.3503065419701,16.823767089710216,17.45734977274619,15.346335676179812,17.09337323725073,16.964978321666205,14.612444566318594,10.854415718723155,16.881027059345413,13.43211275173876,13.419460960651246,16.62541484920736,17.224754841951295,13.974273230795061,17.192198761563407,18.418685008417057
Czech,16.936270424824773,17.53270438233865,19.90045627685256,18.048793721681765,15.689933338356889,14.794360527577474,18.006147818175968,14.11845492472897,0,16.97731004270487,17.566609015674153,18.470174500214604,16.81855307515593,16.75656922890304,18.18750623523673,17.783502260945717,18.582853102715035,19.139282484207435,17.491295098521697,17.581605920647494,18.57981064399239,17.840990863828974,20.83180446803873,15.44266682201392,18.12469743057476,18.138566386142944,17.42670963993403,17.260231495247552,18.17535887396625,15.140757051840259,17.302776159495007,17.64793986603082,14.849175590321453,14.332102953979645,18.17268053057572,11.455827380386305,15.586225100711808,17.147471690172793,17.681593867703256,14.498565642730506,17.50615431097264,18.74279272690878
Danish,14.856232670916075,17.099666562245986,19.797192254953796,17.872272901703667,19.20504557373375,16.87496850164188,17.030507105044226,16.998097078994842,16.97731004270487,0,15.601453346834624,15.327276163352629,16.069060589283993,15.907962508868211,15.157123798817059,17.38757428433831,17.960035437146303,18.372637544145878,14.978178788003673,15.893141242234238,18.716440530120714,19.40974858136245,22.97991004356435,17.769469261567405,17.233509199062738,17.642344881909878,13.224452438069614,16.48455782037357,17.99744000394011,19.214787437310036,16.45431177495435,17.51054431629454,18.0311726775432,17.675185701801702,17.81194555234455,16.43217683571138,17.11025423943952,16.601581263931582,14.417813887916733,17.84283788620408,16.960327939095354,18.431248736486214
