,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,8.130501872593989,9.003427528453498,8.18475220036631,8.434849973798658,7.984084373670885,8.020137610933434,7.84600516342795,8.261538891110703,6.610597006835355,5.686471654565617,7.247258490438556,7.729037547465477,7.380187079708555,7.2236708683553195,8.343191473348035,8.352768914657561,8.506108876409252,7.098064612282407,7.541690806046494,9.095834824859578,8.724325595471313,10.31310423642146,7.846624201433297,7.927072403854601,8.310509767365174,6.655020525258442,7.570046711410293,8.656812266494061,9.357302316320071,7.869440920527111,8.270611550278309,8.092339222429366,7.719857157122645,8.19557995608717,7.975316188178979,7.9820757188771205,8.21681554183364,7.079515267480116,8.12425125989971,8.130749533349277,9.221878983530369
Albanian,8.130501872593989,0,9.181464546351396,8.183639467159944,8.908864658539995,8.342667649780418,8.384949165512639,8.122145132813728,8.754606421459536,8.298924427763883,8.637859850454852,9.160228046779489,7.889912241251726,7.606228006352179,8.975837204002179,8.498911057555464,8.477277230213144,8.414303619779812,8.591727213738725,8.059134480634174,9.261627718205126,9.347095267982963,10.458035465064285,8.164323495992981,7.96165985668075,8.05674609736058,8.33675719504291,7.76487735724414,8.935567163876463,9.778115607420371,8.34943916653881,8.373632515538608,8.415727112365998,8.142520495423227,7.5658087030921495,8.343917171835837,8.566556371558885,8.42414363308826,8.548700028127408,8.289157362915654,8.089323673827147,9.581706872717678
Armenian,9.003427528453498,9.181464546351396,0,9.369251449919021,9.499144954782077,9.260092306996203,9.333117797673294,8.913970102616734,9.51727287777051,9.347339920936545,9.479604103452516,9.79094659873681,9.240005193570978,8.827460858758611,9.374459630967957,9.023407855744226,9.563309031442053,9.620948016845684,8.963110190022169,8.980364998042038,9.839790427845868,9.76659258556099,10.627812361234076,9.109607648245579,9.302109670154323,9.408108274270884,9.265944305098817,8.853805698316647,9.306147768866841,10.346679436697736,9.260373453993303,9.164545112307795,9.33931777961853,9.103119916296919,9.074332714122818,9.227556053292359,9.461324769046236,9.359121311025856,9.27054030570784,9.261511810320696,9.324197706765187,9.714213914576316
Bengali,8.18475220036631,8.183639467159944,9.369251449919021,0,8.867638774439055,8.190813547290324,8.272059248022382,8.178371888758551,8.76208559412638,8.333513397699267,8.619003296636556,8.900620913929771,8.063570040944784,7.80877110016869,8.93154210771125,8.34850239664683,6.865697206633184,6.798515914209488,8.631506492649471,8.063920498747223,9.136562779108223,9.333572691965221,10.435713178570865,8.133205785103526,6.84949305627397,6.863513321943296,8.348759225447823,7.785926871873583,8.946094310470153,9.519375468950381,8.32923129206328,8.453209196799627,8.506509907779156,8.12380399690372,7.827820038844257,8.436445480662684,8.397847831770274,8.224107219271016,8.461292559716552,8.413356700583963,6.994630448563275,9.5704125364441
Bosnian,8.434849973798658,8.908864658539995,9.499144954782077,8.867638774439055,0,6.81372324340845,8.862844767397043,5.259039454706902,7.582608869917044,8.757482525512462,9.005537335769784,9.460205368560365,8.665848725024079,8.350727399340533,9.161735166404783,8.852326234209619,9.203068530928798,9.192362213559047,8.588501276679818,8.889912121245043,9.148084939214804,8.891705870790435,9.895014263184853,6.017817426123249,8.91471971295764,9.078205156015093,8.571334198439873,8.733604051671351,9.24306523558956,7.900563547496481,8.770477335995784,8.566486446279065,6.8606800406606725,4.576386277004602,8.851033835942337,6.93385262611316,6.938694672648379,8.755845543719044,8.793088754617662,6.7542684691722386,8.88401872137107,9.785891769219491
Bulgarian,7.984084373670885,8.342667649780418,9.260092306996203,8.190813547290324,6.81372324340845,0,8.008530300472712,5.881487912515968,7.240452805808776,8.002812217248783,8.38068207242766,8.686398361176806,7.942661201640778,7.6323404490770494,8.642677012231722,8.11295684064135,8.459605198275888,8.374161961255599,8.376721002377007,8.053894984802476,8.476964464853241,9.05673487957923,9.911629581214987,5.885763338217421,8.117152046240479,8.452674187657282,8.120820182716734,8.059404712875807,8.864375118337682,8.094793746042729,8.113216301964973,8.101425127542964,7.062613890391258,6.2819606409672115,8.248871629258598,6.876994321572581,6.9139305251615015,7.853065387818803,8.27236398556702,6.965294169909089,8.161019745953517,8.911531379388125
Catalan,8.020137610933434,8.384949165512639,9.333117797673294,8.272059248022382,8.862844767397043,8.008530300472712,0,7.906873970515867,8.781778669810612,8.062358710055396,8.386172999451906,8.468648031758203,7.2029318931078405,6.22495793496383,8.691506285954107,8.092877066953173,8.448044884890875,8.472053987559152,8.509082148204426,7.848490183400424,7.6581822905295125,9.51383866070298,10.528198661508414,8.230068962518565,8.072065818163292,8.545343789055504,8.062924362542775,8.112603705720066,9.09072421702851,9.542206928423596,6.845744135643005,7.479372561802148,8.5962178217354,8.206104716637398,8.390532990984545,8.245939605278906,8.186563193241263,6.27522700646446,8.239006099111599,8.421835469250217,8.411528486509212,9.173469265574083
Croatian,7.84600516342795,8.122145132813728,8.913970102616734,8.178371888758551,5.259039454706902,5.881487912515968,7.906873970515867,0,6.869683054132192,7.873759122694546,8.309896577557321,8.657333847718164,7.784860498873505,7.504239672461851,8.50245419377429,8.016228308449506,8.390737955203182,8.320666059292302,8.178586484157135,7.963641911053822,8.278429924452727,8.866842479319638,9.591416898491714,6.007924812791295,8.03091564209874,8.314265050930748,8.011012431505536,7.8140822194605155,8.601908843176428,7.683109133231116,8.117129070801933,7.790256316196755,6.761192382129367,4.819273560326322,8.013184289596039,6.401910612495679,6.178411256447162,7.896372457348492,8.178538864035003,6.561816595816199,8.170501569582768,8.88829029772052
Czech,8.261538891110703,8.754606421459536,9.51727287777051,8.76208559412638,7.582608869917044,7.240452805808776,8.781778669810612,6.869683054132192,0,8.268302928464566,8.741791902953016,9.081758307106272,8.329235964863305,8.241078263568152,9.071759818207145,8.859385245051069,9.086875080277736,9.087937235465487,8.656118455005576,8.409838477698713,9.313515315920023,9.090210879228344,10.312684697960773,7.424187944228443,8.736091565112538,8.91546839579687,8.456013601239677,8.49275432691614,9.277705994079733,7.817017773066909,8.606467145117072,8.652179500154702,7.2774598919062665,7.013209137409904,8.76622528947911,5.689479403943288,7.59331444144292,8.639223717389795,8.8423836648297,7.171214849706341,8.626035164993928,9.501620107236926
Danish,6.610597006835355,8.298924427763883,9.347339920936545,8.333513397699267,8.757482525512462,8.002812217248783,8.062358710055396,7.873759122694546,8.268302928464566,0,7.4271987261420085,7.367133308164784,7.572574497423684,7.501224942560852,7.231571837278892,8.328691574284745,8.43673564191381,8.548388470615695,6.9017645607297675,7.355651570727532,8.945193070819792,9.189529682252456,10.664444146823895,8.164429784677464,8.033087869480683,8.267757394083567,5.935439302248146,7.72775579838394,8.808232676157907,9.545380255799424,8.1250912198404,8.196343511272994,8.368022266241423,8.087434958055347,8.259329113929743,8.002352253771766,7.9470551098522595,8.260594621426627,6.617913064070119,8.329619707217677,8.181625510707551,9.046048206701041
Dutch,5.686471654565617,8.637859850454852,9.479604103452516,8.619003296636556,9.005537335769784,8.38068207242766,8.386172999451906,8.309896577557321,8.741791902953016,7.4271987261420085,0,7.604375364647306,8.19637766831184,8.123126768181145,7.033143759563816,8.548851573674549,8.65731367829838,8.768631403058896,7.77196998143039,8.096849335702945,9.333173676932962,9.302125681358508,10.71973261516528,8.428101817105786,8.343976537960607,8.827245251195006,7.351948860022846,8.276381367522925,9.065375891772634,9.692761602859234,8.284511709336016,8.71915662351891,8.773456448698534,8.42650751305863,8.766163837686094,8.595407722317326,8.535314938991887,8.5336398501037,7.613238428404728,8.768159737158731,8.529833027322566,9.451123277144848
English,7.247258490438556,9.160228046779489,9.79094659873681,8.900620913929771,9.460205368560365,8.686398361176806,8.468648031758203,8.657333847718164,9.081758307106272,7.367133308164784,7.604375364647306,0,8.447296405256953,8.410376308837725,8.011862288547105,9.026186655070548,8.938027891480226,9.255856145441939,8.280768614790746,8.113926629613209,9.469219056543983,9.75686081446238,11.10145589242886,8.979116842049173,8.721769548152462,9.072980650085396,7.6762078263789135,8.803869037502515,9.532551941814969,10.046688295602069,8.593510155553963,8.987536479849886,9.173449118983529,8.862922609956085,9.353759707156208,8.822534611062105,8.798536531799476,8.76071589941381,7.8999787449836925,9.130075294106868,8.858934490207325,9.355302902366004
French,7.729037547465477,7.889912241251726,9.240005193570978,8.063570040944784,8.665848725024079,7.942661201640778,7.2029318931078405,7.784860498873505,8.329235964863305,7.572574497423684,8.19637766831184,8.447296405256953,0,6.847525132048203,8.416785871401105,8.095637357960333,8.369763817510577,8.403515462316113,8.252420000674634,7.52582805566919,8.025148422686186,9.122458260822254,10.428301922686618,8.075101717260004,7.89480789627607,8.256152708487907,7.850463485266528,7.668049537994924,8.741283628892413,9.380535589955224,7.371407482415192,7.707994538963197,8.323638906118031,7.973829625204723,8.194092546484917,8.044057016629322,8.074450051020206,7.486476465786281,8.226661096631002,8.21044008913289,8.08704066647042,9.053525387991122
