,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.7564554319363004,0.8387883762838619,0.7548670670985177,0.8323227547015268,0.7578896192657443,0.7616330317485183,0.7662782135645334,0.7637717114784941,0.7398261298257125,0.7586021470381589,0.7797883050006998,0.7407432799749986,0.7334384018470163,0.7742531497741161,0.7692508866216345,0.801485912090587,0.8046805467426299,0.7760314080107876,0.7237888466291685,0.8183248766623936,0.8397021158247707,0.9334402208679975,0.774555989827191,0.7673740262064799,0.7966895752593363,0.7375190220986922,0.7553518054627351,0.8158140273408537,0.8621343689498635,0.7573458659364108,0.7772704641768716,0.7952706441863049,0.7685474461528632,0.7634044366869084,0.7628276636357407,0.8071954691280877,0.749717365052188,0.763183516153627,0.7873776015404916,0.7445012151140225,0.8312447204310306
Albanian,0.7564554319363004,0,0.8324632385089691,0.7475901768597878,0.8183520521428705,0.741780990486437,0.7594669271789822,0.7487715410899534,0.7452575643755133,0.7363079768314559,0.7743309661007117,0.7771163381700439,0.7299780047273956,0.7202591117769198,0.7783903862899805,0.7647661821071966,0.8048208969893358,0.8101893162124024,0.7819495061382825,0.7195529092046519,0.8099855816730683,0.8292378502784403,0.925649395218828,0.7598013831541849,0.7667705048246942,0.790353884338687,0.7306095571727738,0.7568025715427802,0.8000597385289293,0.8557311295924984,0.7441670480625746,0.7645113396745693,0.7768621261071186,0.7522954380444167,0.7418750555615184,0.7473632723331769,0.7973789123579706,0.7308854019032258,0.7551662350924551,0.765597669824993,0.7289248409975261,0.8220386250244704
Armenian,0.8387883762838619,0.8324632385089691,0,0.8316228324021305,0.8921539000782385,0.8402536610992959,0.845245523293688,0.8411948681690067,0.8386279791266094,0.8374665933130837,0.8542733013267076,0.8620745186304823,0.8265018207018038,0.8172849096829632,0.8550706758398231,0.8421867164900662,0.8773620668389216,0.8780017234249,0.8536270144711253,0.8175855233687923,0.8769751306830111,0.8980819241884115,0.9654882593692858,0.8458327309017286,0.8472333920311121,0.8591472976466399,0.8362967477061126,0.8382635841347829,0.8725672497251753,0.9174605942896358,0.8353912298467078,0.8516407461872979,0.862719144346459,0.8411250273813144,0.8276527268345231,0.8433172721290448,0.8814468198376615,0.8217688151949348,0.8428309569146971,0.8545744756337458,0.8212677068465979,0.8848441447643328
Bengali,0.7548670670985177,0.7475901768597878,0.8316228324021305,0,0.8160704738219334,0.7429582734427164,0.7568839443919244,0.7504621409831758,0.7536862774682608,0.7378683308869569,0.7736386463624941,0.7740902505394927,0.7293700831712772,0.7296336207222155,0.7770675560639254,0.7635545677422451,0.7939988975010698,0.7971594473133897,0.7811218368191678,0.7216659798814241,0.8068396019204604,0.8267409025041905,0.9197994864081257,0.7606027243903826,0.7588910427020591,0.7763086017765038,0.7343928407695489,0.7560087292805613,0.8058003719235223,0.8532888184335377,0.7477893070659225,0.7669574860102787,0.7805107782328536,0.7551215476330487,0.7521578916335913,0.7528979825124306,0.7968903158101283,0.7357595440676359,0.7555490063733695,0.771866267632176,0.7251326764264762,0.8182640454002726
Bosnian,0.8323227547015268,0.8183520521428705,0.8921539000782385,0.8160704738219334,0,0.8031888705642278,0.8279243380619664,0.8014807308171634,0.8128659925906326,0.8116630265012255,0.8402918138899647,0.8351190188040483,0.8089041940878396,0.8021683290299735,0.8442245927052405,0.8296263451615666,0.8705505438641082,0.8724190717898821,0.8494735532042531,0.8028126739001789,0.8597858289896328,0.8819736743303379,0.9603482774453048,0.8069097853111712,0.8408564691502683,0.84575950885804,0.8088580485562744,0.8364237339092877,0.8629190791160581,0.8931052758997456,0.8183691285883237,0.8299430173078242,0.8244094134030702,0.7920278970468,0.8238331949584555,0.814963015143864,0.8536047591907697,0.8075511381179993,0.8240418536866048,0.8098127412035591,0.801068434021941,0.8698928432566384
Bulgarian,0.7578896192657443,0.741780990486437,0.8402536610992959,0.7429582734427164,0.8031888705642278,0,0.7556970898517468,0.7247067420671406,0.7338026937406358,0.7277267407911922,0.7671348890770142,0.7553717420855306,0.7260237089833963,0.7279557637796089,0.774559100514003,0.759478490497076,0.8038172314396462,0.8030004630722302,0.782446492521031,0.7199610347056882,0.7939762932512735,0.8206703906841525,0.9177491046190628,0.7501167694492438,0.7677356863942026,0.7803875760328409,0.7273491936553488,0.7607233934438025,0.8035392638306552,0.8412107004509483,0.7434966207527222,0.7537494067136699,0.770256971194848,0.7424505292118638,0.7468912900118595,0.7395598638074073,0.7918200791609749,0.7333972335665901,0.7493669401696372,0.7558655464236864,0.727071652945617,0.8048971131227454
Catalan,0.7616330317485183,0.7594669271789822,0.845245523293688,0.7568839443919244,0.8279243380619664,0.7556970898517468,0,0.7647663935690485,0.764527414707071,0.7453245719507993,0.7796533672342764,0.7824493054481286,0.7375806753380723,0.7287771805576767,0.7846019225471708,0.7688752872246623,0.8072681400150055,0.8134044044638875,0.7914993859677143,0.7294371449143326,0.8110878696570042,0.8361563321525023,0.9321568595264194,0.7764016476908725,0.7739894795833042,0.7960814790798901,0.7412998484268775,0.7650825408455739,0.81692252945638,0.8653802986979235,0.7507894297501474,0.7704017188987391,0.794504857653402,0.7678458012395206,0.7680928222247543,0.7632589309249272,0.8058262871167479,0.738711344295335,0.7606889831067363,0.7849839713475212,0.7441681438146998,0.831167403714147
Croatian,0.7662782135645334,0.7487715410899534,0.8411948681690067,0.7504621409831758,0.8014807308171634,0.7247067420671406,0.7647663935690485,0,0.7403745845636933,0.74063767040589,0.7743467659872,0.7677531243526537,0.7345729595693101,0.7346610478921491,0.778902423080149,0.7664474043393387,0.8093236118456756,0.8114329761786924,0.790732510317387,0.7311602261337691,0.7979501572000186,0.8281313972586558,0.9174560851187147,0.7563376129507888,0.774793710684959,0.7863396879250263,0.7387893989585022,0.7709291423058723,0.8065335499760744,0.8427716650808588,0.7483673528762738,0.7654171495201141,0.7767346510433851,0.7427764630551692,0.7543696678709171,0.747428011625833,0.7986467453926911,0.740194138287377,0.7584038162154648,0.7607192856412713,0.7352008366032728,0.812049191502327
Czech,0.7637717114784941,0.7452575643755133,0.8386279791266094,0.7536862774682608,0.8128659925906326,0.7338026937406358,0.764527414707071,0.7403745845636933,0,0.7435715508253397,0.7731768901058886,0.7774204751767425,0.7353179799288341,0.730906323619067,0.7758236371614157,0.7665834627776924,0.8096419270276639,0.8105061717655868,0.7867410089742494,0.7271676063837189,0.8024629010238923,0.8292897072385952,0.9195557357778773,0.7623481428094414,0.7755898272356064,0.7880458267662905,0.7372736598043298,0.7672354684182207,0.8029186406468761,0.8411680638885661,0.7481470333763577,0.7653070777843002,0.7780056462998615,0.7523299855628034,0.7557782615265519,0.742317706387837,0.8042668466768038,0.7399224310026105,0.7591479709175744,0.7645137979020098,0.7350568025815483,0.8186215478371668
Danish,0.7398261298257125,0.7363079768314559,0.8374665933130837,0.7378683308869569,0.8116630265012255,0.7277267407911922,0.7453245719507993,0.74063767040589,0.7435715508253397,0,0.7621529000877496,0.7547256283825344,0.7176937658956646,0.7152421693339556,0.7629054990014155,0.7603596313376306,0.795852785240077,0.7994650592975737,0.7710245618256057,0.7042992361229041,0.8028093304957683,0.823017088433947,0.9285147273541182,0.7550364884543733,0.7561798832861841,0.7813936440706125,0.7006862944248085,0.7488078058939226,0.8010675255973019,0.8532589559289284,0.7404404163848138,0.7546082888144794,0.7762024164116209,0.7450324687370619,0.7458357977475049,0.739899862144419,0.7844099401032484,0.7286029563393476,0.7388595984771222,0.764056216251013,0.7232186665022535,0.8147354056990281
