,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.6463771296778245,0.7033446224491977,0.7363639640167607,0.6929611251038894,0.6675523575590641,0.7049753748111779,0.6433683072276455,0.6415071174437273,0.554812572986326,0.5350536546935067,0.6124094066427446,0.6479548861983224,0.6250056639330268,0.6548816854803085,0.7208137119793893,0.7900790178369952,0.7836387889181101,0.5726826972953285,0.6343966512799522,0.7690057535525574,0.7246692391048046,0.8525019067766789,0.67268627639601,0.7163612853295673,0.6849302686892654,0.5425134621281019,0.6624900367488032,0.7463611357057406,0.7945263286962578,0.6772369907081374,0.6941687589479842,0.7144425328787463,0.6789937298860138,0.6405729936612315,0.6516995045125608,0.6832283457633802,0.6909705259892623,0.5878178829065841,0.6706247028297704,0.6780547602243482,0.7344653326883862
Albanian,0.6463771296778245,0,0.7018757109923942,0.7275117546206443,0.7120587374335904,0.6675603178616424,0.7334517158801688,0.6518553595842481,0.6579063093819449,0.6500529982644355,0.7116990160491461,0.7203206702406417,0.6349771404442237,0.6351642430814961,0.7616199026219721,0.7274457273143903,0.8130881911688851,0.7766315387547922,0.6548964130209332,0.6154537047767271,0.7576359318973497,0.7955678422087186,0.880697274162784,0.6914138623534483,0.7154101305519379,0.6783132329400924,0.6473904390231237,0.6716187395463692,0.7079818368738359,0.7980920402129167,0.6936295712168772,0.6925403444696042,0.7362085218393924,0.6764068630747198,0.6308794766887154,0.6667517380693203,0.6822487768611256,0.6621451099216216,0.6522605752639659,0.6438647807333822,0.6629818502374346,0.7241336882383766
Armenian,0.7033446224491977,0.7018757109923942,0,0.8153018932675549,0.7496542939312262,0.7398926921572596,0.8192664792683365,0.7235125047116275,0.7088252932779895,0.7422486776798559,0.7811381861399513,0.7900400090233384,0.7519782042211582,0.7134807107758099,0.7922947522166569,0.7549365527911575,0.8526684902488723,0.8453030913683424,0.6894512988471723,0.7003222948370696,0.8582366087332524,0.7996525023817053,0.8505227387112575,0.7444264879558018,0.7870666658983974,0.7864952450655485,0.7167133035443408,0.710488512904598,0.7545015398357228,0.8842700494006663,0.7933954417487232,0.7543140533238096,0.7795648670314816,0.7367236718804439,0.7180175674818912,0.7280731152886591,0.7693526965928066,0.7887491618204523,0.6979860507912277,0.730213653747468,0.7378758165621198,0.8018551392176269
Bengali,0.7363639640167607,0.7275117546206443,0.8153018932675549,0,0.7686199894478225,0.7060352152468066,0.756955760322551,0.7039859296440389,0.7232808615401948,0.7437167706766533,0.7655273154697038,0.7812355337854435,0.7083408264323593,0.725713325478179,0.8191545066975006,0.7956237716959614,0.6995778885964645,0.6647838317613574,0.7508219210082232,0.7415680422917299,0.7862650643903679,0.8365118232953686,0.9503453063872346,0.7338282388025206,0.6341298860397313,0.617193883574156,0.7429260377620887,0.7188428302499837,0.7999690292605326,0.8325167714748022,0.744738175190574,0.7546156147734994,0.8089197384688351,0.749076907883196,0.6819575426005947,0.7436367078336709,0.7415218276737942,0.7257923607642367,0.7382540351390303,0.737207624492168,0.6338244541766664,0.816360278131676
Bosnian,0.6929611251038894,0.7120587374335904,0.7496542939312262,0.7686199894478225,0,0.6075261848260435,0.7389758755424927,0.5447761294303995,0.6020579026365065,0.7252768047027203,0.7793243660914675,0.792515854661294,0.7063216381800711,0.7023984186697244,0.8395657843562798,0.7817456436532806,0.8304986981427538,0.8198769250762689,0.6837586922703417,0.7326577887477348,0.7920119710072718,0.7554139848050702,0.819815557805921,0.5430627213961505,0.7648693125550213,0.7691283645238315,0.6824961830671761,0.7286230799427146,0.7569878189455562,0.7031185384180509,0.7265673797971218,0.7340026726008062,0.6168683041688969,0.44361512920538626,0.7166924465722093,0.5901191350030462,0.6547516813832014,0.746941358029379,0.6942995307144443,0.5837923757402861,0.7379713205233884,0.7880176595241075
Bulgarian,0.6675523575590641,0.6675603178616424,0.7398926921572596,0.7060352152468066,0.6075261848260435,0,0.681446445604132,0.49893943452815515,0.5589185596554416,0.6286368686370775,0.7246345061073055,0.7186179446240664,0.6327926748327027,0.6064221831462643,0.7714265895644314,0.7152262334262764,0.778097258733502,0.7563285937299801,0.6882663414253593,0.6263818883664565,0.6984012927522658,0.8165197256438138,0.8798870280260117,0.5486824555739603,0.6981542062442702,0.674952904415016,0.6559878133371382,0.6661252640713463,0.7208676905879591,0.7430499376842145,0.6808324444522263,0.6801942007535393,0.6740334382135716,0.5834523825074346,0.6152369328087727,0.5864688791401489,0.5954689558555704,0.6113241551875712,0.6734867722784307,0.5913438050346972,0.6390603856740834,0.6677606908112815
Catalan,0.7049753748111779,0.7334517158801688,0.8192664792683365,0.756955760322551,0.7389758755424927,0.681446445604132,0,0.6348165177387856,0.6740101645325173,0.7072223234733092,0.7514895279990856,0.7474613381903457,0.6208392046416352,0.5641799060318702,0.8296987793260789,0.7739359281671834,0.8334193732334945,0.8155559690155298,0.7407390325901368,0.6806891093872093,0.6616828614124166,0.8153717146264018,0.8996626058663719,0.7079735438654952,0.744043663251802,0.726780400690312,0.6932127377945495,0.7089215791657313,0.7928866386300982,0.8186658723675502,0.6136893420132041,0.6501511074765945,0.7706484392984071,0.7199480004559884,0.6981424696309227,0.6818983355528002,0.7108421212838025,0.5667706335386287,0.715424959391327,0.7117885975114714,0.7205035175460112,0.7541556102185016
Croatian,0.6433683072276455,0.6518553595842481,0.7235125047116275,0.7039859296440389,0.5447761294303995,0.49893943452815515,0.6348165177387856,0,0.5281806725176422,0.6297957337384219,0.7085013112601621,0.6985737480989476,0.619678007171978,0.5945634128697072,0.7698232305538864,0.7280831632563282,0.7642512091705594,0.7621455358341631,0.6749441156342503,0.6089880653629115,0.680938957304378,0.7621891104755806,0.8552962831840238,0.5608391888852564,0.6913458343028861,0.6711732410507706,0.6255417607086698,0.6529194391040198,0.7134408251118285,0.6637407815676151,0.6216260287909305,0.6650705701098866,0.6328927224823243,0.5086540108092066,0.6136173602047347,0.5243430311706222,0.555107581163798,0.6121253163439102,0.6543862544026978,0.5923281210038891,0.6377903174263251,0.6816387833660411
Czech,0.6415071174437273,0.6579063093819449,0.7088252932779895,0.7232808615401948,0.6020579026365065,0.5589185596554416,0.6740101645325173,0.5281806725176422,0,0.6563210845237454,0.7105567433069186,0.7297835232174085,0.6299826766526355,0.6083050323743493,0.7610318246329805,0.725844638196522,0.770481049076423,0.7665519945008108,0.6601940869805616,0.6463831593777557,0.7019160363994555,0.7257568613446198,0.8405738690621007,0.5975423254908759,0.6989653925636378,0.6785196836003443,0.6345799819978232,0.6670788380063118,0.7439969879311464,0.6668267568437108,0.6665354856069541,0.673272546661826,0.6253798820188411,0.5707921035799577,0.6356942614961633,0.46056684822355254,0.6064660456675844,0.652352228561658,0.6657715163184825,0.5747879810063025,0.6498580480477456,0.7064230468772903
Danish,0.554812572986326,0.6500529982644355,0.7422486776798559,0.7437167706766533,0.7252768047027203,0.6286368686370775,0.7072223234733092,0.6297957337384219,0.6563210845237454,0,0.6424901410455339,0.6031279987113368,0.6467355827746716,0.5930955882930202,0.615978715684557,0.7219384654203651,0.8154651147982859,0.7894993009181807,0.5603386577598665,0.5788063153193435,0.7283822552764999,0.8393666833773492,0.9275443876006314,0.7015204437973622,0.7126943141857894,0.6644918164987661,0.481122061170722,0.6638817852099479,0.7146369407603832,0.8415060801292519,0.6798571608665102,0.6912296852956357,0.7755079149382992,0.6882751215927442,0.6189999963068754,0.6725588651691338,0.6927430791244008,0.6349945816056316,0.5545599451001182,0.6924714464443268,0.6546309491384172,0.682556518287246
