,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,286.21512624899776,333.38907698537764,322.8941628725569,324.95391178447557,312.50985482848847,329.96218527499053,314.6041468454129,329.9336864728474,282.8755601088029,243.31893006383316,302.6391758877075,296.6686356363827,278.1087951858591,290.50306907041204,323.07679461819237,338.39210042437276,350.1497869046044,273.5901670155194,288.80835781276005,348.4357183468444,337.17132776927383,395.29696417585393,309.93664262077453,319.97938641275334,313.09218412353727,273.0195768794011,282.3905590574535,316.54888001774503,360.77452437454184,306.1830273912312,321.43182951096145,318.6472925403661,308.30424060189347,295.3905207791309,310.02837361701484,322.5827637886107,322.2826074317504,284.59455482797233,316.5445717314945,312.1422303154053,351.3203629833997
Albanian,286.21512624899776,0,334.30907114922013,321.3762996624921,337.4160319424241,324.6722066250818,340.4785069541259,326.4093338507055,342.73934905167755,310.6478726968945,322.13410120941614,351.1381524058546,303.37423304705646,276.05550350524123,325.9770600409691,324.0201086695612,345.8873029084262,360.5620159663693,300.752639798605,292.4170198217965,357.308055750278,349.626243965745,403.6814127058532,317.3249396900761,324.20396920070647,304.12191340545644,310.3340537418965,282.8540869548649,318.6665756265047,369.3769324415256,312.5527863177197,324.66974447853903,327.0486119954391,323.24842964803906,272.6713891757425,315.9601561782808,336.9946465189299,327.92763850075573,318.642282091376,321.59993120374116,310.7628821562067,362.248450269307
Armenian,333.38907698537764,334.30907114922013,0,351.6790008780824,357.0344722244278,350.2581960104148,360.53749364682005,345.56578122253273,361.99497964203175,353.50032409015444,354.96001691449084,364.70113910344156,342.10721688216745,328.1491955347909,357.6189555018159,346.9201050047712,369.88095135217776,375.40389875134696,327.230960160526,343.78091862929296,375.1034722620828,366.6714851622174,403.8149792497158,342.9449481169724,353.2553545304338,344.242326437857,338.2384236534372,321.5015947247889,346.15499710743063,384.1302900837527,348.6212847508356,351.3927724741409,354.1409529204843,343.5738209856733,325.9366836670622,347.3042168826461,361.5026088332634,360.47446108047626,341.20772065426235,347.0984610044564,342.2527178833613,367.4250629586325
Bengali,322.8941628725569,321.3762996624921,351.6790008780824,0,352.0966098221767,331.6738547152889,339.6693576798754,334.4518191527904,345.2098096517756,336.5006082187505,339.46990190764615,344.61539532709565,324.2936576949831,311.3906358698327,342.57458179707595,331.20968277755395,309.4296023849193,317.58637425976485,326.3686303636327,322.9181892898652,357.622341347536,368.1970398158878,410.89825443131394,331.7709512952066,300.9020912234024,292.5712841339394,328.34434458912983,314.7244753209662,343.557551444185,371.0787255540199,326.43847984468425,335.2154504575239,342.2641490171984,331.22838629331204,320.9548508167259,331.4629053948733,346.2948529194569,329.72697059418374,332.0747106102139,335.9592093675469,287.9434108191647,362.5886799436303
Bosnian,324.95391178447557,337.4160319424241,357.0344722244278,352.0966098221767,0,293.68204092378244,365.1547721370897,245.2487750979933,317.77192684690885,340.35451010492227,348.05459971749804,364.6001767666732,336.2165177184301,326.5700649379282,354.5496540890731,352.4656672113843,369.85353192949515,373.82998351718476,331.06718249124884,344.63351456020035,360.1952996173607,354.0293457228819,390.7250946090481,258.5613173037171,356.52723532434226,342.0602524096434,336.1916489775862,331.0244940709381,352.7637890709081,322.50764675459135,341.43666811137206,345.4727892018993,284.6891756271264,203.85558041520864,335.27948930763307,287.38920872756165,298.0182073913801,348.65988449171596,343.81732188534494,279.6648133100793,340.3300656272402,372.2258959270385
Bulgarian,312.50985482848847,324.6722066250818,350.2581960104148,331.6738547152889,293.68204092378244,0,334.2026532258719,257.2655689267397,301.40421897671877,320.18997776817986,329.15347138719216,335.94400702352044,314.32313614342263,302.26888929090086,335.8923886447841,322.3221798510177,344.3811657248793,351.569272103157,318.2092233283057,319.00157950184183,335.9715655270292,357.58313755282626,397.43600121186745,250.21466286824716,329.20868470960124,333.95814588238215,317.99203021014415,312.1838489121122,341.2889402865948,330.1682447219024,320.978117275913,326.3858290416757,291.000406231468,265.4749616846196,322.6065625680665,282.9144844438326,291.5374294385772,322.31823018420465,324.79224127058524,290.3901343027896,316.40362701069057,346.34772113778723
Catalan,329.96218527499053,340.4785069541259,360.53749364682005,339.6693576798754,365.1547721370897,334.2026532258719,0,340.1277824667768,357.0728679067152,335.0232113941357,340.57202621077704,340.6012391669516,304.4201441630005,276.18496787141515,347.2951061610312,334.27728552308145,352.14858860914694,357.010288613214,335.3919666790956,328.5675226333675,315.09901412887655,373.5720524417862,415.664533829485,340.26413780407137,337.01152602126854,350.82317608569934,316.8299968460559,333.1738748634475,356.13412753120036,384.23087991664306,292.2045870442345,314.7039418486183,355.7121429848956,342.9633694902285,345.9855215423795,340.1949427167591,347.29800209472006,280.97688334952795,333.69193374887953,347.8724950900541,332.07564056684106,366.66305542936124
Croatian,314.6041468454129,326.4093338507055,345.56578122253273,334.4518191527904,245.2487750979933,257.2655689267397,340.1277824667768,0,288.9841961690644,321.87006186795423,330.45581651249694,340.01699692112453,314.80469231667615,308.3860595706346,336.3670782944844,329.181884059554,347.9881927345399,354.3692602478478,320.11795675892824,322.9022240961717,339.4963836862417,363.5711351768784,392.999933604812,259.6129197165013,331.1255625511953,331.99155404634917,323.0797669458141,310.646245373591,337.1574905153428,324.0511076718403,322.28733667453497,328.20841196847965,291.2888700680721,215.81478658056295,320.5997020772148,267.08836919791304,266.09216087090994,325.3566615822297,328.53058143863234,277.0020507787141,319.61578211871046,349.004880721161
Czech,329.9336864728474,342.73934905167755,361.99497964203175,345.2098096517756,317.77192684690885,301.40421897671877,357.0728679067152,288.9841961690644,0,328.3538370780044,340.65548392858796,353.6302014564205,328.41896268852975,326.2472406353243,348.2229991833971,341.89820759638843,360.38566270117485,363.3384511011151,333.4686583792921,336.62233335953533,357.5416695262803,363.25164143937906,412.19905551769693,306.5099812404135,348.00512941490246,341.2811164544458,336.6997061301558,324.467834104788,352.3560099546407,324.9062801501343,334.8702975946512,341.5926890939876,311.4350020110997,292.3676552344187,342.0887323989874,248.7423382435417,311.40861686286206,340.4270446416117,345.8289032915107,299.4621157105588,333.9335265835883,360.2148218450634
Danish,282.8755601088029,310.6478726968945,353.50032409015444,336.5006082187505,340.35451010492227,320.18997776817986,335.0232113941357,321.87006186795423,328.3538370780044,0,298.49714368793366,319.40465123062165,300.68025038977476,295.3155654996083,299.3785533803874,328.09085167839515,345.8235377013488,351.6018815806908,280.5258466015004,302.6979215519758,341.23537064047804,362.4517054270233,416.794082619118,323.2337084872691,328.51350338653083,322.0456262453466,257.47395439263636,301.05971113751787,336.9641732064524,365.0960167220257,320.00760525331486,325.7597919113669,329.58031464318213,324.02688411319946,309.6136186515874,317.4393633694057,326.87763391022474,327.1936186902833,282.477657236791,324.89744138957775,320.24387250906653,349.5960271828261
Dutch,243.31893006383316,322.13410120941614,354.96001691449084,339.46990190764615,348.05459971749804,329.15347138719216,340.57202621077704,330.45581651249694,340.65548392858796,298.49714368793366,0,316.09746729068013,318.4266767861171,312.74271300524344,284.8018372258039,329.9562156125067,347.83749028231387,354.8506389162336,303.60979099637547,316.27925046548,355.4066782923308,362.2994984656383,409.71864418070373,329.4758039424709,334.3639986993931,334.61123972559506,292.9336180852336,317.0213609992113,340.3782250863283,370.20130948294855,316.34372203479944,338.27786982411374,344.8410644050899,329.8419944205854,328.12334408891,328.4267604368237,336.0370576230269,327.8150912386748,306.6532401307815,337.16337630398135,328.9752341987239,361.0795952397575
English,302.6391758877075,351.1381524058546,364.70113910344156,344.61539532709565,364.6001767666732,335.94400702352044,340.6012391669516,340.01699692112453,353.6302014564205,319.40465123062165,316.09746729068013,0,327.51894366660565,326.1646125780303,325.0483004941965,343.188783813477,349.582059035052,361.62608107039944,316.19131945073025,329.5280334050953,357.1171792145456,367.362985826354,413.76033957851234,343.6226580679597,339.6870078779014,346.75036241258425,309.28566471966576,333.39907610912815,359.17580632062834,382.6220985011266,335.630149033593,344.17696790590327,350.06513360920354,338.3330155871138,346.8966134705821,340.03414150490124,349.00426021591466,343.12086038875526,321.3600978647673,349.0241822995107,336.8800187223716,359.4357884428108
French,296.6686356363827,303.37423304705646,342.10721688216745,324.2936576949831,336.2165177184301,314.32313614342263,304.4201441630005,314.80469231667615,328.41896268852975,300.68025038977476,318.4266767861171,327.51894366660565,0,277.29945198737795,322.77049088707264,319.648878950637,338.4135437068331,348.6665476677952,305.6367282269583,300.1658967758155,317.710972880529,352.14264050542226,403.09746935036327,316.6363648866815,316.7697743837184,320.6629960226045,301.37713316377574,293.4811668390299,330.266537122442,361.2099728656776,297.75583594188976,307.9007988804527,326.74472474848085,316.7081536534802,303.1145737380165,316.29695674474465,325.43895458536855,304.9237829349764,318.33963667068,321.39499435997493,314.50907528167505,341.39380666735605
