,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,341.4946939532517,379.3701207270226,368.30775196745043,379.0408877775714,350.2387382054578,371.69208982235256,352.2884704456684,369.1114739808164,308.2290403388814,258.987315988983,321.6521651781931,341.5575488282333,322.43290240509884,318.22618810323627,372.149118293982,382.51113695894924,392.30149060673335,313.7267938203462,331.13395579765364,388.21787444809155,393.3672782676513,457.99957377079903,354.88188432376967,363.783754102305,354.1475997178515,309.7263582386399,326.4055487899566,367.1763482077612,406.97543157976975,345.2298487576303,371.4316920069419,363.1357593588504,355.0351761119244,342.3100011233285,352.04771317672004,367.77741307024934,357.01803811067487,319.6521330007399,365.53309698211893,355.86174452981874,378.4083778482785
Albanian,341.4946939532517,0,393.04836775968954,370.4954091192871,399.1224698594893,373.1027761413156,379.19350127742274,374.59854504292474,392.9094986787354,370.9033477547987,373.6331679599762,396.21072796399505,359.3732373363278,331.36082397702506,385.2821590736786,383.3821901302466,392.0928829776098,405.73380839359027,365.0296143548172,346.07494113422376,406.341394415497,412.01478813944385,460.69943363213144,369.1320054730651,367.23649357402326,361.22702083535154,370.02608878245684,337.7360923912671,377.9445685308254,424.8485157298763,361.36039028872636,386.4721354344862,380.376332292669,376.0464629799911,324.9835913499881,369.2607574778817,389.0471194709245,369.5618978800868,374.4046030065265,378.0013121044989,362.2271678508296,406.37386282677807
Armenian,379.3701207270226,393.04836775968954,0,405.56524698345186,411.70203536788586,398.0856305807309,411.9849908926122,387.3786474175214,420.11821196947375,403.5572714753178,405.67567405959284,414.6164238751703,395.76864434452904,379.57696842105634,404.26214679196295,392.9897923459419,430.65071403650484,431.8633728892133,375.70413935175156,386.95036018059307,415.29948274117777,424.42087269502196,465.84142931374384,397.2002811542854,411.52462103977564,401.4012015617578,392.50571873499865,375.09665550955333,397.4687929858829,438.1920986599539,393.74632757621737,402.72900594829105,404.2905810100639,396.6731347388647,374.2640449869072,397.1853149776418,417.9752528570149,403.2651298438914,398.92567996128264,401.6718081699101,398.7455709254478,402.09813122133113
Bengali,368.30775196745043,370.4954091192871,405.56524698345186,0,401.08080581117633,372.59425379003517,385.16847865420317,374.28857119503704,393.94441323237004,378.48945108272113,384.47913338939975,385.87315657883926,372.3768378612918,359.3847090889973,389.44995232654753,384.03787207099566,332.7052089968002,334.74723977429295,382.5017777459947,367.178358446965,404.27232778203404,419.802619376866,473.12078871376406,372.9944027461875,330.59015214779856,313.1673508749837,379.7434639576354,360.0616926860756,396.14553988278874,416.92363320887284,369.6153941313376,389.9792469968571,392.3367500507387,377.0633002495338,358.2858678691209,375.7194352356849,385.19931885176595,373.3731225611805,380.76766403191886,386.45061057556234,317.92903364564387,411.2542011519569
Bosnian,379.0408877775714,399.1224698594893,411.70203536788586,401.08080581117633,0,314.7879532005322,416.9532042048395,241.70948587177827,337.48310974689065,392.9868724927191,396.93028743469847,416.0815765539555,389.8404039481516,383.8708645307785,396.19346157707264,407.5504605829415,427.03442936885654,430.9705705293108,385.9761843959348,400.2886434538855,403.21054436716696,390.6777551784877,429.6026167544961,282.03633468206294,417.1286863838496,391.5354672588178,388.9323373391874,392.0525243142091,409.34889915114286,342.6689688714662,388.14818620782364,395.9777920882578,306.52370867256434,211.72501642840766,392.71146287022515,302.41555391016095,319.1068839698973,394.7844797423256,400.05170386973776,304.61295994004854,396.27426108418484,415.5371576066478
Bulgarian,350.2387382054578,373.1027761413156,398.0856305807309,372.59425379003517,314.7879532005322,0,373.7945419879824,277.7357667246015,328.35872398304207,360.67696934753457,361.1147163587084,378.1681805536707,357.79871126061437,342.81050200757016,372.4979955671096,369.8174886477275,392.7878786320601,394.1064177953625,361.2771770876034,356.80639507818677,374.324768522865,403.57346998217105,443.2695746111343,269.6896577046135,378.05519414020046,376.71187041311083,364.11589489898375,358.6700599692001,389.7477029593721,354.82011938673764,354.1202457847904,370.3012787062563,316.2200102256583,288.533389042919,363.00140913451276,306.5255349443556,324.12687032694186,353.4104274364727,371.6637890942338,319.535027557823,360.16575525865653,381.07396874904816
Catalan,371.69208982235256,379.19350127742274,411.9849908926122,385.16847865420317,416.9532042048395,373.7945419879824,0,372.98133475451846,400.3258837088485,367.7609505823727,377.36455534538834,379.01557807753164,334.87206177541253,290.561455082899,389.23476094354817,381.25066401478057,407.9289616065366,410.62335081427204,381.7447244434864,360.92548609272546,347.14373328275366,442.68792465659334,485.8935915739221,381.8478604364609,384.51837733597597,388.8801442843285,362.397491443598,371.9333092665137,405.3460735177063,429.52865065790104,309.4296219120006,350.1707300484641,400.43627396041137,387.51922424638286,377.0880233639434,374.96398569499445,390.22898867077737,295.53608491309916,372.24432507418857,389.8570762450866,382.6824577835641,405.11602632091734
Croatian,352.2884704456684,374.59854504292474,387.3786474175214,374.28857119503704,241.70948587177827,277.7357667246015,372.98133475451846,0,310.25139458518424,358.36478298590055,367.96613263548943,383.79004525979195,357.94916673528115,346.0804136687537,372.2919830362913,368.5818312623694,393.35023660777864,397.34874179708225,362.2159279710206,358.85726773704744,374.7980888796957,405.40734033505265,424.67924524313946,278.2394866221497,376.2473347778683,371.3438284922162,364.80980832612545,353.895882410435,384.50410238393823,342.2040413174423,359.08909316703085,369.9456257120604,309.4467404948457,221.76342049172933,357.27302317747586,286.7570199613621,283.4733427494678,353.9075344165713,370.4841055325119,297.57345279209324,365.99936149969045,380.9527342006363
Czech,369.1114739808164,392.9094986787354,420.11821196947375,393.94441323237004,337.48310974689065,328.35872398304207,400.3258837088485,310.25139458518424,0,368.47085057081955,380.24326041261725,398.9591452774485,371.1670822361195,370.45398917412564,389.85646185870576,395.99279882014815,419.867349819929,424.3740166270274,379.7335783345224,375.24691545255814,405.2294795878732,406.0457524676779,458.13226258178406,336.17404638541245,406.6085221776351,389.9565307093328,380.72310008377303,373.1206307578697,401.6899576828179,342.88956906271216,372.90995461026785,395.43532166777896,328.63601175041435,316.48443058813183,391.79999900351214,253.73457221502667,340.515446271514,376.6222801025354,393.3816752795806,319.2813418364858,380.5007797726169,398.9816914846001
Danish,308.2290403388814,370.9033477547987,403.5572714753178,378.48945108272113,392.9868724927191,360.67696934753457,367.7609505823727,358.36478298590055,368.47085057081955,0,326.4617997599625,330.2781060445379,337.7306291673486,335.9989506526028,319.5373438625173,368.7032804676781,389.9850923677445,392.79458042629767,310.56603283428353,330.8074236569248,385.62324889969904,415.73929005963174,481.2434044910694,370.48413570293417,372.49353122739956,361.3309615564885,278.43304128758433,342.3842613016368,390.35016893451905,411.8855686775854,347.75458907925406,369.45830787832256,377.4394961169952,371.4490497690293,362.39948903956696,351.15816908983885,364.26688849442314,354.965965286111,306.19927556114476,373.66212546476373,360.03059328044696,377.3384943517467
Dutch,258.987315988983,373.6331679599762,405.67567405959284,384.47913338939975,396.93028743469847,361.1147163587084,377.36455534538834,367.96613263548943,380.24326041261725,326.4617997599625,0,331.6029131230773,358.7286794182205,353.4023021180151,307.15539116263255,376.9537570830719,397.37380819654675,405.70337044647295,338.7796994988372,350.7758555121449,397.0829412665509,408.789143647759,473.11581916167535,371.08353708127964,382.2593926380867,373.87911283109315,323.76998229633375,357.2263527941797,388.54009779298997,420.6959821234746,352.26161187285925,384.8067407106059,387.82299530065046,374.6840477280691,375.1021181592978,367.72953263462335,378.01076428950495,364.9735848666802,334.5103693385631,384.78323725914635,368.95925624539143,388.6071652947314
English,321.6521651781931,396.21072796399505,414.6164238751703,385.87315657883926,416.0815765539555,378.1681805536707,379.01557807753164,383.79004525979195,398.9591452774485,330.2781060445379,331.6029131230773,0,364.51141378554115,362.0013581739835,344.7044485671965,394.0899901433262,396.25545275856547,412.17249364348044,352.84623916999226,355.2238375923171,402.41283219889885,418.973001723646,480.61624495715057,389.19228813398934,385.83803815152663,381.9077396555408,330.6744681342327,375.06709676514953,408.0418757997131,428.80372526991687,367.2867533688757,392.9408138626061,399.0342970638898,389.90230070766535,392.11897547272616,379.4302713401384,394.30961018678073,373.3118097576425,347.87534752858005,395.77610642062245,375.0080029231748,391.016014232964
French,341.5575488282333,359.3732373363278,395.76864434452904,372.3768378612918,389.8404039481516,357.79871126061437,334.87206177541253,357.94916673528115,371.1670822361195,337.7306291673486,358.7286794182205,364.51141378554115,0,311.4705915533028,363.70318649033067,363.05823633501564,396.3046592466893,396.5617066119084,359.7293525005241,334.62938743877623,347.784484401611,405.97412081877536,472.45445354977437,367.83344532319944,368.9816540225975,364.7664560928669,351.435289718713,340.1899162464509,385.59019825432364,408.89292913144334,322.74811712022404,354.3278881193293,375.18148776366536,367.5399457703972,360.0204877203969,356.6354972032725,369.62999560595546,328.3980226495897,369.1894041704878,372.1267448871424,358.25765355185234,373.53756086480365
Galician,322.43290240509884,331.36082397702506,379.57696842105634,359.3847090889973,383.8708645307785,342.81050200757016,290.561455082899,346.0804136687537,370.45398917412564,335.9989506526028,353.4023021180151,362.0013581739835,311.4705915533028,0,362.52374768485254,360.5770942566515,379.2774869018567,386.0729377343129,335.4122974343946,324.30515354383544,329.1720842296569,407.41658684599116,461.6854799065473,351.08833863564155,355.21679646340345,353.1584257340539,343.6193158606225,328.2329843478039,361.88079609727663,407.78189472641236,263.84416751723705,335.8298271232042,364.83427915031655,356.4758732467861,327.54105032339635,350.00874434090093,368.4270605774041,242.05695339365417,345.00655936061656,360.61415625441595,353.75831185781095,374.74343378528977
German,318.22618810323627,385.2821590736786,404.26214679196295,389.44995232654753,396.19346157707264,372.4979955671096,389.23476094354817,372.2919830362913,389.85646185870576,319.5373438625173,307.15539116263255,344.7044485671965,363.70318649033067,362.52374768485254,0,379.1323215733245,407.3044701029147,411.61702572875134,344.1071792107742,355.99421580607594,393.82807319711225,412.0050728253688,475.32240297999164,380.6969374063819,392.12129056956303,380.74586573516194,338.96113263454737,368.86097626109296,394.8219604668921,422.76959219090423,374.1553919472547,385.64011952972834,393.2675219712748,380.0310892979085,387.1623815159485,373.60409268105633,387.63854130068495,376.73055247212324,340.6956996167423,390.2671546371977,378.10903124814945,390.7148590450951
Greek,372.149118293982,383.3821901302466,392.9897923459419,384.03787207099566,407.5504605829415,369.8174886477275,381.25066401478057,368.5818312623694,395.99279882014815,368.7032804676781,376.9537570830719,394.0899901433262,363.05823633501564,360.5770942566515,379.1323215733245,0,406.4786690356037,402.76900359762027,369.71260122958785,364.8566250355865,382.42177205935957,417.64713191869834,470.25531478471277,383.2749809958049,389.83574679989596,372.31341734857153,378.20505019403186,364.4806048720675,405.7379258203006,427.07204453937436,368.03615881517794,375.48104640663735,392.01234256940234,387.46423781875325,369.31140773819857,376.56268369487174,391.08918099042677,356.8811513914564,386.81643017262496,381.5132076156517,377.3387655481472,385.82558789636755
Gujarati,382.51113695894924,392.0928829776098,430.65071403650484,332.7052089968002,427.03442936885654,392.7878786320601,407.9289616065366,393.35023660777864,419.867349819929,389.9850923677445,397.37380819654675,396.25545275856547,396.3046592466893,379.2774869018567,407.3044701029147,406.4786690356037,0,316.2173421694512,402.926824664439,387.9489932274254,428.8044682348992,452.26944301389904,493.63121709331693,396.0227142577591,285.55217684213267,336.02841444497193,394.7208628670428,369.50549362409646,416.452201936242,450.71833508626304,405.6537592003713,414.3502435325561,419.101221912504,402.3406432151977,380.68951566358874,402.49353692219023,411.6892722532203,393.7762410085702,396.283220358843,409.5073259738818,333.4524105626525,432.82211086103905
