,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,5237.007002809636,6942.075364271966,6267.690903290711,7134.201420724998,6870.307443665273,7167.850228198226,7430.285993885143,8346.916528976295,6327.674850674149,5457.128841156445,7252.9664563196075,6577.291905731777,5249.586565166643,6090.767060797468,8217.830608319311,6903.871271746734,7970.480783221579,5099.624558183722,5955.584431225806,8163.538716216995,7758.566955028071,7046.314971464199,6320.578755617651,6425.764885725135,6287.774333381527,5572.565226672354,5669.071700093687,6077.266167190942,9017.77039108993,6873.335136923375,7259.5202698722915,6705.205093656595,6396.4168396840105,5545.510319096113,7337.200093580933,7956.306592163276,7986.174273797689,5796.690819088281,6773.945961670069,6532.343650090505,7892.259933997622
Albanian,5237.007002809636,0,7008.588189945684,6240.621568540423,7364.897601568907,7308.11027900619,7660.961318986741,7846.66062126164,8782.506006911135,7412.451891491504,7466.821496684879,8823.917617124067,6972.155909755303,5344.949466401919,7246.590676232826,8383.765693058254,7119.300312217226,8361.64984405317,5934.356938043733,6058.513996208889,8744.2878436977,7897.257239564403,7208.775258958355,6536.276119002304,6626.103456453692,6164.7771093101765,6709.324940071089,5691.229128843972,6108.899269866594,9340.703712575207,7104.655186014461,7656.022642112879,6801.913645898099,6694.042644170557,4962.438816672787,7527.358646485854,8598.686328955133,8263.587760025513,6810.441220919496,6845.357895690122,6636.758283671749,8316.365461551206
Armenian,6942.075364271966,7008.588189945684,0,7511.875082814492,8027.187089250399,8231.24399878622,8380.968289396818,8286.882607428022,9273.734910912064,8553.667218744771,8448.000074375746,8944.504674362486,8033.707518397356,7123.16865148513,8115.166828963651,8786.320278553829,8070.914454231089,8841.028897561939,7051.298617802002,7653.063575486365,8986.767300061652,8470.671454601701,7741.084399438128,7497.143402248714,7839.13538506373,7394.341619614037,7797.812982628234,7022.58529557166,7228.210988882246,9576.231842647838,8066.370430659604,8330.980583620043,7826.635211664494,7535.978573623243,6960.905642559826,8385.452757372272,9042.498157033246,9028.378448862843,7681.4871143709,7735.781723980357,7615.895907731472,8444.5790342221
Bengali,6267.690903290711,6240.621568540423,7511.875082814492,0,7956.20740063707,7369.81057756278,7461.900340373803,8005.799905787288,8684.978368460439,7909.094809584689,7505.284889731444,8151.026184805827,7223.161943031626,6427.06096056053,7479.367614635361,8091.879106207555,6156.079342773571,7001.387369343156,6688.916599505361,6665.692175944968,8518.068605998285,8532.218233491769,7568.127693263695,7008.949816683888,6059.9910739092875,5929.912235302525,7179.732414689595,6501.057482295092,6848.156285910677,9087.581659461692,7086.204394544275,7866.967663173471,7521.830124443968,7124.921518501841,6311.403656818521,7843.920506496667,8703.283525306628,7775.91325064213,7100.321847512151,7400.415723615297,6002.307026508303,8172.922093393376
Bosnian,7134.201420724998,7364.897601568907,8027.187089250399,7956.20740063707,0,6926.1556012959745,8764.11364819818,5837.804245642447,8218.901336756113,8562.584330889093,8468.65553796421,9392.39393031463,8159.343250179204,7427.364978265083,8464.168970641253,9220.603641055777,8647.290391057291,9303.322915107006,7516.1499330705665,8078.686740583194,9140.669187738818,8173.969566911081,8052.273256039148,5565.084984000062,8316.977665494118,7759.016187470832,7698.504243315068,7607.156179893675,7733.506185797453,8288.87452559446,8360.001123359765,8702.732702402041,6294.632591165883,4494.081674781124,7422.882256476057,6842.9016565993525,7281.474491784492,9142.927575566271,8041.645990933405,6366.45016073412,7947.737124461187,9117.449508241101
Bulgarian,6870.307443665273,7308.11027900619,8231.24399878622,7369.81057756278,6926.1556012959745,0,7674.885161310173,6252.032712975041,7544.738481011468,8012.370023099732,7875.2126404455585,8220.43176643583,7577.347228729874,6683.931940024867,7878.923184746404,8306.31897991025,7767.477138085247,8371.419039019187,7106.047788154852,7470.128669567512,8166.148599876941,8867.500962721615,8203.25298038672,5475.130073657827,7430.175161560861,7829.27298865085,7520.137184811604,7192.521628263158,7573.809330898911,8495.740640908032,7704.766738134216,8058.21729773459,6580.8723336628,5911.688755912371,7242.6489305397245,6865.304922644295,7319.9145583396885,8140.751664605231,7582.192118820409,6646.892893031452,7375.809012355233,8090.093200336977
Catalan,7167.850228198226,7660.961318986741,8380.968289396818,7461.900340373803,8764.11364819818,7674.885161310173,0,8280.652797920704,9188.579919168935,8227.3535436263,8073.073212109618,8186.36308863536,7192.350526781832,6090.125178605031,7957.329339834804,8362.76335006423,7636.4307397501825,8270.849522132305,7411.928174720016,7404.209923625381,7148.30513386872,9546.66322674329,8490.865701060387,7646.714158756081,7382.191170966725,7996.505803946414,7540.992761134934,7597.124460275812,7862.848563071527,9779.000654485691,6378.2402517090195,7667.840949396818,8194.053766329605,7803.889924328528,7582.480169280856,8383.290518036209,8907.56088712497,6393.210111193705,7614.884992842687,7995.453624079255,7589.058093610386,8299.455623419197
Croatian,7430.285993885143,7846.66062126164,8286.882607428022,8005.799905787288,5837.804245642447,6252.032712975041,8280.652797920704,0,7358.086681857629,8423.696209665457,8377.74635945414,8873.245444844182,8161.832005373179,7491.408320500006,8346.568480581283,8936.342640858284,8331.148244261143,8886.75909141993,7644.113905395133,8074.759561980663,8765.406420661664,9435.569332451958,8340.370206987882,5977.967506614424,8054.854559805056,8098.824465677986,7976.209609565362,7668.163690792146,7952.908119790554,8518.10415901106,8167.964930403903,8649.163715672483,6927.914516078508,4995.072594193133,7781.347797292794,6582.805017326001,6828.235038798125,8697.915966078664,8105.424683492156,6694.2268074699505,7917.765482874834,8655.566452071096
Czech,8346.916528976295,8782.506006911135,9273.734910912064,8684.978368460439,8218.901336756113,7544.738481011468,9188.579919168935,7358.086681857629,0,8819.400628900214,8883.739068743509,9757.270463396791,8930.976459694468,8434.339755289378,8926.158416445578,9606.88801092896,9172.428491019897,9680.719933145345,8497.162045854478,8726.55207055687,9511.769762031392,9894.225423404783,9405.769471894233,7577.8157790869955,8952.583556266865,8795.605217833172,8722.205276987537,8457.811405615306,8720.79603819519,8588.835111284641,8785.212454772241,9441.619152832722,7791.660976865909,7372.37628137824,8858.514719295934,6225.174361343406,8004.662194257217,9375.457534402369,8985.149279845216,7336.08605429089,8686.226563919276,9345.75657004926
Danish,6327.674850674149,7412.451891491504,8553.667218744771,7909.094809584689,8562.584330889093,8012.370023099732,8227.3535436263,8423.696209665457,8819.400628900214,0,7408.032736421372,8500.743771701797,7748.074877860605,7071.2422105646665,7257.138496902659,9118.484660046588,8357.539624113973,9135.00454018754,6274.912031694964,7475.955565049385,8831.852659309063,9363.246129660243,8822.23134486638,7783.968245803458,8077.539117179268,7841.318125834406,6047.7251970578245,7440.608944654502,7776.597727690291,9832.777901951908,8184.237699801913,8575.686242620719,8164.083346621757,7922.502381668687,7414.391549462417,8357.789479364545,8657.127578790123,8858.20827711519,6695.686899327248,7936.6317331129,8037.490161255334,8681.350751471457
