,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,347.4106976368095,391.996430327887,375.89224019020617,394.9456741143336,352.5672432177587,372.6863748581362,364.7990002638414,384.72919993503155,336.0497445109156,304.59466637760767,331.96463065710964,352.89794214629865,332.5702170473248,332.041213083285,380.9815901730201,383.1025108807217,400.64929814429826,320.7199995498024,345.2307919335797,396.4138002468238,432.65210743136356,465.61918205197685,364.6525474748451,373.2300064404911,372.4999642571681,312.54100596328624,340.433002573905,374.6678280298937,425.85841113702054,369.27591494476354,374.733557357821,372.0696857381592,367.7614087016986,358.74942940690505,368.7286663612031,383.77797048261266,363.11073133506693,324.40388587439315,375.23065897482866,375.5923239301719,392.0651564081742
Albanian,347.4106976368095,0,396.71110165615994,378.4344304141182,424.7655091846875,373.9816727554451,380.4738882784762,388.11683559073083,407.60706444598435,401.63758255020366,398.67869108577315,401.7889241884293,374.39384113283245,338.3498009509538,399.9535211766192,397.92733813375315,393.99964151069844,410.3251366242283,375.44237475182115,352.58777476138397,418.93855047240885,457.9715436519415,476.6914321797185,384.09968178172744,371.8355964045957,389.44072678433446,381.0460334789882,344.6433506579155,376.5207014123868,449.48728898135005,389.1656230395445,402.33145120284337,391.93436144938255,389.82705142622115,333.64881494931166,388.4534866682338,408.79849761974054,376.31772621473345,377.9406027661781,388.2502614521197,379.1012812996072,418.1635021009044
Armenian,391.996430327887,396.71110165615994,0,434.5269385517305,421.0505261313299,422.29144491725214,444.38424387542705,420.06658904687544,450.63820234011945,451.07878915979956,451.43050403415884,445.2617990275812,422.82053374022803,408.8444364399333,431.5717858402372,414.1470789273507,455.58558677454477,454.16166875616034,397.64707655753466,412.12988071077183,439.49871379829943,459.6018375113947,491.22623341982853,430.91751694747063,438.7157589097047,426.59177522091227,416.74563111158193,397.126652221253,413.3317345870406,480.13306720087877,443.22399559229314,433.28991657959523,428.9859078226552,423.8989722650958,398.35077928931275,432.17953838714976,446.7704359859795,435.6525228960455,425.8672948446387,430.68260558300096,433.4283005681562,443.19238382935816
Bengali,375.89224019020617,378.4344304141182,434.5269385517305,0,413.2557257360605,348.25236520928166,361.70125495154264,361.662124736589,383.2442527827545,368.4675137888445,379.3333584835245,364.65451407613523,362.447150823486,352.13033348102726,369.29039949411936,379.59858773119595,315.01062008684397,329.12337359713615,372.61397567368584,363.00702754861345,386.27196445791856,432.94844873340134,460.473315414157,350.9118718875472,317.87179822150875,346.2679572264281,381.36757572672707,352.7615609465102,386.9506980097149,408.82823278165387,370.4589506148166,372.6485755639361,378.5106423901814,364.4052003167626,369.68367047990824,368.50971561229096,386.1484063525264,355.9816859627361,362.05120775743046,370.6059351072443,314.42523439108425,388.41067352289065
Bosnian,394.9456741143336,424.7655091846875,421.0505261313299,413.2557257360605,0,352.73860793720013,433.95029431071924,299.93815030752603,372.33709633080394,409.31701198931825,431.8956766958202,421.90869737735125,398.86471928432195,416.5554553748182,412.70303173708896,418.0205883116357,440.6430116156569,427.3905330545607,407.3289430378485,439.19083063828197,406.0516751173218,422.36017075063495,461.70663806895806,333.05998830797006,434.2178114745486,381.2158321955709,394.0696973068379,419.6045791028461,434.7678445787476,373.1920098992743,418.3197182035552,396.7579646458136,337.78690327529574,267.0251850964241,425.8351892077851,334.58836277725,349.6986546881057,418.8189914796458,414.43840916167966,344.08261549130765,410.707350082279,427.1730548441634
Bulgarian,352.5672432177587,373.9816727554451,422.29144491725214,348.25236520928166,352.73860793720013,0,344.3014381055471,274.6721053736469,325.48299425501216,346.2023475749679,353.55278533835076,345.678238850891,350.6907773753911,327.58297354327254,353.48127011832725,367.2663773840565,357.46851888006586,370.3299698157634,349.05886553194614,348.15619889281817,366.6575274426709,432.1484438438315,439.2811214529971,259.90257547898227,342.70471705245455,394.5854176941063,366.67582674527625,345.606238486636,375.92804008146675,360.6872942377761,354.55134667183194,361.98689209720663,313.42426683567624,289.38875854383826,372.1075332878135,310.16131758456737,332.59504938363153,333.2312856377587,346.3799717231579,306.2721141430375,341.3717240084808,355.9908011079836
Catalan,372.6863748581362,380.4738882784762,444.38424387542705,361.70125495154264,433.95029431071924,344.3014381055471,0,351.8065316115801,388.6204418600309,346.70796186978345,363.9937425160075,352.657760727807,322.42483893931865,286.8382266713321,366.7095292116952,372.2417052308894,373.5022040612534,390.37706300152496,368.06410276772147,346.8578424196241,343.8731817823207,455.7940598034572,465.8078490098292,354.1094786766027,351.91276263097103,410.2418328222193,358.9243393169958,363.00646999196806,396.34529309513016,417.5293604811734,311.58021370353094,342.88020033862614,384.2359069382737,370.73191670635987,387.0576936830455,361.6655195513426,378.5300823294058,279.1969086528603,348.7139045651907,370.5131207654838,364.8314288398855,381.8007038317675
Croatian,364.7990002638414,388.11683559073083,420.06658904687544,361.662124736589,299.93815030752603,274.6721053736469,351.8065316115801,0,317.19960498753267,352.290320149953,365.7731710847549,366.10350317764016,352.3516286633747,346.84618814095273,360.3519540077546,365.03956705579697,372.0578355659112,379.40806872920626,360.41846573266656,363.2451351474348,369.1587837539931,430.6933730904865,435.64371769167354,281.90739889313556,357.27064361453444,401.43729619765503,369.55689459591736,360.5962560780195,380.8511340282587,341.8879382675791,358.96423092511066,361.42599381724244,315.8093964932293,246.23497151990318,380.88162312933514,291.4076023364134,298.7073702122563,345.92548164449835,354.24791988471884,301.15385313148715,356.2842677065667,370.81754668853335
Czech,384.72919993503155,407.60706444598435,450.63820234011945,383.2442527827545,372.33709633080394,325.48299425501216,388.6204418600309,317.19960498753267,0,361.0837813887813,374.2542554343024,380.3547220783834,371.4347881140746,374.64053172944625,371.83794047498816,394.006609368832,400.8901488929628,406.64704583612433,378.8363050461371,389.97832239085795,392.90726362839354,437.130001999989,464.117299256642,330.47000853869577,392.01972585628636,401.13569356611777,392.858755666038,378.09202801820203,406.0491286295273,355.7792661542917,374.1725002333812,386.90349218360797,336.4134081274678,318.5683907141326,418.588030554485,274.24120335621643,343.7787144222613,371.48515738442455,375.9348102148957,322.1743321363692,376.3483736767635,390.6496035657598
Danish,336.0497445109156,401.63758255020366,451.07878915979956,368.4675137888445,409.31701198931825,346.2023475749679,346.70796186978345,352.290320149953,361.0837813887813,0,325.86731341547596,309.3325126289741,333.561683319728,346.0276873552817,305.1174881901976,364.6810643397974,371.0095128879192,379.03022290359223,323.4022490427063,342.11110413544696,369.2313734510195,446.83332371423137,482.6997529843761,363.1224789274369,358.3766869438297,381.85777794565774,292.9904976097397,362.95038596524364,401.8398537379216,404.97527326737236,344.30396038586446,351.1547320075892,375.7537484077627,373.14962362693905,405.3211682012997,340.6598515992407,360.3930509007327,341.75019703866593,304.0302049072628,363.2351804787529,361.1848946510659,359.91984211512425
Dutch,304.59466637760767,398.67869108577315,451.43050403415884,379.3333584835245,431.8956766958202,353.55278533835076,363.9937425160075,365.7731710847549,374.2542554343024,325.86731341547596,0,323.4120549479535,362.1260194228735,359.78838544913646,303.3902412644793,376.2921763480004,377.47958909703743,398.36051848972943,341.9604574521338,364.43204277409546,392.2941632182841,453.2956788917639,474.3809055394956,358.74765193246634,368.15647803411065,410.83605050706404,345.17406113585986,369.5939144206272,396.99502229810616,420.36082368006345,356.1725119898387,379.4993530708047,387.3690693067138,377.64451075882863,410.99745863220113,365.40788371741996,376.286901643571,352.28147746713427,332.6150411075311,374.609958207474,376.76410917966297,391.18744275861343
English,331.96463065710964,401.7889241884293,445.2617990275812,364.65451407613523,421.90869737735125,345.678238850891,352.657760727807,366.10350317764016,380.3547220783834,309.3325126289741,323.4120549479535,0,349.3686900812699,345.72829938062273,324.5171391598045,381.84997480037,365.20528030519677,387.40529101581944,342.4588114451172,354.38857516418994,373.6278982817696,447.2781613540708,467.1794140291236,363.532171742788,359.4813250804524,397.8095627489618,327.7062823843528,371.8705300077371,399.79156078447085,415.9519223376254,367.1622152974353,365.26725841813857,377.8286388431867,375.24302118867394,406.50949228078304,370.69742012163647,388.383110029938,353.07462053320796,319.9800418588058,371.8922847892657,363.93786903307,366.7530419050328
French,352.89794214629865,374.39384113283245,422.82053374022803,362.447150823486,398.86471928432195,350.6907773753911,322.42483893931865,352.3516286633747,371.4347881140746,333.561683319728,362.1260194228735,349.3686900812699,0,316.9968871127606,356.11975773217415,354.52424387948497,380.5626702869933,382.0534406661185,356.70072869758945,341.87280892268967,340.5538061844853,428.4467904020619,461.98621753849477,357.47316455193555,355.73277591638026,377.71848187686356,351.8794350736704,350.43566148158715,388.16703692161104,405.63763910484704,325.80556629552456,341.1103859063737,371.4238760239797,366.0179514795466,382.94430239272594,349.2254598081621,367.96645790573615,315.3254607228031,357.0166258644313,368.7884429656075,356.4254359560119,366.91629610479055
Galician,332.5702170473248,338.3498009509538,408.8444364399333,352.13033348102726,416.5554553748182,327.58297354327254,286.8382266713321,346.84618814095273,374.64053172944625,346.0276873552817,359.78838544913646,345.72829938062273,316.9968871127606,0,360.6572996327859,369.80869016590003,364.7545749236927,386.30123959611046,336.02319548019295,318.0934823739171,344.1370700356179,441.29859597846973,458.9097981779448,341.4819721401716,342.8115000539901,391.31696843887727,356.2708353286233,330.7937901535571,356.49636599757844,418.62966957063406,287.43502010264564,344.2908135770124,366.17046431866953,356.55645120596,337.4890577314726,360.2494460527984,380.10178873106753,259.25007071618126,332.5392164867996,357.18881377839216,352.4946581982275,365.5324770131932
German,332.041213083285,399.9535211766192,431.5717858402372,369.29039949411936,412.70303173708896,353.48127011832725,366.7095292116952,360.3519540077546,371.83794047498816,305.1174881901976,303.3902412644793,324.5171391598045,356.11975773217415,360.6572996327859,0,358.74989043606007,376.8282827323657,383.3923105519907,335.8536663737867,358.07227613703276,373.1574304854207,437.32568345253674,467.9637116804005,366.5350088053747,368.1110491134388,392.29445482627307,346.3223433172463,367.8325238736134,397.3722495131564,418.1010004276806,375.5758403863046,365.9144457870016,385.93580522525974,374.79253722427035,407.16040856230865,363.72673696540653,376.897073574845,360.73286511307725,323.28464036751336,372.74539796662077,366.9732746974509,376.47565141707906
