,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.8504450044783304,0.9409447148872755,0.849071944564195,0.935447192542999,0.8530331419409845,0.8571950104140611,0.864149876624805,0.8583311210500172,0.8337594625976215,0.8528540468596257,0.8771896988119837,0.8340111468604559,0.8248562380642019,0.8705204409599371,0.8653970982334215,0.9012226236920047,0.9053364216852655,0.8720177967347487,0.8141162877814436,0.9181336869137287,0.9442321374269246,1.045914506448933,0.8704669293371434,0.863471769833161,0.8954260298277273,0.8300812229743785,0.847943200598802,0.915660721980503,0.9679019594357612,0.8520814545974541,0.8734756825053952,0.8930113303294085,0.8639380216863892,0.8572523618534595,0.859580698721951,0.9083033451478747,0.8443475204519416,0.8587908169864396,0.8844710849572414,0.8369237786523354,0.9327755134306157
Albanian,0.8504450044783304,0,0.9356836879525914,0.839754772624065,0.9192098453092611,0.8331315134135874,0.8530349729977852,0.8414324604815381,0.83663385796688,0.8271269248818115,0.8694536995199567,0.8727726957534513,0.8202591577826318,0.8090288230407069,0.874003485945029,0.8586635843976617,0.904769069380091,0.9115727024806993,0.8793381892887974,0.8088228101708209,0.9092471851242855,0.9315425019483974,1.0383271065784938,0.8535946091869497,0.8620360198840878,0.8869282888071924,0.8212683123219281,0.8500124425649301,0.8980183965863745,0.9608522042756685,0.8352086405570994,0.8583109935563652,0.8725500712643139,0.8455426809068267,0.8325321787273499,0.8400873854587989,0.8972213673054416,0.8208544731432212,0.8480398196092991,0.8596613843604759,0.8183743241862783,0.9229879300009665
Armenian,0.9409447148872755,0.9356836879525914,0,0.9346572960613635,1.0022697144798889,0.945564103484737,0.9500446355355628,0.9492091063369283,0.9419928157610972,0.9426575042133085,0.9599900102408451,0.9695326054915115,0.9309526683369055,0.918179178599363,0.9605805703668273,0.9468564683473354,0.9859088959296162,0.9866911825208428,0.9586361249393095,0.918681232048937,0.9846026589703788,1.0098919938117725,1.0841186050557898,0.9504848549628034,0.9514706939744552,0.9658557262862492,0.9392638852613785,0.9403515507685886,0.9794160137018406,1.030412896642892,0.939995473084321,0.9572962317547865,0.9694771900590243,0.9458683277211741,0.9299026816152537,0.9500241869551993,0.9908331462022467,0.9257355217862533,0.9480056510297917,0.9604934433372214,0.9235808157520842,0.9936793028052292
Bengali,0.849071944564195,0.839754772624065,0.9346572960613635,0,0.9167868460859512,0.8346904785984943,0.8505514384121942,0.8441828552823176,0.8466402422012275,0.8296122768062848,0.8692208733625825,0.8698634004476756,0.8199917424994884,0.8196877328389809,0.8728129208467703,0.8580595143083813,0.8933219935083192,0.8973460259909193,0.8780437172629705,0.8111517209477668,0.906288734051878,0.9291991028473852,1.032794833222503,0.8549233343424667,0.8537907023334192,0.8720252131145261,0.8253166815617872,0.8494467824580901,0.9047424321758141,0.9583228789068197,0.8402083676893042,0.8615750297756449,0.8768789913462691,0.8483960426061513,0.8449286989101802,0.8465337567078363,0.8961239850212219,0.8270016841546203,0.8489221769863877,0.8665502002355829,0.8144039317643265,0.9197253702456465
Bosnian,0.935447192542999,0.9192098453092611,1.0022697144798889,0.9167868460859512,0,0.9028151213340249,0.9297763025737017,0.9024592680992468,0.9132212507157472,0.9129011793525736,0.9437599002354629,0.9384580872068354,0.9102130898323727,0.9009353088957949,0.9484865899112477,0.9321973119625355,0.9786574971751268,0.981315317944947,0.9542461203404439,0.9021670062433744,0.9653972194798359,0.9914819170397391,1.077793877636634,0.9064606504232321,0.9451131281579831,0.9500854157195533,0.9087669626255979,0.9393943327388806,0.9691120106222453,1.0030706948464827,0.9201079828562555,0.9321315679799329,0.926416472646426,0.8899836056103718,0.9249745674931565,0.9166878964295366,0.9593464896865407,0.9078600247430331,0.9259843254272172,0.9097364873831528,0.8996516028258232,0.9771671074377302
Bulgarian,0.8530331419409845,0.8331315134135874,0.945564103484737,0.8346904785984943,0.9028151213340249,0,0.8487946374202102,0.8145215818274469,0.8239626286059369,0.8177944701334788,0.8619263536759947,0.848783923768623,0.8160757893405381,0.8180349675194937,0.8701537315298503,0.8532401895253633,0.9046514646764114,0.9041192477867309,0.880127785010396,0.8098721855103348,0.891660206797192,0.9224828811753243,1.030239054699389,0.8434799460068043,0.8636880783083173,0.8764984318864183,0.8178556893585902,0.8555522195315078,0.9027615393020161,0.9447958260602096,0.8351550326078739,0.8469662440725725,0.8655168751642873,0.8347725635040403,0.8395372359374254,0.8311436638655346,0.891296633472973,0.8243188691671827,0.8419513559423973,0.8487251287784096,0.8167718670394283,0.9043259654229687
Catalan,0.8571950104140611,0.8530349729977852,0.9500446355355628,0.8505514384121942,0.9297763025737017,0.8487946374202102,0,0.859653092634021,0.8583314818685651,0.8380503072219218,0.8761485392932112,0.8792764988880841,0.8292094391539668,0.8187704072447112,0.8809918691754312,0.8636017002383544,0.9088673113373803,0.9156468800558795,0.8905607618538603,0.8202642342208684,0.9108503218168873,0.9399488148011619,1.0457078116172207,0.8722274378025119,0.8706497073049193,0.8939082155017409,0.8333035420248289,0.860146032272631,0.9171059289520042,0.9712425705736416,0.8432528879342123,0.8656706157852148,0.8926060113105079,0.8627730563827718,0.8626317523559996,0.8583916804418539,0.9069611823675602,0.8297490138471052,0.8546668246644572,0.8812258696462315,0.8356785212958585,0.9328875721434027
Croatian,0.864149876624805,0.8414324604815381,0.9492091063369283,0.8441828552823176,0.9024592680992468,0.8145215818274469,0.859653092634021,0,0.832272239577565,0.8328135986887969,0.870673382787523,0.8635507549963631,0.8257461517561696,0.8265095767141196,0.8761128217662645,0.861482075337763,0.9124121200530741,0.9158715138394969,0.8909612089706809,0.8231384336686909,0.8978712595529195,0.9317670098730602,1.0308496270138527,0.8511704985741401,0.8729257731780203,0.884528513522246,0.8316628065807714,0.8684257361740829,0.9070549860561705,0.9475187474903388,0.8404229847860515,0.8607831703085117,0.874045598969966,0.8359628602183524,0.8484164435991731,0.8401182681363044,0.8991596396295358,0.8315341906308122,0.8522048839585078,0.8552167412181374,0.8268242826885612,0.9143082899864502
Czech,0.8583311210500172,0.83663385796688,0.9419928157610972,0.8466402422012275,0.9132212507157472,0.8239626286059369,0.8583314818685651,0.832272239577565,0,0.835237769736907,0.8680279727664927,0.8731186393254465,0.8263242795498421,0.8204204877657101,0.8710516430072194,0.8605070448353632,0.9101853510201398,0.9115289034782464,0.8836845269608314,0.816812382671052,0.900819980687787,0.9316946789591903,1.0320090279572587,0.8565327715440068,0.8714461047665789,0.8846125991739532,0.8278506810169801,0.8617315993388828,0.901065532706313,0.9444182283253967,0.8401913726012079,0.859177031330841,0.8733080845973565,0.8450201959676679,0.8479400363465076,0.8344683391160241,0.904573092651512,0.8311457952437601,0.8526841886321673,0.858289448349919,0.824977069245988,0.919084886641322
Danish,0.8337594625976215,0.8271269248818115,0.9426575042133085,0.8296122768062848,0.9129011793525736,0.8177944701334788,0.8380503072219218,0.8328135986887969,0.835237769736907,0,0.8570291919273982,0.8478021032168258,0.8068699552328307,0.8041806982528439,0.8577648346356913,0.8548288485695593,0.8961937605178358,0.9000250098700042,0.8685567442955566,0.7926721078907988,0.9023351661627446,0.9254467636704681,1.042385657453633,0.8496653397552223,0.8513640463087351,0.8779727206783973,0.7885563636052477,0.8427832248395092,0.9003522487602095,0.9586883713884881,0.8320162854907226,0.8481321213136204,0.8729887131557094,0.8380461317085495,0.8381600516874713,0.832323348184144,0.8837058763990377,0.8187391727720126,0.8308801670168373,0.858726994475832,0.8128782377155455,0.9152840624496279
