,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,5.090370691240728,4.380820029796374,5.779270362793212,4.618935259960067,5.641499479475715,6.015617424078667,5.489357696371688,5.470896910779642,5.638237797178547,4.3350196849402955,5.118665022764927,5.6899172521217825,5.46022057612446,5.23620676431739,5.809639921120397,6.017038732572995,5.892720397824161,4.855089224940856,5.92126614324809,4.809258907389829,4.933396421689309,4.19416780721293,5.219791451944191,6.02090415349165,4.784211169204884,5.481132205946693,5.5161724953901725,4.856581615457541,5.02907162332224,5.359303264489615,5.447500871049667,5.113748176429229,5.220451537761934,4.6689198000778225,5.624267525066079,5.779564898401699,5.476061895797851,5.165601783346542,4.991642115430361,5.550681741556894,4.44019385626702
Albanian,5.090370691240728,0,4.3170557890790855,5.291466699364395,4.634085049300548,5.347639021973867,5.593080703057132,5.204358647724503,5.310817010456673,5.412805149864659,5.095431172137187,5.501898325614425,5.16564523955022,4.8756232661637355,5.271498219974375,5.400221689605921,5.581523579697472,5.462656157559865,4.917769091423411,5.217691831172186,4.686294753075476,4.99970000145852,4.199613109269081,5.003051757439342,5.45329448795527,4.466746681533224,5.479611475914748,4.971072415780691,4.663281472677045,4.933904766968438,5.011389236445572,5.117121413540094,4.994967751177825,5.063570666061772,4.146421048247562,5.346789342061876,5.477162458318761,5.198362640968875,5.22467264951524,4.8959069000927915,5.052154377375458,4.422996625028452
Armenian,4.380820029796374,4.3170557890790855,0,4.565085774256884,4.297577520391537,4.591131244262357,4.7003381439359915,4.5193647473727925,4.513417426754004,4.6004324339607425,4.515300590840898,4.721058296823559,4.489547562071379,4.359373085874072,4.662904023092512,4.593968717763441,4.797558511762853,4.6860258600784395,4.2227531720989555,4.579472691540189,4.402074237957944,4.468406766667817,4.078424409114057,4.349991001417559,4.614367721198088,4.246795359801157,4.4402101296423595,4.353116259936776,4.276531118721036,4.5075697490702575,4.462604921117875,4.484332257770703,4.417467208649559,4.414678901365178,4.104351328436825,4.519562567476334,4.719074828394174,4.553785636653177,4.4073747153256395,4.361554115036292,4.440059146548012,4.261218403057607
Bengali,5.779270362793212,5.291466699364395,4.565085774256884,0,4.824917553503118,5.553639867447097,5.945044549512695,5.485144825015966,5.357667732268564,6.0302708950789485,5.615474444675615,5.785639370361039,5.637099915275508,5.526691313493387,5.712935615404419,5.700728063318801,5.411480596477662,5.246468087906503,5.307123766421615,5.925163929773725,4.774383147868947,5.15659298949872,4.253158369561916,5.21046140969293,5.420557463146762,4.325883532810631,5.954393290665768,5.563887857653449,5.022887129415584,4.964502674021237,5.41764191277537,5.464621121558446,5.207223577676314,5.31526682944014,4.7225709106329425,5.576159928087261,5.8619318945999135,5.422688791309751,5.557307726967171,5.014829950023442,4.9683648441668025,4.622230376747842
Bosnian,4.618935259960067,4.634085049300548,4.297577520391537,4.824917553503118,0,4.210687971943749,5.015087817697739,3.653680116003059,4.245659873460347,4.8260973853325755,4.732991788332906,5.022013051660511,4.712399096949107,4.676723700864579,4.930340814868478,4.936146683941982,5.07690432880568,5.011186562694611,4.498929236117983,4.977038010612364,4.413399595724643,4.4735522989349334,3.933340901499101,3.6802980093311626,4.956749227552577,4.473033538122268,4.765863224351559,4.697510211188645,4.500910129470049,4.079055269290373,4.6877621929904345,4.633568916179422,3.909059451358425,3.1261244490000877,4.4054204084330015,4.117525309715417,4.279917914962536,4.7525973988263015,4.741846807498069,3.844656616176021,4.72433268097922,4.4230174497079
Bulgarian,5.641499479475715,5.347639021973867,4.591131244262357,5.553639867447097,4.210687971943749,0,5.88505732414269,4.5557800869373715,5.017309187759771,5.969077947041262,5.579328179288255,5.611682494547565,5.612729269033495,5.5119774557837635,5.741406112464106,5.68184239646354,5.93685090999702,5.759405498387213,5.303200577118141,5.970998940428529,4.617591011787324,5.081811756260249,4.125151322845825,4.333818815780233,5.9051488345897925,4.912532978357409,5.895200680753393,5.5594542978203645,5.083150254502828,4.564926225167481,5.542503013946524,5.332699830028825,4.689000820888019,4.606119886562522,4.858667219884776,5.100905917788192,5.127075162745575,5.412760790693238,5.49780464316363,4.586211954953258,5.397769581550877,4.472301462911938
Catalan,6.015617424078667,5.593080703057132,4.7003381439359915,5.945044549512695,5.015087817697739,5.88505732414269,0,5.72279429509758,5.669316942718688,6.345515011720402,5.807113412297453,5.839071092054463,5.570737492558252,5.268933885508811,5.928550051867701,5.939671587890657,6.2292174636779345,6.0670443553124045,5.4854310408260725,6.29103410568871,4.483800286707402,5.316229541520259,4.352403355810023,5.497078717773369,6.219694250554855,5.193683644423208,6.120365018460018,6.0864263772804135,5.322343918733406,5.231348280196295,5.060496237338337,5.425871765096002,5.442223610191178,5.587977975936073,5.13044233305528,5.899214993528671,6.122973429754167,4.9201054686736185,5.820473657306222,5.286530211920906,5.772841853193786,4.782644299778643
Croatian,5.489357696371688,5.204358647724503,4.5193647473727925,5.485144825015966,3.653680116003059,4.5557800869373715,5.72279429509758,0,4.706349139322351,5.640542463915923,5.423090284154153,5.533726773990257,5.404700617939989,5.401182673786587,5.610177211319806,5.595965073152133,5.829906722536358,5.698212555247564,5.165272651284928,5.8000454999321,4.627380056297786,5.083570040029798,4.0940189120715536,4.300322744762678,5.687629440474419,4.78147001228236,5.685036282929199,5.339335011703333,4.952096868070692,4.437995593457649,5.398744012089082,5.148447882461921,4.583813405357464,3.872890304665579,4.747006410064054,4.6737935061518785,4.636652428737605,5.32146988599003,5.365387558516559,4.333912516534614,5.350602215949738,4.507220620658108
Czech,5.470896910779642,5.310817010456673,4.513417426754004,5.357667732268564,4.245659873460347,5.017309187759771,5.669316942718688,4.706349139322351,0,5.58683283814502,5.42439796398499,5.456996508697581,5.448196358117475,5.457014772011897,5.779985660890222,5.618102879918304,5.801599083125921,5.703458988248588,5.171610759285204,5.779954419956175,4.752866739916261,4.959082296453555,4.244775535198622,4.679068436176716,5.7649806447056875,4.730587694036377,5.630733069347232,5.369651040852057,5.0458002147373735,4.463339563056189,5.343259497347908,5.26182027915008,4.696584571981209,4.58775011194453,4.727199440645621,4.460567659345667,5.013653277505229,5.260389928737293,5.3527220892023655,4.416954586228245,5.226636677034148,4.5243986728695855
Danish,5.638237797178547,5.412805149864659,4.6004324339607425,6.0302708950789485,4.8260973853325755,5.969077947041262,6.345515011720402,5.640542463915923,5.58683283814502,0,5.416522570542813,5.455648706433855,5.897410469246601,5.812463136906816,5.54577385518116,6.065541967768797,6.256608529166007,6.029429601839406,4.977629761335853,6.228064309665336,4.87204849278455,5.325042057352216,4.44701039443888,5.440066808008089,6.2624760213984105,4.8059970749766245,5.567122091526112,5.862796775424899,5.141056085241348,5.184850727048233,5.674080175183924,5.647032035229424,5.377691026387732,5.4754340855273895,4.781738805112616,5.866046262109894,6.037513152101224,5.67411117596166,5.171696006101838,5.188828584846443,5.612876409088225,4.509539372622462
Dutch,4.3350196849402955,5.095431172137187,4.515300590840898,5.615474444675615,4.732991788332906,5.579328179288255,5.807113412297453,5.423090284154153,5.42439796398499,5.416522570542813,0,5.013353388267993,5.555280216000227,5.459516970692719,4.868333427268035,5.569650016442318,5.843582144548644,5.77190437974766,4.928801002132977,5.708484121204601,4.849598322395689,5.00419260456255,4.210061979076037,5.15663948592943,5.799864218456826,4.886160078196804,5.283328852054219,5.491334364463308,4.933109792469698,5.073230094475346,5.299064485087371,5.409201964376385,5.186272542900235,5.233062228030546,4.7776852841147655,5.544270647221544,5.579532695106396,5.341125591138324,5.017782232968853,5.066603649694442,5.4165483664529885,4.5747631969305145
English,5.118665022764927,5.501898325614425,4.721058296823559,5.785639370361039,5.022013051660511,5.611682494547565,5.839071092054463,5.533726773990257,5.456996508697581,5.455648706433855,5.013353388267993,0,5.530379731086552,5.570734606062572,5.379227547462872,5.883484682916976,5.968889379458973,5.828083986470512,5.080529755438405,5.749402017661928,4.915560567619262,5.31268947260109,4.448188009777027,5.336807354686179,5.847157209303399,5.079288659186789,5.397498958762913,5.681565870471311,5.163963839550379,5.179064552108006,5.396903574199635,5.574682803739467,5.282617075607429,5.4075246447724385,5.088215815428524,5.6467466781709,5.814331377444284,5.58227391011592,5.290349897271175,5.228932721268086,5.631230554999663,4.680049207778344
French,5.6899172521217825,5.16564523955022,4.489547562071379,5.637099915275508,4.712399096949107,5.612729269033495,5.570737492558252,5.404700617939989,5.448196358117475,5.897410469246601,5.555280216000227,5.530379731086552,0,5.390952791761694,5.798723151330868,5.777200135473775,6.009674385145175,5.890408117938139,5.257991160060078,5.993117179053143,4.4326069601937785,5.055240343839205,4.299671586332054,5.2089754051973465,5.890706079252677,4.7001925905849005,5.881022403139048,5.561488863956195,4.994442933200064,5.025476936937062,5.234416010730252,5.1850654553060105,5.207882808245031,5.268565704832639,4.648280642606302,5.757039817395353,5.669431087245183,5.202506808048795,5.568835546128937,4.976619842995729,5.402786637474515,4.349831859424481
