,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,5.613828129482192,5.000004523958461,6.1213069851858535,5.136119460778542,5.828793226094479,6.155819931001258,5.757067358888094,5.615473843129387,5.568731258940112,4.69126121179459,5.216763922562963,5.9424124794615665,5.875177812949852,5.267966922301701,6.160693487337049,6.245327859610618,6.17693401311713,5.143685025785588,6.181861101349543,5.076520738979227,5.501241488070193,4.58632187401009,5.559503204313728,6.260519068861841,5.020947389940508,5.585225420361077,6.002825057405592,5.277126284645104,5.4487887394330805,5.729859618043674,5.841012984081852,5.530302584118934,5.618857367225326,4.994097211005909,5.857033517756742,6.094265998150858,5.593247117769939,5.327025941762529,5.381540740866335,5.829266116738536,4.538867487855609
Albanian,5.613828129482192,0,4.869776582091119,5.639824033953717,5.073237070904319,5.553424857968962,5.731452665243886,5.502824189588287,5.522864697953637,5.715691654624874,5.519287299266395,5.704811331526191,5.427625856870031,5.420873274777864,5.607363607294264,5.782325893943944,5.941660584770926,5.821046155120563,5.442697651839136,5.62926655139179,4.89857600170884,5.475717992654102,4.56926503482724,5.335877495959022,5.759193281026163,4.864723433009857,5.948725389161427,5.521720423603496,5.09733497221165,5.324732641187207,5.323752599675478,5.557605268032238,5.327540636827787,5.472257580249039,4.693695711301699,5.624388823866329,5.748131181367733,5.29400743290769,5.6911583660024725,5.223706228807542,5.468923754318266,4.55782065507515
Armenian,5.000004523958461,4.869776582091119,0,5.1468708136309065,4.976925900114658,5.031951077717349,5.229604390590663,5.049369761901587,5.0724029477429005,5.1242793909310675,5.089584178956042,5.2375359471331695,5.092976945190998,4.985472018949284,5.0767127280295,5.028995316321367,5.361483926464107,5.329035448249642,4.762562206195665,5.00627251347211,4.908505448930484,5.082183407246841,4.506274365461907,4.886081769525645,5.170998010512292,4.889688259575267,5.126066049915817,4.946117403430387,4.740123750507948,5.213633308526681,5.0726171362808765,5.114041650878712,4.933896107785201,4.99778913829153,4.66183684804688,5.012493069237573,5.281592848593303,5.02907793017605,5.040443978888036,4.9107195205527905,5.079026127694083,4.70280339448982
Bengali,6.1213069851858535,5.639824033953717,5.1468708136309065,0,5.0996139499432305,5.5762869290317045,6.003176060076603,5.574782923972521,5.471226772319929,6.072683981953159,5.708127507618957,5.86403092859867,5.766905038630946,5.823883135138546,5.719366800373958,5.903793102510656,5.165264672513294,5.002534842270111,5.756819709010902,6.129279012841258,4.888533104255634,5.5319113427443,4.525603771987761,5.309660083310999,5.246883140352101,4.423019782253632,6.302408116222246,5.758883759298176,5.275909722331532,5.177471099224564,5.654464181405101,5.715025677296934,5.466348670272138,5.483073921127721,4.96007443345579,5.6923618788376995,5.875473425874775,5.436533702176877,5.857888188419558,5.255018298500257,5.041256455609547,4.706385531122487
Bosnian,5.136119460778542,5.073237070904319,4.976925900114658,5.0996139499432305,0,4.277623251997644,5.225296359041184,3.666352275935307,4.357935313483055,5.19018375948564,5.161351579152894,5.341853665606496,5.101370723312619,5.081890859764916,5.223317540595337,5.319514369024354,5.408963725832374,5.396428903975051,5.0580995806871645,5.426922065741695,4.671698718462001,4.964413661886884,4.26800290553012,3.8582239584556905,5.284608554582195,4.841008231332862,5.239035257644944,5.194886178584652,4.873661687270181,4.318075301583793,5.108797923877059,5.038706768414823,4.097501024976135,3.2981518114424397,4.754331883524797,4.236550811067644,4.499815975664476,4.964905011207035,5.1546583128778325,4.045992519565772,5.143797095346633,4.708640542948385
Bulgarian,5.828793226094479,5.553424857968962,5.031951077717349,5.5762869290317045,4.277623251997644,0,5.736888009117106,4.577651097598983,4.8636531126677305,5.838986363000054,5.593787996056294,5.719691185404178,5.728843264466924,5.568045133065678,5.705969595950978,5.830406407777186,5.746266560863211,5.663066312043353,5.5875528314111005,5.963688197894997,4.771552409886835,5.4267325638157065,4.313183484237163,4.301010745318284,5.7208871935102135,4.951391145307645,6.137908453674023,5.714555285181156,5.151237140557778,4.727595183921161,5.599808992224899,5.5134793976883865,4.79563019219923,4.618038834168871,4.968270909678274,4.992921036448835,5.1771795441931685,5.245078978484343,5.64129905376602,4.645046410333125,5.4462475992161945,4.491401261915358
Catalan,6.155819931001258,5.731452665243886,5.229604390590663,6.003176060076603,5.225296359041184,5.736888009117106,0,5.615992231915095,5.6342354274447155,6.076249707425086,5.712305706007927,5.777650622393726,5.376045837049337,5.07763985397822,5.837520418569679,5.985477716184775,6.224405464112986,6.117179762120207,5.731998391211616,6.174314366058767,4.498167509297189,5.583455954617601,4.530131948781383,5.440446083943609,6.135766478283557,5.228863830434557,6.294469892425013,6.065469645108163,5.372204933345516,5.3623770046726245,5.000843548529521,5.444579510857524,5.513050619468714,5.590587977428831,5.185651102965689,5.805374379879847,6.009829995607685,4.659547165948897,5.8681196297967615,5.3518722971543635,5.858407263365472,4.724104945447742
Croatian,5.757067358888094,5.502824189588287,5.049369761901587,5.574782923972521,3.666352275935307,4.577651097598983,5.615992231915095,0,4.614373818821101,5.677235865381096,5.498574086569624,5.680270235104525,5.597246552131928,5.51951247808371,5.592008675580989,5.6997678849471285,5.796775359500252,5.7333302997895315,5.507910432211674,5.883248889842905,4.721358785371932,5.323112839853109,4.2089409407870155,4.33767302257396,5.712155192380217,5.049191065303083,5.928765177601416,5.644150350024038,5.1005982625822535,4.422845527326925,5.578158137262751,5.313152026391346,4.68153904732108,3.952571348171031,4.977957465320253,4.657416429997576,4.787342839060079,5.253754119256906,5.5384370517175885,4.4297379933573335,5.512022276869012,4.571055726207606
Czech,5.615473843129387,5.522864697953637,5.0724029477429005,5.471226772319929,4.357935313483055,4.8636531126677305,5.6342354274447155,4.614373818821101,0,5.502121249676721,5.397154706060064,5.459120944539278,5.559110165582698,5.481271999783803,5.607877046079825,5.7339161730881765,5.690635230383268,5.630124520302131,5.4287127547511735,5.835109707665236,4.8618766826109985,5.178701831726988,4.37698484593399,4.672474678842859,5.618922572300719,4.908413984362669,5.8211073700666764,5.545583152988548,5.12679342840971,4.447654597472839,5.478777737632653,5.3274977262731715,4.713624763479415,4.539871641939595,4.915121353596404,4.314376106690223,4.962959850728909,5.187606901855763,5.465339386291768,4.413712403052429,5.339377834755064,4.553326725343648
Danish,5.568731258940112,5.715691654624874,5.1242793909310675,6.072683981953159,5.19018375948564,5.838986363000054,6.076249707425086,5.677235865381096,5.502121249676721,0,5.337174991629555,5.117669528694212,5.855465906280376,5.7954559112394755,5.126544120314839,6.0968181566893085,6.101473293003057,6.02250409185799,5.074021209312377,5.889258438061354,4.909007068381549,5.772181904695606,4.682993287782332,5.605835526989357,6.087526842870563,5.009086034814647,5.6415179706062055,5.995159031428237,5.217699417986546,5.336353157664826,5.636856229458892,5.731457540865396,5.635499451157045,5.72928218815357,5.00327608588701,5.814880879272251,6.07159145398772,5.396819527640183,5.071392833296066,5.365959001876754,5.712333608871998,4.312390366706177
