,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,5.860528421539814,5.053083586005238,6.518283410216692,5.283620606306708,6.107543670436555,6.477962956512374,6.055240404121589,5.845557378291777,5.825494492008138,4.563008177999516,5.494999550804186,6.2288070253261,6.152267311406994,5.480767060734813,6.413060141846005,6.751808398615468,6.677212443504447,5.32328118149958,6.416759011484228,5.343140595885414,5.656440535716439,4.779281737245458,5.830461985642128,6.744711778573856,5.201554048036543,5.837046495017756,6.213760508873213,5.495150214426918,5.684539837375809,5.933820377187344,6.109362144020968,5.735388891692776,5.8948384695397245,5.195763783591865,6.1634674655337385,6.374806753451639,5.926359182685936,5.578011562777304,5.6133947582849135,6.192591294748658,4.786563326002082
Albanian,5.860528421539814,0,5.061766495068337,6.097665226496601,5.2980917093492295,5.887676697859033,6.088145132301276,5.809945140176181,5.845174061989599,6.1433996091150505,5.832254334362724,6.1851391018276685,5.6966256777325786,5.724916459011166,6.002472907159341,6.13059543209458,6.468654383582593,6.328835570896537,5.803149483226194,5.9232492896360265,5.178538289431936,5.720848406608486,4.809436990714499,5.648131056154483,6.247416440102917,5.126058563437092,6.278537840491223,5.844007957461043,5.427275930540038,5.6206500860771005,5.628654806423989,5.887166353356258,5.626206996935199,5.78306873414378,4.9290713900381915,5.991083108310122,6.081133904337245,5.6555349399203845,6.0860204341799955,5.489436462577706,5.885792092398007,4.872176963252406
Armenian,5.053083586005238,5.061766495068337,0,5.418271823466096,5.009640198510597,5.221242481307661,5.450881551932262,5.17987469013615,5.216932886796471,5.33247604003821,5.264238119997592,5.506191891329764,5.240220662865774,5.169831219046203,5.287927772501856,5.227923797515678,5.741792377249999,5.687609601500693,4.918658768968506,5.153569289689146,5.103500431760599,5.15658883878883,4.638869260595621,5.061359445164749,5.496789996250949,5.00570686544478,5.221419100674702,5.110018064935087,4.917978534802038,5.3395231206639115,5.207207773930185,5.285835035087036,5.05503274605297,5.138494937729628,4.785402489247124,5.148651960588519,5.488154785611411,5.293157704518235,5.239948510175796,5.042757287620734,5.318454824489842,4.914209538203436
Bengali,6.518283410216692,6.097665226496601,5.418271823466096,0,5.466443117951457,6.048911661467433,6.516027906175129,6.059930967024832,5.934335432468273,6.6672760802050774,6.205746175401484,6.428055942867902,6.292145628911955,6.2900091550673,6.275380475092979,6.392325079061051,5.556544369868078,5.384674713526282,6.241462345416211,6.647025120206561,5.31749324004897,5.914439821660579,4.880515802495916,5.817006579614358,5.691128571330744,4.554800589513163,6.730474861967078,6.192765161858726,5.660532502293143,5.577497752760499,6.084029514511245,6.255617809390028,5.94031440077417,5.980930949158239,5.261744567537122,6.196574672216096,6.344864369503824,5.923696412722902,6.372194494753238,5.702746719103989,5.345657894044986,5.148148317670819
Bosnian,5.283620606306708,5.2980917093492295,5.009640198510597,5.466443117951457,0,4.330512448705319,5.540956673457418,3.533052165267774,4.440221063292057,5.514629790519085,5.440247560887094,5.7536047576649585,5.3741059492075145,5.305239311494229,5.53996440742101,5.6492632791423105,5.858695094248851,5.8593886285780075,5.180166856429964,5.661262512072718,4.879421966077007,4.994046196544572,4.349351849822125,3.8135957823050544,5.703742190694078,5.059683606675586,5.4587606907951205,5.411617287209754,5.06252307976563,4.405471572151235,5.316495448784386,5.281196907772301,4.111275920838041,3.09107095865571,4.9055160059871845,4.303527821589753,4.592799608158895,5.283086182707769,5.419911360094853,4.044165294126449,5.494073881352618,5.010688111842878
Bulgarian,6.107543670436555,5.887676697859033,5.221242481307661,6.048911661467433,4.330512448705319,0,6.159033519592988,4.702731834369147,5.116431180026089,6.35256762231782,6.033595973860705,6.236031970157766,6.14961898919377,5.9542334262676295,6.211367454785042,6.250082695358641,6.320305483444767,6.227577749806722,5.948683945263689,6.366581556672348,5.088838360674241,5.673573363178016,4.56586774629165,4.444392003647513,6.299851386970789,5.23506799464076,6.469185614737476,6.078374295432797,5.543023737325907,4.956418379996741,5.95487751058274,5.911315559106782,5.005804063210107,4.791213221369242,5.249458351178579,5.2250058785005224,5.409150409150372,5.679305128600026,6.056387078248793,4.895546906618427,5.898547877441628,4.866325001734112
Catalan,6.477962956512374,6.088145132301276,5.450881551932262,6.516027906175129,5.540956673457418,6.159033519592988,0,6.0682782210301545,6.037449256510333,6.63362161171578,6.225230928597064,6.296531304350936,5.758154096442899,5.281915554291139,6.368660581915797,6.459677703450504,6.8372489952220805,6.689739508520988,6.152704829262772,6.6237302539908285,4.7263661169679905,5.960159910455473,4.887055535253497,5.911146857427468,6.747473207363502,5.54365650089518,6.65362472865907,6.473762569128235,5.756705080858011,5.708022120322838,5.2267277120929245,5.802903673421024,5.933156719571693,6.063097675673838,5.459374975028803,6.2292055435414015,6.472173790878577,4.935753540512146,6.326251853779951,5.756876180751122,6.373687111161603,5.147519780406933
Croatian,6.055240404121589,5.809945140176181,5.17987469013615,6.059930967024832,3.533052165267774,4.702731834369147,6.0682782210301545,0,4.8156079758418855,6.184721719876793,5.9240154318706315,6.189098945578729,6.013624322496084,5.878329273413818,6.07724306279549,6.113657115636911,6.33577578173951,6.307420005614513,5.881635228153169,6.279827604431777,5.007853191809008,5.540432661441012,4.3875259856294395,4.46701036531214,6.215067062072836,5.282137164359521,6.26823609316005,6.006366269185639,5.428714819621964,4.617549887021585,5.965994818005794,5.665725664408874,4.8271064413411215,3.8834818429798847,5.262803482672218,4.808519978831047,4.891500265767674,5.67328866712546,5.96182487044578,4.561874721879684,5.993233109322879,4.9515074249716085
Czech,5.845557378291777,5.845174061989599,5.216932886796471,5.934335432468273,4.440221063292057,5.116431180026089,6.037449256510333,4.8156079758418855,0,5.982994009171552,5.86310416685508,5.9711897857263985,5.942277428647672,5.802068258029043,6.1777225889478675,6.163952279665615,6.266480053743185,6.223462340996861,5.734774738439402,6.204172463987227,5.2110770235376025,5.400255560852762,4.614161945799979,4.928978650545375,6.186891257811749,5.12611196532394,6.0912944160627305,5.879982633018064,5.470069448753265,4.640634841248746,5.855468795299086,5.719965918537676,4.880178860195207,4.743346952111084,5.151799466917587,4.358622443995296,5.1965233575947405,5.601502659322486,5.883996558839458,4.560978525211899,5.7953999690400595,4.923285911392687
Danish,5.825494492008138,6.1433996091150505,5.33247604003821,6.6672760802050774,5.514629790519085,6.35256762231782,6.63362161171578,6.184721719876793,5.982994009171552,0,5.781341079912057,5.578910401082752,6.380235041947941,6.295974707695394,5.5579743946635345,6.634533089172081,6.786787726616379,6.730079063734003,5.383204479012857,6.356877847938422,5.345473868680814,6.167141908347499,5.0351607134875955,6.154703052734215,6.800403453476642,5.299149440275511,5.868716255003257,6.440802476619889,5.6223554090302414,5.781376957404213,6.072941196431687,6.261389596294274,6.092320147926562,6.238009005386782,5.345483702284294,6.334030591366099,6.573763942893577,5.94149023846874,5.474489512947723,5.8289256737266415,6.270222705266243,4.741915094928854
