,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,1.2567508445489926,1.1976500992900554,1.4416895564886678,1.2006428557854625,1.327821176205569,1.3694656727335894,1.2664335496522638,1.2598911953070357,1.157345132153063,1.0136159204721737,1.087523309199803,1.410845903499249,1.3045210448547682,1.222017244679207,1.5909803427389895,1.3730170259013839,1.3281274992698586,1.1102064007538028,1.4982011274898255,1.0877308486476458,1.7005091763181577,1.2397056447806798,1.2466628316491364,1.3330244756672864,1.0789193640717811,1.0841512160736393,1.3858950911407735,1.2643688326786826,1.4187495331673257,1.3990322423605452,1.3177341105090643,1.3506753146780717,1.250754637126046,1.062957448419791,1.4142539871635642,1.3791547761058465,1.2095301034815718,1.048400735933832,1.2398128480737216,1.309647431338426,1.0233471298392525
Albanian,1.2567508445489926,0,1.1245230171771425,1.2624647893271315,1.2074727260173104,1.2596719438509314,1.3019378977150005,1.2068603421807396,1.2413706317778364,1.4255215684365279,1.37615646533916,1.410682130613379,1.3162688826383524,1.1907500782914135,1.4430919255322776,1.4384459758193933,1.2520939295227291,1.1902553579963846,1.297952817428571,1.2903125083108948,1.0585165980029656,1.6806401123187125,1.2596482413381727,1.2255336589890407,1.2056702160712685,1.025943490368876,1.3370650584929433,1.2473882492687272,1.1943674534854223,1.410753168420349,1.3419540774313274,1.2352592964422906,1.2628628888992024,1.2273864350528645,0.9372087669477289,1.3432737360702687,1.322922598491649,1.1178781385443024,1.2605944817215156,1.1586973130656528,1.1563491803803607,0.9882012630233218
Armenian,1.1976500992900554,1.1245230171771425,0,1.2850383985787752,1.2377500528130845,1.1974684186252083,1.270174875117456,1.1659017967903094,1.1645888263240909,1.311096245777989,1.2717340513875954,1.3140503474076484,1.2783273908129802,1.190960599540636,1.2785254709863012,1.3121362473897016,1.2478140722414606,1.2483822909770517,1.1647072576398954,1.225776823193343,1.1737963566887228,1.5058634787283596,1.214239079597736,1.1734960947775592,1.2140081908259068,1.1645845657719767,1.2321573221235194,1.1914599184482755,1.1588282588296317,1.39743348269976,1.3055816905557325,1.224699737678008,1.213729634322641,1.1993525579853528,1.0770793440432715,1.2647583242085845,1.271253440357612,1.1946869589910072,1.216568857643499,1.1833817967211508,1.2058714397280395,1.1070977440883838
Bengali,1.4416895564886678,1.2624647893271315,1.2850383985787752,0,1.3106393998211583,1.4046163562184868,1.5060796967236036,1.3347118064589392,1.3354498327012922,1.5824856128313898,1.51763227451459,1.5375580025271858,1.4668626282968447,1.3991169486265833,1.5870300497299556,1.5807710746032164,1.138676517646456,1.09046159170601,1.4427273683301887,1.5028650257394711,1.190327629286198,1.7583830913312506,1.3487111150985764,1.3460012852267016,1.2103413377211552,0.9244595106553071,1.5222000227985935,1.3803926411762468,1.339790604972928,1.4667588832718494,1.5317296584137392,1.4254672197021876,1.4236613250947987,1.3910223930390342,1.1124783406751668,1.4822022458011905,1.475872940961719,1.2956740765104249,1.3789067801048038,1.3289858920072652,1.148917962982833,1.1594846378421557
Bosnian,1.2006428557854625,1.2074727260173104,1.2377500528130845,1.3106393998211583,0,0.9281866899893498,1.303623607286459,0.7333290541121255,0.9549045336190914,1.3314653598587405,1.3217505580785995,1.3451715801106154,1.2974789501836763,1.2597710194186433,1.3669454650529522,1.447931037489556,1.3329107098845785,1.281019853449139,1.2559953015191263,1.3730785604815963,1.1647428947380145,1.5548589402254505,1.216949278344058,0.8493388676329429,1.2799051569420488,1.1467538216096165,1.2245812139062024,1.2661339716687015,1.2101629400391805,1.0816487087743285,1.363709339521788,1.2407232136510216,0.9922111571330229,0.6821140618607501,1.1268293620415613,0.9627264774709435,0.9849554919432224,1.1955035348727918,1.2438098261263093,0.9713673676650679,1.2260982832949734,1.1676341523612919
Bulgarian,1.327821176205569,1.2596719438509314,1.1974684186252083,1.4046163562184868,0.9281866899893498,0,1.4198175891502918,0.9716334146320313,1.0481792163531451,1.5182376129830737,1.4305760299566608,1.4845211138143115,1.432561360623093,1.3296197134952221,1.5075113640300044,1.5638002882346775,1.4011099691030409,1.3033382298270924,1.3375888532969054,1.5159040286696412,1.1173842411943122,1.6793759162637198,1.2198197404394164,0.890440434416841,1.3268100845140312,1.1533403719910535,1.4223785498655033,1.4144925637368735,1.2940658284234565,1.2105696917659376,1.4582853382921095,1.3504645610707546,1.1211221547590207,0.9859339951493774,1.1115944484369562,1.1464955839679092,1.125733574338736,1.2046547034286437,1.3273349057724273,1.0197293674859722,1.2954066276592613,1.0928577996442101
Catalan,1.3694656727335894,1.3019378977150005,1.270174875117456,1.5060796967236036,1.303623607286459,1.4198175891502918,0,1.32919157369664,1.3610693582812294,1.4991708853707126,1.4808721182136422,1.4597935379297278,1.3114167214542813,1.0556081265002024,1.529028550909826,1.5444228131028395,1.4022628258074648,1.3883559381822288,1.3610101369229053,1.520321608490446,0.9507266610081907,1.7387190458179262,1.2634629645349775,1.3399354982900298,1.4185726851426765,1.2075175892765848,1.429677231624084,1.4724123332563934,1.3426662861888747,1.5009497186288794,1.2408495032365154,1.2279557336321367,1.3987902754707204,1.3582984817494548,1.1610580143516331,1.518724931631838,1.4510269819231232,0.9827488913399276,1.3571292147249574,1.2986489686489908,1.3851551553433625,1.1133331123471824
Croatian,1.2664335496522638,1.2068603421807396,1.1659017967903094,1.3347118064589392,0.7333290541121255,0.9716334146320313,1.32919157369664,0,0.9418612999495178,1.3890554737925194,1.368315837474187,1.402737622382457,1.3753279418801305,1.2806005079030047,1.4137307882999715,1.4951680826034879,1.3155826415844234,1.252078584546101,1.2793040211155493,1.3992541532865146,1.103687423378102,1.6387274321903433,1.2031570195839307,0.8909749040456465,1.2828507983381137,1.0828585713134857,1.3039630948894168,1.2701070684017917,1.2151100274628648,1.1430440043207466,1.441831873212502,1.274513509233343,1.0920783266318048,0.7745266072102407,1.0525136758909155,1.031440349399354,0.9990419028810247,1.1634887227862993,1.2510306533813003,0.9856202835681054,1.2149965584495037,1.065598967180119
Czech,1.2598911953070357,1.2413706317778364,1.1645888263240909,1.3354498327012922,0.9549045336190914,1.0481792163531451,1.3610693582812294,0.9418612999495178,0,1.3722158352071763,1.3581990938715691,1.3715843542375674,1.3761613600830251,1.285475777328311,1.4511141624368653,1.5306569503977734,1.312106441012533,1.2545303510023347,1.2941690300790076,1.4153363612075631,1.1091257803957641,1.5977230037800438,1.2395850832311768,1.005869709535636,1.2708718187647536,1.0718728863069593,1.3056899010839238,1.3015239303153516,1.2534406111403276,1.1086781999666369,1.395417497967555,1.3186261937236827,1.0940483127346006,0.9476152942686056,1.0736422564571404,0.9196432106800796,1.0294237607201766,1.183527814069876,1.2509156412122309,0.9514206935203869,1.2229954679877733,1.0761761391509561
Danish,1.157345132153063,1.4255215684365279,1.311096245777989,1.5824856128313898,1.3314653598587405,1.5182376129830737,1.4991708853707126,1.3890554737925194,1.3722158352071763,0,1.338820026688466,1.2068258654719648,1.5328505846381888,1.4004975232180352,1.3218510881089034,1.7403517851194912,1.4495266161076301,1.4232115787396917,1.1972399730350831,1.5845058238133958,1.137299852396811,1.8952895400056358,1.3659878842103088,1.42445886991805,1.4497230250368212,1.157593065479945,1.039036621988411,1.5425506386894168,1.3378900055257987,1.5196575058521258,1.5434963441683733,1.4588888195937695,1.5304937367115286,1.4295510424012445,1.1834200205501981,1.5522910496524485,1.5039261944968159,1.2998777860164272,1.0000258027776063,1.3678506243776785,1.4193806191066005,1.0727459909328707
Dutch,1.0136159204721737,1.37615646533916,1.2717340513875954,1.51763227451459,1.3217505580785995,1.4305760299566608,1.4808721182136422,1.368315837474187,1.3581990938715691,1.338820026688466,0,1.1926057962230623,1.5024502924080676,1.4065384133063343,1.1285621720633998,1.5839678511626218,1.4704025147520148,1.4187508541285707,1.1939256345196065,1.562410841850579,1.216704748896348,1.715152932428451,1.2735805239388158,1.3630159597377005,1.4416347341469153,1.2616347236453804,1.265480595838164,1.5108082144038293,1.3360644200153828,1.492173055477427,1.5022758850418636,1.4074565128336778,1.4016509477778796,1.3694559418791838,1.2164840198874982,1.5082354934224091,1.442537953475181,1.337685041934738,1.2111301176978018,1.365192167978592,1.433421021837538,1.173597876607406
English,1.087523309199803,1.410682130613379,1.3140503474076484,1.5375580025271858,1.3451715801106154,1.4845211138143115,1.4597935379297278,1.402737622382457,1.3715843542375674,1.2068258654719648,1.1926057962230623,0,1.4308959081794326,1.406771215099304,1.3231038712898497,1.7035801275670093,1.4661532316363064,1.434744106597662,1.2070413982111938,1.4896055957917789,1.1922459534725753,1.8143984979755032,1.3266730579739383,1.4035184621466543,1.4522897841112345,1.239172753533163,1.2017983274210724,1.5066348013406294,1.3665306202087668,1.489855819128133,1.4400520672944097,1.4432925867934008,1.4530593118278594,1.4111823732789355,1.2513030512367171,1.4964285726455326,1.526057409994552,1.3382979898402485,1.1601925136725613,1.37437765105917,1.437437216877813,1.1587452000988718
