,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,6.022351460716504,5.160823910999563,6.6992535724150635,5.368706584751284,6.374254557765306,6.749774579770858,6.240027809432975,5.9587746925528595,5.968355156245619,4.585761366583618,5.575949455100712,6.50409637330248,6.368845928944598,5.712233500234694,6.588482737653588,6.938198658000726,6.89244672019128,5.513192365468851,6.582038441766572,5.627257797819856,5.661420723057675,4.936783606350505,6.035817392002411,6.925585968402206,5.365955148698435,6.125260722885473,6.356549169587189,5.678106281289974,5.751594080411914,6.081757809844268,6.379356190521907,5.891321536556676,6.0615682222255725,5.330530155454692,6.341978156483065,6.632607304603391,6.2004696418045615,5.775056611064927,5.793624682632508,6.357370940814692,4.976227274223623
Albanian,6.022351460716504,0,5.106752128221915,6.2740974403202605,5.337904323968939,6.085550252370132,6.311305613371568,5.934850993685159,5.942637384016762,6.323169529023691,5.946909755759128,6.2817152104347365,5.908816812784121,5.865060207853372,6.177821355470181,6.211440888994808,6.711957035536085,6.53543151076493,5.965677994874757,6.023027932936892,5.33269771677334,5.725894270004021,4.96473311309668,5.768365978673764,6.467934211138847,5.261680247091682,6.557623086658026,5.95472190366538,5.549562693130841,5.679275906160298,5.74036200187963,6.0787586088498555,5.721461764611755,5.895056031356835,4.973131485389213,6.148212587303593,6.344195491757531,5.839700351922909,6.250861353181931,5.604182123667741,6.082356534371015,5.013339563874071
Armenian,5.160823910999563,5.106752128221915,0,5.551855641184801,5.0993279718608076,5.365371726557446,5.587825743305403,5.273736340166448,5.280054454649496,5.434419561336141,5.332406143100476,5.568120284785632,5.414389050106673,5.226375941914057,5.416668785393486,5.383917640113925,5.853234634793675,5.80871353819479,5.044836562033871,5.268942376639611,5.258602443023842,5.213615166816039,4.806965105118872,5.176564557059296,5.6281964485617335,5.150220757993992,5.427636029801532,5.200819181095431,5.033312445087428,5.383780099446573,5.28235246094793,5.401808164061515,5.1724614515948435,5.237300218542482,4.833390564697231,5.2877525377853924,5.705668352345659,5.40333017646117,5.340026594515344,5.179589676791276,5.439439875494119,4.962702810909991
Bengali,6.6992535724150635,6.2740974403202605,5.551855641184801,0,5.678132373003841,6.323071547910889,6.798475600814945,6.289435236848746,6.1334541653767225,6.929213899028837,6.43894156554361,6.628031790931899,6.594493267744375,6.492262158743297,6.571819480295065,6.541026762758543,5.781413262505897,5.622269636402702,6.4552069326476404,6.777179459881821,5.636504567106195,6.006063224695164,5.071439596312072,6.093072971099148,5.900004082624005,4.68702604937747,7.068303909642434,6.350039881232018,5.8629977870150745,5.780512172020911,6.279125621819417,6.556135825427953,6.185076493764075,6.251191362649086,5.419986509636609,6.440574660385823,6.644674122777189,6.200523529820399,6.589844597997985,5.955923127656926,5.4997286873677895,5.376880862407273
Bosnian,5.368706584751284,5.337904323968939,5.0993279718608076,5.678132373003841,0,4.459772276504524,5.775787639541971,3.5498925190055144,4.487148494173434,5.6961452318142465,5.532774676267909,5.893805957684378,5.639515050894019,5.4277461912803115,5.6723779818079825,5.754761443319867,6.0190265174782525,6.045781676688638,5.268832316339103,5.7684732594783075,5.119316081605119,5.009464920766783,4.431566135207997,3.8592756078004564,5.894669177657772,5.265884053282309,5.682713700452432,5.518140138583875,5.135668434894254,4.441940070509621,5.4588353587476215,5.459222873261527,4.177336798803927,3.0800559401304337,5.016124047597044,4.392121396749673,4.7498980784206815,5.470087969612326,5.549257603155651,4.093147141366757,5.691386370633831,5.163058122599477
Bulgarian,6.374254557765306,6.085550252370132,5.365371726557446,6.323071547910889,4.459772276504524,0,6.470582335358238,4.773919026465358,5.287304064740858,6.701010121680856,6.252652631055515,6.459270800434066,6.50693442601522,6.230940768341227,6.5001798875837205,6.377381732757354,6.625537762361838,6.549407248039312,6.186490406041931,6.595801945033522,5.3172058306820205,5.760735369379046,4.710716081969908,4.588092313919899,6.629219917586519,5.439358670132908,6.927850171936445,6.3664353539308305,5.789290995601717,5.041498250408876,6.175249894295811,6.177870589105907,5.166381729964949,4.9288988328143155,5.390585038829781,5.408715989765823,5.688329745118088,5.931046307180317,6.36104754087756,5.081672374130565,6.156312523532794,5.062410096210374
Catalan,6.749774579770858,6.311305613371568,5.587825743305403,6.798475600814945,5.775787639541971,6.470582335358238,0,6.328355179420163,6.240973944048814,7.003604521297804,6.514767671760129,6.539650075629285,6.050190662501474,5.434054043115773,6.6543106970881585,6.612838634591023,7.11352022102692,6.971470081947832,6.389248081170505,6.871797686066948,4.9384482574551525,6.079836327979701,5.1027349191278635,6.2342275874193795,7.029964361061202,5.783476813885422,7.076787569957971,6.74891599644527,6.049643175966659,5.904848811814738,5.370400786232508,6.028064227877939,6.211732122302052,6.362654053967676,5.670047593640497,6.505238286819533,6.839495705837761,5.156873341958162,6.641433408198853,6.064247273480655,6.629452986230765,5.401132077744864
Croatian,6.240027809432975,5.934850993685159,5.273736340166448,6.289435236848746,3.5498925190055144,4.773919026465358,6.328355179420163,0,4.899547008365896,6.456504209685552,6.075312146862672,6.385676008526045,6.286454435016634,6.0711603570323724,6.3215494613954615,6.252737895578006,6.575789838838971,6.614432818834259,6.070728019733402,6.433574171176561,5.17882323123114,5.612173896344085,4.506424701673645,4.59359914019797,6.482875512829904,5.431791992468068,6.652612920920942,6.168296881012491,5.588934874008061,4.701457214375922,6.139116965340075,5.895074039657637,4.927566294369985,3.871076121978343,5.343504215636038,4.9355491247846475,5.044902804706085,5.87378822060774,6.201810163217923,4.6643182776742655,6.198992252256261,5.108573981251845
Czech,5.9587746925528595,5.942637384016762,5.280054454649496,6.1334541653767225,4.487148494173434,5.287304064740858,6.240973944048814,4.899547008365896,0,6.206984716667606,6.016200693774749,6.117999049823056,6.134071652120829,5.934281601433552,6.460269576271063,6.318106251468617,6.436062286051717,6.449465538657281,5.888521169628401,6.288006794444503,5.466814819431775,5.413430085552421,4.741536022759974,5.053067450179309,6.390492390383795,5.313259934537448,6.386333609848389,6.00863540741616,5.626024296873732,4.6677461580584945,5.997313090038658,5.930134507284842,4.943512440647916,4.857746740752489,5.192643126515206,4.373160481799193,5.4678301113533845,5.775393188512035,6.079611888717127,4.674879039264467,5.974256302100198,5.103402981830941
Danish,5.968355156245619,6.323169529023691,5.434419561336141,6.929213899028837,5.6961452318142465,6.701010121680856,7.003604521297804,6.456504209685552,6.206984716667606,0,5.945251867680097,5.762912805831416,6.656951014038045,6.4999181634360745,5.807150492148778,6.76542738065335,7.078960059057814,6.989738881509763,5.530992936337408,6.5624215858836275,5.685253763606399,6.192630988817115,5.215486754648094,6.401255153663457,7.114773684599227,5.438282395452273,6.115197997334052,6.584819003140651,5.826446606230864,5.922017247580979,6.23076418832896,6.597055227170945,6.296073549125193,6.44820676224964,5.486595958291119,6.584554609550906,6.895783979473143,6.236878494603525,5.680341193602347,6.065930317832536,6.477390819042049,5.0090816468729535
