,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.39337223440085495,0.32970336574788206,0.48239045253550983,0.34895582359813754,0.4179952620044017,0.4703913593614059,0.3902495310756766,0.37726032857901687,0.39626438011592685,0.3087641945191129,0.3639860262382089,0.4165775216242125,0.4168180261575534,0.3829555399757094,0.3965701350462353,0.4832463515126398,0.4657698950639487,0.36282211656718866,0.4342135078138707,0.34369451109290095,0.3805608420219453,0.3573226350444241,0.39487577603239304,0.469793161153811,0.33812310698891607,0.41813360389865684,0.40397137936908495,0.3623273838307456,0.3641034330667327,0.38970781575832497,0.39778688377992844,0.3760587302304773,0.3955638531962438,0.3419400090611157,0.4044439036112911,0.4168838940343984,0.385478063203903,0.3915354754120163,0.3715171084031197,0.41162904955880514,0.30757054730032346
Albanian,0.39337223440085495,0,0.3196507961354381,0.43223654486897145,0.3389241377655357,0.3783497479577096,0.4119621494696774,0.3504991419065246,0.36000727695878737,0.38753088153690407,0.36640921763192563,0.38592592717665863,0.35487194264666405,0.3654999983049265,0.3911442573595673,0.35190180291378403,0.450942777828659,0.4333620796102103,0.37520423808113,0.372313257957006,0.3108760540688641,0.37828518060339844,0.3553226134915487,0.363464530206152,0.41755418837519587,0.3162533388395169,0.4249825012449343,0.3597403648494156,0.3444711518774966,0.35042642571559535,0.3437184554409177,0.36045757013473007,0.35723966149059616,0.37237982210530124,0.29895240441275933,0.3719297977234994,0.38042111324910394,0.338059187813555,0.3976653474188994,0.3433518366923905,0.3729519987323605,0.29796750725976023
Armenian,0.32970336574788206,0.3196507961354381,0,0.37686615323534267,0.3224944749231703,0.3344208507038735,0.3645093555033982,0.32202455896250387,0.32711293719751583,0.33537774645510104,0.3318132560243856,0.346408736353804,0.3323335065790269,0.32640687559499304,0.34084709472714725,0.3141901332431553,0.3887754093072351,0.3790937136330054,0.31540125144647335,0.32614154112540633,0.31638031071219264,0.3429786419817883,0.3440261581261543,0.32733211033665527,0.36064857153449886,0.31464692502778663,0.3478959343686501,0.31963255096301346,0.3141942155326989,0.33208635187833807,0.32671895057081196,0.32842556029071,0.3209157176191156,0.3305930996831373,0.3014392354560457,0.3222683513189381,0.3459401427202427,0.3257758173803691,0.3422057980697459,0.32023545302169215,0.3407353674483018,0.3009380246628609
Bengali,0.48239045253550983,0.43223654486897145,0.37686615323534267,0,0.39129001639267347,0.4386953658633439,0.484023080385275,0.41699503209492556,0.42317325399126476,0.4693819101790416,0.44876109485027277,0.45524959540270393,0.4531287440915361,0.4498902344670372,0.45830726316170095,0.4228761866516207,0.4390617019798852,0.42394415141930597,0.45003949635362567,0.4689619479801231,0.3739898445614287,0.43147435392184313,0.38946846973348487,0.4214412683941957,0.43062820362780324,0.3257485900738863,0.5046510482763882,0.43875912682949014,0.40472080533162347,0.397078749157126,0.43123390421996,0.433347379403383,0.4218997021591871,0.43255137908560964,0.37182886535972065,0.4337108524246798,0.44297609289754275,0.4176242728942572,0.4568627948669566,0.40049780255814094,0.3893381221238772,0.36136508672205336
Bosnian,0.34895582359813754,0.3389241377655357,0.3224944749231703,0.39129001639267347,0,0.28741898552345885,0.38630949589145586,0.23207972759071013,0.27915543497730105,0.359392208762591,0.3482184845101562,0.3720998668518641,0.34956581399754216,0.3480592624965018,0.36134486323639353,0.33903475640526837,0.4009762209762884,0.40252429378977683,0.33541109760754234,0.35986291087752437,0.31620049419233065,0.3211610469915722,0.31068233057607236,0.24927538217231,0.3835689958977461,0.32716107036401254,0.3739454611792214,0.34345617196822764,0.31913710209260204,0.2729397860955415,0.3417025734527439,0.3365132268380861,0.2597632812542545,0.19849589740271553,0.3135906888731175,0.2732488963000043,0.29316589736585935,0.3381961407437009,0.3608441312037522,0.24993401924111533,0.36216129104817346,0.3135553406397371
Bulgarian,0.4179952620044017,0.3783497479577096,0.3344208507038735,0.4386953658633439,0.28741898552345885,0,0.4336124456922757,0.289287262812166,0.3350976612513434,0.4184941400646388,0.3931099326334555,0.4077583452993286,0.3983088794318524,0.3998776429081657,0.41332919486785336,0.3693216822541625,0.4543470194789447,0.4457729935127744,0.39289042693745885,0.41211411052955677,0.31660789261766403,0.3760674693599472,0.3385964198038686,0.2984659084195031,0.4406090833619349,0.3325713180910136,0.4566552707128799,0.39661039025574385,0.3607510202056006,0.31285703330192083,0.38084987936768705,0.3761768160019144,0.3209867161453737,0.3155933146479049,0.3310776626647782,0.3355725684333643,0.3512040787014516,0.3575378360244807,0.4139994194683155,0.3121224706829771,0.3877326697929315,0.3081008581522538
Catalan,0.4703913593614059,0.4119621494696774,0.3645093555033982,0.484023080385275,0.38630949589145586,0.4336124456922757,0,0.40941179325595306,0.4133007373911782,0.4640831371736571,0.4364342525782511,0.43681479227849396,0.3978688967401769,0.3720358370459627,0.44710009672603424,0.4079211369566637,0.5094966027268208,0.49470886961723515,0.4310782577795182,0.4594637360431508,0.31400489465279263,0.4215700828954175,0.3718870360517001,0.4198327521578493,0.4847300538548649,0.37267471369920885,0.48066634789963475,0.44417195720102104,0.39878674424547245,0.38315121425125437,0.3558015720304315,0.3882224793730493,0.40713213478199817,0.4287112533460176,0.3744199087695553,0.4249847177869522,0.4454731006627164,0.33898319882230066,0.4503246888706739,0.3933503661692014,0.44632284575761294,0.34944020698413747
Croatian,0.3902495310756766,0.3504991419065246,0.32202455896250387,0.41699503209492556,0.23207972759071013,0.289287262812166,0.40941179325595306,0,0.29114088682194894,0.37978700757307154,0.3617802044359131,0.38365057063474134,0.3594197979765115,0.3696524511606145,0.38275806499911097,0.3402509616624662,0.4345047626622253,0.4343248875851807,0.37178903089105814,0.3795547743027471,0.2981815987946677,0.351381417361073,0.3224898209586572,0.28823902012760894,0.41027370935488117,0.3130278822609368,0.4200693826865169,0.36340473805544893,0.3348742005812684,0.28378084317501495,0.3560703628552991,0.3455888856906378,0.29804958340064336,0.24692322396705332,0.30717020540126044,0.28816608542623584,0.29418878491573414,0.3337898255850176,0.3827044458307181,0.27352478421626514,0.37221442226834567,0.2935457007661403
Czech,0.37726032857901687,0.36000727695878737,0.32711293719751583,0.42317325399126476,0.27915543497730105,0.3350976612513434,0.4133007373911782,0.29114088682194894,0,0.3795074513856962,0.37040763629175527,0.3762018387380483,0.36234845577138713,0.37151978619686116,0.4055820117651995,0.3583096077518602,0.4300237952634522,0.4265007928807704,0.36710597923660426,0.38390192251231575,0.3232593183373777,0.3409803201019212,0.3364897035983141,0.32084849377976005,0.414264898462945,0.32027084419530466,0.41610004376470416,0.36220645409560825,0.3435192292944416,0.2895869503563811,0.3591751003173883,0.35881991384101003,0.30339550593204156,0.30441872047135254,0.30931718108875306,0.26979538032490297,0.32774118714157974,0.34049885090326515,0.3895157909927164,0.28375071891020537,0.37129287034423253,0.29861660982018845
Danish,0.39626438011592685,0.38753088153690407,0.33537774645510104,0.4693819101790416,0.359392208762591,0.4184941400646388,0.4640831371736571,0.37978700757307154,0.3795074513856962,0,0.37504762847878664,0.35894373603329577,0.4009117726109419,0.4085482798829545,0.37553985064298967,0.3779572848800723,0.4835393245255354,0.45994076688040586,0.35018971543656635,0.40993411432438304,0.33814455145384203,0.40703675171240294,0.3730404941448752,0.4042121475639245,0.4658950767618677,0.3255788308829301,0.4088132507340569,0.4039654499505852,0.3606346883906706,0.36633920233930695,0.37524893066390824,0.39712612830654886,0.38712834181776645,0.4050124969961378,0.33080335833459007,0.39797931508038853,0.416279687622219,0.3596291211868385,0.3734710615785599,0.3683630031664405,0.39824742407015984,0.29798460176815306
Dutch,0.3087641945191129,0.36640921763192563,0.3318132560243856,0.44876109485027277,0.3482184845101562,0.3931099326334555,0.4364342525782511,0.3617802044359131,0.37040763629175527,0.37504762847878664,0,0.3363836665482046,0.3913257689899404,0.39593548696995773,0.3450706388241479,0.3619400345166691,0.45321057105387863,0.4402616612826983,0.36090700947598475,0.4010694802702739,0.33364648253691004,0.37505052173970505,0.3539521454935765,0.37535308353159386,0.4330078307751347,0.32910595329445413,0.3924027178656999,0.3830853100725733,0.35098123022350314,0.3631714241915568,0.36978104647144133,0.3827651206828673,0.3722932564476296,0.3820637615924358,0.3346039870022482,0.38696253205961345,0.3862957140181018,0.3592819840947639,0.3615213618760173,0.3600571766799575,0.3866712446773294,0.3040814796778377
English,0.3639860262382089,0.38592592717665863,0.346408736353804,0.45524959540270393,0.3720998668518641,0.4077583452993286,0.43681479227849396,0.38365057063474134,0.3762018387380483,0.35894373603329577,0.3363836665482046,0,0.3937553082201906,0.3952067722825389,0.3680838505184105,0.39054044548515027,0.45634633321247975,0.455008289198891,0.3612378176795397,0.3946192688735482,0.3410342529804541,0.4017653403732879,0.36644888595012715,0.3972265126442908,0.44070862352180673,0.3429663020245946,0.39755816972500657,0.4007271779342846,0.3623610676018629,0.3715460669528004,0.3664188054277755,0.3976143294761645,0.3846747431348743,0.4047680533061645,0.3517361982229833,0.38972490454909015,0.41445178276426103,0.3722336910356365,0.3799196975044539,0.3759881926323089,0.4044681247981492,0.31866011775967207
French,0.4165775216242125,0.35487194264666405,0.3323335065790269,0.4531287440915361,0.34956581399754216,0.3983088794318524,0.3978688967401769,0.3594197979765115,0.36234845577138713,0.4009117726109419,0.3913257689899404,0.3937553082201906,0,0.3546155383737162,0.4148830512799134,0.3585786606948625,0.4649362757430773,0.4460102446366665,0.3910101156752473,0.3938069579339256,0.2913678234326863,0.38509858518815776,0.36776350412575903,0.38455146316767674,0.43129554930995617,0.3126370914614118,0.44780863406476196,0.37743639200432744,0.3568246012818291,0.3572298343068321,0.33299001720457444,0.35969086682174295,0.37310157363359603,0.38709216463161567,0.316384643171279,0.38673220871742353,0.38983558837563076,0.310338466175027,0.4142150366351495,0.35437759275410796,0.38401076503332776,0.28949090100765856
Galician,0.4168180261575534,0.3654999983049265,0.32640687559499304,0.4498902344670372,0.3480592624965018,0.3998776429081657,0.3720358370459627,0.3696524511606145,0.37151978619686116,0.4085482798829545,0.39593548696995773,0.3952067722825389,0.3546155383737162,0,0.4150614768400853,0.3692477186954638,0.47268157710848396,0.4506432193713577,0.3831814973301428,0.3984428647012473,0.28013078242041956,0.39175341361438604,0.36110252161697426,0.380130682300622,0.4467366678385084,0.3167580980470201,0.44899710582158303,0.38734993325377837,0.3543425212009918,0.35652221071046947,0.2897933696231605,0.35734644478183547,0.3733051060828137,0.3909809826047628,0.3225588277458356,0.3900581648599411,0.40277167131971586,0.25214717032760364,0.4061995790191958,0.3625301677238206,0.39448650560274257,0.30061614163080314
German,0.3829555399757094,0.3911442573595673,0.34084709472714725,0.45830726316170095,0.36134486323639353,0.41332919486785336,0.44710009672603424,0.38275806499911097,0.4055820117651995,0.37553985064298967,0.3450706388241479,0.3680838505184105,0.4148830512799134,0.4150614768400853,0,0.378215829584924,0.4718508974436496,0.45636903862525957,0.3719500722737298,0.4216249944415148,0.34163704244235293,0.3961471150645394,0.36307301810554266,0.3979756645587873,0.4500806007968916,0.35137929589984623,0.4215471803996721,0.4105860751534049,0.3649581753782843,0.37641762430502507,0.4032417123774209,0.39046724788169607,0.3928052702170298,0.39940641440684566,0.3602360369148619,0.41134043299054684,0.4069866344741808,0.3795265963709555,0.38195065071595063,0.3772347248532614,0.4113387411734379,0.32183085953631924
Greek,0.3965701350462353,0.35190180291378403,0.3141901332431553,0.4228761866516207,0.33903475640526837,0.3693216822541625,0.4079211369566637,0.3402509616624662,0.3583096077518602,0.3779572848800723,0.3619400345166691,0.39054044548515027,0.3585786606948625,0.3692477186954638,0.378215829584924,0,0.44913842380478153,0.4249923696172069,0.3698424798376066,0.3725920589320951,0.30084390142075274,0.375062307872533,0.34829815322462365,0.36740321887460603,0.4189297875272871,0.3059159573940096,0.4343700604212784,0.3582759735473879,0.3398867714067259,0.3455647636576659,0.34557465857834435,0.34932950731642365,0.36135092610591757,0.37323444176500203,0.30413377215414966,0.372427177390043,0.37773400533172063,0.3276950990779684,0.3906308935747079,0.33882295720157357,0.3693952824389286,0.2816413489702158
