,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,5.26696645296048,4.521988881561922,5.949693375794205,4.767201318516287,5.65809728741311,5.9727231844961155,5.491257371420514,5.271210007048816,5.199007916321863,3.979160238767906,4.78694345133983,5.767136345382472,5.567453329813545,5.111649149004628,5.852501613022458,6.116301511450496,6.032499724841851,4.861384856807142,5.8015408202893965,5.053219650903305,5.060406564494789,4.502839596595501,5.3785857615674955,6.069109347001433,4.752401237372923,5.357296250713338,5.5387973219751805,5.038968061630204,5.141769738109244,5.395806152824327,5.690770730515489,5.222529503264361,5.388143011936833,4.6567290227431695,5.627128784791154,5.795356014972792,5.496710499029107,5.0425808641402785,5.149720450232416,5.6090047257908715,4.4189429638427375
Albanian,5.26696645296048,0,4.477475046619159,5.529914043466187,4.696582079087196,5.326456121583926,5.546039161958739,5.153464999063402,5.259023476260393,5.537900577776361,5.273627018614054,5.4518545057749455,5.1786657550428865,5.055386064721378,5.559963896485257,5.464326546258083,5.872778949016872,5.666805671697251,5.253360522425324,5.238867997180299,4.701661858576939,5.178718854998098,4.5119698741741985,5.083994362625706,5.61801739089865,4.61279230523176,5.7723911750222925,5.132862890560987,4.850839953961768,5.080194137447254,5.077218118611526,5.335294274412928,5.0628374927534905,5.1728314053311415,4.272821123335283,5.435748605478912,5.554123528200084,5.098435813452781,5.522789735777619,4.91755990304749,5.3245084913550915,4.424770800990555
Armenian,4.521988881561922,4.477475046619159,0,4.907710617782697,4.51703818977176,4.729759017169474,4.913749262316517,4.62240049380245,4.671529024525859,4.772162280157073,4.716451810096028,4.869381438047054,4.780660288270914,4.55293523866262,4.816424554886504,4.763451238169133,5.122291760899931,5.04626221480232,4.463241035454919,4.641316902989312,4.698098500038207,4.681392598549908,4.368896542963461,4.583318813786624,4.9156766876637965,4.5560462866197575,4.787356503250885,4.537903505781577,4.427749429116029,4.836718390821476,4.693747623561523,4.781899393439416,4.621945635111356,4.634195892957195,4.231210879420603,4.693938115356349,5.000011622392791,4.759451109821403,4.708672598383037,4.58854231233083,4.7830508363960345,4.3866216713583785
Bengali,5.949693375794205,5.529914043466187,4.907710617782697,0,5.095409365640023,5.657871433001888,6.0841048121176255,5.60467767134987,5.541211748165367,6.203929872697714,5.804401075361483,5.892711662467504,5.886259324477936,5.714721090287168,5.977739361571234,5.850156682320175,5.119795389297095,4.918700224941896,5.744965535419889,6.016161975938349,5.067508874268025,5.47205484092161,4.666761988973928,5.467170140286748,5.197083168042159,4.128679498554881,6.371288132022146,5.632841358977098,5.226905106708761,5.252236585640599,5.611861253937633,5.89184953575358,5.544970788385167,5.629632079701025,4.798596056727958,5.79321197628066,5.912401540259264,5.515270084388358,5.914070225904407,5.343074431099418,4.863693366897722,4.830409732251949
Bosnian,4.767201318516287,4.696582079087196,4.51703818977176,5.095409365640023,0,3.9452945016732337,5.181217162931939,3.06797534975828,3.957616577676451,5.118711635011573,4.973200921236368,5.24979225023789,5.047083824304017,4.803918082490359,5.15439570971358,5.16784037799626,5.3564251517044035,5.352964365416398,4.69671641116578,5.151632271507055,4.631817520319251,4.514433408681805,4.011282251379666,3.404939177671445,5.2422809580053205,4.744906182522435,5.085702856288746,4.914874189010878,4.530551836852575,3.9477820179247405,4.884478022600318,4.89232755323302,3.6932697517860054,2.643568371015922,4.4704412374147875,3.8707846173476255,4.155552852526336,4.877779432996096,4.97278039873785,3.596497536122031,5.079762752550029,4.6339111831863
Bulgarian,5.65809728741311,5.326456121583926,4.729759017169474,5.657871433001888,3.9452945016732337,0,5.799751073463015,4.172515550793422,4.704129201473999,6.035194315215648,5.641281114019816,5.793656730679665,5.794511501891398,5.50690844654021,5.929096023972458,5.695570357210069,5.896308305919869,5.834000732802762,5.503315875847935,5.865400081458387,4.780700772009158,5.208370682215306,4.284234367862344,4.019306980217147,5.9068437153702975,4.8733517611969015,6.230041919423755,5.661439247462979,5.137578723424536,4.47118497256164,5.490385450491774,5.54657935582614,4.5605096352818695,4.353777983610374,4.751247500713839,4.774644982661216,5.015143040870176,5.2672242914366,5.723805093971312,4.474389815761079,5.482785017515889,4.567453880891516
Catalan,5.9727231844961155,5.546039161958739,4.913749262316517,6.0841048121176255,5.181217162931939,5.799751073463015,0,5.616352107819683,5.614064960334019,6.280949281667783,5.858210451871226,5.834816647624357,5.371386324037864,4.719203011248233,6.017845315360416,5.905848434469243,6.3592334710140115,6.176044929772697,5.653385264270856,6.140482346373983,4.391683998462249,5.530653004561826,4.665086981003497,5.608972910578468,6.22407181290163,5.1596171246891425,6.355960188764209,5.963138857540168,5.380771373621462,5.322892700072996,4.759402266193265,5.357962374347867,5.5578277342702105,5.713720146990353,5.036784088395231,5.881726996168942,6.071766640151045,4.567823078974727,5.947383251490502,5.436893231988321,5.935997090900421,4.846522937874751
Croatian,5.491257371420514,5.153464999063402,4.62240049380245,5.60467767134987,3.06797534975828,4.172515550793422,5.616352107819683,0,4.277056039325368,5.738059922332418,5.44176218919509,5.670880209001419,5.562155790874296,5.302823978635189,5.702206807628182,5.557982779118273,5.8111152064257645,5.8447959486633465,5.361496619239564,5.674184857293526,4.63229805450426,5.000571298903108,4.053488349861903,4.030484344278475,5.734308211446203,4.80953093125295,5.926181569094137,5.420747427816065,4.903292323150001,4.1629661889715255,5.41503236563171,5.240976222175931,4.2996011909636715,3.3193530707554766,4.655640833213426,4.3132717309956945,4.376504109470637,5.154997136879871,5.550759639011411,4.052722293952676,5.4934774798594805,4.549157382056501
Czech,5.271210007048816,5.259023476260393,4.671529024525859,5.541211748165367,3.957616577676451,4.704129201473999,5.614064960334019,4.277056039325368,0,5.585227425913585,5.4371614366474645,5.447056304945754,5.49496891394245,5.264002520137147,5.897819774849239,5.7026225593111,5.779603336547307,5.763511764434291,5.277376219395551,5.589986327225272,4.959137128529201,4.83760495154894,4.305141621144171,4.513229265953167,5.7283481228966275,4.776639025981431,5.7419220424113,5.349302023104548,5.035114690146344,4.161732724197957,5.358546189275494,5.362217209495917,4.337542112041518,4.3112024641571844,4.583115117257986,3.8116314632645065,4.815893460118899,5.175573184912693,5.494124315037183,4.16233494602841,5.364893543743969,4.580806378108177
Danish,5.199007916321863,5.537900577776361,4.772162280157073,6.203929872697714,5.118711635011573,6.035194315215648,6.280949281667783,5.738059922332418,5.585227425913585,0,5.308807196321144,5.005148197049217,5.935860473076008,5.707396431255427,5.269762653342372,6.104962840139017,6.295813120809903,6.149908528297524,4.821629508747751,5.808426031467912,5.134327554897527,5.5882189671712394,4.780481232433428,5.762629377108006,6.279554408564202,4.8160263605821285,5.35442658939516,5.783192833018234,5.15960932452176,5.36712062646613,5.559503472479878,5.974738008028874,5.635715663658405,5.778653841773829,4.7804591128635225,5.9635772840308165,6.118639207624551,5.565962353965046,4.981218567518624,5.440006896934543,5.716381576547784,4.485824942520005
