,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.022793581002198346,0.019910594579055623,0.023650900701023884,0.02126302589924051,0.023395927889937624,0.02492943307839572,0.02272801377881383,0.022019202343895403,0.025785497652532168,0.024000883725745645,0.023666975479953358,0.024503520188809583,0.024317638888499964,0.024124563392705377,0.02416012823431568,0.024947625304843086,0.024222069086756087,0.02349225184809104,0.02569914523224135,0.020387974336535386,0.022096319604474064,0.017532866265474272,0.022806435917162703,0.025180521182948393,0.021365413798262275,0.025466190086841603,0.024872858999922073,0.021259140295868596,0.02123339467665577,0.023063538243705366,0.02329976004213256,0.02239532905249616,0.02271633011267179,0.02073209585377376,0.024001457665473045,0.025356861563721148,0.022487629134698855,0.02387240606861031,0.021933536420904277,0.02293074261970083,0.019559261947567894
Albanian,0.022793581002198346,0,0.019064566943115733,0.021245629854529532,0.019905395388106165,0.020870630075855382,0.022404738707401773,0.020597053882421744,0.02012574645171987,0.02246947590625971,0.021701349385311,0.021664653899231515,0.02178696144258919,0.021557025229484925,0.02212974851249756,0.022175185321876737,0.023214533147462944,0.02274209505389478,0.021775750674851466,0.022356653958274002,0.01917328222639376,0.020680310933960413,0.016916080910030086,0.02078874019956743,0.02281358440524702,0.02004418206868005,0.022239318517020268,0.022508186295677034,0.01978244289518612,0.02020568460316411,0.020649700718525715,0.02119314918837164,0.02062273561194997,0.020544322548464975,0.018772179249843864,0.021754672292256513,0.022817286606772763,0.020180322721403635,0.021357636085431165,0.020232030723438474,0.02047985663401027,0.01850994829533338
Armenian,0.019910594579055623,0.019064566943115733,0,0.019451280290056352,0.019744742498565254,0.01940990588160772,0.019942505971202364,0.01935043721178968,0.018787782090715535,0.020046863265158355,0.019586636994993842,0.020173375041462507,0.01955674066722293,0.019421934506705374,0.019847179129936547,0.019656276719529308,0.020457067285333433,0.020101951248859374,0.019714841699117393,0.019951706178141303,0.018706247522897953,0.019939500943448932,0.01713108596735101,0.019500042965265283,0.01995993401643482,0.0190516517842925,0.020005431444443188,0.019902425810324986,0.018814955244781252,0.019344363947978404,0.01927719187918212,0.019595313282353487,0.019434256485545223,0.019565815497286795,0.018505230274538875,0.0198416780842763,0.020701407782774073,0.018910384448541075,0.01952906733682901,0.019343987530031186,0.019221289020543424,0.01862391580611046
Bengali,0.023650900701023884,0.021245629854529532,0.019451280290056352,0,0.020147333940410784,0.021447679063506673,0.023257049562863424,0.021059059896442734,0.020314156263050876,0.02340081671565212,0.022345359936770292,0.022402874946806074,0.022424137062671743,0.022560813827929144,0.022479016125572772,0.02262123961748216,0.02390624344564985,0.023039379782441395,0.02236603642466827,0.023394972293685604,0.019434620156274063,0.02096963900264841,0.01702188789996517,0.021193843176691807,0.023609818181402172,0.020266094426197003,0.023373972132129075,0.02349742380437829,0.020305413412297354,0.02027461375599847,0.02142197162959517,0.021797882872020294,0.02093995605916648,0.021186771335592124,0.019643206384246704,0.02215393494790602,0.02374384303408141,0.021012133219313934,0.02217367359962221,0.020435497639062796,0.02152002456485798,0.01867404122383102
Bosnian,0.02126302589924051,0.019905395388106165,0.019744742498565254,0.020147333940410784,0,0.01975321580377923,0.0209029211034724,0.019725760526847335,0.01938602019039656,0.020838611399878408,0.020695188932259644,0.020387980085438965,0.02043276509637056,0.02043987276732649,0.020997788963633333,0.020587581992131038,0.021698411385816588,0.021487020357456647,0.0209335433087735,0.02099596569230516,0.0192931414495971,0.020377703657514734,0.017317677731193186,0.019696491529395264,0.021269012361313545,0.019769337608798548,0.020702909629868132,0.021162139978250047,0.019587168318039,0.01990480344393534,0.020150391500280078,0.020396703359901677,0.019669382220322027,0.01954459947845158,0.019322652282870816,0.020351256238867334,0.02122970025713736,0.019737756341054447,0.020344541416160457,0.019340095004200007,0.01985967711106734,0.01886315891623839
Bulgarian,0.023395927889937624,0.020870630075855382,0.01940990588160772,0.021447679063506673,0.01975321580377923,0,0.02275751093507589,0.020745636990206404,0.02031547765549178,0.02290029138395381,0.02225125817426172,0.021420634242575624,0.021924212830300313,0.022221759014861037,0.02263241098414084,0.02223840665575951,0.023603347944914994,0.023068945935775353,0.022290895018823538,0.022951007827499273,0.01919788141712458,0.020758790953966908,0.016978852622952904,0.0212805338692054,0.023365285875535758,0.020020556040387594,0.02270943176596188,0.023005172771658908,0.02027306155826301,0.020272692779107412,0.02132435226223067,0.021497958735791627,0.020777304970152403,0.020980677245732837,0.019265739949268817,0.022091822360239183,0.023211428067382165,0.02063016810501662,0.021638088671737072,0.02028115174932493,0.020809059152090182,0.018324912544115276
Catalan,0.02492943307839572,0.022404738707401773,0.019942505971202364,0.023257049562863424,0.0209029211034724,0.02275751093507589,0,0.022189864103142054,0.021379868262434733,0.025350080090477973,0.023387682311541154,0.023315935446097922,0.02407680641736027,0.024127664756197185,0.023519146702591795,0.023578634118110987,0.02465267809761837,0.024067308255127155,0.023188660644777138,0.024946441577733663,0.02001513657834685,0.02177914871099175,0.017445095300464526,0.022296244138068272,0.024776206203926586,0.021209965699097156,0.025338380974723247,0.02473776316800558,0.020978370271000375,0.020991771929585543,0.022520972534885057,0.023195396655468232,0.02181883476825628,0.022272484410856278,0.020608680435102753,0.023402346963317472,0.025206786553252522,0.022196976465105954,0.023227160882593606,0.021608631581933897,0.022540269426004168,0.019355774670627237
Croatian,0.02272801377881383,0.020597053882421744,0.01935043721178968,0.021059059896442734,0.019725760526847335,0.020745636990206404,0.022189864103142054,0,0.02000773168978971,0.02230530968875207,0.021696468132504698,0.021214549032378252,0.021557773134826135,0.021554138176164916,0.022095286098640827,0.021828435572771532,0.02298895543243098,0.02270450232889675,0.021857801063276727,0.022241414882984697,0.018991932496437054,0.02075740434022467,0.016802571973903585,0.020783225108243503,0.02263993056169952,0.01977397749504313,0.022171088201779657,0.022475225707914787,0.020012930970817345,0.020101787492713963,0.021026167152716255,0.021095750100663963,0.02061217893536572,0.020928910311888066,0.019175760025057484,0.02168358516452266,0.022920493550546293,0.020297622795448913,0.021201329649259002,0.020028883260636735,0.02062509338870689,0.018341314397098803
Czech,0.022019202343895403,0.02012574645171987,0.018787782090715535,0.020314156263050876,0.01938602019039656,0.02031547765549178,0.021379868262434733,0.02000773168978971,0,0.021877159668112395,0.02103978398467487,0.020678218140372948,0.021133394310395435,0.02097682352198245,0.021630309856215255,0.021303406609254078,0.022321962154402387,0.021988281676287715,0.0212639837367108,0.02166649978745834,0.018899304034828503,0.020256933410429914,0.01678093600830566,0.0204246843807275,0.02190971694646061,0.01930493801653511,0.021474230390062587,0.021762448852221356,0.019642547058647136,0.01996873661813014,0.020391650144057742,0.02061008415323088,0.0202313194225911,0.02012980775232158,0.01854580051684878,0.02158806213392759,0.022050799231455715,0.019759320487349477,0.02052841250161732,0.01966201340405247,0.019849430667216787,0.0182214801559201
Danish,0.025785497652532168,0.02246947590625971,0.020046863265158355,0.02340081671565212,0.020838611399878408,0.02290029138395381,0.025350080090477973,0.02230530968875207,0.021877159668112395,0,0.023875712712672435,0.02303906421894166,0.024554324068347896,0.02444969111334089,0.02424015549940516,0.024159675641094277,0.025419574991742716,0.024670732820695443,0.023698900954915895,0.025685168342084973,0.020149883666777935,0.021770074976840317,0.017657437496002196,0.02252088044208227,0.025551172279735447,0.02125583506489265,0.025957179716870556,0.02558284835560792,0.02127165660941336,0.02130190598295646,0.02290464594124229,0.023173491596930402,0.022175346156071918,0.022306486013824504,0.02041643050065466,0.023813264400494496,0.025392849620000144,0.0221778755528589,0.023540733868611382,0.02161148541670408,0.022595182313010772,0.019236537544051073
