,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,22.973599158156034,20.53878311612062,27.14557660897472,21.885623127588868,25.325270709380067,27.43096405393932,24.189641856458003,23.79840752601063,23.015400013427904,18.434024228726695,21.41369362397304,24.8838295638642,24.519140760438248,22.20834733600258,25.42641586854815,27.841762280635958,27.64259779004146,21.885589556035875,25.173688336440176,22.193798129187197,22.99244919542515,20.08900651767666,24.425659112802872,27.223878292629593,21.095358763707566,24.379362042743328,24.12631296972711,22.06339508760501,22.879280423711613,23.3189996477423,25.617484617260008,23.44717645505535,24.68841762767069,21.060241804736915,24.813180063967003,25.260864241656108,23.912199249981654,22.844761210758964,23.56576634926778,25.244090102841252,19.297374476674147
Albanian,22.973599158156034,0,20.22830704781936,24.63435763264745,21.46612664438054,23.72554907218087,24.6998228689454,22.722877148102828,23.199479507122643,23.22518066683549,22.795585259484117,23.404271554266675,21.957976475619976,21.603410053048982,23.624842106184087,23.368555097193674,25.881468677773718,25.409163459695993,22.934245190188456,22.184186031668673,20.623649049215796,23.000954777202004,20.06430204107329,22.95135655407296,24.28766777061941,19.974951503998128,25.40743103879203,21.82238235841938,21.22548561525623,22.381527518374188,21.34943360760857,23.55243280332348,22.569901594670124,23.72297753283435,18.95960264286199,23.411792720768773,23.55940224745134,22.011301857752546,24.740037135361376,22.359264973390815,23.375754456766796,19.333203338445248
Armenian,20.53878311612062,20.22830704781936,0,22.10911065082699,20.706985638664285,21.217385339082618,22.33756928394175,20.65569595887088,21.209987050238343,20.954856531458024,21.233678692194026,21.57779289344096,21.173995589112227,20.436708381889627,21.20790593338363,21.0958311497455,23.003150679472075,22.972257456857186,20.148286574945907,20.57832901240115,20.644438680862613,21.54752714248863,19.698146283123215,20.9541206926827,21.849707670263797,20.257575483526647,21.659320643841973,20.386577340188843,19.81326640466763,21.24159305553761,20.62355598113619,21.65559480529989,20.92293017333785,21.329117671800063,19.47828238988582,20.697642079796065,21.932169664875175,21.067979342465854,21.319543978554282,20.98776527715626,21.682770525796524,19.529064619138765
Bengali,27.14557660897472,24.63435763264745,22.10911065082699,0,23.009673058668724,25.576227173216285,27.901939004581024,24.774260934433418,25.150264657049096,27.32605167361538,25.992155700140167,26.061821543522797,26.054734557019614,25.75820803969711,26.111248956518985,25.955213385608936,23.00649022693323,22.373335556687135,25.77489712736003,26.770496721145697,22.497318670149134,24.57376123468282,20.650717080858932,24.605082824972953,23.32939500924204,18.928562136648612,28.798498162752377,25.065704215498215,23.545443791909893,23.294343111304535,24.65976064669291,26.715048685704843,24.73216467893087,25.47553743341565,22.13207230347347,25.57750502381473,25.708474730150442,24.57879497341125,26.804260078559164,24.19457390579399,22.31333154527364,21.624989497962552
Bosnian,21.885623127588868,21.46612664438054,20.706985638664285,23.009673058668724,0,18.263570306764965,23.967833617303462,13.978227187524796,18.275763563054007,22.63458625236683,22.262691528761213,23.295490688259108,22.441492093467893,21.916720200698016,22.580299054822284,22.671559185234806,23.731415230359257,24.42686869903564,21.33372277666779,22.869303240568158,20.534268722823526,20.362297499429992,17.47258584708839,16.134727309149195,23.366747141729537,21.3405640281876,23.412356198333104,22.134771557732382,20.325947520821718,17.433155109061687,21.83026261076798,22.143954257396448,16.913695669607755,12.789597158545773,20.414259746739088,17.244187697665225,18.513238292274796,21.870747306453094,22.714051637257516,16.52294176582362,23.147388036684358,20.728349488956653
Bulgarian,25.325270709380067,23.72554907218087,21.217385339082618,25.576227173216285,18.263570306764965,0,26.451293735898137,19.247588209349214,21.718799848110073,26.30989329928132,24.873591399287324,25.20401695539165,25.5525955413201,24.512064724352985,25.58543102848587,25.021824564877935,26.098862520089895,26.270123622761513,24.53904074620562,25.639097394872348,21.585021534022896,23.373398416225292,19.029957934165658,18.79618552706939,26.097349468504248,21.79897040658383,28.202513207379596,25.00009937128127,22.59285997622189,19.979311853585315,24.0760148837053,25.062785613812842,20.564592708211514,20.196153703607507,21.785511884098135,21.419497610434462,22.235426009152008,23.71756396726979,25.8588543624034,20.693423963778287,24.727618995817238,20.18741377642218
Catalan,27.43096405393932,24.6998228689454,22.33756928394175,27.901939004581024,23.967833617303462,26.451293735898137,0,25.380398071144253,26.125823722010793,27.750263039276373,26.425658165900657,25.731663029990596,23.728849795637398,21.677973572225824,26.628911288016486,26.51730603645217,29.078672354753987,28.831199685980923,25.658140485887014,27.45359739178039,19.692032856517798,25.708555939952166,21.092817385212573,25.763828326679352,28.35312077907349,23.361110326183507,28.7340633300431,26.866300324625133,23.918299834889975,23.848820544238553,21.285691475820066,24.852499998796613,25.276439411284944,26.484335022016552,23.24046002726921,26.416340516985354,27.1713486199917,20.788062909709506,26.99393925664537,24.94028073724424,27.177902591858796,21.675706763720786
Croatian,24.189641856458003,22.722877148102828,20.65569595887088,24.774260934433418,13.978227187524796,19.247588209349214,25.380398071144253,0,19.288445068035713,24.67282327039423,23.739371864043452,24.375282826061206,24.042656696502494,23.482784907762774,24.474459346719723,23.914691398661308,25.413347384579556,25.857646858024108,23.4290024866274,24.403245585064578,20.66437315916357,21.847438476668724,17.36106011505801,18.363331687215677,24.953118316997816,21.243651115531993,26.245319199718335,23.744552092656424,21.2221407472706,18.19203600220499,23.420944690684994,23.417559997889025,19.132382452111628,15.568021947922734,20.859218648620367,19.150680386166922,19.37737447745019,22.875490422492728,24.640586611044334,18.26235830570813,24.455380580995982,19.880867374643984
Czech,23.79840752601063,23.199479507122643,21.209987050238343,25.150264657049096,18.275763563054007,21.718799848110073,26.125823722010793,19.288445068035713,0,24.25447831317073,23.938403069321886,23.406989543541503,24.051799841897218,24.01663513048562,25.59611489534905,24.987536695205513,25.593427309221976,25.747809028214355,23.71216229163337,24.825871393647,22.191748720705505,21.15814840902973,18.565685476056206,20.851330716867757,25.28094722295208,21.41204566258724,26.187977397073894,23.588689642800073,22.202091528626376,18.849011563719856,23.54478485301074,24.232367714264498,20.17552157565745,19.854524700975542,21.109861605261347,18.183611468151877,21.22576672582638,23.13383776822889,25.02837018750406,19.41345084034637,23.995105464362464,20.18994343466678
Danish,23.015400013427904,23.22518066683549,20.954856531458024,27.32605167361538,22.63458625236683,26.30989329928132,27.750263039276373,24.67282327039423,24.25447831317073,0,23.15931870968243,21.598124402527052,24.737743122383616,24.41478923133255,22.82603680168954,25.92000197531455,27.698424529237272,27.265373059877728,21.00631065557732,24.172529757205563,22.41083489865839,24.335802468601173,20.812012714303556,25.258570737026428,27.295679472609077,20.96425221582867,24.3352166372205,24.37107038821491,21.96888045886502,23.06140084235527,23.121845867485604,26.087266344642455,24.25782256671862,25.810766497485165,20.944403153799957,25.280442127323084,25.92675525548351,23.622191061487303,22.628491108061347,23.915631827812035,24.982550441175498,19.17268175464555
