,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.8920116757001233,0.7138649871595085,0.9049233576184249,0.7507035955403779,0.8973594347698711,0.9155036283953583,0.8773011794518785,0.8689574278973673,0.9441144235678208,0.7358495390081821,0.8215580100674996,0.9381110867977078,0.9324222846517648,0.8589765053132427,0.9236004056309817,0.9058463296921051,0.899022189628442,0.8247834660506593,0.980359847744982,0.7769204813641472,0.7937231015807016,0.6312602523886456,0.8406204927076603,0.9358499056055541,0.8188530152121233,0.9082119917308812,0.9186842003829205,0.8086716595561503,0.7694144703971582,0.8883190355184301,0.8800272858495445,0.8180549265060918,0.8405412316686048,0.833698230403675,0.902634115129639,0.8990933789384453,0.8825314525946536,0.839499335133554,0.8158504917629644,0.8929956200223891,0.7156188375848973
Albanian,0.8920116757001233,0,0.7280584258719962,0.8707711950632716,0.7707673889223142,0.8757421486890905,0.8833543448022021,0.8571357647218375,0.8700715944871117,0.929963571675162,0.8586172174476947,0.8796663696708977,0.8958603200043469,0.8833990971028846,0.8720695230002384,0.896270005724466,0.8813508709611002,0.8693743703458225,0.8489229150180677,0.9212575911105262,0.7714992164811374,0.8142552744004404,0.6354865405558963,0.8307003750181652,0.8956839974031968,0.8087345305624744,0.9074379192401413,0.8797950119294904,0.8057743128305715,0.7699660735740856,0.8656025281573413,0.8592350924358265,0.8260924561883258,0.8375036875086319,0.7975681288253942,0.8923245508641404,0.8809769891050094,0.8691909711569805,0.8520441128154083,0.82634217025637,0.8633305471698562,0.7295160397304742
Armenian,0.7138649871595085,0.7280584258719962,0,0.7313577373394299,0.7002038583340348,0.7357663313686446,0.7304408767668803,0.7280337958906813,0.722398658897048,0.7450347574205455,0.7234983936072203,0.7454375724429231,0.7333682569771907,0.7249876477316597,0.7379123612161113,0.7394269407051884,0.7384387837893933,0.735174341637115,0.7021550034960725,0.7421184164824011,0.716603244547398,0.7175113656956604,0.6211969961528039,0.710272726987068,0.7318571678507446,0.7252585232037065,0.7178487425158551,0.7211221941501651,0.7074435087581433,0.7034744108802892,0.7312478515842428,0.7319354992496193,0.7090341477382774,0.7170961723310921,0.7152294014665591,0.73068302082862,0.739865279524812,0.7364068876493136,0.7027731683786643,0.7149011183521153,0.7279984279929723,0.6980004286201302
Bengali,0.9049233576184249,0.8707711950632716,0.7313577373394299,0,0.7558154451535792,0.8603644208210683,0.8848705315310229,0.8492372079025559,0.8250714339791145,0.9317396281861337,0.8639034693071543,0.8722386068223664,0.8931863676227734,0.8926724975178936,0.8725032142771082,0.8833406128763405,0.8244277165628581,0.8059845370434808,0.8489575282992597,0.9271158130635558,0.7495080526621718,0.7974573689923417,0.6280547918078376,0.8174067492924035,0.8459325639301462,0.7393787478685296,0.9169778129105824,0.8851874303361652,0.7998011957506347,0.7491103617747885,0.856428719092484,0.858744725769947,0.8066627866288346,0.8294934828010913,0.8011014524163846,0.8707583472368043,0.8816001559356879,0.8475791193012294,0.8530468988978094,0.7943087801133427,0.7993261697332422,0.715486432815563
Bosnian,0.7507035955403779,0.7707673889223142,0.7002038583340348,0.7558154451535792,0,0.7000461072751634,0.7572140985871706,0.6338057063175601,0.699306507572118,0.7799536974345832,0.7569294018174152,0.7752243738736938,0.7631097844027418,0.7615891440958766,0.774675189074174,0.7791652281494958,0.7682350801972849,0.768215287777858,0.7392198108688832,0.7922345828291651,0.7109592976532206,0.724491482236421,0.6066225526776438,0.6342023485168136,0.7673006245861362,0.7493859422367812,0.7603109853781975,0.7608746860125003,0.7386865015634223,0.6662287602516421,0.7516009579227625,0.7517781169429625,0.6564011536782527,0.5679834319090323,0.7578098101713517,0.6915476789802085,0.7055692705887088,0.7565726356925103,0.7434543826632504,0.6622794724340948,0.7626926557872515,0.706201089616111
Bulgarian,0.8973594347698711,0.8757421486890905,0.7357663313686446,0.8603644208210683,0.7000461072751634,0,0.8768857045719668,0.757763841080233,0.7969568275998081,0.9337285262403741,0.8705881494248443,0.8612921529833422,0.8902802614533492,0.8892135534845094,0.8824683209714815,0.8853175921016367,0.8793831853397114,0.866562705774701,0.8481020498565327,0.9350655735492448,0.7414841317951493,0.7941245525107864,0.6127181593966852,0.7372349805890872,0.9001275414737813,0.8123248825614835,0.9082272495201661,0.8861257019243546,0.811322154966385,0.7062543172938621,0.8727886844873283,0.8480487427757541,0.7687107654030142,0.7691971716726976,0.8184602956948458,0.8285264167766245,0.8267859853358538,0.8547504263664879,0.8477136508832056,0.7689898502832749,0.8587582096703894,0.7090815107577584
Catalan,0.9155036283953583,0.8833543448022021,0.7304408767668803,0.8848705315310229,0.7572140985871706,0.8768857045719668,0,0.8481631808020839,0.8413482324685103,0.9605718439280698,0.8694914593905924,0.8559889290687852,0.8736986719782781,0.8579333345722523,0.875239602515562,0.8884850679220488,0.8781235873209642,0.8701656700405459,0.8453995670250829,0.9395347535487648,0.715395566109479,0.8026044695341124,0.6343690715730853,0.8229022084682863,0.9037465316751127,0.8229455590480121,0.9389883169606964,0.9211096316424221,0.8257194913752359,0.7625990179533524,0.8126814354754373,0.8453699666653671,0.8105899926671559,0.8333499381170988,0.8320581071058225,0.8824829665406124,0.8945399985179303,0.7931145822377139,0.8618941554240048,0.8082145728987778,0.8767006492290527,0.7247325838942134
Croatian,0.8773011794518785,0.8571357647218375,0.7280337958906813,0.8492372079025559,0.6338057063175601,0.757763841080233,0.8481631808020839,0,0.7692699323011163,0.8964053972054787,0.8528376654463047,0.8520508771337321,0.86144111518678,0.8690618310294173,0.8665333047518974,0.8767490372297599,0.8655381758757401,0.8588636800643951,0.8356075096203344,0.9092393770199071,0.7400660707604835,0.7922723074481257,0.6111953291513538,0.7265783553717958,0.8670337096180053,0.797379083939941,0.8862705443504947,0.8603886479220989,0.8019754104157492,0.703011008062608,0.8557193613720746,0.8238615799812348,0.7543484387961966,0.6820035897109036,0.807793244154621,0.7845200322363617,0.769673024486203,0.8381492803574399,0.8338711026022857,0.7372925808428361,0.8536197998371218,0.7162062048758927
Czech,0.8689574278973673,0.8700715944871117,0.722398658897048,0.8250714339791145,0.699306507572118,0.7969568275998081,0.8413482324685103,0.7692699323011163,0,0.8809911982725036,0.8467970207022969,0.8256293824650266,0.8655081585746394,0.8735346049431644,0.8828507078749798,0.8735826702599521,0.8574530870488426,0.8627585776255573,0.827511547235282,0.9036201037921565,0.7545127508964957,0.7752815945227645,0.6329096327576579,0.7610318303751591,0.872805071465825,0.7851491378884662,0.8705272909600973,0.856980393340855,0.806162385285369,0.7097238291325138,0.844026848091941,0.8294155086511548,0.7528226287959828,0.7556435831271235,0.7925303479468554,0.7664361846589219,0.7935502508343779,0.836468558519237,0.8181003185133309,0.7418636929775793,0.825598917875503,0.7128749835171007
Danish,0.9441144235678208,0.929963571675162,0.7450347574205455,0.9317396281861337,0.7799536974345832,0.9337285262403741,0.9605718439280698,0.8964053972054787,0.8809911982725036,0,0.8759911615283222,0.8501003904277564,0.9685229928729299,0.9803777362179941,0.8877331566290839,0.9505835528616908,0.9303497603984371,0.9096363103343399,0.8562099703176838,1.0137774913054547,0.781291617240222,0.831966933434559,0.6573343155098141,0.864648121707504,0.9653410050874387,0.8210555660212082,0.943478401471674,0.9637554763906236,0.8458406204319692,0.787133741611454,0.9210057023399301,0.906047199295014,0.8545866241880761,0.8725907006023665,0.8505332711427994,0.9362296143204014,0.9315602196686541,0.9184691142529124,0.8453565560177272,0.8448315720145512,0.8985597218140422,0.7226371768813067
