,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.9393216156491139,0.7605934570818811,0.9659856899520832,0.7909677271726265,0.950418185513502,0.9790435267415548,0.9231927439177696,0.9046224091205977,0.9769897337367788,0.7624709268940486,0.8576377236271393,0.9872676276240501,1.0059111626968182,0.8883254851238546,0.9705695428052749,0.9688959319622442,0.9568684424441354,0.8585108620112375,1.0297246293471687,0.8237499835744058,0.8102600767047028,0.6445326890415347,0.8993799887864694,1.0028497535960794,0.8547328477116707,0.9645034919621333,0.983258184814191,0.8545326397064008,0.799893870851771,0.9316760533016574,0.9328417727132965,0.8660025376803964,0.8981490047160063,0.8687491805778726,0.9486783954486926,0.9558771360369701,0.9469567420375287,0.890400680514011,0.8618380209536408,0.9426346516279807,0.7537185906528966
Albanian,0.9393216156491139,0,0.7661930434732793,0.9319388052905568,0.7888413918408882,0.9193212434863426,0.9373163602909581,0.8888949043826022,0.9092031253776288,0.988460001076255,0.9034940479291413,0.9191702946778143,0.9295812175840187,0.9425000960323843,0.9142474770882177,0.939320684472418,0.9591144183392423,0.9376381784542049,0.9005941062896948,0.9720835248210342,0.7973165225016665,0.816624659271278,0.6507783838407211,0.8665748798578431,0.9676302429554079,0.8573755008609109,0.9800955457418962,0.9556857471244393,0.8515773084540726,0.8027376694935733,0.8931517855867287,0.9129245285309918,0.8540324598440395,0.8748578396130097,0.8422284591657371,0.9371282060406618,0.9326031090556698,0.9069691564706265,0.9201306105245624,0.8525780652177065,0.9260681568960532,0.7637749514144192
Armenian,0.7605934570818811,0.7661930434732793,0,0.7935724746759285,0.742482705964023,0.7825846350873513,0.7839118998767348,0.7680852846753823,0.7662380327174044,0.7925362970875159,0.7691378777810841,0.7903440216225655,0.781033142492743,0.7794913670705372,0.7755347130682706,0.7824693961637561,0.8091880477610147,0.8003492864609192,0.7471864525587995,0.7856853039486323,0.7521939322664277,0.7391573776592023,0.6415461424242455,0.7606919259847584,0.8037254559138395,0.7814320186702615,0.7825745761761652,0.7786847181642923,0.7466697951860715,0.7464546026800578,0.7709375672573223,0.7749672164808663,0.7500085703345638,0.7676320740266338,0.7535422216244123,0.7762976257274012,0.8025527634458812,0.7862321383090292,0.7612135148364625,0.7587413401704622,0.7850848872815422,0.730286269977854
Bengali,0.9659856899520832,0.9319388052905568,0.7935724746759285,0,0.810312718661054,0.9189551111815748,0.9451175587644876,0.9070735896820917,0.8851362083878894,0.9993129203481438,0.9190498342443739,0.9296471005780915,0.947706794010782,0.9600761830558581,0.9202036061049749,0.9206402461981774,0.8598012502535217,0.8301710637126791,0.9173917464721232,0.9876445723141901,0.800387162315256,0.8226700100742597,0.6499283496870986,0.8901516016524215,0.8955499858060096,0.7632234280922988,0.9904647557807514,0.9402374496341191,0.8503277411476755,0.788550814440742,0.9009769456810364,0.9189035298476763,0.874486149962983,0.8999439524491398,0.8467818016222093,0.9297075304924776,0.9350232928792945,0.907754977273498,0.9265538939521438,0.8627171021810881,0.8371046898409941,0.7676095123529487
Bosnian,0.7909677271726265,0.7888413918408882,0.742482705964023,0.810312718661054,0,0.7099928630475792,0.8049479582120176,0.6315916651147528,0.71577094518157,0.8316351984528153,0.8000680924774299,0.8229990074774883,0.8054317097905402,0.8008103050190145,0.8034869199444931,0.8167048630192137,0.8317244997899387,0.8297085811543919,0.7778618288698643,0.8346719230002866,0.7391415584355804,0.7318498852064406,0.6143988909549932,0.641406816818566,0.8328988250776048,0.7981585555706675,0.8167471239556556,0.8155264114301914,0.7740492696748588,0.6820372243092303,0.7892381025196936,0.7917505040888388,0.669297309859023,0.5688040336265497,0.7818231638453583,0.7142275587893973,0.7361627440724475,0.796901946636937,0.7905468118682524,0.673800771730087,0.8182556869015621,0.7459949360589097
Bulgarian,0.950418185513502,0.9193212434863426,0.7825846350873513,0.9189551111815748,0.7099928630475792,0,0.9217872109481667,0.7721570706120957,0.8229630648664608,0.989125828629559,0.9187537126364468,0.9018160931256322,0.94869683845615,0.9431397769686112,0.918549156467349,0.9160102351473428,0.9409037704292021,0.9235507348935429,0.8997555540555287,0.9817071429361057,0.7656126842392228,0.8086367723369692,0.6235488859874546,0.7686941525870055,0.9675713882383487,0.846913801986801,0.9845596768694997,0.9506586958559002,0.8572057996776908,0.7407495333550992,0.9074060134355765,0.8969904664805919,0.8006249817159722,0.7959727291253167,0.8549344136615438,0.8537725961104491,0.8633551469279656,0.8907628920646479,0.9098900424667454,0.8002907981203226,0.9111668317476859,0.7450992209308352
Catalan,0.9790435267415548,0.9373163602909581,0.7839118998767348,0.9451175587644876,0.8049479582120176,0.9217872109481667,0,0.8911555032050296,0.8865133583725433,1.0205362354636252,0.9274756680023165,0.908124804895888,0.9309947672813339,0.8990779477178756,0.9248146441964014,0.9356904146302789,0.95519002291803,0.9332401247368326,0.9038566451281059,1.00638043877893,0.7445306280819852,0.8127330431816763,0.6456566832716898,0.8833648216394537,0.9856744432258737,0.872702893669267,1.0145352361624853,0.9784657832112168,0.8707571041140979,0.7913575532787185,0.8363698512649465,0.8828488520357729,0.8592184246441044,0.8904067778184962,0.8732744511616585,0.9248662992812846,0.9426001841144966,0.8331791195853553,0.9344470386556979,0.8620487605885144,0.9328331611810188,0.7683218587913617
Croatian,0.9231927439177696,0.8888949043826022,0.7680852846753823,0.9070735896820917,0.6315916651147528,0.7721570706120957,0.8911555032050296,0,0.7990563928081719,0.9546926172485684,0.8834471160272619,0.8859529223439866,0.9112483472383957,0.9133243324892806,0.8968086570987372,0.8938700798908614,0.9211878514713211,0.9258822744966971,0.8858460994639357,0.9515363179762831,0.7514140017130544,0.7983109769909398,0.6147076976545147,0.7525184986427458,0.9303906312042155,0.8428469673248672,0.9586224459837919,0.9235045393097224,0.844161459763303,0.7178989650929954,0.8918422647974952,0.8591065226089181,0.7740896609400097,0.6909364856681534,0.8452611907589948,0.8004373112084142,0.7942048026993801,0.8679066334693888,0.8910634759733816,0.7601238891125891,0.9047033960033567,0.7533648004317458
Czech,0.9046224091205977,0.9092031253776288,0.7662380327174044,0.8851362083878894,0.71577094518157,0.8229630648664608,0.8865133583725433,0.7990563928081719,0,0.9353088509512042,0.8872839447084033,0.8697510480294485,0.9185586056423318,0.9060968884719967,0.9217751759479521,0.9117667231664708,0.9114626845907084,0.9199994479251801,0.8687167550300626,0.9458871075832816,0.7899583122502006,0.7815010419241074,0.6405773655886878,0.7991314190545663,0.9300293423249134,0.8265578357736898,0.9282231980848843,0.9159838182564113,0.8432980276928145,0.718790402032343,0.8844883164170547,0.8640601962222866,0.769570647275448,0.7886192505038636,0.8227403579005977,0.7636826362416885,0.8323630833789912,0.8711254300258259,0.8744382972719397,0.7654880693282388,0.8904924264601717,0.7523597684187948
Danish,0.9769897337367788,0.988460001076255,0.7925362970875159,0.9993129203481438,0.8316351984528153,0.989125828629559,1.0205362354636252,0.9546926172485684,0.9353088509512042,0,0.920203788127014,0.8801489447482826,1.0249537004949638,1.031050741576926,0.8999246687656097,0.9885674851100699,0.9926536548217716,0.9772871516403109,0.8844743047122294,1.0418670920194657,0.8267664811704181,0.8588295737657418,0.6662216888535987,0.9385489641330131,1.0383251952574373,0.8683648266377791,0.9861428527502577,1.0213861714149324,0.8824215274584349,0.8211277993704865,0.9555730695263601,0.968748059047414,0.9122204071274287,0.9422241509301011,0.9057292103886758,0.9857813598683962,0.9905615180189655,0.9596766359880822,0.89120382575647,0.9027655625038447,0.9616982685353094,0.7613691202934444
