,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,1.0242198405760166,0.8359997461919678,1.0721553681469036,0.8783756448432837,1.0595069205162841,1.078977630030789,1.0390157115206804,1.007745206228327,1.0816859140598325,0.8901728647224577,0.9683264420180336,1.1012634227928675,1.0902489919202105,1.0008079005820703,1.0696916382689772,1.0689448212261603,1.0635667047492436,0.9498978680861493,1.1338187600844796,0.9158210226786603,0.9177125275710458,0.7395947964239649,0.9965677552516632,1.1066155645759792,0.9518349762136874,1.0619629171363765,1.0774846731104044,0.93433759327752,0.8857293428920298,1.0494162734413022,1.0240543239708557,0.9553088625733342,0.9973764908063539,0.9550375576922806,1.0457100447833154,1.034137878069704,1.0546325158147904,0.9993604534947345,0.9544501786632541,1.0555636635959789,0.8448103898150019
Albanian,1.0242198405760166,0,0.8398758262003446,1.0223423079618312,0.8758254701860668,1.0076137475987874,1.0184366809441279,0.9798754990684332,0.9936579482089826,1.0704928886007126,0.9926542892316098,1.0056870638586437,1.0137959752662307,1.0228206644055653,1.0006908535053185,1.0157213098136146,1.0371226317760736,1.0273862722071336,0.9772060341820001,1.0538105803036009,0.8711607899745275,0.9109343568299784,0.7366821225039742,0.9543037671677284,1.048491567115487,0.9395195577674995,1.057582277701935,1.034489952344452,0.9229910543543546,0.8739753964192309,0.9859733393074835,0.9904234436886785,0.942345898961097,0.963463534560168,0.9123005998801701,1.0256222879863504,1.0050837192101516,0.9945021249729522,1.0017221262874978,0.9372397520201762,1.016186291593841,0.8417510926643704
Armenian,0.8359997461919678,0.8398758262003446,0,0.8769139201212384,0.8227668565932124,0.8694872554889764,0.8592865118574632,0.8636500729245309,0.8592209578962547,0.8773766141640965,0.8577003962021886,0.8767134968525285,0.8674418651540315,0.8518770543632246,0.8573436982443794,0.8596017360733845,0.8885257069932173,0.8844792000228153,0.8197129532641181,0.8566006031790262,0.8426490965769508,0.838262111525912,0.738130502230465,0.8422143148938979,0.8775456895258257,0.8724287548980828,0.8544432194982657,0.8535978606398518,0.8165360748038862,0.8274728048089338,0.8672540593069588,0.8556489927033889,0.8289676651667898,0.8459001248476309,0.842481780489998,0.8530432876694664,0.8656128440611407,0.881623356561027,0.843393614143323,0.8397297812941492,0.8805071605662461,0.8233128282125638
Bengali,1.0721553681469036,1.0223423079618312,0.8769139201212384,0,0.9024490327334803,1.0258545771617602,1.0534406296768146,1.014672286167862,0.9903479536432889,1.1054274826941726,1.0328400346436228,1.0490056817702635,1.0620639841843509,1.0608833970324898,1.0244052259740757,1.0221157564540209,0.977008556433246,0.9450696006852437,1.0183713361817313,1.0957549498438302,0.8969986707879521,0.9358242083930844,0.7503609161608915,0.9867741960752797,1.0059864417885978,0.8588658195936155,1.090376136941146,1.0437647345793726,0.9361405767986711,0.8763440837831918,1.026407667773903,1.0110295927651267,0.9732944923029919,1.0025500664515474,0.9308498675689789,1.0302167055154534,1.0304320150421271,1.026448311108488,1.026350255844269,0.9579214412749348,0.9452545592718135,0.8612698722159244
Bosnian,0.8783756448432837,0.8758254701860668,0.8227668565932124,0.9024490327334803,0,0.8178963110982385,0.8939736978205548,0.7630893643541918,0.8111746713977676,0.9255320979451153,0.9011727051502393,0.9211442313540058,0.9000257866544047,0.8882153001821592,0.8968487027685851,0.9007365375311864,0.9190370811967368,0.9244547178656649,0.8620327272987007,0.9166073079966442,0.8461367329856091,0.8223726949045465,0.7052811234111686,0.7393847685566416,0.9180936849251232,0.892670586885865,0.8989942560494406,0.8947859261908526,0.8488387354350261,0.7675095383275228,0.8963747211207866,0.8826592822184315,0.7547788075567061,0.6690355841623765,0.8676999420662639,0.8017368406585886,0.8179427988589846,0.9034249758166943,0.8767673339041357,0.7561774656527563,0.9167801223159283,0.8376621187216148
Bulgarian,1.0595069205162841,1.0076137475987874,0.8694872554889764,1.0258545771617602,0.8178963110982385,0,1.023949336125265,0.8739243279202391,0.926493892805665,1.0975411922241234,1.0242509990304691,1.013936058432395,1.0444515652358053,1.0506363275843145,1.0196463281680421,0.9953033021039723,1.0516633658573802,1.037451761373696,0.9985249276928339,1.0924666061895563,0.8467044540607518,0.907907916723381,0.717558535971843,0.8780391241767282,1.0776347108700313,0.9474640379111994,1.0848510224948642,1.0554004479029913,0.9365094502738817,0.824181433889666,1.0116643512654409,0.9930798422862521,0.9031131270775749,0.9041661076467589,0.9429028468819048,0.9618413017067218,0.9647680694430556,0.9872875968616203,1.0078401913251682,0.8917161613473309,1.0218107729921215,0.8359913279226162
Catalan,1.078977630030789,1.0184366809441279,0.8592865118574632,1.0534406296768146,0.8939736978205548,1.023949336125265,0,0.9980548652440198,0.9837878414882467,1.1282854458911076,1.041399980430767,1.0264170794202914,1.034810652956159,1.003260249068565,1.0247148029773658,1.0294103901887381,1.0572148432969997,1.0424642160616673,0.9944257571547788,1.1128708906297382,0.8412576843548656,0.9180997654136506,0.7344165402105077,0.9816437843141427,1.0867545342772515,0.9640875098865525,1.1098299326354046,1.0705693156581106,0.944037409340786,0.8701746726862218,0.9511350631947896,0.9832609017918719,0.9567286316815076,0.9885352925975422,0.9574666767881466,1.0252670970312017,1.0442281051692723,0.9491541523977025,1.0318804354676734,0.949262690548652,1.0486758690544633,0.8615989294683802
Croatian,1.0390157115206804,0.9798754990684332,0.8636500729245309,1.014672286167862,0.7630893643541918,0.8739243279202391,0.9980548652440198,0,0.8974179901503322,1.0669423446071777,0.9867985184860534,0.9909488245623947,1.0064600599353273,1.023283673341528,0.9918632523302013,0.9766817519290643,1.0294820708593055,1.0449275912086562,0.9888149540575807,1.0639406170840502,0.8383719513196299,0.8931928685104401,0.7085137769906915,0.8726708526159874,1.0348536628518306,0.9451906694698576,1.0642882356353423,1.0332485295243514,0.9298195260683509,0.7993473126931494,0.9937240645787419,0.954862845919611,0.8844710171399583,0.8220989347582933,0.9342615725638437,0.9094828237306232,0.9024804308669107,0.9672603687382135,0.9923799139449443,0.8584533944407042,1.0203404249455006,0.8429541635819895
Czech,1.007745206228327,0.9936579482089826,0.8592209578962547,0.9903479536432889,0.8111746713977676,0.926493892805665,0.9837878414882467,0.8974179901503322,0,1.0395365329888864,0.9947735503659385,0.9710900745492821,1.009885811236737,1.0124733652435598,1.0283627232491268,0.998512965992173,1.0131323069899296,1.028426110587344,0.9689103154844232,1.0481890507985396,0.8827282492045789,0.8773405472494779,0.7314140764184757,0.8988295005670358,1.0324778220505622,0.9296444474982517,1.0268363134425464,1.019932720460046,0.9352848608771164,0.8041609178731782,0.9858290055798588,0.9674839547215136,0.8624998926536527,0.886749390092851,0.9149613281227809,0.8622464690936582,0.9202665110132019,0.9724235789443795,0.968398045262462,0.8572207261843613,1.0006457724688735,0.8445039028464482
Danish,1.0816859140598325,1.0704928886007126,0.8773766141640965,1.1054274826941726,0.9255320979451153,1.0975411922241234,1.1282854458911076,1.0669423446071777,1.0395365329888864,0,1.0391861268879332,0.9920629312978136,1.1367682913106716,1.133815268846888,1.0065613492487557,1.0836927980512907,1.098798047112114,1.0826129875672057,0.9871411175984489,1.1591471034566503,0.9250552549973892,0.9730631588362635,0.7673361334439681,1.0438779428304512,1.1439988030819208,0.9687979134308777,1.09574108542818,1.1293762757056538,0.9645307158956308,0.9069517596805209,1.07407317938716,1.0721593811452697,1.0111106424243155,1.0446847318030754,0.9980827251797727,1.0909113767978078,1.0893090469434534,1.0681392454651355,1.0078332282618532,1.002030159964611,1.0710050317349664,0.8580602571358308
Dutch,0.8901728647224577,0.9926542892316098,0.8577003962021886,1.0328400346436228,0.9011727051502393,1.0242509990304691,1.041399980430767,0.9867985184860534,0.9947735503659385,1.0391861268879332,0,0.9366219352947525,1.052014269632519,1.0655874332103898,0.935883717173205,1.0086129268151183,1.0371348839087426,1.0310027376351778,0.9635429682669057,1.0875547861555326,0.8889781895042848,0.9193682785658196,0.7411674331776931,0.9807142608438437,1.0571218209148374,0.9522788779200988,1.031025491819482,1.0523743684374556,0.9320298047362285,0.890856576122138,1.0168304609185723,0.9975812985260935,0.9574403661990974,0.9833116273248057,0.9517553757492018,1.0251601972566184,1.0036080932297404,1.011518887140154,0.957778003684005,0.9498510536761193,1.0204172105588618,0.8501576461341942
English,0.9683264420180336,1.0056870638586437,0.8767134968525285,1.0490056817702635,0.9211442313540058,1.013936058432395,1.0264170794202914,0.9909488245623947,0.9710900745492821,0.9920629312978136,0.9366219352947525,0,1.0293190525697162,1.0365826172862314,0.944011525389595,1.0235653926775228,1.0358659920990299,1.0370761353498108,0.9566888821449436,1.0345814806598623,0.8818951018329829,0.9495822823358507,0.7652457520259633,0.9895722504127777,1.0498994964726573,0.9624326271829674,1.017050820493691,1.0502618616274917,0.9366431073015533,0.8955526693904668,0.9786345860392367,1.0001159059773457,0.9569292026183579,0.9912553996909579,0.9617499530568487,0.9992951480654739,1.03152809697918,1.0089161532268907,0.981175625732591,0.958696356789368,1.040948749599975,0.8583874819805112
