,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,1.0081744986054255,0.8057143043116406,1.0377151798258069,0.8536891032172137,1.0170161060276766,1.0381670127800562,0.9843123515512396,0.9643093446390408,1.0354475279230357,0.7900978260828535,0.9188349290309997,1.052851487213012,1.062544369585611,0.9484820059525563,1.035247737366975,1.0359212282709813,1.0119901737764856,0.9119099534065197,1.0937428171166657,0.8814408882637338,0.8738290706414987,0.7009268258624055,0.9587678170978944,1.062905506690316,0.9224211380126696,1.0332943000186081,1.036145537673044,0.8992331915643452,0.8519707437776941,0.9933117486153903,0.9917541890110189,0.9329994770347018,0.9576597033256818,0.9320695775186258,1.0126176113177154,1.009652775025412,1.0062659627896422,0.9479826863554403,0.925648931252804,1.0057924976992407,0.8122425329429845
Albanian,1.0081744986054255,0,0.8280059262714283,1.0046156592271394,0.8553807731854522,0.9897381456886087,1.0058895946163557,0.9608452115826951,0.9763190870385081,1.0649722321615904,0.9737668171906841,0.9923298511403649,1.0149023509526711,1.0056268743404702,0.9959921760302071,1.022328242013001,1.0183524832626363,0.9934367586437896,0.9742259433750963,1.0511083054180785,0.8709775165755385,0.8858660417613513,0.7166741578995526,0.9319472379959821,1.023086745680807,0.9337406755635997,1.0557523477252078,1.0116685557638811,0.9120931675511167,0.8535767933125062,0.9712985998396717,0.9734690344958248,0.9227985969854028,0.9359324221645435,0.9074652027671188,1.0067237544542682,0.9960441295128423,0.9862568471168246,0.9916787261365482,0.9230453507564239,0.9922956676210619,0.8350233153740955
Armenian,0.8057143043116406,0.8280059262714283,0,0.8414772739804244,0.7996015422034839,0.8416548237423046,0.8336541079185126,0.8218620679733584,0.8217360022701221,0.8413287360149945,0.8159635026170503,0.8414451037697355,0.8358057099954762,0.8320942502889382,0.823756414848192,0.8317042614370131,0.8565203290263533,0.8359576856255683,0.7986510199344687,0.8276420962754105,0.8072950673773277,0.7929543797627713,0.7007109518154673,0.8142204535359219,0.847863065367082,0.8355960762116227,0.847127217593485,0.8250187040270444,0.7898703658966268,0.7905915743067542,0.825059199265801,0.8229154553989363,0.8070537952936164,0.825140898236592,0.8105408615422562,0.8311100926146047,0.8490631309889155,0.8407529030055799,0.8150474944737258,0.8200728232967417,0.8356018554831568,0.7804276560229724
Bengali,1.0377151798258069,1.0046156592271394,0.8414772739804244,0,0.8666128021418312,0.9976935451413457,1.0050411556780126,0.9768027837429486,0.9561730974025325,1.078232261399759,0.9785093124544308,0.9989511772784041,1.0197015978878172,1.0329462604874668,0.9848851473135674,0.9963216990085902,0.9154687830342406,0.8796118785086776,0.9782681194562457,1.0660466702418399,0.8659095800748855,0.8830800666362495,0.7061937514434734,0.9467602358112811,0.9399290322197625,0.8283758050048936,1.0837856058407072,1.018424150372565,0.9042427061043222,0.844605180015951,0.9672733663827383,0.9756150220432268,0.9282712081177042,0.9560743720729488,0.9150756190050473,1.00651534810829,0.993985846338043,0.9709609710246142,0.9939328578986508,0.9173929268475938,0.8984633769134259,0.8278742750763558
Bosnian,0.8536891032172137,0.8553807731854522,0.7996015422034839,0.8666128021418312,0,0.7591455196225536,0.8649733694603932,0.678682294178541,0.7741667224123152,0.8794838523305394,0.858375165435403,0.8802878056460054,0.866278195157486,0.8547357095615863,0.8693646358141316,0.8759897607145666,0.8857496361427168,0.8751639331890203,0.842284127842121,0.89316180039412,0.7958534343413576,0.8010430268457236,0.6835395791373772,0.6848760114697547,0.8775933418010692,0.8544318391298119,0.8764268520777121,0.8660080895106558,0.828054557321041,0.7300725009706559,0.850951606628611,0.8467370824871233,0.7291449491325669,0.616568406847992,0.8427258983520157,0.7783902491660828,0.7761869281276271,0.851989316349097,0.8486212091029043,0.7321538982160274,0.862222272537787,0.8014990225491555
Bulgarian,1.0170161060276766,0.9897381456886087,0.8416548237423046,0.9976935451413457,0.7591455196225536,0,0.9937446878787509,0.8256236253829772,0.8882658060490727,1.0548929367652544,0.9946614928879197,0.9851924902235608,1.018714762420063,1.0128946385624154,1.0054434076312084,1.0041154904672867,1.0046430064624106,0.9870291119052498,0.9794805594589856,1.05848288564601,0.853344604686493,0.8795801643463316,0.6908527064487353,0.8180076390326708,1.0259900759193226,0.9259188554485763,1.057864850097814,1.0080335345730251,0.9117075847544519,0.7973285024462761,0.9833055087537313,0.9749431294978577,0.8620450134048182,0.8498741010976154,0.9239229881610074,0.9221525008307274,0.905602666949949,0.9617892978309279,0.987568668538215,0.8533586475682773,0.9826018083276686,0.8187907277214366
Catalan,1.0381670127800562,1.0058895946163557,0.8336541079185126,1.0050411556780126,0.8649733694603932,0.9937446878787509,0,0.9621120923555231,0.9599211703418139,1.0940009573533955,0.9833480984479179,0.9787122279150553,1.0003205630443956,0.9405031218600951,0.9959750458511643,1.003922957829836,1.0110173136735114,0.9774680335224734,0.9634289915336205,1.0734962929689125,0.7954532583454246,0.8906945768227139,0.7073768079855333,0.9392425070166729,1.025134999126145,0.9265631623024982,1.1090625954116153,1.0479235353026228,0.9300186699698926,0.8567347584774382,0.8967558065133371,0.9349526763146296,0.9184549122852699,0.9548415833736277,0.9267967322793853,1.0034033703577583,0.9979304020371668,0.875284491251424,1.0026753269186406,0.927118307234435,0.9947844610644349,0.8264029231718272
Croatian,0.9843123515512396,0.9608452115826951,0.8218620679733584,0.9768027837429486,0.678682294178541,0.8256236253829772,0.9621120923555231,0,0.8611794186189068,1.0153326127876168,0.9530737152482985,0.9604929885469274,0.9860651706659543,0.9777571346489841,0.9725764487674129,0.9803689561689557,0.9778326134774568,0.9779056810419051,0.9562421420246081,1.0161961454302193,0.8322020520981719,0.867340321567993,0.6864637662425879,0.8033875806353422,0.9868208781819142,0.9167917480192852,1.0201727120637483,0.9778923463007503,0.8966483040339664,0.7705648002158941,0.9618522947565401,0.9278803285280124,0.8371116124858133,0.7477282753854536,0.9237332880252708,0.8668560846772548,0.8407554843650767,0.9423742492615537,0.9586690413585832,0.8226707499758961,0.9730738478064379,0.8188560351719048
Czech,0.9643093446390408,0.9763190870385081,0.8217360022701221,0.9561730974025325,0.7741667224123152,0.8882658060490727,0.9599211703418139,0.8611794186189068,0,0.9938130978003831,0.9504379216067622,0.938011622870188,0.9826371862554629,0.967947143644118,0.9830924175711175,0.9833239041733289,0.9920052557281648,0.9842193005384773,0.938944445727592,1.0072545096596786,0.8668058195040461,0.8515910133844917,0.6984631730509042,0.8591043123382323,1.0010519728512162,0.9043071841865119,0.9855523781434461,0.9780886039086681,0.9008722401338719,0.7788456223831153,0.9518935705692357,0.9278118497240253,0.8308885519658382,0.8471494761705743,0.8938543748843559,0.8218230283314849,0.8703012226719636,0.9323471431192472,0.9412726408262853,0.8251719505354389,0.957399411598393,0.8217932744985309
Danish,1.0354475279230357,1.0649722321615904,0.8413287360149945,1.078232261399759,0.8794838523305394,1.0548929367652544,1.0940009573533955,1.0153326127876168,0.9938130978003831,0,0.9785430562059393,0.9532104155612181,1.1015761287735002,1.1081990849348344,0.9690423980819378,1.0617187053032076,1.0654581272581398,1.0445664208113172,0.9405591767411945,1.1226944176305163,0.8781404870783163,0.9208635465583997,0.7241679662399569,0.9916485164938833,1.1151924563857465,0.9395530999898862,1.0700996572325239,1.0928696449331563,0.9389389989228607,0.8703577931871042,1.0205618204428455,1.0302306520716875,0.9685224646733726,1.0000329988607792,0.968075223339047,1.0589802508452013,1.0468268084822738,1.0260708933094966,0.9594533421072508,0.9569808552760851,1.0390457683654388,0.8127586280649011
