,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,1.0215731011939146,0.8766456404750972,1.0398396725753478,0.9378083011915894,1.0507188698673071,1.0648495166210827,1.0320438191751031,1.0185040570649566,1.1047275019839082,1.0451588219040147,1.0255824484225085,1.0830969774783834,1.0731589703578186,1.052410864435915,1.0495956980571588,1.0383798983631043,1.022786691304436,1.011279210057413,1.1170870427661732,0.9343373796903178,0.9420635758048763,0.7833577220158419,1.0089785905367414,1.0691552547418575,0.9555027842895341,1.0980420839263187,1.061990860617957,0.9472689885228684,0.9277359769350824,1.0304345871780407,1.0216935078147318,0.9868900634705199,1.0161125458229265,0.9592068068021521,1.0468196692456448,1.0379025519955736,1.0132334660312865,1.0457931132084488,0.9848406847847597,1.0343268286504907,0.8864520215291627
Albanian,1.0215731011939146,0,0.8657880805603391,0.9979186225351665,0.9269056279694167,1.0137594340024592,1.0152164384553681,1.0014867010000266,0.9868091790612319,1.0385906785838674,0.9966707346311209,1.0034248026473056,1.0268705889589944,1.0142201184889654,1.0124367621838315,1.0197212555995834,1.0073172493028224,0.9998631374300415,0.9812023535283222,1.0408080630500565,0.9204170317767932,0.9314561735618884,0.773771936395791,0.980649229255218,1.0204863763771757,0.9445820905607696,1.0338020216704573,1.0124752768893506,0.9247636568984312,0.9130995947731204,0.9823091347733551,0.9943552591840649,0.9655659725175219,0.983438343329444,0.925692842623694,1.0118561398756136,0.9985582593226829,0.97702042946256,1.0009801312412236,0.9708002854161301,0.9939680383967137,0.8817474173277708
Armenian,0.8766456404750972,0.8657880805603391,0,0.8728968542471613,0.8743841103774387,0.8838748549355391,0.8758422904970583,0.8853813224725051,0.874171935125565,0.8843847858977222,0.8735787106094409,0.8891466258179761,0.8813484391058031,0.8720491720482046,0.8802553709873704,0.8752963420625448,0.877264058744928,0.8760722600905186,0.8675145336578544,0.8895734309575652,0.862241969320271,0.8708562305836991,0.7690723460967094,0.875740057592603,0.8762287995110251,0.867803005099288,0.8853987571541654,0.8771618765179695,0.8490474701832681,0.8581522355052654,0.8722969052966963,0.8780702700295139,0.869362276149559,0.8828188461527948,0.8540208439650738,0.8843077182770716,0.881255222642429,0.8604186609760173,0.8732165042487331,0.8767000430263706,0.8768552448733105,0.8525544193261192
Bengali,1.0398396725753478,0.9979186225351665,0.8728968542471613,0,0.9225473910646933,1.0167458498664257,1.0329914071317479,1.0012160576726614,0.977285434165383,1.0556205951275306,1.0087281505506962,1.0148307205661913,1.0348667132543399,1.0355953957966635,1.0116691488654774,1.0216252776675603,1.0243446365183313,0.9996212020019628,0.9918636590468445,1.0617173075463286,0.9173893121320763,0.9284811232237932,0.7721065787990303,0.9811604761147408,1.0387243783179625,0.9394796141860199,1.0583809325565148,1.0330829220447255,0.9332977978221386,0.9082476730568768,0.9987407107648816,1.0004310891765695,0.962787332595866,0.9907696495582738,0.9449104712752355,1.010119768083049,1.014503098200949,0.9926986564492533,1.014585835965752,0.9598224749357994,1.0178489004823623,0.8746918678105309
Bosnian,0.9378083011915894,0.9269056279694167,0.8743841103774387,0.9225473910646933,0,0.9298030231104919,0.9327745938827816,0.9274115179495236,0.9136425711200757,0.9448252187593635,0.9261509239342418,0.9274191048667387,0.9360917060186947,0.9327023443679046,0.9327780272968077,0.9269144034602346,0.9288995616757811,0.92784665123464,0.9257444129990552,0.9491328642156431,0.8921595376543113,0.9025883868133807,0.775598448447752,0.9104346801567831,0.9336561707432316,0.9056219209097136,0.9461861131902987,0.9343274902862823,0.8922514671803213,0.8832404767152294,0.9256933855690037,0.9320526760842237,0.9049839928097614,0.9164366180717911,0.9103653972176153,0.9355741106022322,0.9353077298255437,0.9189707571971333,0.9298602512337613,0.9067709102126018,0.9269226901993672,0.8714389383237835
Bulgarian,1.0507188698673071,1.0137594340024592,0.8838748549355391,1.0167458498664257,0.9298030231104919,0,1.0379559471884325,1.0169819005051115,1.001648575112958,1.066205587808859,1.02218860213459,1.0008969776831413,1.0429566167619597,1.0493296122696483,1.033851212685222,1.026247216549007,1.0277527926590238,1.0130117825886067,1.0060673151239266,1.0730911631583095,0.9208343800072953,0.937964167922792,0.775867002957542,1.0130649710525503,1.0490311503674274,0.9457767268499754,1.0685331545749188,1.036319011006382,0.9471410466491975,0.9176381222588788,1.0174092079830144,1.0128853470382018,0.9816741572147559,1.0151476016691476,0.9577539538480728,1.0410080677662183,1.0285244502350714,1.0068611237254552,1.0181251344869466,0.9836839076335082,1.0167789173774895,0.8744944534332916
Catalan,1.0648495166210827,1.0152164384553681,0.8758422904970583,1.0329914071317479,0.9327745938827816,1.0379559471884325,0,1.018486906720716,0.9978626734459081,1.099428297934103,1.025007958252496,1.0238153612400096,1.07068096874427,1.0721627488510987,1.0289198232110914,1.0341948747876601,1.025890365037252,1.0161799215012088,0.9981970669096453,1.089970575505966,0.9266573644992794,0.9406937734653733,0.7799049697982444,0.9956061855426037,1.0539013827072021,0.9563710069371697,1.1036263227915781,1.0530135415065174,0.9416602715989435,0.9208862942849896,1.020013259650159,1.0291975025632893,0.9762662853289089,1.0068079870567084,0.9542887387788699,1.0349379213687506,1.0422971694553271,1.0183898166661458,1.0289045271893025,0.9819375065375144,1.028505540928417,0.8872360402156346
Croatian,1.0320438191751031,1.0014867010000266,0.8853813224725051,1.0012160576726614,0.9274115179495236,1.0169819005051115,1.018486906720716,0,0.989869843323286,1.0446844336440695,1.0028968179634778,0.9905802551070559,1.0276761383420168,1.0259366395372138,1.0173671867625576,1.0112442652716833,1.0103947601071093,1.0069569466266253,0.9948467134445506,1.047356044439459,0.915399508159673,0.9409926402495525,0.7706854537468659,0.991443615954125,1.0232100898321703,0.9375125298330441,1.0478558275008714,1.0225459369206105,0.9409549413382162,0.9152082261526912,1.0077805986749062,0.9972965504252337,0.9727600810704246,1.0145756709947114,0.9552042471510553,1.026220833628313,1.0216930579792327,0.9903874464179173,1.0039152649324248,0.9714242419590358,1.0080471184428017,0.8755124457313347
Czech,1.0185040570649566,0.9868091790612319,0.874171935125565,0.977285434165383,0.9136425711200757,1.001648575112958,0.9978626734459081,0.989869843323286,0,1.0322753992915636,0.9854067491677573,0.9720358175814539,1.0193430809800967,1.0142318212871446,1.0110787832751513,0.9989613356648719,0.9973878312377193,0.9928635509649882,0.9830421495210944,1.0351239176626719,0.9159860719140515,0.9283162455571191,0.7745790920105268,0.9798002509584262,1.00871106698794,0.9263077631897327,1.0257923046333606,1.0117435302514544,0.9303896382335052,0.9159068728216216,0.9885315158082759,0.9804283110696673,0.9630445268753747,0.9808505766462686,0.9376853565810528,1.0317236211734804,0.9906639046461286,0.9751775576673893,0.9787586842980793,0.9568471137370227,0.9827805017917162,0.8742930974616162
Danish,1.1047275019839082,1.0385906785838674,0.8843847858977222,1.0556205951275306,0.9448252187593635,1.066205587808859,1.099428297934103,1.0446844336440695,1.0322753992915636,0,1.057643634693816,1.0377192231204537,1.1092397276363313,1.0987650600885093,1.0693814367700898,1.0677782178020794,1.0608547942394273,1.044139658873469,1.030270772222769,1.1352376345130446,0.9404922706906174,0.9443356361612025,0.7911510154371374,1.0208234991049998,1.0897855985993494,0.9657823685090556,1.1623481684159978,1.0937534602557188,0.9633493504906752,0.9360215172989543,1.0444497608436425,1.0477493838148606,1.0023003880903227,1.0288100511427474,0.9668719562511361,1.0653373448040289,1.0655685057368713,1.0309611308905957,1.0625329040962348,1.002404648577923,1.0481744361731076,0.8926228709764712
