,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.9760886294464096,0.7863011260042595,1.0016010880779163,0.8232019156770106,0.9897358072691214,1.0179407721887528,0.9524145753255866,0.9413562926962727,1.0474399275895716,0.8471111653842509,0.9380179162324144,1.0275485161370137,1.0270626152709659,0.9592524667978728,0.9847685377661365,1.0170920301708894,0.9896957332242615,0.9138579902118334,1.0691233938882874,0.8297770868892375,0.8571595083682443,0.6885874877195491,0.9326457380176517,1.0415844695448793,0.89639615637265,1.0345561013639397,1.016006031281776,0.8897155104750211,0.8445772700763754,0.9824258779470192,0.9620132169333337,0.9049608431180506,0.9297595939570048,0.9105314333358475,0.9719852282905473,0.9846340629435792,0.9815839983720733,0.9555571025839814,0.8895981561830376,0.9848513288594336,0.7863886665312905
Albanian,0.9760886294464096,0,0.7908259272758726,0.96868244910659,0.825403335433713,0.9551793427135115,0.9925892295694639,0.9279171241974535,0.9214603009480735,1.013259197890162,0.95549800753569,0.9642667931644663,0.9821502389387039,0.9790164717776186,0.9560401371974308,0.9610368314489034,1.014728355444956,0.9762398194824432,0.9180642521265782,1.0148580278238482,0.8192816456910765,0.8582761417312474,0.688441792119955,0.9045101645438168,1.0161625919297597,0.8987060282050489,1.00792004702898,0.9895821688775296,0.8801924309458778,0.8335099620450804,0.9454001081644626,0.941369509846106,0.8884454681657636,0.9090726432701611,0.8903527096834682,0.964942670384775,0.967506747926764,0.955688674205528,0.9517785353486913,0.8816086201946931,0.9677179033411011,0.8040604134535729
Armenian,0.7863011260042595,0.7908259272758726,0,0.8155493720828577,0.7655876845921812,0.800232924709589,0.8098738904750977,0.7940752215707961,0.7791757973237592,0.8101021663696674,0.803138861866449,0.8168991005177084,0.8115327367779099,0.7858208712103211,0.7874985613407618,0.7951626975614474,0.8372258085279404,0.8293186685401321,0.7746095572576103,0.8012898211957538,0.7534857320702467,0.7768653646226945,0.6797529378306713,0.7838768422607012,0.8248265680118575,0.7995029814608505,0.8095532606516068,0.8115139165431452,0.7738997493719602,0.7770542137914971,0.8063618458868292,0.7884197878517095,0.7724364787574008,0.7865771772099367,0.7841631390468276,0.7847986331512206,0.8219327732555458,0.8073850931196614,0.7984301285890261,0.7771924130945397,0.8117734702220183,0.75774972859298
Bengali,1.0016010880779163,0.96868244910659,0.8155493720828577,0,0.8345957953648205,0.9687329311978542,0.9798383636003615,0.938225795291174,0.9042762674612159,1.021039723969432,0.9578361940104723,0.9724889445733794,0.985597837353442,0.9938485949154494,0.947267630634841,0.9612681071736089,0.9335612672910679,0.8947073487007149,0.946274315360472,1.005254913927509,0.8207000831266976,0.860738349129215,0.6948714973394517,0.9198737380626958,0.9502196119574742,0.8476779635353702,1.007848559704126,0.9885357243036254,0.8916980987464429,0.8206582622505905,0.9458325211753864,0.9395717523995006,0.8991673873888069,0.9226916063347473,0.8982789209125771,0.9389148077624816,0.9605000633316472,0.9645062839431783,0.9448498738725546,0.8829780704468811,0.9044305856908254,0.8091272661352236
Bosnian,0.8232019156770106,0.825403335433713,0.7655876845921812,0.8345957953648205,0,0.7829252582561395,0.8435037248055308,0.7453209415995595,0.7617942889658353,0.8543295616208131,0.8476430788198671,0.8631535882103782,0.8390122869009282,0.8260083857600625,0.840287458031691,0.8153221168828978,0.8678499944037863,0.8531867720022018,0.8006577141402986,0.8480874602526006,0.7661237476803516,0.7843979343546895,0.6702979130325093,0.7316989528223612,0.8656442180970907,0.8449415988136715,0.8517069738491637,0.8398074055194856,0.8046714306702349,0.7512442133826531,0.8238637418829579,0.812894768429145,0.7361075016762865,0.6935520326289123,0.815340494668673,0.7639580946730102,0.8253525575071096,0.851090477846045,0.823168334108752,0.7502790135843411,0.8348922474678194,0.7830364515596302
Bulgarian,0.9897358072691214,0.9551793427135115,0.800232924709589,0.9687329311978542,0.7829252582561395,0,0.9701533635427789,0.8381931234105895,0.8695925987505714,1.0157625055428416,0.9689891826386144,0.9559503138548476,0.98326434693159,0.9714044715949808,0.9554092941213204,0.9443950500482827,0.9852450244222126,0.9665501583624607,0.9276434194112867,1.007479530274934,0.8016271210537953,0.8622423794491336,0.6852015333760071,0.8576219864092741,1.012143285974161,0.8993128031667883,1.0238728502099677,0.9804696058316239,0.8930201475054143,0.8079387777496995,0.9532077133409455,0.931821171660769,0.8545740223905415,0.8623846207314,0.8915229010566948,0.907279920521986,0.922174040689201,0.944140419420158,0.9424958084640446,0.8481742763176094,0.9572123830708771,0.7784794936789808
Catalan,1.0179407721887528,0.9925892295694639,0.8098738904750977,0.9798383636003615,0.8435037248055308,0.9701533635427789,0,0.9198546729803816,0.9203728446631155,1.0528838529173994,0.9849126625597482,0.9710304140871759,0.9788477016474997,0.9777320575349794,0.9646627841018581,0.9831982905558359,0.9959673894177712,0.9658021449227219,0.9406587081762894,1.0404958906867092,0.7767753754181891,0.8798635477555979,0.6983271786112077,0.9160247838463697,1.0123062843636987,0.9202197845386864,1.05466246883174,1.026226829913396,0.9097761866456593,0.8407797701407411,0.9191093383754055,0.9350868211418472,0.8988616080379362,0.9336565324948422,0.9055809594166018,0.9626965922795284,0.9821505723954657,0.9232573037544342,0.9597225232443566,0.8908384145260626,0.9716998905004891,0.7881003961416908
Croatian,0.9524145753255866,0.9279171241974535,0.7940752215707961,0.938225795291174,0.7453209415995595,0.8381931234105895,0.9198546729803816,0,0.8434816475759239,0.9673702686741543,0.9480790303952676,0.9407433718642727,0.9464971213337289,0.92670455766399,0.9387716544961322,0.9271205082186501,0.9686153464904199,0.9495238754998396,0.8943823944705654,0.9625776942554605,0.796173623646575,0.8517939288769217,0.6809098491843715,0.8253701492956169,0.9738484551301474,0.9005692466207968,0.9722704286932902,0.9473056283857022,0.8730890249262933,0.79040187556596,0.9271487218084239,0.8988288994176351,0.8324108884316656,0.8044831863318166,0.8771338912241545,0.8600280820663897,0.8752799412831651,0.9240219998774584,0.9100047437714048,0.8214103162205781,0.9320650381151633,0.777933180604052
Czech,0.9413562926962727,0.9214603009480735,0.7791757973237592,0.9042762674612159,0.7617942889658353,0.8695925987505714,0.9203728446631155,0.8434816475759239,0,0.9577596115832703,0.9356249530294846,0.9150316790501806,0.9372592251387437,0.936446260263552,0.9417745276659059,0.8991310360095925,0.9457292946283125,0.9317997894357313,0.8922774613295047,0.9690925190687589,0.8005601029761568,0.8207425099406828,0.6866234803322727,0.8487602700965136,0.954807954930367,0.8767534891790508,0.9630777007815542,0.9393072136167948,0.8712985702376208,0.7987410604009102,0.9238918622139501,0.8870385306611305,0.8274540374549324,0.8386460439770783,0.8546940593906872,0.8492310709161128,0.8759064398057174,0.9222661468885582,0.9013116048928458,0.817764051666684,0.9006042963726832,0.7766992603170114
Danish,1.0474399275895716,1.013259197890162,0.8101021663696674,1.021039723969432,0.8543295616208131,1.0157625055428416,1.0528838529173994,0.9673702686741543,0.9577596115832703,0,0.9769160316527141,0.9523958325770904,1.0797628903550347,1.0614943202206613,0.9503753972125952,1.0022277434181786,1.0227809595899213,0.9974304864448504,0.9316150164812957,1.0841500363769137,0.8237493686560995,0.8821775802843801,0.6979052208906896,0.9633781795484038,1.0555122656578695,0.8989344912873317,1.092302542407577,1.0495190518285502,0.9066334380660803,0.8480340463195999,0.9849309288860464,0.981879520512865,0.9332300435027221,0.967293193310541,0.9091748307002897,1.0052989187316663,1.034841365549683,0.9906439694435426,0.9716571234855342,0.9239429918089267,0.9900201036495742,0.774397517719504
