,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,6.654733520436589,5.599255732475319,7.413998929078766,5.978660777908508,7.059013016893903,7.809641051521161,6.904359079839245,6.871068930978567,6.944355181052382,5.1902802690609136,6.227581851745886,7.382493765937653,7.01708505134969,6.352737381624802,7.656818589231749,7.8312163968864414,7.694263603501277,6.049528696251445,7.5796953851337365,6.1679782661524545,6.504403286411094,5.311511491488564,6.598274386425063,7.918765300216501,6.034656490507827,6.9311204972000695,6.9202477248109915,6.11869418230969,6.306920839561783,6.793569670386642,7.172244963401611,6.496993830875501,6.633205165316816,5.914185589594565,7.183608870894574,7.484065396954683,7.020200928986284,6.431957690285513,6.416453033750138,7.0259254788006125,5.498445394709723
Albanian,6.654733520436589,0,5.586762757377989,6.8746986612068275,6.052874923683843,6.885400695544844,7.300504555991368,6.731452697162437,6.8940955349957695,7.420629773968952,6.77819429134135,7.187996516588785,6.979988914950005,6.527350932165845,7.106433884757406,7.332068342191866,7.463719821520293,7.443448294199488,6.642158548245168,7.048852169403747,6.187585859045904,6.5943418885515594,5.312183906972295,6.404269432639479,7.253444276588537,5.949451918436121,7.4492844981102975,6.523313089481904,6.044496514901449,6.348199918786765,6.559196935485719,7.009150061438725,6.380584863585583,6.543684351307507,5.386222310848393,6.959771169182854,7.316288204321636,6.80488926750787,6.9556908045393175,6.295138746271034,6.696327027164653,5.792529888835725
Armenian,5.599255732475319,5.586762757377989,0,5.902114364186647,5.5329241384980445,5.813549214671048,6.074841866939597,5.613398517770853,5.90312878475844,5.988168322319263,5.807868502711167,5.967965104820261,5.874309521641632,5.669408397093432,5.885906528450049,5.767422949074111,6.433692633736033,6.275845719375505,5.333237162337044,5.863051709667661,5.524279788233586,5.866458059902891,5.109091438613967,5.6047665155773245,6.208712356695604,5.538970188533139,5.849298948562723,5.556061743007598,5.407808344134928,5.732338188139577,5.636872037852664,5.823718228687227,5.606289942241748,5.667255694141588,5.171528512459439,5.772848748208835,6.222430532542574,5.8047825705353295,5.762168353400065,5.580786910914674,5.784771173625759,5.203193534374949
Bengali,7.413998929078766,6.8746986612068275,5.902114364186647,0,6.236326224632947,7.078341439169531,7.622563745588463,7.058748723167018,6.934473025306,7.791650107683628,7.1756933633309075,7.190556917621813,7.443120379118463,7.193590094811283,7.301753825548522,7.333277552746064,6.5399136395800825,6.325650060385939,7.042769993749216,7.676162379621064,6.293904842492176,6.687313349854724,5.368933333899223,6.635549915146617,6.705285704997365,5.217622637896663,7.732743281797066,7.172846179422195,6.433955824781136,6.29763144682675,6.856390721414527,7.234220768999958,6.748835834771244,6.848426309558272,6.000011431756188,7.1676610990301315,7.507069381000198,6.951436762071156,7.162693621976615,6.543529971844562,5.999457944239068,5.921559301512306
Bosnian,5.978660777908508,6.052874923683843,5.5329241384980445,6.236326224632947,0,4.956234352030143,6.570283898346611,3.954675162422803,5.109286838497556,6.303563757646867,6.056639613041771,6.366595041338737,6.150495542110698,6.118123456195785,6.095627544662107,6.433902946363201,6.771802963897015,6.7260995163684205,5.856704842799097,6.487958417384823,5.599766998804977,5.551501548907193,4.725264444603911,4.239121532504448,6.629235381928485,5.614723127861399,6.2290775010312,6.17168608650449,5.820832222961152,4.765471588135745,5.926408664279436,6.077370366417958,4.560719764054235,3.4165143571994476,5.720058066709164,4.832341665693323,5.158906016017554,6.077182640546471,6.156012516198078,4.546669958031945,6.1378745290943195,5.632929732447683
Bulgarian,7.059013016893903,6.885400695544844,5.813549214671048,7.078341439169531,4.956234352030143,0,7.350704246626325,5.31917657206103,5.959343394274227,7.538228010008581,6.874590357980808,7.022857734451176,7.201946259477512,6.931951997884692,7.122535935924865,7.208391952645431,7.644115840574862,7.503538790918274,6.676704040004634,7.470801054399623,5.835505092022104,6.479100394815546,5.0507375472021,4.933486312779993,7.679407739781464,6.291035904554925,7.5174791681672755,7.0954891377313,6.41415971053762,5.42613470474703,6.746102931726369,6.93540608265893,5.522214056467179,5.358565574935525,6.15969835433135,6.058586664797517,6.277026182774107,6.681958290042089,7.0225778440149105,5.525915027973008,6.849136789542519,5.541469512345071
Catalan,7.809641051521161,7.300504555991368,6.074841866939597,7.622563745588463,6.570283898346611,7.350704246626325,0,7.1565208488295475,7.250750412610602,8.018159654245238,7.335384661721736,7.278085189647718,7.055054856303248,6.2757704916806345,7.456236855005897,7.487783442034854,8.09434347633104,7.890168065373026,7.129621077357715,7.909966601547964,5.442459401484315,7.240766718442128,5.585379179789804,6.952217087002876,8.042158341645742,6.657648436218037,7.948174682823934,7.784100649290455,6.767807238736711,6.585671364586947,6.03987001471154,6.689380809374288,6.9890023246582285,7.173771936942339,6.49810414220791,7.434387942916479,7.805263024780599,5.758608848833639,7.386791336286103,6.718058257307449,7.46638046897597,5.975615395211636
Croatian,6.904359079839245,6.731452697162437,5.613398517770853,7.058748723167018,3.954675162422803,5.31917657206103,7.1565208488295475,0,5.5499519809167515,7.144528601085801,6.733474504570983,6.9481281083673245,6.9723387464721345,6.817321885003027,6.9744694239888725,7.032127740632872,7.488859091159285,7.514202497682198,6.6445353883074665,7.296822762499299,5.789894711063486,6.556250951483767,4.926144140571973,4.959428045283354,7.357711482847053,6.161801417975595,7.306816868382026,6.824609858317254,6.26839882032921,5.16839926631257,6.648309102416503,6.683079845365922,5.323313743332398,4.215977815211523,6.058451940500561,5.410674808876773,5.415554028966524,6.484456613333966,6.891473868713356,5.100317543288298,6.911734250812275,5.552000302995218
Czech,6.871068930978567,6.8940955349957695,5.90312878475844,6.934473025306,5.109286838497556,5.959343394274227,7.250750412610602,5.5499519809167515,0,7.100853681387556,6.722745907141464,6.850413485805129,7.0541085691209915,6.987181074877187,7.099817710689859,7.295067010671554,7.6218696755863435,7.629441331024595,6.622154552771473,7.304929092559527,6.158174516812802,6.259217717146085,5.1904597825390795,5.69207216173257,7.6350726938185804,6.113298866880453,7.1969621824180905,6.914139389195946,6.340203107707501,5.162621329057342,6.660198922404503,6.995418217694481,5.485522198282985,5.4508720693426325,6.172118525374879,4.91194605625027,6.150564694092843,6.651775615683631,6.878499524424001,5.237958690780785,6.729013237891171,5.665493563367286
Danish,6.944355181052382,7.420629773968952,5.988168322319263,7.791650107683628,6.303563757646867,7.538228010008581,8.018159654245238,7.144528601085801,7.100853681387556,0,6.625238679381443,6.427560847290516,7.60829830595486,7.538634991683831,6.549394266599467,7.701166506654128,8.044592207372013,7.860420419509487,6.170078315753614,7.925672375188239,6.192327669170299,7.0041902031129375,5.57996213056069,7.006465629584545,8.171226861794493,6.212078531918039,6.787996730853776,7.600126819199513,6.642720596282056,6.463156879606034,6.964563741577282,7.383182756093668,6.87776938866048,7.134133519052804,6.445169199034482,7.398004742387624,7.687985277251719,7.082047181732478,6.332261731910019,6.6757234877566995,7.263162966393475,5.545805861611416
