,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,110.92965398974435,111.6067570880135,139.49129229392653,126.81625981723695,152.01004449759003,169.8349083894655,162.62493674091402,172.61358520509418,161.68682527004677,121.67743432185767,162.95018589994655,155.18737785997928,122.0493998811198,135.5172561435324,191.6552022977545,154.71731598434334,177.84137993321139,106.81376927651901,145.49599245905017,148.6758502397604,148.97325774676273,93.02099541074483,129.0882948508054,149.89492346160847,117.66196849858355,139.7598122662106,129.0617824875568,110.3556290193588,160.3357648156477,148.04007857019707,156.48125108106467,134.9764820341067,132.29756320892693,102.81555823725394,167.98618335840837,181.00802998498057,174.50222679724519,130.63863081823982,132.111604805092,142.42278386001945,126.05464401084937
Albanian,110.92965398974435,0,112.05176797992635,130.42602746123436,129.5440547000899,154.90918794124286,170.5147836832094,166.1071376907633,178.0827192520077,174.10632185471175,154.60770221892957,191.37977876919226,153.2965209571504,114.22988189367122,153.359638063422,190.20758535860585,151.86319193613724,178.75928287498473,119.26952586834176,133.49444509022896,158.44917898263762,148.98910885595384,95.84253530865942,128.61307608274404,143.98750658655632,112.3867982428072,154.94261270835977,120.07374579526834,107.42291091903962,165.4051074480135,146.0625011347685,160.96185835741008,132.9815003974271,133.42086124440866,86.81306993363951,165.9993476647467,187.4071487432469,176.57525529124555,145.59004166952167,131.85813559070027,137.99862787293046,135.3212044479503
Armenian,111.6067570880135,112.05176797992635,0,116.89674331965332,121.96369337552464,128.84510181916426,134.49855211070846,132.86583751267491,144.5356279291753,139.8970657095462,133.41118460103996,142.79420647178043,127.92417828339565,116.16409055729035,128.3533221128872,145.9376919820319,127.67894981837671,140.12521467329256,108.62263237465464,123.38222225706173,132.6340669651086,135.59621979293593,95.14166434516873,114.87843578082573,124.05034511697646,111.25823404496627,127.2546169704374,111.59756701182204,105.6891506134753,140.1327118247257,126.57075107236233,131.60699327207922,120.30052860157555,116.61038108528393,106.70874085790601,135.9434495755746,147.77770370175864,141.13584934260143,121.91803898725057,117.9491559984794,118.31563826889163,117.01835374588282
Bengali,139.49129229392653,130.42602746123436,116.89674331965332,0,137.88906642824708,154.53154190268637,163.27213289220336,164.31409357808266,168.01301288575408,182.06247232480413,154.1345978752187,170.7868872973897,156.60019831954432,144.17451690905614,154.57294374609634,177.01456553212557,130.39716547587787,145.2447245551284,132.96717610463762,148.8280180898125,148.1977908892403,156.65342987058895,95.60204639856626,136.0994884224346,132.53292773566855,106.2503152412593,163.7969135041674,139.47810108263673,121.4128718910766,152.10581222455218,143.26011026366888,162.49275835475507,145.04630599696998,139.80809448124464,118.9781700395807,165.04911608221116,185.75456217976586,159.52349265491657,147.6992445320316,138.83585773826707,123.90080167066662,127.35138206789954
Bosnian,126.81625981723695,129.5440547000899,121.96369337552464,137.88906642824708,0,122.30216994852564,156.4720890059485,109.65183880780202,143.46755838135292,156.63537907507097,147.73726274778056,163.224996678958,144.9997657293226,132.86714416915208,146.26903242158093,166.3282913960346,149.0895441598698,160.3516034710947,127.72550549494258,146.04101437580235,145.16405905109946,139.6096715521979,101.96479868802498,96.39272857165588,143.47885939318613,126.43620134519404,138.77036186618201,131.20169385511952,123.76843175280122,134.19202622912505,146.31005056608262,148.2048577829007,106.47538469143228,80.99199228095497,123.20902582722725,123.4773035549702,133.0707170103316,157.833458281363,138.8949412484764,106.95937904380062,136.82132589614912,135.55074504216026
Bulgarian,152.01004449759003,154.90918794124286,128.84510181916426,154.53154190268637,122.30216994852564,0,166.87711029397667,129.90448230463406,152.98306065232347,184.9550074354082,166.17523077267535,166.71628937258947,166.73056157524383,149.27544270257437,163.85059654650473,181.76880435458403,163.02677364744224,171.5423866311327,142.19202616014854,172.46381662250405,143.1530399084091,163.1652586970787,105.66164685801292,112.34812780468545,162.18043403093125,144.9323065585635,172.5750561614946,154.43937544066492,137.00756215508423,144.46969441236277,162.24686718823773,165.25479647712538,127.19793319959443,121.03328308847534,139.0365836521922,151.88137087640172,155.57142117714906,170.98629744367858,155.5317167673961,126.7550636244774,152.76331661159614,125.8412341474972
Catalan,169.8349083894655,170.5147836832094,134.49855211070846,163.27213289220336,156.4720890059485,166.87711029397667,0,173.29651367337257,179.97043863308417,198.76626824042418,171.5341666294557,174.7030962290693,165.13927128902597,151.79852424480512,167.1644305356914,184.78487009043602,167.13246228700552,176.03185255741153,152.71727949617005,180.03354811073552,124.18864151883366,182.2221540527442,110.22808074485515,155.51288075377514,169.57129713475118,152.00539313412753,187.49898740930183,175.5397973708142,144.1333714692899,163.12085104285185,135.8453800347435,165.14798436503995,161.99299704343952,159.80680747769634,151.5822522184301,185.13127533732987,197.65049279624282,136.28140910760135,166.00318372445923,155.12047984193066,164.87098675993204,131.61946263933922
Croatian,162.62493674091402,166.1071376907633,132.86583751267491,164.31409357808266,109.65183880780202,129.90448230463406,173.29651367337257,0,142.58574650880598,183.96378208912066,167.34780029853152,176.6280708035284,173.50942696603568,166.12438649480217,168.93642736716254,186.27459203156693,169.01773044461993,177.15266654865104,151.83552507068495,178.54710869622383,149.62801066806097,177.11531785760414,106.45493760402913,119.45915183722177,168.6188224772756,148.15445402288145,174.9280859887493,162.50345644036807,144.88616184921096,141.283769197301,166.09856913607283,170.94004775660807,135.7783753818833,105.87788263798203,151.95851057654687,136.13944278618757,142.77469029419294,171.7221984584311,164.58964389629122,128.0216306582315,161.3002747680066,136.34402782105332
Czech,172.61358520509418,178.0827192520077,144.5356279291753,168.01301288575408,143.46755838135292,152.98306065232347,179.97043863308417,142.58574650880598,0,184.19659647502894,169.80717159696707,183.9026639378248,182.99012129638214,178.81809252444725,176.17552950022855,191.7128207582157,178.21485824391155,186.1913421671492,162.54256370521315,183.70576496330904,162.9167305012167,180.97088481301427,118.30415196601838,143.27528676570466,178.29990586686066,153.25101091600993,180.27506479844726,170.59213872559883,153.9238053294686,144.39776677320742,169.66704570409885,184.25352025007695,149.4787605043337,141.42464398306493,162.2579928867041,130.56955370053242,158.04960218052287,175.90756711653347,170.95904381251574,135.72911011746803,167.39829447710693,146.07756182107744
Danish,161.68682527004677,174.10632185471175,139.8970657095462,182.06247232480413,156.63537907507097,184.9550074354082,198.76626824042418,183.96378208912066,184.19659647502894,0,164.2916962260105,185.17232279523606,188.46329211373458,180.22026569435118,162.2311812840055,211.78850475040022,188.99703313859396,200.48516046720601,139.2438505376506,194.75856098826543,157.56386498843645,183.42660326206288,115.43334762436102,165.7020537581537,195.28193776055798,152.13096697801805,162.011152407834,182.42325598630327,147.5239428973673,169.42043691021198,176.6965658229628,187.73620507048383,169.9746404617772,168.1683720998811,151.82332619746535,192.63487995556295,200.41490419608056,191.19387822249627,153.37130449973537,161.43641039985567,179.56862536577538,138.23949537187403
