,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,7.065113371164883,5.956676563643396,8.000138529429723,6.518126052194511,7.455856339429274,8.153917133212888,7.445212039291379,7.471579354943836,7.767022055694153,5.8188974396784205,6.870381374818916,7.892649262840459,7.443660834489908,6.960618361157179,8.175354047792842,8.286455105042318,8.26613328058836,6.40602848977852,8.221743286192133,6.654329895796812,7.319306063372951,5.738076026731651,7.048521108756052,8.419759419919506,6.592239553694849,7.383343876387737,7.370531359020812,6.493877213938315,6.961720606962411,7.427903288411841,7.580521039027975,6.94860475606788,7.147492533764165,6.333218441751902,7.772387893372115,7.928660248418553,7.419277129337317,6.828384486089837,6.895079139229659,7.6706258120540785,6.045215436803736
Albanian,7.065113371164883,0,6.058362135452227,7.443668637127483,6.748285876979501,7.383001302617298,7.6725724151396575,7.390385199574524,7.587496232579539,8.469562389039833,7.496156132184271,7.932382242004251,7.547280885674348,7.01185899400557,7.840263359913949,8.048964896113318,7.8694693382956045,7.953331380968893,7.1872943245896055,7.6596921390832415,6.778242669607144,7.4370852849285365,5.738785423071303,6.979006864120285,7.69407393657894,6.665795886564691,8.063393846033225,7.029140881058705,6.4400223226119655,6.998378916003855,7.282473898917685,7.629350579992632,6.990320183165518,7.131148474520535,5.813101581430061,7.65454143809589,7.918132133935839,7.286893263347506,7.4601658304372265,6.875829890310263,7.3399985082899,6.440008618954786
Armenian,5.956676563643396,6.058362135452227,0,6.486182587891728,5.933774489756111,6.225846994878821,6.610678095471193,6.120779417724425,6.450279932228997,6.741082142707189,6.47532735103836,6.657290509668628,6.3302778325105376,6.187305723689044,6.486748122867632,6.208400239524208,7.009640577605069,6.838849084709985,5.710379433552284,6.332451536954466,6.037692218367356,6.462521169749564,5.555338161019226,6.1002862683248935,6.735598971012583,6.186636167573065,6.371329864951017,5.953005731582298,5.748669958874381,6.324779088305939,6.311086531542072,6.333539231888162,6.03338107757091,6.14303155169767,5.619703081244326,6.291831781859584,6.68334370175002,6.356736729527776,6.317466636081796,6.053503402969126,6.407663756116668,5.871662496650462
Bengali,8.000138529429723,7.443668637127483,6.486182587891728,0,6.667402973948302,7.223362965317069,7.804687039483934,7.352734244160735,7.278340245553136,8.268363354774971,7.583770597273257,7.613050667984208,7.761060634303952,7.575570251189101,7.564187395615642,7.785738511317011,6.692878973893977,6.571104518162049,7.4051852619105585,8.190218277891368,6.480854662062719,7.266034460161888,5.705822244989269,6.882785256544885,6.9351565272045566,5.654280263418206,8.297024625280564,7.544333711342297,6.783560473549616,6.589231449570922,7.374375355091332,7.445290451983218,7.088352349814506,7.181296064513847,6.40816399924832,7.481205745061552,7.834663651627294,7.25849297858251,7.432031985923678,6.847280297881062,6.297134721922848,6.170866462068886
Bosnian,6.518126052194511,6.748285876979501,5.933774489756111,6.667402973948302,0,5.34142482357427,6.953292171353764,4.453151489150326,5.671140225954876,6.844480646333319,6.718091865251569,6.879634883897755,6.501724833712075,6.619708047516399,6.645354302830636,6.867297865839491,7.297660014201062,7.14624325303198,6.316813856700504,7.178361212367907,5.903089277782248,6.083216805746873,5.171682269387803,4.6757408917335335,7.112352913747415,6.0154672501601425,6.6957550576316525,6.688260273402825,6.358566099205877,5.211817075468378,6.4316832688952,6.366710608927847,4.8984403067411515,3.739280764621013,6.245265322940142,5.215114276502342,5.540605240948317,6.565802445347581,6.621767445665363,4.933126195289138,6.550494265678784,6.026627725186828
Bulgarian,7.455856339429274,7.383001302617298,6.225846994878821,7.223362965317069,5.34142482357427,0,7.3420411126755365,5.39822808144175,6.245144467672312,7.863245413919531,7.214896014654019,7.284163332935745,7.424342123657904,7.130674948637822,7.409096351975448,7.5571562671104155,7.700860189453476,7.628031129370276,6.947735973215628,7.779273559324557,6.032230614883594,7.059357290378487,5.353877315646263,5.018667624748208,7.6696578168716405,6.822136910745233,7.900956553911716,7.322195457287811,6.715959030368376,5.787268013097293,7.08618119648669,7.138667973261404,5.739137816955669,5.544475481650967,6.583581897895507,6.298202384740337,6.448815431943126,6.827518298431149,7.172844093289063,5.6486258539836856,7.008001826706018,5.734495527094781
Catalan,8.153917133212888,7.6725724151396575,6.610678095471193,7.804687039483934,6.953292171353764,7.3420411126755365,0,7.244836034263899,7.490011557844591,8.379469890677951,7.603488104719703,7.5471995102953136,7.1577639708501515,6.450198197136543,7.776174736316725,7.859341333496965,8.21519017323306,8.170356424081817,7.380427954646683,8.15254747790413,5.725012018814556,7.725654191683393,5.819169741676908,7.02292145580287,8.096537029629392,7.1918693577915365,8.16223260589281,8.04883533416134,7.0449083613381225,6.8362993737765825,6.292140959988311,6.914206199550432,7.187653325735673,7.389669991748363,6.854146584744526,7.566138654512006,7.909596410910495,5.852491015594277,7.572082868164531,6.900257376539659,7.71100482940595,6.234169848902149
Croatian,7.445212039291379,7.390385199574524,6.120779417724425,7.352734244160735,4.453151489150326,5.39822808144175,7.244836034263899,0,5.910142813526386,7.673105222005861,7.234352158589277,7.350690516559928,7.241505926864531,7.104065838848628,7.317711188948359,7.382571733013251,7.77607349803342,7.77923805718895,6.983785298465439,7.737687901163252,6.003660256654609,7.1312034870822085,5.2756129782963574,5.207868560591608,7.604319513956361,6.848626459381692,7.70860516080457,7.287235082942095,6.608212399428101,5.466760356729825,7.092706780708328,6.894412480790911,5.675488541698273,4.565978706435964,6.585522698815098,5.752914907095286,5.712730551268593,6.769133212863301,7.1391917158372795,5.366884183521536,7.209895562630627,5.868661027583867
Czech,7.471579354943836,7.587496232579539,6.450279932228997,7.278340245553136,5.671140225954876,6.245144467672312,7.490011557844591,5.910142813526386,0,7.548750837123965,7.150149584974178,7.273652535425842,7.460396444734697,7.396016135519303,7.468348530263441,7.682128336761049,7.954075825437118,8.01513853682358,6.944057000986013,7.933516160655955,6.484826044557796,7.05013170516039,5.620129331856824,6.018014652730463,7.9508623281819535,6.586343334434248,7.744392999457782,7.36060033964774,6.820627798310131,5.671590912964241,7.126922841018983,7.339569936723328,5.851402326156173,5.792739620533791,6.814507301235896,5.324099646759887,6.402894883913283,7.007964491911255,7.1341613505929065,5.5684872862748795,7.140005314627671,6.014254624151787
Danish,7.767022055694153,8.469562389039833,6.741082142707189,8.268363354774971,6.844480646333319,7.863245413919531,8.379469890677951,7.673105222005861,7.548750837123965,0,7.149374020211218,6.653998605363598,8.081651181418122,8.229349206672774,6.813681079554864,8.268818195448794,8.520452258429684,8.375501293985876,6.715835854915563,8.587606592078561,6.4902694875932,7.8084112379718364,6.0158612452389075,7.516224513997393,8.667286040770119,6.815393060782471,7.268999791312511,8.431037627960519,7.240717414990406,6.9203864173522565,7.501959152274023,7.732886603009013,7.442401565912998,7.712228301509074,7.412088942716426,7.8720532379090935,8.120823245837782,7.52231461839805,6.728135641987258,7.155117566128438,7.81871442165952,5.810378512932595
Dutch,5.8188974396784205,7.496156132184271,6.47532735103836,7.583770597273257,6.718091865251569,7.214896014654019,7.603488104719703,7.234352158589277,7.150149584974178,7.149374020211218,0,6.352342926808761,7.56658470416919,7.494214517184804,6.127407758144047,7.632688733566779,7.868194462903339,7.963277588378101,6.581392437600647,7.883208482630301,6.517077472814103,7.314555515691399,5.714225081970139,6.829301882168472,7.87196838984806,6.867891085838289,7.075185458359753,7.562257904696023,6.742810952431584,6.826603310413293,7.096297969964958,7.332917994217554,6.977397508640758,7.09143958243184,6.962714299244425,7.387629102733423,7.377888485690904,7.0606222753523795,6.563839901036293,6.832015327716341,7.370611876071101,6.03913474187493
