,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,1.306394496888873,1.2374982157407517,1.5170020905781472,1.2583474155499759,1.3898869061555403,1.46234459428126,1.3372018918161288,1.3341865988767316,1.263297103018758,1.077154991250669,1.142172704566608,1.499623284409424,1.3635835857314764,1.2925405445429063,1.6737076707389498,1.4529631726490952,1.4211645340322288,1.1585326761291135,1.5809170765589775,1.151419263307122,1.7759454154715983,1.2772763683234916,1.3072060612030783,1.4206082582796211,1.1541889957948293,1.1606449889256272,1.4440450729418075,1.3106901490784673,1.4748489337792103,1.467670870695243,1.396308229806724,1.401955413551026,1.3101626349548652,1.1240490470132847,1.4902302805050134,1.4713965352739704,1.2863089995586583,1.1065860177664792,1.2981735796286231,1.3766567492326613,1.070723914686734
Albanian,1.306394496888873,0,1.1509652324284494,1.332140216551645,1.2573117629904178,1.326003092068896,1.3868829708176773,1.278158013387048,1.315847907941137,1.5290418777046086,1.4488212333787787,1.478675139203389,1.4008755518729454,1.2497000181793907,1.5220378510841723,1.5185287415876678,1.3297003449860578,1.2757189841896435,1.3512832708610796,1.3610649236155938,1.1272698923789297,1.7464620614571291,1.290805538091812,1.289704352854583,1.2874749837624693,1.089036216954354,1.4131625615676837,1.2994122721338406,1.2412139274396528,1.469392158340577,1.4073732997790194,1.318547525403565,1.3194740548924755,1.2839915310041252,0.9833736240684209,1.4089746785981678,1.410638618086554,1.191988292140947,1.3191293380907008,1.2184899488518686,1.2122159420443,1.044161072003232
Armenian,1.2374982157407517,1.1509652324284494,0,1.3371247974122813,1.2875063424140518,1.2480228641213187,1.3311721024138097,1.2249891003108488,1.2321070059221384,1.3933658932092723,1.3309444687000167,1.3702719296889276,1.3449546157215393,1.2369407575422742,1.3348369746747974,1.3687661076009254,1.3124812104424075,1.319643308169909,1.2020188244090775,1.277226105024041,1.230177381178993,1.5704229687093043,1.2525622121242508,1.2278949881448564,1.2819156498922681,1.2316074188212012,1.2870669336269775,1.2324359462293075,1.1959219259896448,1.4532249480573853,1.3587480183104368,1.2907616776622077,1.2652971503073986,1.252129014840221,1.1148444356752605,1.3207422652350769,1.3401465877659573,1.2531003231467241,1.2634927313814053,1.239192604695956,1.2548300939248342,1.1573950545437321
Bengali,1.5170020905781472,1.332140216551645,1.3371247974122813,0,1.3655584331346544,1.4784070494498087,1.5875418400632928,1.404220244125761,1.402019860295464,1.6696410142410207,1.5873794797625413,1.5946356787985507,1.5509506923428515,1.4741665781856566,1.6591387391633483,1.650935922228824,1.1967859439524189,1.1611558191916824,1.5040680914710982,1.5838811553464405,1.2541253811483284,1.8414158287323137,1.3907495795626577,1.4098879510877131,1.2801723019696278,0.9838948768071869,1.597256576019977,1.4498683581161482,1.397437610216859,1.523387869569886,1.59574284780688,1.4961037921275344,1.4829395238817926,1.4530095341704172,1.1852634908210795,1.5412367565176333,1.5562856945129064,1.3691184327839017,1.4366897494645017,1.3868089967758193,1.2031022920347862,1.2082525667013346
Bosnian,1.2583474155499759,1.2573117629904178,1.2875063424140518,1.3655584331346544,0,0.9847554233180235,1.3878114323505792,0.7879695621261978,1.0140506210771256,1.4070649455283208,1.379996553758109,1.395081140932165,1.3667367319661712,1.3320056707977301,1.4227580061435035,1.5190396294966975,1.3924141216358654,1.3456126588483945,1.311596388724382,1.4470427490928837,1.2291423012535798,1.6090474425634445,1.2498275939863361,0.8977594742302233,1.3483761047994827,1.1864518330448262,1.2799698456746702,1.3305153022873566,1.2664714576182878,1.1169144440488348,1.4179262923866853,1.3003101677387012,1.0391037119171904,0.7167789350825031,1.1946097920258045,1.0033152718670013,1.0398202105266674,1.2669189043894005,1.2994848256787581,1.0241617339540048,1.2737420557595207,1.2202937908223848
Bulgarian,1.3898869061555403,1.326003092068896,1.2480228641213187,1.4784070494498087,0.9847554233180235,0,1.4863374323017828,1.0133089812266027,1.111868772023637,1.595502750529789,1.488825461901272,1.5263207065632323,1.5043562332842055,1.3792431634317206,1.5699626713639145,1.6205458409502553,1.4609355762951919,1.3679849043974697,1.3887267023860665,1.5865924394788307,1.1656350071316182,1.7592700955534633,1.258821277749084,0.9232086409742661,1.3881804658104329,1.2354488841483062,1.4909732895732652,1.4676618493427371,1.345708202902709,1.2582374756420116,1.5175013028576514,1.413007511876422,1.1576898729153986,1.0278388742416893,1.1792473563121513,1.2022771235335699,1.193948403515957,1.2585187056098313,1.3802112722483098,1.057205352429226,1.3510075079127746,1.1264699995882603
Catalan,1.46234459428126,1.3868829708176773,1.3311721024138097,1.5875418400632928,1.3878114323505792,1.4863374323017828,0,1.3967638163014857,1.445758027694153,1.589212707922169,1.5538518348113701,1.5193435260091337,1.391792270084062,1.1224521518586008,1.609298202048726,1.6050410430622362,1.4704480091032746,1.4686196363919293,1.4294572470452604,1.6043752068063297,1.0002376254730112,1.842144543943347,1.3111207720493865,1.4075558522512113,1.4891654726871635,1.2953216628836044,1.508239247968955,1.5490815359150687,1.4128039658021923,1.5689783539376565,1.2965700731366432,1.2900806740742359,1.4671830682412443,1.4344175102730794,1.2499584095128975,1.5892078762658344,1.5329531893904513,1.028858968348742,1.420949895530789,1.3593106617282826,1.4547731665740982,1.1636805682599958
Croatian,1.3372018918161288,1.278158013387048,1.2249891003108488,1.404220244125761,0.7879695621261978,1.0133089812266027,1.3967638163014857,0,1.0042204966872694,1.4605686872098211,1.4315322763137777,1.454065022156936,1.4491478737059973,1.3432740655847852,1.4817134212630914,1.5472976422331186,1.3741766699758458,1.3193223863417867,1.3414589533858992,1.4697129928409738,1.154006327817031,1.7308350659262617,1.2522068926350092,0.9330001149178956,1.3461685369884573,1.1574707970611584,1.374698616508621,1.3253610354693572,1.2735150331432412,1.1920040990744252,1.5047192792082298,1.3411544115492704,1.1414904655940095,0.8122857220715392,1.1206629841257085,1.079800793331812,1.0529241310447042,1.2137313957409737,1.3052467721479206,1.0280230530198207,1.2711479564171138,1.107125754280296
Czech,1.3341865988767316,1.315847907941137,1.2321070059221384,1.402019860295464,1.0140506210771256,1.111868772023637,1.445758027694153,1.0042204966872694,0,1.455286268238771,1.4220122070003318,1.4325499798833152,1.460859131201932,1.3612977916119247,1.5260499580818854,1.6077754145717502,1.3849459489754479,1.340296124309826,1.367266877553876,1.4942126736607129,1.1753075894004894,1.6819108504495994,1.2870340399076763,1.0600416422092713,1.3501845382515638,1.1406104657019973,1.3825827092447638,1.3691669935775772,1.3173683647038825,1.1655318965792705,1.4590223937682654,1.401956656541352,1.145170354349576,0.9958934211143184,1.1552342138871068,0.9677031307161529,1.0959510929915335,1.2524422191070066,1.314693569930486,1.0020958122930528,1.2867018570677615,1.126594730536892
Danish,1.263297103018758,1.5290418777046086,1.3933658932092723,1.6696410142410207,1.4070649455283208,1.595502750529789,1.589212707922169,1.4605686872098211,1.455286268238771,0,1.4055420594988375,1.2577918948556197,1.625860849635029,1.4951887912336315,1.3900101747203457,1.8147061062619052,1.51443715199865,1.4928906793019836,1.2768375861130714,1.6949302850344792,1.1919936930470645,1.9997834332246134,1.4271154709499994,1.4921891941993728,1.523406518074021,1.2292878205220572,1.1062671506551829,1.6294887278639592,1.421275423334935,1.5799284447250381,1.6161683730755299,1.5283827837065296,1.6040415458378823,1.5039826074880396,1.2927547911985273,1.6222878806992944,1.5774499035025085,1.369793168472288,1.0578389920402453,1.432880651377429,1.4908046581728251,1.126341775453899
