,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,6.72251149877495,5.334026555947553,7.312520352811881,5.7145780436361795,7.104842920164213,7.456408675698198,7.035835226275322,6.850201676779261,6.7990628964997635,4.823203954168068,5.815960891896527,7.400989223448805,6.750280381215284,6.299605507130225,7.578971371623129,7.466385817356729,7.525300836893102,5.719456758240113,7.3207481252213835,6.228557553477183,6.316957259436316,5.257938335932524,6.493696347328469,7.551364037852021,6.050632568096643,6.581555716676051,6.744947252010849,5.992615249971703,6.210753099320911,6.639148910378699,7.102170969062614,6.329252395617121,6.500838709365638,6.08455361393862,7.026515860023049,7.12576242045371,6.890385716235659,6.1217649968766334,6.3215330746408815,7.034839166085555,5.520496761342137
Albanian,6.72251149877495,0,5.403463301006621,6.636722515437827,5.759385554180306,6.610451995453102,7.083979565343722,6.348088497123273,6.640720143528676,7.1267933155090635,6.561532342920503,6.870686214072848,6.620582043191686,6.1321280384481405,7.067062029902827,6.9579260417262745,7.161000862764813,7.090170459765,6.53410553999764,6.881092239825366,5.887149185526955,6.5953197105283365,5.276086176333663,6.140938727163349,6.845644234659132,5.6484379624538805,7.142499808048257,6.247514245357714,5.841671396352927,6.2056384980852055,6.266047251770141,6.65936327159875,6.172312851857351,6.185144811760368,5.0665623682738,6.675265871279459,6.898660372261338,6.349613210515674,6.677283868885978,5.92314132787792,6.356199143655231,5.515950185541133
Armenian,5.334026555947553,5.403463301006621,0,5.686311817588224,5.258370582498584,5.6596966530238175,5.754065322417548,5.505697832885207,5.7558670655021125,5.730698542168202,5.4951075871254975,5.632141265030543,5.649997306876151,5.318554499133842,5.652199690693232,5.516753352704541,5.996110385604229,5.956079045617155,5.032438391230797,5.614928291628823,5.391177556261403,5.687690620310509,4.98243582716904,5.36833438587331,5.799551773427805,5.390093347421041,5.554335719645097,5.313320766669826,5.105652428193936,5.637938912595192,5.424300357684377,5.535470407685794,5.397764179209606,5.406821569131895,5.090778494600341,5.578858880209538,5.825436822701477,5.518548048375266,5.429148655097698,5.330847262546414,5.581062644488081,5.052899578119525
Bengali,7.312520352811881,6.636722515437827,5.686311817588224,0,6.079054769917518,6.954489458865184,7.345375568618715,6.897437760406553,6.900193304593781,7.7153099926077,7.034979021039735,7.044390938858705,7.307043367232997,6.8470392569233525,7.425959952133829,7.0326468007173055,6.0856171317326755,5.898195295455647,6.8944821830252,7.48185956117182,6.150726610738445,6.759392927627772,5.381653710046431,6.51596725930658,6.235149072987497,4.879470641418279,7.703608124774244,6.792900197491735,6.227693847533461,6.253142769101214,6.75155069805856,7.042293961044111,6.635050698712413,6.6922999718775245,5.789570435418474,7.024237229442176,7.168321555028812,6.642293424204362,6.96355917482562,6.3691729760937275,5.7503175711851915,5.808758120449276
Bosnian,5.7145780436361795,5.759385554180306,5.258370582498584,6.079054769917518,0,4.671727351819832,6.270990923190856,3.769284076599165,4.891415444686359,6.220974464677099,5.825516486123426,6.091758868003315,6.038298448201188,5.761837806421861,6.1083790527276065,6.214001233252912,6.425154463359568,6.497124961366742,5.547658808785377,6.268693677972519,5.51955026498358,5.4401679314201665,4.571903672423283,3.8593812543390005,6.291377473045929,5.718769529997744,6.067996568149306,5.893243562926127,5.40878072293699,4.5191063716173066,5.713048578788118,5.899281350707001,4.226791038360045,2.968221053363919,5.613312607192444,4.567288278982263,4.814576638922349,5.842781661891621,5.873732603126991,4.171862026837049,6.049130527047833,5.440379075638297
Bulgarian,7.104842920164213,6.610451995453102,5.6596966530238175,6.954489458865184,4.671727351819832,0,7.2535671308960445,4.875662230254379,5.703396678433267,7.361264031660469,6.771820141670921,6.793503170953699,7.045694364885885,6.726197528437749,7.329582078389685,6.939049019779415,7.458330533163089,7.3566747499214795,6.607969942857817,7.432968831640319,5.647322762470821,6.519844102012083,5.021976357344905,4.642233202434427,7.429756310920099,6.156067292086853,7.4696388793346475,6.931134776449091,6.236513139622052,5.231390634003423,6.622224383085244,6.789923343302559,5.311624382060014,5.069958263887032,5.988665171276203,5.776688376386511,5.981744425089852,6.473857542595915,6.846757464751215,5.17941181557506,6.740783254117227,5.338697606985696
Catalan,7.456408675698198,7.083979565343722,5.754065322417548,7.345375568618715,6.270990923190856,7.2535671308960445,0,7.006201201336471,7.1275486227155715,7.893641227257003,7.151967736807013,7.077848649694542,6.862095377792118,5.79573342027315,7.497575448009693,7.213004168927805,7.7127255827180035,7.633711400223907,6.806558105748748,7.632995285174437,5.2515774857690385,7.120704202523281,5.518367595009116,6.78856785656353,7.630500586068298,6.39917247064865,7.825978394216693,7.396338430740974,6.521850782894959,6.419920335996069,5.74700779772718,6.420988692678297,6.781208610666773,6.96193717424943,6.394771103054115,7.247620801109161,7.408561622625712,5.460872330332677,7.144278227114907,6.536416073928089,7.315613462129043,5.818005367350247
Croatian,7.035835226275322,6.348088497123273,5.505697832885207,6.897437760406553,3.769284076599165,4.875662230254379,7.006201201336471,0,5.16800661245085,6.901540054830696,6.629933438418047,6.775169038012613,6.754299275381701,6.513902671882171,7.159995024866214,6.685379091088565,7.32769015353126,7.307870289590302,6.579493324663513,7.311749632388571,5.464335669325372,6.614990267337643,4.904525671706362,4.724005937769907,7.151859614259133,5.9460540677280145,7.21487761566594,6.624838485890742,6.0180886384756125,4.983307092048009,6.523745874420341,6.46327648574041,5.168921363815713,3.8993599849109417,5.73629410792232,5.102195821624236,5.110865358963821,6.160694087800181,6.675484280183353,4.734300814184941,6.658912929433956,5.298180118865722
Czech,6.850201676779261,6.640720143528676,5.7558670655021125,6.900193304593781,4.891415444686359,5.703396678433267,7.1275486227155715,5.16800661245085,0,7.015482753062441,6.65613227011047,6.694813520186873,6.924077298315494,6.753917970469572,7.444954979124446,7.051615501198945,7.444589332372207,7.509336537487667,6.562547527419836,7.197453814895069,6.1119239479052245,6.265473033482178,5.2164370514114955,5.484293004561756,7.3979699057056525,6.139745646915585,7.037830898732547,6.77967752724103,6.231994119256146,4.955443345292327,6.507344501576948,6.926322856739953,5.213254990195628,5.204490491074991,5.985993192703419,4.447744726507682,5.86564385342886,6.419883005550417,6.709636783903176,4.945106477995497,6.65107926163336,5.5570385327059855
Danish,6.7990628964997635,7.1267933155090635,5.730698542168202,7.7153099926077,6.220974464677099,7.361264031660469,7.893641227257003,6.901540054830696,7.015482753062441,0,6.46152575151444,6.107197629112332,7.489056568788777,7.2516722311861335,6.677637540865929,7.502037410156109,7.935125351631338,7.75573554158853,5.889503363191153,7.757046040733367,6.116745386941429,7.180560116072956,5.633058082362275,6.977391312657619,7.996436811709257,6.093786860544367,6.390871573067333,7.352288400509798,6.395041974926222,6.433310141613479,6.929048811380415,7.382561701110902,6.874720809695279,6.989433238803689,6.200173692264252,7.289673646970086,7.38669604085839,6.9200026342045415,5.874318564042047,6.568376416159219,7.134747929816637,5.404047451177764
