,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.5975816918741501,0.466240764370674,0.6123534435304087,0.47874423181991044,0.5949067650945074,0.626623764176745,0.5693495454202908,0.5590015392677927,0.5742176891067036,0.42020051113633855,0.5155382055413584,0.6288997763842049,0.5992136716527754,0.5399115938988143,0.631300278271846,0.6290756987065957,0.623886996074345,0.49577300315223377,0.6438636112750845,0.5306325432443831,0.5161182528189314,0.42077556307130937,0.5361049257619994,0.6368154210890268,0.5341404301982413,0.5530433972785933,0.5998348549491772,0.5152745101576865,0.5118718449315232,0.5767677323038696,0.5870603074079966,0.531570827176011,0.5313717299966908,0.5345657029429646,0.5927544333728827,0.5878036624182249,0.5901432736621389,0.5251955832711698,0.5193205986063759,0.599018765608295,0.4896843312781883
Albanian,0.5975816918741501,0,0.4821099494555105,0.5722480140125724,0.4958748728038116,0.5725130175373248,0.6037344051501748,0.5469650856017756,0.5670011428211872,0.6400089180950743,0.5808978574591083,0.6149773309659516,0.585873778330308,0.5635370994574119,0.6117762648859086,0.6115296504074973,0.6005023929543699,0.5866157132015563,0.5822898983343067,0.6184979191058287,0.5219646903054389,0.541593515417475,0.43063196115261215,0.5267139112634814,0.5891054231225806,0.5100571931399761,0.6214112310087567,0.5721886682168986,0.52423137987005,0.5206390122518406,0.5658203324987329,0.5700344535552986,0.5322545757867873,0.5252192232765751,0.4762231413291345,0.5878464795350659,0.5914844344071696,0.5716225443094705,0.5875177821884029,0.5165019545969259,0.562233609542824,0.5022157152981902
Armenian,0.466240764370674,0.4821099494555105,0,0.4868305960907557,0.44744351097621804,0.4795717238660575,0.48466920600381075,0.4638123610709034,0.47423760666703024,0.5001904384836604,0.4786954825801161,0.49886529911188804,0.49496970291781317,0.47369070687879306,0.4800079445639361,0.47499426011048407,0.5098594872583359,0.5017506237510859,0.4449327649171194,0.4813349793312589,0.46481390002416373,0.4607894569955361,0.40484506578857427,0.45963735152904994,0.4985857899337281,0.4791900787224291,0.4882890067931522,0.476400129320164,0.4408072146628991,0.4671940831866789,0.47481145815730275,0.47315499468891165,0.45922868429217945,0.46316600117456036,0.4611665105713295,0.4784234546835497,0.49039886258794485,0.48029369151240797,0.47114322190922375,0.4556812607645001,0.4884854282311405,0.4455698043140026
Bengali,0.6123534435304087,0.5722480140125724,0.4868305960907557,0,0.49384853808152057,0.5676958920493922,0.6066428455216208,0.5603845744219866,0.559753634408706,0.6521906324743743,0.5896092348143425,0.6092843319551144,0.6087571540466207,0.5828328063895494,0.6118524826000935,0.5956236921912224,0.49644050708397214,0.4750360391012706,0.5800687205030791,0.6328449317514591,0.5189105980854815,0.5253538228285769,0.41540741226906663,0.5279905774932157,0.5134553510411894,0.4290147225384917,0.6363850403906764,0.5803503354293177,0.5214964513456958,0.5032755034083508,0.5712998831703591,0.5761412696975197,0.5369506275388762,0.5377033762182777,0.4921202679557748,0.5880143577501364,0.5862585291570972,0.5641464124342059,0.5843718570239584,0.518897699534853,0.4881906835272461,0.4980004354549398
Bosnian,0.47874423181991044,0.4958748728038116,0.44744351097621804,0.49384853808152057,0,0.38910280905362576,0.5029672743527811,0.3223732975648656,0.4134467026121259,0.5176237705292575,0.4918950593657809,0.517434212804964,0.5023791143072185,0.4821467325183994,0.5072821759150444,0.5064140804282175,0.5232893064217276,0.5183874343369831,0.4665870267911599,0.5208187293918441,0.45611875443635314,0.44538713180598194,0.38029496699140103,0.32730107909465633,0.51207356131949,0.4827323762136474,0.4989256811891983,0.5000412120642067,0.46387018705182964,0.38188205716088125,0.4819260902539971,0.4816069173846718,0.36620813200041796,0.27052939413157806,0.4802247410446524,0.397201894605034,0.3987903079656602,0.4792934786972586,0.48184828614756675,0.363946611466998,0.5001431345871094,0.4622494786838999
Bulgarian,0.5949067650945074,0.5725130175373248,0.4795717238660575,0.5676958920493922,0.38910280905362576,0,0.5824947600602987,0.4106213444462735,0.47733344857411214,0.6233439053761644,0.5769458795992789,0.5891434518704856,0.593021079759851,0.5743744035177856,0.6035798248287713,0.584508698755736,0.6047368700465737,0.5892883765642484,0.5612628585896712,0.6237627850343359,0.48409005958666873,0.51662865989728,0.39794113225878885,0.3964176101235492,0.6043895737480924,0.5244614549067348,0.6195930716128548,0.5888271675442824,0.5248298472015361,0.434882316550417,0.5619888865307178,0.5609818601778068,0.4526841031138639,0.42813818078562593,0.5200856931830559,0.4935662645541758,0.4851372147631021,0.5445534744839089,0.5678961939645634,0.43823998575998646,0.5699101288497512,0.4637275641725281
Catalan,0.626623764176745,0.6037344051501748,0.48466920600381075,0.6066428455216208,0.5029672743527811,0.5824947600602987,0,0.5566290351625762,0.5802859753462547,0.6722192520306949,0.6039621691550924,0.6057509798217616,0.5765392799050127,0.4995102251061447,0.6204497505977624,0.5979443670873813,0.6262246550676681,0.6146480511081521,0.5765055536974149,0.6442293703005777,0.44380891037814496,0.5552503125012851,0.4298330241303435,0.5509096187040552,0.6298083634996795,0.5415711473095021,0.6665117414334575,0.6357713845805057,0.5489771790658279,0.517222892966705,0.4961485808901193,0.5328879448029725,0.5495359753489147,0.5578670118805406,0.5416084466354429,0.5949875881611179,0.59682701217235,0.45539726486735127,0.6008321908119428,0.5330242401552577,0.6165301062961738,0.49189953429995775
Croatian,0.5693495454202908,0.5469650856017756,0.4638123610709034,0.5603845744219866,0.3223732975648656,0.4106213444462735,0.5566290351625762,0,0.4480835524576802,0.586503034409074,0.5565657495892136,0.5772015832171234,0.5625619633803829,0.5432601710089724,0.5822968174201882,0.5636092632212496,0.5857178807700213,0.582118792610398,0.5448838293974319,0.5968022222276246,0.4644698878023007,0.5143721664479307,0.39476448324957025,0.3956780887635801,0.5763723360659774,0.514325772870088,0.5880322161340482,0.5602920059788187,0.5073906723272743,0.4158999480214969,0.5530754365556172,0.5210168574671675,0.43166370210205607,0.3424874072078934,0.5060754361471883,0.44722364114435076,0.43087992752676596,0.5255333094476522,0.55032898069408,0.41363982742145033,0.5650602165101574,0.46401668210314617
Czech,0.5590015392677927,0.5670011428211872,0.47423760666703024,0.559753634408706,0.4134467026121259,0.47733344857411214,0.5802859753462547,0.4480835524576802,0,0.5878466777884762,0.55131767369271,0.5618854379309793,0.5818497759987544,0.5678431287535278,0.5979404885056454,0.5905510548015239,0.6018605306517725,0.600497223527937,0.5437199965227015,0.6005464701693607,0.5130517567554076,0.494334609674101,0.4055412580080088,0.45629687097058264,0.5977476809743727,0.5246484722262702,0.5769226840439529,0.5762896809654509,0.5201575486928998,0.4164487712437551,0.5516983468351411,0.5563427851292241,0.44173728771520265,0.43931376328671157,0.5164575023901318,0.4040153672902871,0.4872399789911785,0.5490010057609771,0.552116895516667,0.4230233535068478,0.5575046479907507,0.48024851182560724
Danish,0.5742176891067036,0.6400089180950743,0.5001904384836604,0.6521906324743743,0.5176237705292575,0.6233439053761644,0.6722192520306949,0.586503034409074,0.5878466777884762,0,0.5671012816849125,0.5464555865251939,0.6523648005934153,0.644384073405337,0.5625243413671658,0.6537743641538861,0.6668975741512132,0.6582002217674966,0.5111573748595165,0.6785315315004813,0.5332124895854831,0.5671146537119122,0.44722130321765047,0.580304041891097,0.6814853911365848,0.5495753864545818,0.5606240381515549,0.6596759957440754,0.5538484105231756,0.5345442521914995,0.6178428615966968,0.6146319967400667,0.5710846312265043,0.5800849790202144,0.5618796119713071,0.627278611861658,0.6199014118211421,0.6162072753308075,0.5204009722100057,0.5511521175215683,0.6313829412885237,0.49312860658462615
