,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.02290737316839598,0.01998001843508707,0.023772638497899234,0.021367064773971472,0.023515758341516806,0.02506752473996111,0.022855287467615018,0.022136557845542876,0.025929028284070583,0.02413313178336833,0.02378240425238716,0.024648479531903713,0.024469108933507233,0.024263221226020863,0.024292667154286463,0.025084819378080495,0.02434720411264139,0.023614142870148687,0.025851117365613206,0.020475751555237783,0.0222048820299204,0.017594419122903417,0.022920026333660925,0.025313000559588607,0.021459260745457117,0.02560818781717539,0.024997287334801353,0.021349901171875067,0.021325078848772418,0.023208417349661007,0.023422975173691882,0.022509651407733394,0.022851636816799595,0.020832621409592758,0.02412745227031499,0.02549170062293307,0.022607830957250274,0.024000119433624355,0.02204740577176963,0.023055700218564512,0.01963431585366837
Albanian,0.02290737316839598,0,0.019138645245376937,0.02136132986750702,0.020011906709247,0.020976364025916062,0.022516287803680424,0.02070292556341142,0.020237698576157998,0.022591648975607784,0.021817493878421013,0.0217696902739422,0.021912549309476007,0.021684873778300466,0.022244740017349236,0.02228760611738706,0.023327824455777288,0.022854079452474814,0.021874254346751592,0.02247767057327488,0.01925202174373043,0.020783375968270127,0.01698223582139109,0.020902109786237758,0.022933947539267516,0.020134318411782825,0.022374247319411594,0.02261144798537872,0.01988015434644639,0.020303082595617788,0.02077979235881407,0.021298985449393897,0.02073018971076427,0.02067127297949839,0.018867017558755184,0.02186334424230807,0.022933787882063808,0.020295457656948214,0.02147138003156074,0.020341864928918638,0.02058578748316352,0.0185752512854492
Armenian,0.01998001843508707,0.019138645245376937,0,0.019520901148180225,0.019832002613677287,0.019478321669157698,0.020016924300463514,0.019422827932565757,0.018858050771748795,0.020125641043364006,0.019664522506906864,0.020243073128048034,0.01963208264502264,0.019496361569663258,0.019932244983773884,0.01973430002422558,0.020532693904122174,0.020175228960706237,0.019788476535356793,0.020024834335986473,0.018767898779963457,0.020019729096432504,0.017187486623937952,0.019580791147251884,0.020035446060637098,0.019116848844210336,0.020082158733717256,0.01997162724322737,0.01888051048194439,0.01941741924992265,0.01936441599343961,0.01966858319879302,0.019514138804985263,0.01964947068515555,0.018573162026724654,0.01992272270517801,0.020787574190719523,0.01898759027762956,0.019606703083524968,0.019423200196295662,0.019295833515483606,0.018683136231507413
Bengali,0.023772638497899234,0.02136132986750702,0.019520901148180225,0,0.020242092725683256,0.02155960228409619,0.02337023489851919,0.02116402714325557,0.020418885075211758,0.023533986183415997,0.022464567331152853,0.02251110661005532,0.022552346622837168,0.02268334583506454,0.02259929215261541,0.02275107623122161,0.02402917264309999,0.0231522107351067,0.02247336354786027,0.0235239755357083,0.01951345067286589,0.02108207555462069,0.01708527311355918,0.02129926859243188,0.023728240532662342,0.020355996602737368,0.023503423090835314,0.023612532472207397,0.020401439444915126,0.020373107122634706,0.021551542849658507,0.021908376120275953,0.021045117658720844,0.021311944852477296,0.01974149521803454,0.022265254445849026,0.023868310319912867,0.02112425395408851,0.02228866034986214,0.020536179954336813,0.021634248727862525,0.018744942626993777
Bosnian,0.021367064773971472,0.020011906709247,0.019832002613677287,0.020242092725683256,0,0.01985690509429752,0.021002846211734073,0.019831006619551797,0.019481132125397784,0.02094861703347238,0.020798748523593875,0.02049244623675867,0.020538627091260968,0.020538676900517663,0.021108749591237635,0.020690216070652974,0.021807523961786656,0.02159104435896381,0.0210300698428716,0.021092890906705977,0.019378413705996446,0.020472797780994884,0.017382621395895484,0.019793676268166395,0.021377623679310287,0.019863410428711616,0.020805339554258128,0.021258556747746096,0.019679304125797405,0.02000394868550142,0.02025566565215017,0.020494871767927598,0.019767811470618568,0.019652895315047304,0.019427921858051745,0.020448984957021035,0.0213371654232286,0.01983238043895881,0.0204455921340229,0.019440012013269836,0.019954782208550105,0.01894507783249666
Bulgarian,0.023515758341516806,0.020976364025916062,0.019478321669157698,0.02155960228409619,0.01985690509429752,0,0.022870975590985654,0.020856393965519165,0.02042067760098341,0.023033758959043,0.022365164275325585,0.0215254645670313,0.02205381192652366,0.0223525220652016,0.02275644479679027,0.02235262898197958,0.02373018290608689,0.023176047838677424,0.022400112999442924,0.023081347951212226,0.019281763876571087,0.020863544357631245,0.01703958065337114,0.02139574568883531,0.023490385745165036,0.0201113644139037,0.0228450701387295,0.023118454243221065,0.020367914152177605,0.02036032780867085,0.02145500674283815,0.021612741730918785,0.02088602060364716,0.021105401041893734,0.019362359834596648,0.022209420310789707,0.023336323981765463,0.020750642311968333,0.021755366290703675,0.020391276339101934,0.020925182113457143,0.018395364458415293
Catalan,0.02506752473996111,0.022516287803680424,0.020016924300463514,0.02337023489851919,0.021002846211734073,0.022870975590985654,0,0.022303765162180314,0.021484170705346504,0.025493017359670845,0.02351028243959826,0.023434048288949672,0.024225411001914506,0.024268459890087943,0.023645401688695673,0.023697109084463694,0.024778330791852054,0.024179324952040934,0.02330067067958285,0.02508038722608841,0.020101437873247818,0.021887017650143847,0.01750702625080858,0.022411487740407746,0.024908091644698684,0.02130087284322841,0.02548177147747484,0.024853780279543367,0.02108102009626363,0.021087232014757058,0.022657812215620063,0.02331421213673548,0.02192859991372097,0.022398798393263218,0.02070614402261132,0.02352058053174423,0.025340470721855572,0.022312604700514483,0.023350429732829064,0.021717090277232655,0.02265500993586878,0.019428118625349804
Croatian,0.022855287467615018,0.02070292556341142,0.019422827932565757,0.02116402714325557,0.019831006619551797,0.020856393965519165,0.022303765162180314,0,0.020117384879697536,0.022427290628297757,0.021819819556476844,0.02132119496007918,0.021686596900530052,0.021688686282220506,0.0222243158713244,0.021946250359286306,0.023110976103533184,0.02281866441869785,0.021967509864921294,0.022369623514768868,0.019081596263023942,0.020869461564942605,0.016864978753937474,0.020899927327472773,0.022758089469712185,0.019859398411211437,0.022298357612633955,0.022587256415691554,0.02010825186193406,0.020199355198228495,0.02115873669062168,0.0212096007178636,0.020726732351935208,0.021061206464466718,0.01927704415713009,0.021806369332168365,0.02304541866140516,0.02041138237431446,0.021316366143371783,0.020139744857664822,0.020742869796900553,0.01841198760814313
Czech,0.022136557845542876,0.020237698576157998,0.018858050771748795,0.020418885075211758,0.019481132125397784,0.02042067760098341,0.021484170705346504,0.020117384879697536,0,0.0219980196868248,0.021156462913835876,0.020781122335460936,0.02125852735464379,0.021107006097211,0.021757702122350196,0.02141343022420021,0.022439079501021118,0.022093504675909866,0.02136750784502181,0.021793362134570445,0.01898635035142615,0.02036300525256783,0.016842997888777404,0.020536081703218537,0.022037998930808603,0.019389600445987896,0.02159652515244807,0.021869420708551357,0.019740647741190442,0.020061268821294338,0.02053033226390872,0.02071683301354313,0.020344249058960037,0.02024861021861036,0.01863827400399136,0.021718447368864458,0.02216233897555231,0.019878612635412088,0.02063874444291901,0.01977042189965252,0.019962760504025616,0.018292589905644478
Danish,0.025929028284070583,0.022591648975607784,0.020125641043364006,0.023533986183415997,0.02094861703347238,0.023033758959043,0.025493017359670845,0.022427290628297757,0.0219980196868248,0,0.024005612743159488,0.023163521215263775,0.02470678459728135,0.02460820369753615,0.024388901201273037,0.02429962490478437,0.025557542006392212,0.024796504195581437,0.023822060588588653,0.0258521074570951,0.02023809273814164,0.021883114325749867,0.017722099509796422,0.022648361924289206,0.02569368326575798,0.021356466849192495,0.02611708976789085,0.02571993721535818,0.02138335867353709,0.021400612384225727,0.023054192097553314,0.023302605093439867,0.022297311627043646,0.0224404453661477,0.020518629814982443,0.023950299667473248,0.025542238918604236,0.022303251787360964,0.023680166720128522,0.021727554537036817,0.0227237009926625,0.01930749270028703
