,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.16794920017378076,0.1491771042430553,0.19045730357078255,0.15791864225512195,0.18419356126592135,0.19868275205678101,0.18447405920185464,0.17855885602998914,0.184084741151689,0.1362131050344297,0.1685615542608403,0.19486670678430595,0.18142258691902585,0.16602935977995267,0.20405657380389838,0.20195295726510593,0.20377996173066398,0.15746138748061206,0.19918117338370878,0.1663691844498903,0.1669789049279506,0.13508400723814404,0.17286741653908888,0.2061192080235792,0.16156252168102728,0.17802065794998057,0.18331792774598474,0.15910976649966022,0.16565038826229525,0.17679665104338851,0.19043070655188937,0.1709155938571744,0.17380550367183353,0.15477585340996608,0.18718534340069684,0.19691984452421107,0.18557855805040832,0.16605905569059193,0.1692024017296636,0.1843602774613495,0.1489596848780809
Albanian,0.16794920017378076,0,0.144341877047412,0.1751396261127347,0.15590255589172408,0.17653717954595968,0.18380099692038365,0.1746710159026826,0.1761315914583135,0.1903200661894815,0.17506973168537449,0.1883736713867911,0.17828946976725704,0.16524508852267894,0.18090029349782674,0.18823678040512629,0.18997763565727815,0.1897176420227531,0.16840516404449082,0.1804637289637169,0.15942711365107576,0.16666561072892236,0.1340726942931196,0.1648994436578954,0.18581342724797473,0.15210747458141335,0.1884653611237493,0.16773843670293123,0.15466054026197598,0.1640243145372035,0.1681220911875938,0.17911881797419116,0.16397458156131905,0.16756271151526578,0.13756648729668502,0.17850201340465408,0.188570963735086,0.17510781993732993,0.1765885110772486,0.16280790436431597,0.17244635121003127,0.14806207052530723
Armenian,0.1491771042430553,0.144341877047412,0,0.15539814164899174,0.14865632711650278,0.15542540414801054,0.1607705330118469,0.15289522528613675,0.15707414711411877,0.1643944758924459,0.1569638640725069,0.1644835737261242,0.15973527166409607,0.15048876605083455,0.15844316097342917,0.15943581937971474,0.16856351101578493,0.16956664808912703,0.14346105334920514,0.15861740274014513,0.152483654514154,0.15145176136736513,0.13004016777939334,0.14958517928754214,0.16438043486965634,0.1515386412157241,0.1560835361314009,0.15018688364657015,0.14117863425447466,0.15307988536571904,0.15239406783154186,0.15894527916054876,0.15054057791239822,0.151092092386708,0.13933471259281988,0.15546725035370193,0.16754829526591106,0.15898051473832567,0.15354030037465013,0.1509411959645105,0.1553054465944792,0.1446947626205981
Bengali,0.19045730357078255,0.1751396261127347,0.15539814164899174,0,0.16374374031227912,0.1841434368697892,0.19807579069081274,0.18705650812442268,0.17915668770297946,0.2066788066294991,0.1866573474337174,0.19300820886835743,0.1948737604490096,0.18569353153123216,0.18990129020019023,0.19450293905621763,0.16772049608610254,0.16503514562439292,0.1821350711731078,0.20108298821293918,0.16610244379179023,0.1697783622281251,0.1347620060471867,0.17321612666571193,0.17355064452698707,0.13718548320400256,0.19811226659181363,0.186629074146183,0.16522549708983983,0.16474490627299412,0.17973723985521523,0.19148795105552505,0.17606462552187427,0.17918663524846598,0.15586251955977198,0.18769843142309764,0.1977042399992269,0.18326097699714491,0.1853208001811909,0.17225373385881526,0.15481505516975688,0.15723725220397555
Bosnian,0.15791864225512195,0.15590255589172408,0.14865632711650278,0.16374374031227912,0,0.13241039253205608,0.17206194108477907,0.10747995100053094,0.13505502274667158,0.1702425150680481,0.16153705364795987,0.17486317467308343,0.16568646004752854,0.16106994298663255,0.16304171134226775,0.1746546117048554,0.1771452452080399,0.17870992482226158,0.1548855904401518,0.17424786299066028,0.15102433624378983,0.1433021454201134,0.12062638237765637,0.11339154410024543,0.17384011040198294,0.15165958475693783,0.16329053060827056,0.1652431215787519,0.15265642496631066,0.12724981519752232,0.1584019462431032,0.16234588576293194,0.12213629361940197,0.09228974292960837,0.15239772577463687,0.12918892633604187,0.13857771277342779,0.16325228933515148,0.16183042371515613,0.1228061999880127,0.16208888958643516,0.15427325113676454
Bulgarian,0.18419356126592135,0.17653717954595968,0.15542540414801054,0.1841434368697892,0.13241039253205608,0,0.19095584712399713,0.14317688949794127,0.15524328090161713,0.20113363761504585,0.1818461846570143,0.19095558728809708,0.1914233619318608,0.18023140877913266,0.1878703756885576,0.19266903437902036,0.19835660545748554,0.19818023828605172,0.17515216801162609,0.19882689479080481,0.15734333693780045,0.16705441710046776,0.12861427303944695,0.13066285534022848,0.20026800339271497,0.1688829532756177,0.19540579884677323,0.18819641876944976,0.16678824681057466,0.14369240352824275,0.17826328882317957,0.18480061091665467,0.14735046394797555,0.1428580252548663,0.16311915169088145,0.15987759325075987,0.1667968784219483,0.1781628082519407,0.18259091942153877,0.14768970142170065,0.18050362645313983,0.1504807966366668
Catalan,0.19868275205678101,0.18380099692038365,0.1607705330118469,0.19807579069081274,0.17206194108477907,0.19095584712399713,0,0.19058046515273697,0.18919914756291983,0.21295255872141122,0.19258241312624833,0.1954077904530622,0.18581419534105867,0.1611135988052872,0.19409394024652107,0.20036270598541245,0.20563422339864712,0.2037496906629532,0.18337425290193887,0.20838402921396867,0.14552580635779122,0.18219851008778007,0.13887517610618028,0.18194583353894767,0.2075817627918833,0.17754670600346634,0.20407338212198084,0.20330828731547193,0.17303113727645567,0.17169103595569324,0.16094631696651143,0.17752834911929938,0.18251110136599863,0.18687273531333815,0.16841466271046202,0.1965992654861502,0.20656045494984393,0.15543492113464297,0.19051794614055184,0.1778270481400604,0.1939032960446364,0.16058194031956483
Croatian,0.18447405920185464,0.1746710159026826,0.15289522528613675,0.18705650812442268,0.10747995100053094,0.14317688949794127,0.19058046515273697,0,0.14880241743779546,0.19671007044750002,0.18242089539837825,0.19253684871499865,0.1905064606617031,0.18079243712116647,0.18883556100362014,0.1943191611243112,0.19628539390108507,0.2005548460725438,0.17799257091491724,0.19907791285819054,0.1580489032700406,0.169093728336499,0.1254639560456259,0.13369294360357492,0.19406465416017293,0.16878346100862604,0.19362447037914432,0.18491705473912684,0.16516666796948626,0.13822339748236695,0.1814744444075265,0.1804458038040291,0.1435070426411513,0.11456741693825345,0.16395206845087087,0.1480764537638998,0.14914751404245527,0.1786716731053253,0.18370529318767018,0.1399747337039461,0.1856090400913542,0.15500247704920722
Czech,0.17855885602998914,0.1761315914583135,0.15707414711411877,0.17915668770297946,0.13505502274667158,0.15524328090161713,0.18919914756291983,0.14880241743779546,0,0.18876256757638113,0.17873560650321113,0.1847330942642893,0.1867627631453874,0.18042357986506108,0.18648589678466712,0.19491586542649827,0.19635996319725174,0.19866000091473385,0.17266006264669465,0.19467048494683553,0.16332333743371574,0.15978683667693536,0.13100480757113292,0.14867974733175895,0.19752282684708075,0.16230823533578925,0.18630922791097618,0.1827717180706151,0.1642423453154646,0.13422452103420326,0.17733365586653435,0.18332627495368756,0.14419644743135493,0.14299938190827588,0.16217929950775567,0.12995834762808992,0.16415718469584895,0.17847180256968068,0.17826645087408788,0.13870275674366686,0.1761865764262841,0.15273609451400694
Danish,0.184084741151689,0.1903200661894815,0.1643944758924459,0.2066788066294991,0.1702425150680481,0.20113363761504585,0.21295255872141122,0.19671007044750002,0.18876256757638113,0,0.17841817152221248,0.17828503582357288,0.20637145858340128,0.19968906468850853,0.17601525124622625,0.21528989728847298,0.21031015160417035,0.2120707259743984,0.16606029043715992,0.21555585571415756,0.17132348524075838,0.1809021890094538,0.14239895152493767,0.18842227915320936,0.21557575848055857,0.1704867778543695,0.17912418044070327,0.2053333333098198,0.17388597552473922,0.17286153753218086,0.18893610956247542,0.20187592890584286,0.1850898548750262,0.19158996454023233,0.17420919867932563,0.20034498288543343,0.20731667499936043,0.19629016404506988,0.16862014877786502,0.18209350968403853,0.19434061944018258,0.15558715657586616
