,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.3119917837437785,0.24304690838714643,0.3280694921872355,0.25963773920852373,0.3023633447332452,0.3320275350987891,0.29671895430839507,0.29993874023381295,0.3187821721368492,0.2622888686869537,0.2707707092943806,0.315538496071952,0.32240675330222685,0.2906103260846708,0.3128452780157252,0.33960107085308644,0.3221798532476176,0.27529752870747093,0.35005603467972485,0.25424448670350575,0.2943868921268126,0.24333264164054044,0.2951521024717537,0.3470908211476118,0.26857353326397826,0.2981437673342064,0.3126776736929356,0.2792256025361011,0.2752561977201312,0.31341030815140075,0.2980136974510952,0.2820883109448328,0.2932618269744407,0.28191269256842694,0.31897974394679846,0.319560365052099,0.2985113714471865,0.2907813911743626,0.28095340668604246,0.3132252340111441,0.2325771950761492
Albanian,0.3119917837437785,0,0.24924384745276587,0.3226275674049083,0.2795542495846831,0.31206250851036277,0.32577152373838547,0.3051756286122248,0.31931189238769914,0.3584230063228739,0.32730635868010943,0.32184511121963166,0.3239791032438256,0.3145114664060503,0.3339205872473115,0.3194196581589008,0.3423563599936292,0.33049986031116246,0.3089859942936853,0.3378463319912404,0.26992909433508505,0.3166064250909824,0.2513945745217586,0.30463532503754803,0.33625476685711303,0.2888394091043283,0.3445687935331919,0.306608011753645,0.2849281760508253,0.2880226327472846,0.31648144844812715,0.31453861981554876,0.2944755753426325,0.3043106830090456,0.267136832803985,0.3287050569240061,0.32985194190866396,0.30608652418010995,0.3248366439524517,0.2936024189183281,0.31677142102847083,0.25717769867414514
Armenian,0.24304690838714643,0.24924384745276587,0,0.2670267579368766,0.23229425489272232,0.2560413982553648,0.2722304434345536,0.2524652994796044,0.2639712492004241,0.2803092360010905,0.27393133703360706,0.2685640613500658,0.2570899628978027,0.26303832107218966,0.2674301646141679,0.247089417857343,0.2848037637490162,0.2692024668950553,0.24244424553483773,0.267045056087068,0.23989599500500877,0.26197188411955863,0.23607856291810894,0.2591994202990146,0.2751807460274352,0.24525318570088586,0.25568429516931196,0.24782101616844357,0.24294385915183592,0.2594729462780589,0.26805493947706743,0.25588362372974205,0.24960021937790272,0.2559048754325896,0.24243295365451345,0.2625659029843068,0.26976491059420654,0.26271634700286883,0.2654888279862211,0.25558438381936377,0.26346729442618616,0.23907354999039518
Bengali,0.3280694921872355,0.3226275674049083,0.2670267579368766,0,0.26319728498433664,0.2733174214878098,0.29618299051723257,0.27340503520060067,0.2744968198524593,0.30883681565470245,0.28984292832695074,0.2807696144188932,0.2946321732657761,0.3043165869804866,0.28400640474998046,0.28647674118391125,0.2616115136709777,0.24991311716146997,0.2928050472366154,0.3203286063835467,0.23409481220034342,0.28208563927697966,0.2301429576307701,0.2612183005506744,0.2674248083772085,0.24244301408116628,0.3275321187535558,0.29747958260935503,0.27512921787955247,0.24658518656691067,0.2879043588475614,0.27548974477009125,0.2696061267414081,0.27205607072707594,0.27675640747510005,0.2866543853816572,0.29619754933094505,0.27245615688123753,0.29308272919994716,0.25716874814624985,0.24908612281938328,0.22675871533780884
Bosnian,0.25963773920852373,0.2795542495846831,0.23229425489272232,0.26319728498433664,0,0.2264170684427975,0.27439106079011166,0.19609032418323868,0.22876024019522515,0.2630046527532346,0.27302219455879245,0.2637183275574269,0.24836386140658487,0.27683003604743384,0.2619046326791455,0.2555482700244949,0.2872811330835941,0.2659017360080893,0.26074539896365306,0.29258204903987317,0.2251181020614112,0.24334479664813463,0.22504606825685405,0.20973057003935924,0.28175156615346736,0.2198408442043608,0.25228571329761823,0.2723506021652354,0.2661904910370971,0.21279711163464934,0.2589908395221728,0.24490200823713526,0.20620536790368232,0.17333331682144063,0.2659812977850223,0.21496311423720055,0.22209659918252597,0.258309779516844,0.26995148738044156,0.2132254441293767,0.25854905397495215,0.23170482874983578
Bulgarian,0.3023633447332452,0.31206250851036277,0.2560413982553648,0.2733174214878098,0.2264170684427975,0,0.27358509594691366,0.21066677504389447,0.23802587022675786,0.2886511949199905,0.27233151597457966,0.2624744721860603,0.2800449414386939,0.2813281702646552,0.27636062852766957,0.2763280184400465,0.2868939002506554,0.27853943942149445,0.2731436762256146,0.2997248377195332,0.22092813415767612,0.277281752950188,0.2163124819099625,0.198433206151785,0.2838879259338194,0.2740263198766523,0.30994651844812493,0.2851480269306499,0.2645625591023752,0.2193265191789584,0.2730911797428139,0.2651897033168472,0.2264614335727254,0.22121319975850498,0.2765986077263054,0.24683593117510394,0.2544296464777492,0.25162297850292115,0.2778364289856087,0.21715137414672483,0.2619636018654568,0.20725965701798552
Catalan,0.3320275350987891,0.32577152373838547,0.2722304434345536,0.29618299051723257,0.27439106079011166,0.27358509594691366,0,0.2668280403090525,0.2825225487390444,0.30416531919478007,0.28528695000435256,0.27400197462091713,0.2719783940403143,0.26422559094909387,0.28995641698858693,0.28620261197925617,0.3056022695742149,0.2982463780751301,0.292147984470595,0.3157574710893493,0.21217776158127177,0.2974883291897232,0.23238214571367857,0.26333398266403163,0.30148311927768834,0.28894413758382514,0.31878981546784285,0.3136476918757362,0.28277804169978654,0.2545828426863511,0.24998943345780708,0.258351898787445,0.27078488724864586,0.27741657716995444,0.2907706445044866,0.28739088746746555,0.29419995457428133,0.22126804692068394,0.29284353542855096,0.2587406041242171,0.28890101179762295,0.22464444160000435
Croatian,0.29671895430839507,0.3051756286122248,0.2524652994796044,0.27340503520060067,0.19609032418323868,0.21066677504389447,0.2668280403090525,0,0.22907772159060394,0.2760077889115989,0.27196703876554523,0.2668350087744227,0.2694234819999471,0.27778416772660275,0.27129557641565055,0.2666554315852933,0.2858831632725479,0.2754306111470217,0.2720803705475372,0.298001827894282,0.21862171222133553,0.27159824989709563,0.21438158494964735,0.2062420606054646,0.27972951000067486,0.26997350439637197,0.29477388693531825,0.2818878242019141,0.25933446866381743,0.20732201155572863,0.27118235535382756,0.253411371824933,0.22354116275046834,0.18992883189484402,0.2716768982824874,0.226566138827453,0.22498471969365066,0.2526799731753466,0.2723249143153053,0.20982037405021836,0.2633784472376262,0.214259314303425
Czech,0.29993874023381295,0.31931189238769914,0.2639712492004241,0.2744968198524593,0.22876024019522515,0.23802587022675786,0.2825225487390444,0.22907772159060394,0,0.2747540529252281,0.2692426175311075,0.25989562553120765,0.2778017445617808,0.2928979989883175,0.2765275100080484,0.2779746235721726,0.2968283077967691,0.28716325241424945,0.2763354938646286,0.3120313884748581,0.2306237216125469,0.2666413466939565,0.22804221783536122,0.23113001900756605,0.2940488195266763,0.2617903071839897,0.30213395478697347,0.2870142515273844,0.2688672040431909,0.21878812700806577,0.2721614811411726,0.26611688364770564,0.22677980569709283,0.2237388053175756,0.28583126968889516,0.22101344411535986,0.243804229548435,0.2630052483728215,0.2742857480014935,0.21720321072367535,0.26565585585423096,0.2182243309477652
Danish,0.3187821721368492,0.3584230063228739,0.2803092360010905,0.30883681565470245,0.2630046527532346,0.2886511949199905,0.30416531919478007,0.2760077889115989,0.2747540529252281,0,0.26375164498425197,0.24001748340139084,0.29275989728861834,0.324253174742558,0.251799409223822,0.29280578891076864,0.3108211182946757,0.2934297309415621,0.268183137934679,0.3303992275142318,0.22705186730737778,0.29518781661747423,0.24071571347113926,0.2775749540564702,0.31424230997133595,0.2656380227258515,0.28640069351844827,0.3260416960373888,0.29003408940030184,0.24993457569454403,0.27769197029368076,0.27530920507557016,0.2751436451906927,0.2872970616315822,0.31454301316793426,0.2844255619010005,0.2901838328597509,0.2706129993554174,0.260972870910797,0.26335634371585154,0.2869375208629982,0.20753285980203925
