,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.2984464830500418,0.2256465570823194,0.3139615592648123,0.24756903799523955,0.2859853103553404,0.3132410564252067,0.2799123058201372,0.28135115266075983,0.29392449459502823,0.22370240855120913,0.2547748424352207,0.2978462787856292,0.29996086687752865,0.2684229892084892,0.29735362406582244,0.3279718115074797,0.31178116670481976,0.25251002585896243,0.32224085564531485,0.24119436552190418,0.27794244180889593,0.2283759731222789,0.2741458673207716,0.3327098640835743,0.25591190514392,0.28966822883875315,0.29063342069263276,0.25970226513186123,0.2608431554440803,0.28519202978808667,0.2835340764873465,0.26491111146397206,0.27512529619199666,0.259403757979937,0.2987154300902561,0.3003813457177214,0.27930574965029503,0.2718517921207572,0.2631086380035839,0.2979859580817382,0.21857356270677586
Albanian,0.2984464830500418,0,0.23584858267793157,0.3106506044242831,0.26639156038892936,0.29738366996783167,0.3088013740489951,0.2879694540502237,0.299773362648784,0.33437529353675116,0.3018571480848185,0.30513271549026116,0.30046671390101776,0.2956237431778455,0.31399731277373943,0.3016960424563112,0.3287181307236989,0.31730649392108407,0.2921805751792152,0.3159790660798502,0.25338582561710593,0.29668223771934793,0.2353996576945416,0.28355868354209124,0.3209463103025306,0.27219795554474385,0.33161876510969734,0.29064613206413886,0.2690189659559629,0.27226411193379496,0.29093857159616116,0.2949039883311877,0.2765369703662975,0.2860222762949345,0.2488687430400941,0.3066202609524988,0.3100642160300913,0.28629554213187214,0.30881111707391645,0.27287017567991334,0.30386630197611025,0.24064228897949913
Armenian,0.2256465570823194,0.23584858267793157,0,0.2457888109250158,0.2213652689475911,0.23253354291458617,0.2480233063114926,0.22760818596688756,0.23731921624936958,0.24967962234279953,0.24194841522409424,0.2445409035310059,0.233870255462109,0.23629580991580024,0.24239291514457856,0.22633605025299697,0.26563211434266026,0.2531970645247903,0.21780723226917986,0.23834734264782761,0.21928796509947351,0.23961543714054281,0.21405036561865354,0.23022733816245713,0.2543148360644414,0.2317315756530951,0.2397288567696439,0.2250369273139601,0.21994846516961994,0.2340370181859349,0.23464002115028265,0.23321722906525005,0.22547165907565794,0.23136426622940187,0.21728527478980592,0.23507304373437815,0.2476494567562121,0.23618547276474325,0.24131539620441628,0.22739944852490712,0.24099775656075687,0.2138064194030705
Bengali,0.3139615592648123,0.3106506044242831,0.2457888109250158,0,0.24982832347362569,0.273398538563167,0.29608088915266595,0.2736823898256163,0.27142496628755053,0.3072537049708538,0.2862569576498427,0.2803518364162138,0.29025489452199116,0.2997353330786019,0.2858647604386898,0.28137076765317537,0.26068214378949983,0.2449538157225538,0.2884861800010657,0.315839183284924,0.23309476216790717,0.27245605304012716,0.22395595870027032,0.26379946173404006,0.26885339294587396,0.21677010547736028,0.3172034916875684,0.29250259953997615,0.2673441885931492,0.24510504510598366,0.27941080120604717,0.27589647524275646,0.2670200173611462,0.27238371634658115,0.25837823778489954,0.28273542828768494,0.289178570207096,0.2714445638943787,0.29063780229573427,0.25862996216526724,0.24092944066836727,0.2243309212163365
Bosnian,0.24756903799523955,0.26639156038892936,0.2213652689475911,0.24982832347362569,0,0.19904905918891339,0.25731431668220384,0.16373519618262516,0.20659441054315936,0.2491805814842337,0.24759827380056096,0.249640626928711,0.23711825576937723,0.25287686641592555,0.24562124941364535,0.24541044870522125,0.2746316809602187,0.2614123160599467,0.23957410407144772,0.2671364738241002,0.21110910054799403,0.22188789642853338,0.19878550742694795,0.1756288833174198,0.2662226949675238,0.2230007354534748,0.24956770517007557,0.2511547317754118,0.24290696837243217,0.19221127509269945,0.23594983233475061,0.23280274278045507,0.18219710316095647,0.1396564352599522,0.24224632741574956,0.19323122378393484,0.2022949449100958,0.2402977522262046,0.25154551738134284,0.18461292441456645,0.2435007118355367,0.21590910362581686
Bulgarian,0.2859853103553404,0.29738366996783167,0.23253354291458617,0.273398538563167,0.19904905918891339,0,0.27311681773637575,0.1987712368668487,0.2273858146337876,0.2869894118581764,0.2666228568562282,0.26522709662409566,0.27153304031092657,0.27714440041056565,0.2763548816800451,0.27006622541129,0.29306488655723617,0.2800356425212866,0.26638416708042567,0.29132359601175095,0.2160342417867856,0.261370216036836,0.20780547336565072,0.19014470230352615,0.2904308476886021,0.2556039690534307,0.2965399647640042,0.2776077070327197,0.2589858396841214,0.21288375702798062,0.2608313587895798,0.26082401573677044,0.21564249283361125,0.2086077995676537,0.2578918042973272,0.23396157433438694,0.237825474055754,0.25049498337055465,0.2753703575797536,0.21148299378507204,0.26268048431923186,0.20535057442398466
Catalan,0.3132410564252067,0.3088013740489951,0.2480233063114926,0.29608088915266595,0.25731431668220384,0.27311681773637575,0,0.26698959142957934,0.2765783773485264,0.30672745542643043,0.28257332753684145,0.27333894495830074,0.2627100746240407,0.2507293535948394,0.28961528906950695,0.28216172177827814,0.31170911694741604,0.2994781872934981,0.28325406839346406,0.30772665516294057,0.20489712157424725,0.28377048810829386,0.22525768767465423,0.26489320747942097,0.30673366743632213,0.27005711750398403,0.3061246058853263,0.3043799470458037,0.272664960378517,0.2524904759400143,0.23524299074994298,0.25263769707092426,0.26671579239027665,0.2759282961340205,0.2685787421773432,0.2825967643590016,0.2890187339070934,0.21716083448235204,0.2911560873933327,0.25698832028036867,0.288315180331002,0.22376486487070754
Croatian,0.2799123058201372,0.2879694540502237,0.22760818596688756,0.2736823898256163,0.16373519618262516,0.1987712368668487,0.26698959142957934,0,0.2160882151845478,0.277476421214391,0.26595718721796413,0.2643431924472932,0.26242731594847024,0.26880126336259874,0.26998296852703585,0.2635208306288061,0.2901634308045997,0.28139560138197095,0.2639561172789761,0.28656710999394186,0.21313538281511626,0.25643496462262544,0.20132571838731061,0.19377693214322625,0.2820743006871435,0.25265321157184184,0.2854319545672391,0.2714642266203749,0.25021795703975047,0.2001821039678093,0.2615657606863904,0.24893022602434844,0.20871989017550113,0.16888479124756645,0.25162684382702283,0.21351208500062466,0.2084273460142643,0.24837913022426666,0.2691139894041962,0.19856800360317517,0.26551688753926295,0.21016534004404852
Czech,0.28135115266075983,0.299773362648784,0.23731921624936958,0.27142496628755053,0.20659441054315936,0.2273858146337876,0.2765783773485264,0.2160882151845478,0,0.2731915536755776,0.265371165784222,0.2573073866021656,0.2701563641897139,0.2802269754218925,0.2765789438763224,0.273346528695428,0.2960686328644805,0.28796581311189984,0.2621480981993733,0.29676478014293584,0.22748431516098316,0.2508522736596311,0.21596777920446622,0.22329413122670208,0.29408506935197226,0.2435561755752067,0.28776774301875363,0.2727623751061448,0.25740440439503215,0.20689566114352395,0.26382802148062423,0.2613234935096428,0.21247601430455465,0.21308948172187922,0.2616092465749843,0.20213463690474825,0.23176431076463985,0.2587759840953227,0.2702773440985107,0.20558235835580063,0.2623784767152272,0.21227226491025078
Danish,0.29392449459502823,0.33437529353675116,0.24967962234279953,0.3072537049708538,0.2491805814842337,0.2869894118581764,0.30672745542643043,0.277476421214391,0.2731915536755776,0,0.2621739694870294,0.2378624052401246,0.2908965383611842,0.31456341591398074,0.2510921304630215,0.29257750511503067,0.31793953923022267,0.300739186234541,0.254875114532837,0.316658831994135,0.22893104636110417,0.2841287067108058,0.23038154916708867,0.27816621273161296,0.320247776122553,0.24986428319373838,0.27138914938300956,0.3127469246318416,0.2757247205190994,0.2520437317318872,0.273918135107255,0.278499814721226,0.2716613647399637,0.2842393754419384,0.28718047661765467,0.2888716049804955,0.29300309755177956,0.27208476939837295,0.2573291524021919,0.26236384839983456,0.28493301748992683,0.20513477372198713
Dutch,0.22370240855120913,0.3018571480848185,0.24194841522409424,0.2862569576498427,0.24759827380056096,0.2666228568562282,0.28257332753684145,0.26595718721796413,0.265371165784222,0.2621739694870294,0,0.22801548165315244,0.27633133263549947,0.28907251119605365,0.2305449684542225,0.2718725913562073,0.2977449929187892,0.28927690787516913,0.25277944124471624,0.29762852553747265,0.2315151040066601,0.26770978219899566,0.22215927673352848,0.25613746859404546,0.29635946692949666,0.25769341222914977,0.2664673171605552,0.28511385251392013,0.2592589310191967,0.2515500526870784,0.26523048724553616,0.2669457955701157,0.2574595186233164,0.2642375951806125,0.2739604366264783,0.27698987758448385,0.26905691014295574,0.2593003349042143,0.249932786007197,0.25302915309859003,0.2746836006259456,0.21530863459473698
English,0.2547748424352207,0.30513271549026116,0.2445409035310059,0.2803518364162138,0.249640626928711,0.26522709662409566,0.27333894495830074,0.2643431924472932,0.2573073866021656,0.2378624052401246,0.22801548165315244,0,0.263405196813034,0.2792894635632015,0.23898436295675046,0.2777807932860017,0.2907007935580266,0.28461140017110914,0.25429891118049813,0.2784711298429886,0.2237227025249453,0.2762331573115635,0.22519233699850852,0.2630883011845712,0.2889641189441477,0.2486774600395521,0.2493992808814585,0.2859647091938721,0.2629878790546308,0.247087957060874,0.25745741979051984,0.26244875632158227,0.2576436642777308,0.2681357978490757,0.2735650333542252,0.26932626805679505,0.279108410182893,0.2611059387290248,0.25030480350909606,0.25386406796563815,0.2689373926834447,0.2108449640103998
French,0.2978462787856292,0.30046671390101776,0.233870255462109,0.29025489452199116,0.23711825576937723,0.27153304031092657,0.2627100746240407,0.26242731594847024,0.2701563641897139,0.2908965383611842,0.27633133263549947,0.263405196813034,0,0.2743901663759471,0.2841804864038465,0.2738329152784428,0.31050550909635194,0.2936990939306853,0.276910769068411,0.302300918821902,0.20185214625864595,0.26773507826787335,0.223270779301311,0.2610494302704704,0.3026094190444552,0.24836503396919507,0.3032367143455299,0.28878682507944775,0.2640455859929667,0.2466990134554065,0.24875318087992615,0.253777863646653,0.25814607740505185,0.2667183691160447,0.26319794133270014,0.2832078786078983,0.27296001647645246,0.23593091069128755,0.2910202654276274,0.24976701414100566,0.2735245204550128,0.20354114811216617
