,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.20500613333584164,0.15125048838688773,0.21529143204692267,0.16817362439591704,0.2068000344687303,0.21281292548881983,0.1965692897180646,0.19570363280410974,0.1910614298322197,0.13869509966360244,0.16322478353742242,0.20990704062177656,0.20083339987449536,0.18425934913864878,0.20677949021724484,0.21761081579018138,0.20777718490099362,0.16910155609547664,0.2160242570945589,0.17174629062968805,0.18952070868705462,0.15610437139414973,0.19050787936598113,0.21899590427773294,0.173037885865059,0.19408776195170924,0.19731724879759577,0.17978646274254906,0.18107733455321945,0.19206777243207246,0.19917827508750222,0.18402138299609025,0.1892373969402887,0.17704998700519972,0.204047907691718,0.20391823036080847,0.1931442703256544,0.1776923531055242,0.1822564899565423,0.20450657612138562,0.15188691806932145
Albanian,0.20500613333584164,0,0.15582510386988366,0.19901068601551902,0.17077971638268274,0.19393874763559096,0.20505757485086099,0.1794785934211943,0.19271354332967056,0.20518748989019173,0.19466228936200072,0.19549079564544317,0.18968451225308344,0.18306868622061884,0.20854872296990318,0.19127952301521992,0.21059369492677546,0.19736795306899907,0.19539639105173578,0.20590988423679848,0.16291089656911278,0.19897951501360903,0.15830174596617858,0.18254987228362302,0.20096132239037587,0.16337693859046246,0.21297164602636273,0.18427558312705655,0.17692260714313007,0.18298239211906572,0.18399127226575848,0.18599173260481308,0.1806579073923537,0.18195553548277896,0.14838504392614088,0.19682330835356832,0.19989116840694765,0.18068531927857437,0.19696705093739178,0.17289224112864296,0.18683539736385277,0.15451360840777162
Armenian,0.15125048838688773,0.15582510386988366,0,0.1623037113516338,0.1499778456862398,0.16033885659408223,0.1621125189999946,0.15279840066433123,0.15951763913535358,0.15946289406440867,0.1554256873111196,0.15676728070091822,0.1580175442304526,0.15149615861289376,0.16115107242822177,0.15158666543024082,0.16948415901100017,0.16357256998519404,0.144485045081399,0.15763458871138647,0.14926714375313418,0.1611523253545639,0.14426486268630143,0.15248707370173029,0.16356980111006592,0.15148333433711184,0.15951916517921297,0.14959308610801242,0.14634941211389588,0.16122279230358885,0.15329072706194982,0.15415730128488933,0.15219763467827568,0.15331034222122014,0.14441825176818135,0.1574210329413669,0.16391417170582373,0.1547195529992951,0.15490944881598917,0.15105683874063483,0.15802753049850451,0.13994828532497916
Bengali,0.21529143204692267,0.19901068601551902,0.1623037113516338,0,0.177720555372522,0.20193651821281358,0.21127043951429966,0.19440672365770637,0.19659500385814294,0.21971819583677776,0.20466883802359434,0.20060856602864716,0.2081622827911956,0.19987523494034978,0.21613798110981938,0.19506456320968474,0.17552846685659088,0.16352779508612278,0.20225711591614082,0.2177491152637063,0.1706783371757016,0.19791934307672165,0.15835348083828746,0.19026159658662511,0.1793221110507413,0.13939967413403723,0.2261640169200435,0.19665991674304178,0.18454363693570322,0.18280531085233773,0.19685230671326687,0.1982668821394719,0.19158909499740698,0.19467383476967834,0.1679714639489761,0.20391520602774027,0.204947412060965,0.18841323824814477,0.20319492283836374,0.18374391713337257,0.16658148123969108,0.16335761521783249
Bosnian,0.16817362439591704,0.17077971638268274,0.1499778456862398,0.177720555372522,0,0.1352330092573518,0.1796029573592982,0.10438731652798068,0.13756560346158106,0.17629406931759756,0.16836507407801846,0.1732200271730753,0.1721414885925038,0.1681276755941382,0.17740512146686147,0.17208121924227202,0.18593056916761413,0.18097398631006895,0.16199721461900005,0.18174106835876122,0.15342199822758718,0.1578944761301103,0.13429685512252162,0.11210050846134233,0.18111193279257326,0.1634288446912256,0.17711429286776126,0.17049188645039898,0.15936143131658742,0.13117833016985284,0.1647384939595104,0.16547364850305912,0.121294551413775,0.08553194795698871,0.16248733195619317,0.13067283792915507,0.1369040059775358,0.16560138816504721,0.17020239177517263,0.11973964343812132,0.17479193789771333,0.15263616686117176
Bulgarian,0.2068000344687303,0.19393874763559096,0.16033885659408223,0.20193651821281358,0.1352330092573518,0,0.207364568513954,0.13599078455524566,0.15998345398065822,0.20755643172104543,0.19511182602707622,0.193385169833687,0.19949267326265055,0.19552240173544685,0.21255693872695267,0.1920140199729589,0.21527401123480022,0.20460637452195252,0.19207962137472656,0.21394712212460007,0.1568442657804075,0.1897006141522216,0.14686748934053487,0.13422128267060957,0.21357105867531354,0.17481230210252144,0.2187838973223034,0.1992353532544757,0.1821573094826195,0.1512949396799431,0.19078515040027935,0.19076962071966563,0.1533943147292383,0.1464020839356538,0.17214389525997006,0.1651910155799519,0.17132066026857468,0.18372713026931925,0.19819898061262786,0.14899479636134702,0.1937331931814179,0.14909521490657848
Catalan,0.21281292548881983,0.20505757485086099,0.1621125189999946,0.21127043951429966,0.1796029573592982,0.207364568513954,0,0.19617181149351218,0.20172856179274376,0.22103840013271697,0.203829188276313,0.19664763288972797,0.1920415814090553,0.1640656917285203,0.21410574116887499,0.197171496636355,0.2186080399926064,0.20975305893160145,0.19487455903441442,0.2168823267808175,0.14475462603929756,0.203157955253295,0.15981864095213813,0.19466665618587067,0.21585923199143722,0.1801077825673331,0.22455580876081874,0.20984960198539487,0.18942313861483967,0.18491048064646531,0.1644262716928062,0.1790190793440641,0.19171343747060324,0.19866372739344887,0.1824574108700537,0.20752032992460623,0.20968693053970455,0.1535849145367353,0.2049150653460019,0.1856580436870031,0.2076186676861199,0.16158380121330487
Croatian,0.1965692897180646,0.1794785934211943,0.15279840066433123,0.19440672365770637,0.10438731652798068,0.13599078455524566,0.19617181149351218,0,0.14368271662167734,0.19094222188711416,0.18581097493280294,0.18644385358969964,0.18646630227632593,0.18093548436839926,0.20170603036707258,0.18338834814248553,0.20466143620688326,0.19818776719817702,0.18535171332675077,0.2037027702818501,0.14953193613907506,0.18217085795317572,0.1395132429222459,0.13293293925554645,0.19879999597584472,0.16534880541171526,0.2042412696384352,0.1837953281952365,0.16969582011536238,0.14140977474890468,0.18441243381000152,0.1760421767262445,0.14303092704461007,0.10837240826809302,0.15989289283516683,0.14410969757801909,0.1430051281886067,0.17289098578089873,0.18818344909744258,0.1330566408494733,0.18625199411081647,0.14615616062467043
Czech,0.19570363280410974,0.19271354332967056,0.15951763913535358,0.19659500385814294,0.13756560346158106,0.15998345398065822,0.20172856179274376,0.14368271662167734,0,0.1960946600165427,0.19070424739446876,0.18375687071551336,0.19279778234757872,0.19074934642267602,0.21131622693948243,0.1928288801271137,0.20916805243071468,0.20283036520773212,0.18718437875252586,0.20577851509802111,0.16643680867234964,0.17576332426682495,0.15045074623329094,0.1556074738493127,0.2072244144793609,0.17211785538406577,0.20252632347995936,0.1901284421625533,0.17873105492346372,0.14068271237264157,0.18601247473080246,0.1870677552627116,0.14540648378843382,0.14655160222124589,0.1673461971771309,0.12969283822301095,0.16518895272425427,0.18063190854231428,0.1914645887680779,0.1395684826345062,0.18756738889772118,0.15239026571481365
Danish,0.1910614298322197,0.20518748989019173,0.15946289406440867,0.21971819583677776,0.17629406931759756,0.20755643172104543,0.22103840013271697,0.19094222188711416,0.1960946600165427,0,0.1824639927933969,0.16680033102280858,0.2062489822747819,0.2046284108456039,0.18977283573486825,0.20448811065754013,0.22222823844519227,0.21017982297235255,0.1677557043891751,0.21773105272571763,0.16719479151944497,0.20240991041762976,0.16260635799957843,0.1981838951988979,0.22266856097206347,0.16956148276230942,0.18319837901967428,0.20560333081342472,0.18315378638669974,0.18380759598103874,0.19637577070856077,0.20207982750147505,0.19230770127639046,0.1977200713211237,0.17463489393765627,0.20766451814194967,0.2067582454675155,0.19301658032904365,0.16771056063949477,0.18482176835369238,0.20038049474465552,0.14763399200514227
