,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.020437957154177098,0.01783401805139286,0.02120913910333051,0.019059318644914797,0.020978274387985035,0.02236267297554699,0.020387834551386978,0.019747292378768558,0.02312851187052279,0.021528396305131633,0.021215983573995564,0.021990138228128623,0.021828957977001105,0.0216446074950841,0.02167195008722999,0.02237394080071885,0.02171628251969637,0.021065827848586162,0.023059844940071378,0.018271356732511564,0.019805536408164317,0.01570109272510692,0.020448934543965715,0.02257941283767396,0.01914615578489097,0.022842089402237028,0.02230671996736761,0.01905168796919737,0.01902618416977549,0.02069890799297813,0.020896454652915803,0.020079418568458764,0.02038246541788402,0.01859121836820688,0.021521442534926407,0.022736007750336837,0.020168759225903474,0.021412599572433962,0.01966886685131677,0.020569368745255705,0.017522385353668592
Albanian,0.020437957154177098,0,0.01708140621205884,0.019057975659956268,0.01784881480948995,0.01871756068042466,0.0200893221019596,0.01847228202143055,0.018054031137375248,0.020155531024728567,0.019462990765656035,0.01942209047503185,0.01954723562842703,0.01934698755767218,0.019842723981729378,0.01988478208443972,0.020810693913294744,0.020386379058872417,0.01951918445259114,0.020052870580249765,0.017180572896780877,0.01853805867289005,0.01515459026844736,0.018647376134317634,0.020456687884931494,0.017966577676872174,0.019955967305668034,0.02018071882228452,0.01773582290964181,0.018112633704956985,0.018536092510580065,0.019004132380747038,0.01849123159497793,0.018435007445866448,0.01683555909846013,0.019507170841765415,0.020455080025270835,0.01810626998573207,0.01915633824920826,0.018145488660924896,0.018369094360970763,0.016578260021932873
Armenian,0.01783401805139286,0.01708140621205884,0,0.017424608649676248,0.017693039162015416,0.01738445822583863,0.01786341993211386,0.0173367265649962,0.01682943029406967,0.017960814272676543,0.017548831299083648,0.0180671680913805,0.017520695443528852,0.017400907828963436,0.017786571391652354,0.01761005128470993,0.018323160764534642,0.01800520604858438,0.01766114544454646,0.017872177809407277,0.01675327046673328,0.01786042807202101,0.015339815264188355,0.017474058595763536,0.017880727826601085,0.017064551998037462,0.017922061707341477,0.017826082875249873,0.01685174548333638,0.017326824281974292,0.01727847554104026,0.017553550497874427,0.01741468917042253,0.0175331681266668,0.01657782228005644,0.01777887083898012,0.01854703382611992,0.01694295250173905,0.017499807802527786,0.01733325652595287,0.01722294718511658,0.0166778922965759
Bengali,0.02120913910333051,0.019057975659956268,0.017424608649676248,0,0.01805477268186708,0.019236185982995275,0.02085128446460458,0.018882921122024113,0.018216515953317768,0.020993811521009927,0.020038239881072086,0.02008115143233274,0.020118285552767554,0.020234143592560268,0.02016001660563938,0.0202955218709726,0.021438121021381543,0.02065377445985788,0.020049694446164744,0.020986059782182653,0.017416579797891563,0.018800604805085382,0.015245388087953782,0.019005614399734635,0.021168248247827023,0.018164773776251326,0.02096238659907914,0.02107055358260263,0.018202016536561016,0.01817421218007073,0.019221419877060983,0.019544452738401413,0.01877438399154041,0.01901145207658847,0.017617072014843065,0.019861836926970675,0.021289016155177382,0.01884555517145937,0.019886078436579132,0.018321984219511343,0.019303951525273425,0.01672865842600027
Bosnian,0.019059318644914797,0.01784881480948995,0.017693039162015416,0.01805477268186708,0,0.01771000359175208,0.018733570549254095,0.01768638901773159,0.017374231885251126,0.018682254731642308,0.0185485059740235,0.01827282790790907,0.018317373477381868,0.018320830752049818,0.01882451726844873,0.01845305679888346,0.019448005380771318,0.019250844678933142,0.01875875982387536,0.018812915678936497,0.017283911442770087,0.018255711564010634,0.015507159164333482,0.01765804235924226,0.019060659595673463,0.017714862874520145,0.018554457205036682,0.018962427724784677,0.017554251041042686,0.01784207635967697,0.018064880609539546,0.01827939850032563,0.017630848022203185,0.017529926354789532,0.017326365531704906,0.018238608613252875,0.01903223058094368,0.017688991875172918,0.018236430080769046,0.017338848424139488,0.017799172670601368,0.016896704469199175
Bulgarian,0.020978274387985035,0.01871756068042466,0.01738445822583863,0.019236185982995275,0.01771000359175208,0,0.02040418916037433,0.018608244250771674,0.0182184520463353,0.020549343252211204,0.019950518215493342,0.019204229166653652,0.01967403313694224,0.019938976722076736,0.02029804932662182,0.019941387769683013,0.02116596670803951,0.02067708262577576,0.01998347409864629,0.020591134755257264,0.01720612504173228,0.018608463528258016,0.015205574524980852,0.019087287192608104,0.020950990422647944,0.017945807059326125,0.020373692669709592,0.020629935890969106,0.018172041214636146,0.01816754175362241,0.019135421615759773,0.01927903895361848,0.018629352308406403,0.018822011266371157,0.01727842668866524,0.019812670276044202,0.02081150958695742,0.018509627867561492,0.01940827586549576,0.018191258371563372,0.018668286274243998,0.016417506534186176
Catalan,0.02236267297554699,0.0200893221019596,0.01786341993211386,0.02085128446460458,0.018733570549254095,0.02040418916037433,0,0.01989662036519984,0.019167024277553103,0.022739897626381206,0.02097181314618252,0.020902382370568552,0.02160916186015618,0.021651223301807736,0.021090423077024047,0.021139792126556776,0.02209847764179965,0.02156685815209623,0.020788467470934897,0.022377531796173487,0.017938434839523097,0.01952004206560516,0.015621278065879344,0.01999428731681337,0.022218448418904697,0.019005440161488193,0.02272726815549938,0.022176297440553074,0.01880852885314809,0.01881192023468864,0.020209362069307138,0.020801813669967587,0.01956336220051589,0.01997753128524098,0.018475552837561398,0.020984612610162347,0.022602123937205797,0.019903859475356254,0.020833291130180075,0.019375646111051695,0.020212365019210348,0.017336203983165918
Croatian,0.020387834551386978,0.01847228202143055,0.0173367265649962,0.018882921122024113,0.01768638901773159,0.018608244250771674,0.01989662036519984,0,0.01795005801347953,0.02000604852020909,0.019464413437731073,0.01901861564637907,0.019344297171133687,0.019344618779971796,0.019822700326026527,0.019578309130903488,0.02061399822173974,0.02035221342301202,0.019598854124356895,0.019954179952071775,0.01702675597665388,0.01861443013516942,0.01504921897978365,0.018644685291913533,0.02029977733449042,0.01771891883968972,0.019887299868113273,0.020154597177754204,0.01794059858225026,0.018022171889032264,0.01887091437573632,0.01892222263786726,0.018487087005141,0.018783207082530656,0.017198343449189225,0.019453594349314672,0.020551840623216758,0.018206376762525435,0.01901609519857177,0.017963814870509475,0.018505534705566727,0.016429771365421387
Czech,0.019747292378768558,0.018054031137375248,0.01682943029406967,0.018216515953317768,0.017374231885251126,0.0182184520463353,0.019167024277553103,0.01795005801347953,0,0.019622455556076206,0.018872805018042515,0.018538109523873775,0.018962735188775646,0.01882830992984635,0.019406765543843706,0.01910187384880029,0.020014896148148293,0.019705787750357792,0.019064086115718505,0.019440307440059673,0.016940188137237,0.018161251758631956,0.01502863762684935,0.018319218320124793,0.01965202585894657,0.017299356172920586,0.019261734498738595,0.019512897920820452,0.017609792564750523,0.017897982122838253,0.018307986145911295,0.018480321806289942,0.018143993451036664,0.018060317987013647,0.01662801814428731,0.019370605902208772,0.01976408342969389,0.017729182986073847,0.01841212994598967,0.01763614432030035,0.01780739764860256,0.016324224146537517
Danish,0.02312851187052279,0.020155531024728567,0.017960814272676543,0.020993811521009927,0.018682254731642308,0.020549343252211204,0.022739897626381206,0.02000604852020909,0.019622455556076206,0,0.021416692260991386,0.02066288337783059,0.022037332044284035,0.02194798204833569,0.021752579595007867,0.02167455505854016,0.02279590881511743,0.022118978195163792,0.02125310040639766,0.023055763337472127,0.01805781040961246,0.019517374166503957,0.015812864617654455,0.020201806165888788,0.02291755714007213,0.019053625081467695,0.02329162581839184,0.022947251077079008,0.019074364183834944,0.019089891258731076,0.020559536448548993,0.020786796153231465,0.019887394552073136,0.020011465285864217,0.018308536440891646,0.02136217068762182,0.022777524664363575,0.019894905831287855,0.021122131581742365,0.019385264585347114,0.020268298932318927,0.017229884578422682
Dutch,0.021528396305131633,0.019462990765656035,0.017548831299083648,0.020038239881072086,0.0185485059740235,0.019950518215493342,0.02097181314618252,0.019464413437731073,0.018872805018042515,0.021416692260991386,0,0.02024497586663442,0.020673980733692282,0.020585475258747432,0.020572133656614425,0.020488176768427048,0.021157544956161227,0.020781531402527347,0.020246697678193537,0.02137828467320102,0.017708079950580786,0.019202187990400688,0.015416872761757393,0.01960827749391087,0.021175595647055647,0.018594171180198103,0.021265448175878072,0.021140011623451402,0.018511478221210444,0.01848789319571475,0.019828873034291414,0.02000394973277845,0.019251362675232087,0.019517193304823637,0.01822584052727444,0.020555932207534943,0.021353984706742112,0.019315506735747334,0.020093321915997078,0.018950394103463275,0.019602157850755364,0.017139933208294444
English,0.021215983573995564,0.01942209047503185,0.0180671680913805,0.02008115143233274,0.01827282790790907,0.019204229166653652,0.020902382370568552,0.01901861564637907,0.018538109523873775,0.02066288337783059,0.02024497586663442,0,0.02029811769763814,0.020296803297909363,0.020389536125592744,0.02049566037919331,0.021639880175900003,0.020912686130148215,0.020397407732592864,0.02097635694166979,0.017579330109523745,0.019370733056126858,0.015569285136819962,0.01935021936684707,0.021163415661965366,0.018679166036052523,0.020717051085968524,0.021095452759812925,0.018564935976447535,0.018461094063833807,0.01947784952090819,0.019609820195826848,0.01896326888374061,0.01920251107075649,0.018099279021204468,0.020021325056410497,0.021231628350586403,0.019344408096463893,0.020287917013829634,0.018632794310953417,0.01940695503830569,0.017089839856075695
French,0.021990138228128623,0.01954723562842703,0.017520695443528852,0.020118285552767554,0.018317373477381868,0.01967403313694224,0.02160916186015618,0.019344297171133687,0.018962735188775646,0.022037332044284035,0.020673980733692282,0.02029811769763814,0,0.021000122618418954,0.0209212252829017,0.020919143266315682,0.021862922019041862,0.021339261010283373,0.020508900353097874,0.021895006398007608,0.017605430359810274,0.01923770958401776,0.015500203049343474,0.019489352923453107,0.02170778988876142,0.018438530194985737,0.021764840682968162,0.02169392301352999,0.018613248056921487,0.01852851917935056,0.01989073334111012,0.019943541666267984,0.019226186804569074,0.01940262066082815,0.01770127340007289,0.020678685350637258,0.021839179927986934,0.019171267285204838,0.020241913863479507,0.01872655441210528,0.01937465415291875,0.016963694356024756
Galician,0.021828957977001105,0.01934698755767218,0.017400907828963436,0.020234143592560268,0.018320830752049818,0.019938976722076736,0.021651223301807736,0.019344618779971796,0.01882830992984635,0.02194798204833569,0.020585475258747432,0.020296803297909363,0.021000122618418954,0,0.02083196292106736,0.020853893915081047,0.02177393958166386,0.02121817455770781,0.020356937684866516,0.021677006167715156,0.01762226479103546,0.019228199050304196,0.015414429228685573,0.01948805697825835,0.021820367927189915,0.018412792057934252,0.02178228894414969,0.021536062691204474,0.018431154345000474,0.018611652157667132,0.019824148502384474,0.020202400432962255,0.019290684998400684,0.01937703981446366,0.017608846545491667,0.020680187751653062,0.02177893259645492,0.01916078525328846,0.020196075914134824,0.018922332418898822,0.01945001694154433,0.016956520355151314
