,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,8.243642036730082,6.644421462807068,8.570197642656819,7.192470318238255,8.133909541893084,8.39159024628995,8.08290816603802,7.619520086981723,7.838021542876259,5.975323032376426,6.711473012883277,8.44584313993428,8.287336457370207,7.281649931882547,8.744904423870919,8.506776941885253,8.534622585937253,7.145114566397925,8.73477307768273,7.377169552478469,7.53083631459254,6.008411338851615,7.86813259381612,8.748346044073351,7.666891841071966,7.753452573901791,8.324946259252199,7.29429072765296,7.189341253057199,7.946009271210685,8.363865366672826,7.667816585540668,7.894434519584412,7.598866898232237,8.26802403267002,8.269068654222458,8.04407584551379,7.226477962320171,7.7345370208175,8.32839905383224,6.465136151679464
Albanian,8.243642036730082,0,6.857161088071314,8.128807866352263,7.408514103072979,8.061923825258978,8.083841592937198,7.877992307648729,7.802403606557027,8.581838381907229,7.970481245672671,7.958946243542092,8.079398905875273,7.826947864105844,8.296479911203814,8.487435664344076,8.19269307947336,8.06743487371381,8.089330317526052,8.439546554037438,7.277024480391569,7.85657366690734,6.082758054452985,7.806300548293751,8.096778740388174,7.504684464537128,8.617261114207698,7.969358742610272,7.310149938274199,7.232143483280073,7.869274101925854,8.095084857701007,7.766483946287096,7.900827288812097,6.980437288764647,8.193081971402405,8.202851320174656,7.948398663874413,8.192437700473901,7.71468343096152,8.01889715974759,6.820985452574966
Armenian,6.644421462807068,6.857161088071314,0,6.8920154767155415,6.57620423718949,6.749697777260153,6.8434787610561,6.670004246589174,6.70265873959931,6.933806421688744,6.772944894602629,6.757250373233574,6.889709426525722,6.71964041195183,6.760139466016625,6.900955636300655,7.030424240156954,7.025044755377726,6.466677996833624,6.837805558245661,6.66633168773499,6.837393005110898,5.808726935459745,6.682111759839795,6.926192509132883,6.932041476480444,6.759825046622583,6.728404831158533,6.325708903894211,6.6079456036986155,6.775998815960167,6.892771260814024,6.734208711253894,6.74056827053996,6.641417658466362,6.740612286549781,6.9883592132334,6.902997511924378,6.657818868264357,6.773600064336937,6.912470793737026,6.326304391998741
Bengali,8.570197642656819,8.128807866352263,6.8920154767155415,0,7.271099399044775,7.917759330405969,8.275375808381222,7.905680037646413,7.662085774017783,8.834380068783972,8.114404936598033,7.92573273953486,8.28331822448715,8.298376025404117,8.278549361123659,8.36273887440692,6.845109925636822,6.679847264176647,8.183194898857998,8.717391499932116,7.214492619608357,7.649721160073723,5.968801210612548,7.681837881067536,7.203503811417355,6.302814017619626,8.776192426397937,8.143271741731688,7.449167616994815,7.060677979641885,7.935270143558728,8.33561565044053,7.796147291671484,7.870459219909582,7.3121783453764415,8.159929469730832,8.142359260189309,7.8529539039475305,8.161805680457782,7.679008524222811,6.91819385892976,6.85912933910831
Bosnian,7.192470318238255,7.408514103072979,6.57620423718949,7.271099399044775,0,5.8701491610819225,7.377116397127819,4.773344380311882,5.943121320512569,7.466555873595682,7.177273890330104,7.278660246537483,7.331775422294783,7.255229731605209,7.322639071960839,7.502503707739323,7.435625433702456,7.535002201633312,6.99068553540259,7.667824392398405,6.7156000447459085,6.457169373861836,5.2899468556884885,5.212170810560807,7.472368985916889,7.236427653519286,7.351392191281957,7.4474374098526885,6.832999258231844,5.504321422383015,7.125568111472018,7.184696317803761,5.515050294436045,4.218529561640187,7.153031418408346,5.7031827143533,5.956265122104194,7.209739496150619,7.161470877758317,5.510027653909576,7.399687520660135,6.715609971176771
Bulgarian,8.133909541893084,8.061923825258978,6.749697777260153,7.917759330405969,5.8701491610819225,0,7.942519076169344,6.153435761645678,6.616013739553499,8.48519378859716,7.784032184831236,7.679987322177181,8.185985773814155,7.893253209786074,8.077928041544052,8.102978536851067,7.993640645735798,7.977290468216764,7.7688623158534575,8.432199787040261,6.917470464839004,7.395745131394462,5.647816000019576,5.83831844030648,8.159246578083314,7.579248359024371,8.549673159731537,8.222231399059456,7.351273330237295,6.14335728537823,7.726914201603447,8.004411157354195,6.5124772802891915,6.2723177042012415,7.497673427911345,6.918113176412632,6.998400194332089,7.635217741541683,7.939649474348553,6.54572179107485,7.901291572722436,6.437323126288878
Catalan,8.39159024628995,8.083841592937198,6.8434787610561,8.275375808381222,7.377116397127819,7.942519076169344,0,7.830236020926032,7.7834935151926175,8.666923785254621,7.998553236006169,7.658234276116949,7.401830882072438,6.7581343854387095,8.073821580525072,8.313542241868946,8.292814116371236,8.181932228655928,7.881253161768618,8.483266569624302,6.184392735274051,7.871088746279235,6.0292444715066456,7.776041021025261,8.378153281281087,7.71371681443572,8.541830863385332,8.51567407401484,7.393381627493721,7.055659286910956,6.630515002632921,7.572339141308705,7.7705843551822,7.913000157671102,7.543691247721593,8.156839015047519,8.335669895480924,6.4191689708710475,7.989276790287391,7.648322157696236,8.240412502678446,6.648850747017015
Croatian,8.08290816603802,7.877992307648729,6.670004246589174,7.905680037646413,4.773344380311882,6.153435761645678,7.830236020926032,0,6.263078507961456,8.295244644127939,7.782852248657783,7.75799054985731,8.052464372714756,7.80186737297443,8.106326729531027,8.051027997371852,7.934650299286843,7.983660231140806,7.709425100348223,8.435791971168856,6.804185125389667,7.278314133523965,5.325240299615461,5.907578166728202,7.996008817163069,7.503240170838614,8.332153230814086,8.046715992415917,7.097693171395986,5.824219243009773,7.852036557825652,7.658788262079819,6.305969449467235,5.074973433450545,7.3324057263949936,6.406949417298079,6.341109385085976,7.625934632534536,7.835245526088471,6.081905574047043,7.970564026497577,6.56113922962737
Czech,7.619520086981723,7.802403606557027,6.70265873959931,7.662085774017783,5.943121320512569,6.616013739553499,7.7834935151926175,6.263078507961456,0,7.747930192524961,7.470603888310734,7.1249464551790815,7.708665975236508,7.749697814032014,8.04486172392654,8.063356633661485,7.851961747820719,7.890388415372536,7.460551571774501,8.091521744394301,7.0807474870785,6.701608230202431,5.5685284576143275,6.4790816128072795,7.912611228123237,7.230279291499434,7.909570474190744,7.759136170373155,7.235742366383911,5.792451989741769,7.549804322273479,7.695683681505106,6.297576886147214,6.197999655276455,7.229982900289245,5.752774897065527,6.693982650567604,7.488013459008436,7.583505216727587,6.199537882487345,7.524544063189466,6.437067518368199
Danish,7.838021542876259,8.581838381907229,6.933806421688744,8.834380068783972,7.466555873595682,8.48519378859716,8.666923785254621,8.295244644127939,7.747930192524961,0,7.482327212419608,6.887225303518371,8.534270229442608,8.556031289023306,7.467876283941058,8.970044440644656,8.57865944549232,8.527196476976018,7.139067282576498,8.718876407054013,7.432271297782275,7.8325160366506585,6.188735164130907,8.212834530330179,8.90612766723034,7.750869769439419,7.705696332011523,8.716343599513369,7.459910300212721,7.251868754758804,7.994283513074621,8.657272656513145,8.057976691531227,8.35533152411998,7.840239215098333,8.532414437137872,8.513547095439138,8.177231443131417,7.208672257396982,7.968435754652104,8.376161015146653,6.46375768109795
Dutch,5.975323032376426,7.970481245672671,6.772944894602629,8.114404936598033,7.177273890330104,7.784032184831236,7.998553236006169,7.782852248657783,7.470603888310734,7.482327212419608,0,6.35881347027498,8.019627674303505,8.011763988604459,6.619023457935926,8.158358663780342,8.017649855796028,8.040615841020468,7.212470958207047,8.123138912407533,7.15357928090719,7.388272232984066,5.953896741837052,7.6001541367706915,8.18797404963014,7.5071136309409034,7.385918975640671,7.986493953894801,7.187901584416465,7.115819110133727,7.639675844670072,8.160136588347768,7.594368557693739,7.755231795197478,7.563985514411919,8.069950450396336,7.823184290872227,7.722217680885199,6.978314967152974,7.632559793666351,7.875208177555475,6.449484626737483
English,6.711473012883277,7.958946243542092,6.757250373233574,7.92573273953486,7.278660246537483,7.679987322177181,7.658234276116949,7.75799054985731,7.1249464551790815,6.887225303518371,6.35881347027498,0,7.598903481703722,7.71392159850956,6.903489425139844,8.34658807067873,7.7635635951937125,7.893954260176321,7.11636809607831,7.499973990483684,7.025118564908441,7.556772691735746,6.054340214935972,7.666275554860225,7.9264898579000285,7.376120936888538,7.113986692183583,7.9444184019768604,7.181704483630378,7.05436914345439,7.259955571415144,8.04237565989011,7.6026901215500535,7.7962470449405314,7.565265403582132,7.801415112539616,7.881956073912459,7.537284095303447,7.035905957720497,7.638407570099962,7.67850031355429,6.251538124879865
French,8.44584313993428,8.079398905875273,6.889709426525722,8.28331822448715,7.331775422294783,8.185985773814155,7.401830882072438,8.052464372714756,7.708665975236508,8.534270229442608,8.019627674303505,7.598903481703722,0,7.660498733086048,8.382367928228469,8.661045383332356,8.412864690835853,8.331163869219232,8.041620668398231,8.65181547262611,6.597373037074966,7.628888905237524,6.091921508351426,7.942366761737188,8.466509061610482,7.556359634992856,8.601947636605324,8.407357139958643,7.456223660280823,7.212779972948762,7.255957123391407,7.878908547849492,7.907255049428843,8.016816235881075,7.6997193364405225,8.409740091953017,8.187904419764621,7.260871651107269,8.125925742124092,7.752520090905424,8.02237131786576,6.435782676241075
