,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,6.62173123565715,5.546148814814436,7.373831034148452,5.954862232799638,7.026286771869693,7.74458411121914,6.8580860921347435,6.812041196392784,6.885345353136768,5.171733049439294,6.1874898297379275,7.336064393398131,6.98121390046287,6.332719035826901,7.623184737909823,7.7849945609684985,7.615824921192052,6.015559104867364,7.524712291218493,6.128720887571045,6.440819788792746,5.283298542439852,6.555116548811354,7.866503623905985,6.014311359232029,6.878579509657005,6.898686081934475,6.089004548931755,6.280116486506057,6.749677197742845,7.11252104127929,6.448446231029087,6.601648461771048,5.868178414852109,7.12743656595099,7.444136175774576,6.971118239098664,6.372912114168836,6.375245315315763,6.997870369611888,5.435817547609312
Albanian,6.62173123565715,0,5.553521487567888,6.8554264946447345,6.032416413997546,6.853110837517949,7.265081632623934,6.7002644868060255,6.8398654217509405,7.385284874062769,6.7703823195034945,7.153276730610813,6.940476031367154,6.49852463308316,7.08288529615869,7.3305828172382945,7.4327879917186905,7.378900942818356,6.617134729890646,7.011312676774762,6.158496541243626,6.521936456228076,5.2887439160518745,6.376047183674655,7.212725463597857,5.939395202496821,7.38491090362311,6.509932452452577,6.0317191100604,6.323718667020436,6.5452891455196305,6.954890014515407,6.345332746941141,6.517469745163549,5.354589240135105,6.931520678186439,7.291559273551849,6.784777911449671,6.911355019148399,6.272995277458945,6.6825546760512005,5.750256833612497
Armenian,5.546148814814436,5.553521487567888,0,5.854182958734557,5.490824138704856,5.750712985863751,6.032558843802156,5.598581766902439,5.83886574140891,5.976001983815892,5.783557331771249,5.9366043646270645,5.83360485110419,5.631784501065975,5.835726741887857,5.781290162819209,6.404036641865956,6.256235582410216,5.299299748297358,5.8135947568898345,5.516246809514504,5.735513715418796,5.048209907912539,5.553146258183589,6.171738183053463,5.564444493635196,5.760212096950384,5.56121392064326,5.346449019964415,5.681994503752206,5.6029243477922455,5.769393665359406,5.556128054980694,5.617446172249719,5.1757125299459315,5.720035708312138,6.1777902071769,5.780197608718319,5.723746925235681,5.549829163026766,5.757166009558081,5.191427805829758
Bengali,7.373831034148452,6.8554264946447345,5.854182958734557,0,6.214043004699733,7.0142658464598995,7.544079352795421,6.984892463208613,6.849390122044448,7.720068138856609,7.126161366854625,7.148712385482477,7.379599391414232,7.139601912774499,7.258136660714128,7.258314047472025,6.486720254843608,6.225234971639703,7.0086559697978705,7.614045961458942,6.223241621884011,6.633931225305454,5.339349738726737,6.604750568377605,6.645590822577869,5.1531551935816315,7.634416465454169,7.100700175379355,6.402814581665375,6.260215444223083,6.828096474848814,7.145024037142057,6.7118115253327915,6.814591716563492,5.943021249156148,7.128665092453636,7.444375646270727,6.902877147803333,7.084289781077576,6.505837727990244,5.937754708063088,5.8379061871470235
Bosnian,5.954862232799638,6.032416413997546,5.490824138704856,6.214043004699733,0,4.939307554703561,6.5337499242598005,3.9552805832725957,5.069581940576638,6.270617163223873,6.042823574867283,6.330294053931537,6.115071430271627,6.092447071038061,6.0819912639601315,6.434016376555427,6.753056955271923,6.680712236119833,5.822455925441832,6.448234743918941,5.594791757929957,5.502282496388355,4.703720578081005,4.219168465328606,6.601113837100389,5.633804864320803,6.170533105227376,6.161602139508068,5.7885158288235585,4.762177661509489,5.896039459905822,6.03835222368502,4.534033409702546,3.4106691737494916,5.698656213365753,4.804407302197624,5.137967027968053,6.0451350664800145,6.103342100656887,4.528315973904968,6.112696222318341,5.586099074467774
Bulgarian,7.026286771869693,6.853110837517949,5.750712985863751,7.0142658464598995,4.939307554703561,0,7.282510094663357,5.248679920303588,5.902165455590208,7.449831637923501,6.813119414363176,6.973056826977078,7.154402936231568,6.886419705766378,7.087838889155878,7.134866325751394,7.5814592652538275,7.4080782873450275,6.638720500590101,7.409808662829792,5.786930790507678,6.453623967396907,5.035473373462458,4.915710545283432,7.611000902797048,6.231118727402053,7.436114939619348,7.0275511561300865,6.3848116293849895,5.4071412398416125,6.703719297741432,6.876622688003251,5.5104691459286235,5.336480682840811,6.096793315674148,6.01484341212945,6.221501042903838,6.620610420039607,6.928792320001051,5.499001812608316,6.798626262757112,5.461118484916112
Catalan,7.74458411121914,7.265081632623934,6.032558843802156,7.544079352795421,6.5337499242598005,7.282510094663357,0,7.095386413215246,7.170552056943061,7.942429177828553,7.276863711552099,7.22588855590036,6.9876399536467835,6.2325483366596925,7.385914354626134,7.439241939739765,8.013310886544442,7.778521852647274,7.087430758184206,7.835243152242937,5.39405231854372,7.150408619270466,5.543705010176311,6.904239091256264,7.959322709153421,6.598520821301295,7.836353360783719,7.73820260267741,6.733757369064865,6.538432244626912,6.015932300440581,6.620222414321189,6.946075159533108,7.12355716302533,6.448418050669905,7.388317438981135,7.728146737734383,5.73276201801578,7.304804067081617,6.6859224364188306,7.408128560014963,5.912480165671794
Croatian,6.8580860921347435,6.7002644868060255,5.598581766902439,6.984892463208613,3.9552805832725957,5.248679920303588,7.095386413215246,0,5.503572860480704,7.115670597125831,6.701321787109086,6.920898915623621,6.904612967222894,6.754815143238437,6.92114284129152,7.012872391292901,7.431358488204596,7.4330967504646654,6.60608544104466,7.2249961064882795,5.758968776264675,6.466233197924421,4.899723558552929,4.943325047678699,7.284989484955043,6.146864118523654,7.1836302173897915,6.793334467906611,6.225756683951888,5.132800608119291,6.619607690845635,6.609685141842958,5.3025099123019315,4.208377728196356,6.0446826018219975,5.399227858931402,5.376216422702681,6.45938777210885,6.83933431502808,5.093023210870071,6.846935317015681,5.530457711053516
Czech,6.812041196392784,6.8398654217509405,5.83886574140891,6.849390122044448,5.069581940576638,5.902165455590208,7.170552056943061,5.503572860480704,0,7.017191421275147,6.682919535953905,6.7701387287129755,6.967708241251912,6.906360914010929,7.047154934033269,7.241705285475325,7.535581124509512,7.507112124154804,6.560824698456127,7.2298408022581135,6.077632102061174,6.19719965247881,5.159958172550592,5.6311382584988925,7.549016910283519,6.056989929592612,7.098026955648914,6.859043638434714,6.290323130999077,5.11990750902342,6.60917416257517,6.882704534237051,5.425741356209324,5.404982505508347,6.107439170135267,4.880118511661607,6.106275901337408,6.587740525820706,6.783011297258076,5.186659646685521,6.648879220680906,5.58375856405424
Danish,6.885345353136768,7.385284874062769,5.976001983815892,7.720068138856609,6.270617163223873,7.449831637923501,7.942429177828553,7.115670597125831,7.017191421275147,0,6.564479795658275,6.4156368237843875,7.541584550658872,7.49173794628204,6.478246151702079,7.68511095301329,7.98474061935484,7.802702195045698,6.144916763429691,7.85459038622259,6.15936722731029,6.89006865658557,5.541836288177522,6.9584358744466375,8.113413606624796,6.210180254612394,6.653803729418782,7.5797345773771365,6.593632004577221,6.410216054560345,6.927310998132625,7.311864748621796,6.834951983612985,7.079150056992298,6.444162600354483,7.343740927689814,7.6016910983205435,7.059838147422973,6.281118237017864,6.656106694478563,7.211067397390076,5.519690416173835
