,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,7.203835120336504,5.942134046665529,8.064427379756436,6.560057575234867,7.533130409709911,8.147736140638811,7.531198358191161,7.4759882727376485,7.82769201678062,5.844004951087302,6.887161848131991,7.950514363112785,7.522891608186867,7.030903757626321,8.243945070527301,8.392801796945424,8.332744147900291,6.429509946654951,8.258112783651917,6.686399023772036,7.340817562808119,5.7679410759926215,7.109484559510323,8.52657686624183,6.678740966833185,7.410781352209674,7.487661515887159,6.537812880948116,7.020999789099466,7.435048474738139,7.638414864282586,7.002255777330723,7.209379431928232,6.475961231517452,7.7963684929159,7.98459051813839,7.447309734132629,6.850819328931169,6.964036548502815,7.800421669328313,6.041724082991375
Albanian,7.203835120336504,0,6.1092361879312636,7.485885809396535,6.804503143009556,7.4340384483622834,7.731645446871166,7.392096923301961,7.593939256893133,8.482841090476304,7.571271480798984,7.998894717139983,7.582923251773873,7.057336305707625,8.005573518508234,8.070814975758244,7.948506247305828,7.967127902780624,7.278437131324704,7.787430743031394,6.781192238153585,7.506884842759176,5.790149684847685,7.034185492669885,7.735329198886369,6.664850609997284,8.126235086726389,7.079075607222046,6.540744101478732,7.094163944189133,7.3420161047554755,7.629233933845954,7.028915695436135,7.162659239406918,5.829207656666585,7.700264364682401,7.951331817572449,7.303585091628267,7.521061239187896,6.903246583784269,7.381274873547304,6.428672904109711
Armenian,5.942134046665529,6.1092361879312636,0,6.47030363699424,5.949701815051131,6.232592062349585,6.580953496916888,6.17684145645956,6.446631441446839,6.7878743990571735,6.464290896376328,6.689061282087333,6.347234588753598,6.202048181634987,6.504547188811539,6.251282751546773,7.008546849028301,6.867555693507731,5.716235549452963,6.351749217844746,6.059119198098523,6.409075320933854,5.531017351890949,6.1092076712326735,6.748237214293273,6.236434800215181,6.347127339143817,6.010855270782932,5.736502112239442,6.348392080745539,6.309897958558361,6.342080910901925,6.04798483504868,6.1556168227373185,5.720071680964031,6.30257198278701,6.693472827071423,6.384749604640689,6.30943792086196,6.088024200701772,6.447414542396967,5.907464953662943
Bengali,8.064427379756436,7.485885809396535,6.47030363699424,0,6.675060913497752,7.235374819340308,7.818213514742829,7.337664430136058,7.240264484939151,8.288188342916985,7.626864141669133,7.631305346241966,7.769408553045508,7.576005781932708,7.667720940325715,7.745338714929039,6.681892469971861,6.513955739826846,7.46210474681195,8.261250564010403,6.454390175387235,7.274294255213723,5.702329732748206,6.9090345411948615,6.929936882957178,5.606384904107847,8.307012006833668,7.552420538688772,6.813987708609416,6.622826348627881,7.392033829411318,7.417898064471301,7.070208025253831,7.185017261854379,6.42693058468438,7.492082416761588,7.8474101509882805,7.237010204246338,7.445910900390336,6.84426267151515,6.285545323952762,6.138110414565701
Bosnian,6.560057575234867,6.804503143009556,5.949701815051131,6.675060913497752,0,5.345426482104486,6.94190404026767,4.493360160096957,5.675206439150875,6.892905696133297,6.7349868189076645,6.9178576326708665,6.528772037134537,6.6377366644290134,6.718423735096158,6.88706247183513,7.312750380699796,7.142844370836246,6.335989014589666,7.224402789999654,5.917729429592196,6.084519778535863,5.1809693086127195,4.685218453919395,7.121433580361131,6.0578315525049256,6.707894104483987,6.726536268605537,6.381563532582067,5.235965175172874,6.443207142748186,6.372956451067174,4.909491486207745,3.7543156181278423,6.314876790774511,5.235129522111384,5.549733039044578,6.571434511144671,6.638407631302466,4.957642433426131,6.586581812428204,6.0307754013443
Bulgarian,7.533130409709911,7.4340384483622834,6.232592062349585,7.235374819340308,5.345426482104486,0,7.366365482820067,5.38975326010405,6.224454697053952,7.871359904574283,7.252648677322722,7.299893611033907,7.4388495029536355,7.155461830822901,7.518608124165375,7.539397593371531,7.740348106239274,7.61324204164006,6.991676556599308,7.847708955642283,6.024337828528069,7.079315059972448,5.363549594098311,5.019945916522287,7.684697665184165,6.815182763601507,7.9127643941378905,7.349346584936734,6.757807177249132,5.825248305309989,7.112601890073504,7.143493061411704,5.748182317216474,5.548510418591407,6.627986709997795,6.297754726203116,6.429852800377438,6.8133196131539515,7.188009388844066,5.647192343724139,7.028150090037229,5.704788605568785
Catalan,8.147736140638811,7.731645446871166,6.580953496916888,7.818213514742829,6.94190404026767,7.366365482820067,0,7.273349369698872,7.468876025907451,8.411559800711183,7.620970700788363,7.558656578112538,7.151962894089445,6.449428303359346,7.812883729685819,7.85796285285719,8.18346576577104,8.128831433098336,7.387135545112805,8.167568481254913,5.709036462734857,7.686752053953005,5.794851350263169,7.046774034049519,8.096221349220126,7.18281044761036,8.152850297630424,8.077547896108197,7.05574200993653,6.856109456989288,6.284117888727955,6.891206572232856,7.17986844145156,7.392062682228358,6.911502871077871,7.583670115805639,7.923537388738729,5.842752491891729,7.578666788954905,6.920104256778222,7.736793970752439,6.205938470128729
Croatian,7.531198358191161,7.392096923301961,6.17684145645956,7.337664430136058,4.493360160096957,5.38975326010405,7.273349369698872,0,5.927330668150333,7.699264101794846,7.28131844941298,7.40385291127588,7.26367103038904,7.1081184387591865,7.439367649365582,7.412571210739788,7.783577719012716,7.738816978200775,7.050796670718127,7.8406388823731685,5.998473980748293,7.156159710362527,5.296101405483683,5.22183740253819,7.5945989209392915,6.866294199079409,7.717673464653071,7.3068650707872544,6.645873538113133,5.520128043914364,7.156183920923011,6.868961576271343,5.701440011156937,4.575798341723005,6.601733730602023,5.7869868671089515,5.722072185512343,6.789041818735884,7.162287436460976,5.384076773982542,7.20774064279132,5.891931418189956
Czech,7.4759882727376485,7.593939256893133,6.446631441446839,7.240264484939151,5.675206439150875,6.224454697053952,7.468876025907451,5.927330668150333,0,7.5564174581907055,7.160080282758983,7.277639972227885,7.448188115433433,7.358343438852192,7.553091976532159,7.666469596745471,7.918816388289688,7.929994474930117,6.957271604001474,7.9717519262033845,6.442419411829336,7.035359947551245,5.631488885123248,5.991858364329758,7.915378605154765,6.573943512555417,7.726494510411656,7.355419937482299,6.835630601030784,5.649572344862295,7.13734558183782,7.284942020901937,5.822661749439473,5.790008188675198,6.8270086224435,5.317464733437349,6.410563433415146,6.9942028996898395,7.118643234899359,5.554595221990727,7.136396830466231,5.990068095989884
Danish,7.82769201678062,8.482841090476304,6.7878743990571735,8.288188342916985,6.892905696133297,7.871359904574283,8.411559800711183,7.699264101794846,7.5564174581907055,0,7.178923094050374,6.716398452720974,8.109207146018903,8.244334582813405,6.927114658886156,8.329147948969888,8.527153852899097,8.394189952235514,6.778131741355479,8.706486017985137,6.505685031943009,7.8387058762889685,6.034603574545867,7.556006920786264,8.689357768160974,6.863582444463764,7.242759930061873,8.486786368939487,7.280325444579933,6.973909155046802,7.5677972280187955,7.749513880030666,7.474597622186017,7.7290846079186215,7.479276497427163,7.899349558354955,8.134652608407244,7.548477916956972,6.7314257579562105,7.190085434397466,7.848192186611886,5.855331437873282
