,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.1587628711473624,0.11101277341206403,0.16300621729033898,0.12186060570875878,0.14714660376866762,0.15455711469741312,0.13743456572115775,0.13074128329094792,0.13735700295462538,0.11041100084141059,0.1302769786197374,0.15074822735731666,0.1509808009769931,0.143776529132079,0.15637915186381304,0.1696768723709871,0.16210903333420826,0.11809586716719205,0.15850976848530404,0.1291388985210954,0.13625760254146627,0.10867408203262405,0.14236736452154142,0.1646080913865498,0.13590441349633542,0.130300260414573,0.15166137533741347,0.13500501542439788,0.13423163748114314,0.14582754854740637,0.14545787414710765,0.13832969216471663,0.13948479947495046,0.15380621267858927,0.14148370645594702,0.14929807253829214,0.1433509494646716,0.13089777228676142,0.13390326281687914,0.15453999644300376,0.11574455554966147
Albanian,0.1587628711473624,0,0.12258735152789635,0.15017190801314398,0.14043983751254804,0.15184575144212786,0.1663892904210098,0.14714582361621875,0.14213353604146137,0.17447644158297346,0.16118455404593876,0.1728163947974869,0.15124247749333578,0.13898782053690018,0.17400772909678197,0.16401081375843793,0.18013150814384807,0.1600117798605831,0.15141988328852954,0.1603846755681763,0.13202105386895757,0.16002277112557892,0.11833996792462832,0.1466076567930441,0.16402348043438147,0.12464704586510564,0.1564475210118739,0.14821749715483093,0.1344891382856629,0.15108206261180834,0.1497220359986561,0.14364433207303465,0.15498821899224452,0.14259279289978039,0.11781944394296827,0.1550468376623697,0.16712912052186923,0.13785167780909005,0.14946138731726596,0.13381568728908866,0.13674011804241465,0.12736000709836656
Armenian,0.11101277341206403,0.12258735152789635,0,0.1283320703133491,0.11690830145052927,0.11736637429261303,0.12636719835097324,0.11593750265522577,0.10732633910455552,0.12117720066626538,0.11863770444268927,0.12706913162804978,0.11702350910953427,0.11676943116787987,0.12145218426723912,0.11629391029607537,0.1330234749763782,0.12666714592796466,0.10621458085846455,0.11550323499235399,0.11961504651557249,0.12344514711751638,0.10250395651843981,0.11902372767913404,0.1256267276799295,0.1231210166335212,0.11431363182226278,0.11466653671644503,0.10864465405635758,0.1318608577394889,0.12639891168917677,0.1184087474804246,0.1192518745757199,0.1188529006027948,0.13005533893384869,0.11588774949824203,0.1272091410041682,0.12141857868034328,0.11186194101503977,0.11450279241342194,0.11741287774498702,0.11054834427421632
Bengali,0.16300621729033898,0.15017190801314398,0.1283320703133491,0,0.1348856482262299,0.14722805557555546,0.16132802637878688,0.14202350163248417,0.13804025800171474,0.17677650389040014,0.1608087355505549,0.16757922851029075,0.15178597057001406,0.15164433121263093,0.17296795397097603,0.15918830675312465,0.1472375223790541,0.13334533026222248,0.15392780342147094,0.1723559422706983,0.1297001440750316,0.1529309840774232,0.11727943240100835,0.1432149795300405,0.1396265896194844,0.11061223475914952,0.16639724689595875,0.15361849044263973,0.14262717293475669,0.14469517436584312,0.15181063814286963,0.14741450110686125,0.1523799861757329,0.14573872743167646,0.13896031522666025,0.1531221491474102,0.1627191062607834,0.14394790437711014,0.1540347446310102,0.1372609356812652,0.13101918130107312,0.12853315370173993
Bosnian,0.12186060570875878,0.14043983751254804,0.11690830145052927,0.1348856482262299,0,0.09865692355115976,0.12968520023142308,0.09016359990939421,0.09622414225322494,0.12858851185102013,0.13467603312491808,0.13492971029155063,0.12328253933846763,0.12769989915706254,0.14619799762007138,0.1333402352371142,0.14526600066383494,0.1399951467059232,0.11502527896717497,0.1355141871879517,0.11898643204734816,0.12211707610652368,0.10328273109802454,0.08993966577691942,0.13687779619898963,0.13256246078687403,0.12349987022355359,0.12936409296115872,0.12237316070815202,0.10268201245783416,0.1281921352102814,0.1266645813276576,0.09764472198087286,0.07399832511740838,0.15082234127267777,0.0971604780451894,0.10918018115034248,0.1304619886446914,0.12295466274148154,0.0971330110219341,0.13296318658964024,0.11365858014846308
Bulgarian,0.14714660376866762,0.15184575144212786,0.11736637429261303,0.14722805557555546,0.09865692355115976,0,0.1494662283519952,0.09781288097030809,0.10912667686820754,0.14578276508726648,0.15176147342820276,0.14717230931744793,0.13638261233235086,0.1394936677469607,0.16436422753429725,0.14477984646305012,0.1646889059388352,0.15366418267812074,0.1343928202373061,0.15142042873445732,0.11666752021804423,0.14225129628960412,0.10745225827890886,0.10354861757577331,0.1543263618683275,0.12939894089250237,0.14601801661108313,0.1454185285947394,0.13340220254024335,0.12181988878146195,0.1451236193457768,0.13633104700294582,0.12077362369019695,0.1108659172449481,0.14501755925077842,0.12008595434383748,0.12055090635061799,0.1319499215347387,0.13624347697910077,0.1086016578972724,0.13832644086360835,0.10452455032277787
Catalan,0.15455711469741312,0.1663892904210098,0.12636719835097324,0.16132802637878688,0.12968520023142308,0.1494662283519952,0,0.13644547594388504,0.1334384400061266,0.17073497537588112,0.15739285669023437,0.15995074719233018,0.14278269741611022,0.13195580362964568,0.1722339828558815,0.15911347946276744,0.1716645987701498,0.16653995211440767,0.14482995291401646,0.16111618744779488,0.11032194269907256,0.14839437443984477,0.11137510752060015,0.14414553072199326,0.16531803536661666,0.14000045512982512,0.16520714489874716,0.16018576630669643,0.14148843158891425,0.13759602785044034,0.1279231183917843,0.13546617189529664,0.14519317326395262,0.14455895979418826,0.15856443459152794,0.14517111427609894,0.15728211985265786,0.11742683007667985,0.15554358637088447,0.1375793809644477,0.1571234410059609,0.12057059938544516
Croatian,0.13743456572115775,0.14714582361621875,0.11593750265522577,0.14202350163248417,0.09016359990939421,0.09781288097030809,0.13644547594388504,0,0.10088337972841023,0.1376222926293742,0.14656958092178582,0.1407440561312036,0.13038340930233303,0.12937020739973135,0.16258839722825907,0.14296221238881074,0.1611874435182875,0.15278553123513547,0.1303957717039134,0.1440391554794043,0.11171868819138105,0.13704002309650762,0.10610214602325999,0.10466470238571712,0.14958588304768153,0.12705027219726137,0.13523935198425532,0.1381427719323456,0.12781509290681375,0.10868457220785148,0.1337524540230762,0.12958752198140128,0.11335834160491942,0.09726838462320725,0.14175951929673056,0.10443156320919321,0.11041467452859192,0.12827671720044498,0.1284619087539022,0.10841025580261397,0.13441281968962457,0.10508800763972016
Czech,0.13074128329094792,0.14213353604146137,0.10732633910455552,0.13804025800171474,0.09622414225322494,0.10912667686820754,0.1334384400061266,0.10088337972841023,0,0.14153663329497437,0.13720556021852123,0.14157375279248724,0.128879449248765,0.12774512126510948,0.15421987570648285,0.13739206492584832,0.1487293464364282,0.14181712898964774,0.12058625586356349,0.14143925379232136,0.11551408102175581,0.12548859489828917,0.10272401290706881,0.1087567854606957,0.14065693953147335,0.12135151449233121,0.13133423625634982,0.1345066248043785,0.12653870557349672,0.10764752499450708,0.13127679667258182,0.1279771204292909,0.10824728969728321,0.10207038416946958,0.13880302397566216,0.09154010722044681,0.11745505217196296,0.12425096952088358,0.12911485560233132,0.09991088281126717,0.12707548643762703,0.10713711188741973
Danish,0.13735700295462538,0.17447644158297346,0.12117720066626538,0.17677650389040014,0.12858851185102013,0.14578276508726648,0.17073497537588112,0.1376222926293742,0.14153663329497437,0,0.14341765217063535,0.12522934834570723,0.1584950091392293,0.1598357243609796,0.14380629027970437,0.16191525108947227,0.18937950680742122,0.17638361079545334,0.11691011590456696,0.16162409088785357,0.12636386429283605,0.15362126766749887,0.11881285986918674,0.15261023357415648,0.17914221743982764,0.1460229040881668,0.1271229210237748,0.17196237433215758,0.1389955582701264,0.14298951018854889,0.1567157552653102,0.1567837196993401,0.15189339244328717,0.14894173684871256,0.16839553035674826,0.15480702934333773,0.15202713836271373,0.14942093194345082,0.1266466336838066,0.1450125204810937,0.1624149960308976,0.10858193538558086
Dutch,0.11041100084141059,0.16118455404593876,0.11863770444268927,0.1608087355505549,0.13467603312491808,0.15176147342820276,0.15739285669023437,0.14656958092178582,0.13720556021852123,0.14341765217063535,0,0.13402528075116935,0.15551303552681633,0.15417442913479795,0.12646365097803522,0.15150607292129906,0.16840334976649396,0.1619448025521638,0.12344500759988629,0.16087069089316788,0.1341711389898954,0.14773748493913696,0.11478689717289758,0.14931259376120798,0.16334439399860165,0.14439063739009297,0.13737767112537316,0.1601197904448605,0.13988245896659157,0.14394494123042548,0.15272581211516964,0.15061669046707274,0.14914294302864575,0.14716726906810865,0.15978644684195686,0.15218305894414205,0.15287745239012415,0.1489663949383547,0.1330480821153496,0.14223541599237352,0.15609977273726816,0.12371460928791983
English,0.1302769786197374,0.1728163947974869,0.12706913162804978,0.16757922851029075,0.13492971029155063,0.14717230931744793,0.15995074719233018,0.1407440561312036,0.14157375279248724,0.12522934834570723,0.13402528075116935,0,0.1500995763564907,0.15827049231179485,0.14295492370950066,0.16052638305066003,0.18075972316961758,0.1717619681719487,0.12588003673901954,0.1554800429267631,0.1278688308241445,0.15603148668394473,0.12280345550999892,0.15357844645932667,0.17338301268715464,0.15423056342746946,0.1322901468189967,0.1658819613294561,0.14316767913922643,0.1427454046761674,0.1530204252556187,0.15332048439858526,0.14779850661599597,0.1535896376708907,0.17164282677014087,0.1490695139848989,0.14925168308824224,0.15543383402077135,0.13132384757689106,0.14546694502834925,0.16600172268934235,0.11927046980621249
French,0.15074822735731666,0.15124247749333578,0.11702350910953427,0.15178597057001406,0.12328253933846763,0.13638261233235086,0.14278269741611022,0.13038340930233303,0.128879449248765,0.1584950091392293,0.15551303552681633,0.1500995763564907,0,0.13677912252943367,0.16843274692175322,0.15289851173237176,0.16984495261854213,0.16077517221906132,0.13819896628368575,0.15857858467334343,0.10997300619995191,0.14403850313324504,0.11304804273355414,0.1362847276495115,0.1579065129701972,0.13080064647227663,0.1509336707719406,0.15148686890464225,0.13558212763648678,0.13220252239854424,0.1362915941102688,0.12899053294095134,0.1385871815675495,0.13783416051537814,0.15127549844770197,0.14129038646106074,0.14910276941860331,0.12827006770283583,0.14405558558122494,0.12924620250178223,0.14640382181844067,0.11561082052637964
Galician,0.1509808009769931,0.13898782053690018,0.11676943116787987,0.15164433121263093,0.12769989915706254,0.1394936677469607,0.13195580362964568,0.12937020739973135,0.12774512126510948,0.1598357243609796,0.15417442913479795,0.15827049231179485,0.13677912252943367,0,0.16833152304284593,0.1536592569837959,0.1718328254012216,0.1596631152556089,0.13970800216868348,0.15307836759847246,0.10670194813434036,0.1565012686192333,0.11397594959528788,0.13845008907134385,0.16387033614664168,0.11967438914202788,0.15184951521061865,0.1470051871886938,0.13195390945508423,0.14708432343259295,0.11188335994072257,0.13104453247046055,0.1491771251096592,0.13839087655627424,0.12540837790067275,0.14553435255171374,0.15683324322030928,0.09115202268573808,0.14129092794852977,0.130973672415806,0.13765957088090824,0.11097130938386167
German,0.143776529132079,0.17400772909678197,0.12145218426723912,0.17296795397097603,0.14619799762007138,0.16436422753429725,0.1722339828558815,0.16258839722825907,0.15421987570648285,0.14380629027970437,0.12646365097803522,0.14295492370950066,0.16843274692175322,0.16833152304284593,0,0.1585829989769817,0.18286994027541026,0.17320297038285,0.13412985198493374,0.16664628809034232,0.14254951689152157,0.1650064946243863,0.12116708505609942,0.16440546505812573,0.17506538680423692,0.15496713376945184,0.15240571900411157,0.17097667491068008,0.14526443050907129,0.161446402028462,0.1733970398198456,0.16330907736041064,0.16800501033825724,0.16294830019860038,0.16691441300024143,0.1701083271452151,0.16719820106471864,0.1596412481506427,0.13780167932219042,0.15431917443135135,0.16477088116666014,0.12889921067007373
Greek,0.15637915186381304,0.16401081375843793,0.11629391029607537,0.15918830675312465,0.1333402352371142,0.14477984646305012,0.15911347946276744,0.14296221238881074,0.13739206492584832,0.16191525108947227,0.15150607292129906,0.16052638305066003,0.15289851173237176,0.1536592569837959,0.1585829989769817,0,0.16845405481879852,0.15940732975820984,0.13755626331020257,0.16569371607171277,0.13340893064860138,0.14196149444418102,0.10447831552586823,0.1496788514333115,0.16464769551051173,0.14003498506199288,0.16317095568168777,0.15629417299676332,0.134956763673317,0.15147322959074577,0.15920630069372055,0.14052274317475658,0.15279747839891641,0.14678501305000438,0.1567648157120101,0.15971140025713454,0.16092054083164758,0.14981455870311486,0.14549752767977556,0.13744037744290735,0.14997928452597079,0.12005876655184636
