,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,3.1889746889969093,2.9954892215675244,3.544995445658871,3.0451336718974553,3.3844352305511007,3.651866983209755,3.3141057063586135,3.231234627615324,3.1786044144998105,2.4400988256005127,2.957158540227297,3.45731503527344,3.3808150891454027,2.9963481128106015,3.513320294872683,3.7216120656755196,3.656554976593979,2.9816810988404443,3.514845055070319,3.109001769688289,3.1252027096300674,3.0913380356800904,3.263700816122364,3.6944849087007103,2.953317167601557,3.2547655328770726,3.3575316506005652,3.1667085756130473,3.2818945587430783,3.207212378749526,3.439621447474432,3.224485062749255,3.2799346976863673,2.9121690756836354,3.4127382985071035,3.6289701145359308,3.298621816662798,3.0783639151960074,3.2015172199500004,3.369226328330537,2.8392486434854947
Albanian,3.1889746889969093,0,2.797241041464941,3.258993964975023,2.8554469603828525,3.1368828574350722,3.3771802491303684,3.0682059302472853,3.087832463667566,3.37329859202486,3.1032457428489733,3.19734335260932,3.134859865511925,3.101382736171255,3.1923250648644164,3.2324811198536527,3.523995533956266,3.3858868897760765,3.0983663339476166,3.2816840148839175,2.8367910813259423,2.999198166159068,2.945980461223972,3.000860098795337,3.4108337628775227,2.7167970203933365,3.4499575414281534,3.1225037363171233,2.95429011680936,3.0832177187706065,2.9773885996649763,3.1608140741214403,2.986728904242556,3.084999398036446,2.629165734054338,3.189385993596489,3.365548655115804,3.0143143554357197,3.251268771142013,2.9404444246150527,3.125286357570059,2.7036941639098844
Armenian,2.9954892215675244,2.797241041464941,0,3.0258584088242126,2.6033070913504304,2.922258198836216,3.1849370646454056,2.8060987381343767,2.860488376028608,3.1734511389334488,2.91147215586889,2.95548096775049,3.1103390290503308,2.9921707609855064,2.9581391264363854,2.9868498790251152,3.2193839509883495,3.1474402647569986,2.75721915955345,3.1680441137393247,2.677351222235035,2.6601413242006324,2.5416561891909137,2.76918722357157,3.193018853353633,2.6484544282227973,3.150309823191925,2.958624781573766,2.6782382125244224,2.7779601475032742,2.8563764240822334,2.937886833097285,2.7533013973580114,2.7914999793594144,2.56543810422061,2.9382845763960352,3.156249489098483,2.912621981042084,2.928825897323179,2.7287971068366494,2.931545846267453,2.49537632549873
Bengali,3.544995445658871,3.258993964975023,3.0258584088242126,0,3.07006575610893,3.3074990031884193,3.6327285982118824,3.291794150164902,3.2807151317893366,3.7073418027204874,3.369504222203733,3.375249319530948,3.520727677702079,3.4454093250825797,3.4439901521626552,3.434346421193739,3.069949619519977,2.985382833622754,3.3404060143302923,3.695742483535759,3.0539090644738462,3.173965287557222,3.0186229163056337,3.1916054089567463,3.146569021665764,2.523611282902996,3.7131133158509906,3.3686362359346345,3.1500745071289136,3.1789241388313987,3.269741261959118,3.4548362854837222,3.243386591181755,3.2811085372086124,2.8795264038365906,3.415368190862148,3.5348062591684903,3.243426411447061,3.4088216872572388,3.177382497270891,2.862336846690551,2.956136230029233
Bosnian,3.0451336718974553,2.8554469603828525,2.6033070913504304,3.07006575610893,0,2.407706051035264,3.248304342439638,1.8683053487963992,2.4235615953178415,3.245687504003725,2.9508256714167893,3.0815098324711765,3.1642699887084005,3.046907274386565,3.00476590350427,3.119999245924733,3.2636962475047127,3.216245468282879,2.812149858699818,3.3695147996611383,2.5754725016556614,2.5645270919745475,2.4117267016549997,2.0829325841113366,3.296245746501379,2.6562811823195602,3.2300158619163235,3.077275185158435,2.691148635796756,2.314663673683008,2.9083622426311564,2.9010104038021987,2.2189680212640535,1.689634516161054,2.611079959011329,2.400710461920437,2.6207308137954746,2.876220640699693,2.970229407860855,2.1521923235643765,3.013738920561631,2.5979733114000854
Bulgarian,3.3844352305511007,3.1368828574350722,2.922258198836216,3.3074990031884193,2.407706051035264,0,3.491438828768223,2.5045874713877123,2.784632829578492,3.555353401334334,3.244561928267942,3.3538934894883705,3.448671483248733,3.284937143470467,3.3483126992415793,3.3479903100133033,3.48098478434124,3.3888618233397465,3.1971512074655344,3.586972622028659,2.866902653031013,3.034129767408747,2.8119874349065315,2.384096810121817,3.502467891591833,2.8535882427383568,3.623669357899736,3.371371633530103,3.0764335802969875,2.749827367217773,3.1758211320571537,3.231634834672202,2.690764738572506,2.5712830597953573,2.835282932889579,2.808543803930263,3.046134106412995,3.0891191160170703,3.309136053418236,2.67012788615826,3.1853997589470744,2.7945271957708786
Catalan,3.651866983209755,3.3771802491303684,3.1849370646454056,3.6327285982118824,3.248304342439638,3.491438828768223,0,3.4594968084986144,3.446395256112509,3.7485815194018226,3.486038122286177,3.467810353163914,3.292676798973554,2.9278997547497108,3.5478833626638524,3.5628561251555806,3.863866958606178,3.7289626086042307,3.451320987972178,3.7900233217194543,2.7884809665758175,3.3366785853922,3.158763354442356,3.406572481256049,3.799292346080892,3.1675397195368826,3.717158925738102,3.63988381999658,3.3475905822015233,3.3589218762863298,2.897054219341387,3.256736670912933,3.4160649478065634,3.4631116311620675,3.121224906443227,3.5294426926544347,3.714362724989734,2.787681595220055,3.521481739455855,3.3487472101247167,3.525214257931859,3.0654673274421578
Croatian,3.3141057063586135,3.0682059302472853,2.8060987381343767,3.291794150164902,1.8683053487963992,2.5045874713877123,3.4594968084986144,0,2.5674986450007857,3.4664763917998958,3.1660963729678353,3.281583231309439,3.3548261890371434,3.24460626331224,3.235150303147564,3.3079956060464806,3.444465330521801,3.4118357952216796,3.1392296967314506,3.5444174273648423,2.7718735039800086,2.891541244077847,2.6450287992949963,2.3863261722937668,3.4479195227876183,2.8188045277662037,3.5123468500709496,3.2724610840534094,2.9363725805228813,2.5269009749782354,3.135378410186147,3.108885822841081,2.5276473353751507,1.9954257555171175,2.7905030231101864,2.5692121930000504,2.7096941611115124,3.0779948303327513,3.2371795678200717,2.422925901301888,3.209356433430136,2.7513252969501307
Czech,3.231234627615324,3.087832463667566,2.860488376028608,3.2807151317893366,2.4235615953178415,2.784632829578492,3.446395256112509,2.5674986450007857,0,3.370896998702457,3.1574861377945123,3.220784799814535,3.2911518917620364,3.19001790789301,3.2862055838482096,3.3413969136238473,3.451446470128271,3.360515681330453,3.081558905184817,3.492039709913106,2.855469494330051,2.842628828627111,2.738046464188798,2.6783779369898095,3.470582849214678,2.794824650239419,3.4602881278951085,3.2125440246026344,2.949930417863009,2.506647028895633,3.113285493307473,3.12942156352154,2.6282544055653485,2.57744147338692,2.763351517375161,2.3109818226855046,3.008248106928423,3.034041370462736,3.2254635877919715,2.499030399124422,3.145531713523723,2.730359358114621
Danish,3.1786044144998105,3.37329859202486,3.1734511389334488,3.7073418027204874,3.245687504003725,3.555353401334334,3.7485815194018226,3.4664763917998958,3.370896998702457,0,3.1915308386945087,3.104549913854462,3.4988018246861885,3.43584649138048,3.13454061406072,3.673998964252672,3.849545778684817,3.778165186806578,3.001865615220268,3.5404592066353144,3.2325803579729846,3.42714838107147,3.2970904766287035,3.457281834433392,3.8106631034429292,3.0603823108084716,3.1259553149485466,3.490779042254595,3.28562224700562,3.416798190285826,3.3155567715072434,3.560225035611101,3.4185027932551173,3.488498560579192,3.0220064179731234,3.5205574335486682,3.7138256368882425,3.35215225866384,3.0603980109200526,3.329181717051501,3.4689545928743732,2.9280178091866698
