,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,3.420870657030133,3.1905496255203025,3.797194618493335,3.248516418516111,3.6176493687376783,3.856648245973068,3.55929356814231,3.4394763408057116,3.388771380808428,2.5750992301656805,3.1661725394487585,3.713089191486484,3.594309706917194,3.2226010880275306,3.7307228109641444,3.943856459162102,3.9396425058023588,3.1481122981444347,3.760253822673927,3.397831881818957,3.3695750137930855,3.3024459440351968,3.4767277081348893,3.9218884915801193,3.166785929664511,3.470548694617408,3.6045369972164054,3.3944886307931856,3.502843689174196,3.444369788706863,3.671417736360785,3.449229557909263,3.503394218922219,3.1160581039426467,3.639378533498193,3.8661674477037242,3.5315917995992407,3.253004789175922,3.4070937433518718,3.62219081960095,3.0736101888467706
Albanian,3.420870657030133,0,2.9878885937420288,3.492608400328686,3.0507615519069837,3.372738212089486,3.5834574899591938,3.289192557161313,3.304701113253438,3.645728405230784,3.3315072351674235,3.468922396225065,3.367387401510158,3.3186437074004234,3.449350580328938,3.4194248141334342,3.735932385493849,3.6410522729150063,3.3234564065890213,3.5235002405263187,3.0753699505939656,3.245705700011263,3.1547919592990143,3.208295692915731,3.6353642585756596,2.9397075728343967,3.742367930476838,3.3689529317965836,3.169784827327857,3.295920604007481,3.209863392369609,3.374339033029588,3.195593753519063,3.288841003213741,2.81356737370253,3.420206917969002,3.6117479057355424,3.2310167678935677,3.4613387828760787,3.1124731376533297,3.3843329936336484,2.9301268569459413
Armenian,3.1905496255203025,2.9878885937420288,0,3.2757369363054574,2.782895679015994,3.1598700080850923,3.408816481352071,3.0294577926120483,3.0658680412460417,3.4388750796618432,3.1389329424586716,3.1989825066739437,3.355804520647576,3.204791398516946,3.2047756587276437,3.1787004713159193,3.4409951460363777,3.400433628986123,2.9356283731504913,3.3857022170313247,2.925754495495142,2.8823696032308725,2.7335169924346423,2.965118037690801,3.4174135417015,2.884196645070465,3.4074668750323975,3.165049319249367,2.8601040344663633,3.0013974545565874,3.093759065535134,3.141817349738036,2.9499795523117345,2.9871141418371514,2.741520034545406,3.163448382188094,3.401986625223773,3.1361890624371895,3.132953312190641,2.9151346997353356,3.1753975240006005,2.7159339007232473
Bengali,3.797194618493335,3.492608400328686,3.2757369363054574,0,3.293017364220544,3.530170262689685,3.8571344502621514,3.507996652603835,3.510660860997215,3.981876275661175,3.6089118046465685,3.632824446301341,3.7829110046606806,3.683821301542513,3.7156954433770997,3.647593010487168,3.197588278435397,3.1583100211462396,3.6068494057705798,3.9526977908714342,3.2877475933373845,3.447514939334034,3.25829084091757,3.4237668844356675,3.3044410442743737,2.6500552920492217,4.026820851540958,3.5761326710962718,3.3754363640181673,3.3989224356538106,3.5191197387137376,3.684878911173332,3.5087945498935036,3.5109541083532183,3.0626735704499506,3.664189903146089,3.783627680334041,3.453541975885479,3.653534882303612,3.40023224772169,3.030843107691306,3.182141676357478
Bosnian,3.248516418516111,3.0507615519069837,2.782895679015994,3.293017364220544,0,2.555241911921934,3.4443729296113643,1.9779661085065774,2.5688117905598027,3.5164730438596856,3.175308633817019,3.3261159904872986,3.4169197928386272,3.2529136633589597,3.271377936128709,3.325707663278051,3.471285656951884,3.4589024011897602,2.9969089293108806,3.6204532512275605,2.820245677610922,2.758407461138243,2.5702841063287027,2.1655690374794703,3.504156445534224,2.895649842434705,3.4778452033663196,3.2987578763835117,2.883178642214195,2.458473630270481,3.1328755022215296,3.10255857105635,2.328573484325257,1.7186735187792723,2.794100491821931,2.5550352838565376,2.7922415097634388,3.1122911059577,3.1729196863480644,2.24991880265665,3.2600561307515226,2.822026436498911
Bulgarian,3.6176493687376783,3.372738212089486,3.1598700080850923,3.530170262689685,2.555241911921934,0,3.6891127064991815,2.5989891147283295,2.9461901607973773,3.8216610910839837,3.4645904139021604,3.574793672308285,3.711481025490151,3.5132428479062727,3.6032581240823562,3.556138664702289,3.6885379948297077,3.6384783077745086,3.4399140046308214,3.835697501708032,3.0649583877816604,3.289639259963618,3.0171708522464127,2.507862191234249,3.7123950067470606,3.062768215411031,3.9368588542507315,3.608009794066505,3.301367921461142,2.9266323594630896,3.415945204257501,3.4343696629569784,2.8797952789913426,2.7031633793344283,3.0235995588379208,2.9983020499719393,3.242200929203341,3.2889218005741445,3.5354752902696114,2.8244979213725205,3.422339517372248,2.9702859069418013
Catalan,3.856648245973068,3.5834574899591938,3.408816481352071,3.8571344502621514,3.4443729296113643,3.6891127064991815,0,3.6249470757813818,3.641203219758113,3.9973072288565104,3.7055306271998565,3.690353165256767,3.46753913016062,3.033222998279436,3.8159240657144347,3.7496953430054556,4.0708536998776435,3.9994142397744628,3.678758054916635,4.005107145818289,2.9616102033379117,3.5689136017455008,3.3674647243115747,3.59850735492313,4.011357902127852,3.362526698939436,3.984485107005452,3.843832769208219,3.575048879154759,3.5698460862987713,3.0340901740551924,3.414583085040637,3.6266678034196107,3.6643335158437047,3.301822010904623,3.7298606823569593,3.931768634633833,2.885161683365517,3.7407408267371283,3.536651867491422,3.7559183794550184,3.274406581402219
Croatian,3.55929356814231,3.289192557161313,3.0294577926120483,3.507996652603835,1.9779661085065774,2.5989891147283295,3.6249470757813818,0,2.7127916775324032,3.7416984118956083,3.373108452862395,3.51250054816479,3.599036034465814,3.4505622848668556,3.4946266871042426,3.4789777995102775,3.6514905830706956,3.6446136789717047,3.3654256804818274,3.7963635866812564,2.928724811658905,3.1362612093974587,2.827209404206532,2.5230004511341817,3.664608514335733,3.0247266725288595,3.823351874928292,3.5083377973961722,3.1437265704366797,2.667367893116658,3.3699695980387605,3.2785933592681284,2.719197762895175,2.0729017849091127,2.96715055446822,2.737560992296379,2.8623571788250364,3.256991750465009,3.440054401674623,2.568349838486898,3.419689912019233,2.9323198643637434
Czech,3.4394763408057116,3.304701113253438,3.0658680412460417,3.510660860997215,2.5688117905598027,2.9461901607973773,3.641203219758113,2.7127916775324032,0,3.640625290694142,3.3840672846798587,3.469196071209026,3.5423852320754423,3.3931820213819974,3.5848029340148546,3.5547351389610085,3.6389278540025694,3.6084303471242203,3.293953524551855,3.735127843652222,3.1045389444653098,3.069370858939858,2.9539433673779207,2.822970805430573,3.6749677313683113,3.0066595732529016,3.728642392323504,3.4460113444611626,3.187327228661804,2.6413880533440035,3.3380305412795543,3.3401479636301836,2.7733310674814895,2.721236380688971,2.952823899746142,2.395253530449255,3.2075427578920417,3.243347518687044,3.4468065426254686,2.626108275355416,3.3812593012008665,2.9516664848609495
Danish,3.388771380808428,3.645728405230784,3.4388750796618432,3.981876275661175,3.5164730438596856,3.8216610910839837,3.9973072288565104,3.7416984118956083,3.640625290694142,0,3.422723433019328,3.3157775530719444,3.789845209157775,3.6855895322136107,3.3324859134803932,3.9094120508876706,4.091694322846809,4.067386602694954,3.210270237655398,3.778807424079474,3.517310227208499,3.7739918497091858,3.5733858502187332,3.7427018683564075,4.058515743986583,3.2735751353688376,3.33092197969711,3.752166849060746,3.540963773462415,3.6881853176508,3.5944977329384686,3.819900189987352,3.7306852221508606,3.7660646641607975,3.2610311327193577,3.789007395962094,3.9987283772045648,3.6004794867806695,3.2279244608926545,3.6023881203006827,3.7364408621626795,3.162946881787428
Dutch,2.5750992301656805,3.3315072351674235,3.1389329424586716,3.6089118046465685,3.175308633817019,3.4645904139021604,3.7055306271998565,3.373108452862395,3.3840672846798587,3.422723433019328,0,2.9627444470509086,3.6440945136450016,3.552489457112815,2.8923304557321914,3.5363998738211495,3.716377861980971,3.6673079372024997,3.1406159924318007,3.7225917244183075,3.2461198780864122,3.271731091387919,3.1520002270196468,3.345424190187742,3.7132416729584596,3.080059343192872,3.4116522041927033,3.5185490547266265,3.2489005438025584,3.3758518299233304,3.3478171763002917,3.519440276121157,3.3945065079643206,3.400365958783353,3.0822685486731953,3.570459116371955,3.6985074774797484,3.371917206295815,3.104916437378309,3.323039777099826,3.4539254289982417,2.991632741832855
English,3.1661725394487585,3.468922396225065,3.1989825066739437,3.632824446301341,3.3261159904872986,3.574793672308285,3.690353165256767,3.51250054816479,3.469196071209026,3.3157775530719444,2.9627444470509086,0,3.6381813820597335,3.6169967915232974,3.187684661460452,3.707446811570808,3.723370827049342,3.831884375987849,3.219402518114188,3.6626589425714413,3.262294901711274,3.362925034929067,3.2404051802577425,3.513871073025548,3.7639657192919715,3.1385630285945822,3.443847032769463,3.6747200344375552,3.374441741581901,3.4486989471286735,3.3546413916367857,3.631042952140177,3.4863503775876357,3.5365096850295905,3.208118990117708,3.588076931488315,3.826512865930725,3.4228141576438103,3.224102601368773,3.4124617538561197,3.532925344702784,3.011781591140559
