,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.2231473794216213,0.2030085078664057,0.27339860081959094,0.21125447334568181,0.2372052755921545,0.2685345123648227,0.22242785622743314,0.21755607066782726,0.22516430855017078,0.17307991294124883,0.20710958112974542,0.23737411709096407,0.23501257389698282,0.21631003951811156,0.22406433941738538,0.27486678276187526,0.26549047588875335,0.20717068780716374,0.24757415687137918,0.20718423742267256,0.22608329409321992,0.23945762928419545,0.22755640543370384,0.2655227381251967,0.19904106636065988,0.23689805238474254,0.2287492587831168,0.2163918740391648,0.2214053780404349,0.22008989281465696,0.22850654165310597,0.21984753392587228,0.22893508475927457,0.19931148049887915,0.231708219204161,0.24334530691816145,0.21921095563032347,0.2209346659131725,0.21830874784461599,0.2345254643843981,0.18965467360871335
Albanian,0.2231473794216213,0,0.18676877785186566,0.24018319918616532,0.1936331517967949,0.20947818104970206,0.23359063362556617,0.19414515389287834,0.2002122044571352,0.22324926910243428,0.20509361401145598,0.21308975283740914,0.20221659125613323,0.20682872310380543,0.21834454011809812,0.19388568431993272,0.25066881622698445,0.2411163660611869,0.20909707550090936,0.21779655349754715,0.17906454531569252,0.21434464139230602,0.2265098904737931,0.20193427902792285,0.2342700679447428,0.17638604618933673,0.24194558403699537,0.20367995448686746,0.19650861196650649,0.20330901788522587,0.19206659287306094,0.2000093518345472,0.19933033214427967,0.20766066652569617,0.16891345190518037,0.20712064540981448,0.21629301201893858,0.18714640246003525,0.22042297852270712,0.1906357237709055,0.20751408584195252,0.17411618975124038
Armenian,0.2030085078664057,0.18676877785186566,0,0.22140058389937367,0.17582709059843588,0.19688467679752492,0.2214577602113721,0.18509230534904467,0.1900419842825302,0.21193028773047792,0.19527022311628423,0.1987378555397678,0.20601982705013336,0.19983756553559098,0.20117428976998247,0.18585569804175808,0.2276852705407447,0.2216594676684875,0.1833643423244858,0.2092089001107017,0.17602412053935906,0.18939325800642404,0.19596577565637716,0.18710465140700316,0.21812376819358573,0.17633130332331007,0.21742706799302244,0.19445913446777177,0.17842598513955057,0.18494442050055562,0.19142572689425721,0.19097418009619133,0.1827587358982054,0.188385706304021,0.17095079783343836,0.19288700271040776,0.2060936957318576,0.18911294270043214,0.20024771594921817,0.1801682703848958,0.19865804081885358,0.16473961082455196
Bengali,0.27339860081959094,0.24018319918616532,0.22140058389937367,0,0.22633776929083912,0.24445176580962927,0.273303192930572,0.2318353724540647,0.24140943071392215,0.269837709240537,0.2510774409477493,0.24893908772098958,0.26099528702238234,0.2554923404277353,0.2589706815262519,0.23567448951026354,0.24216703934621905,0.23797666266026454,0.2505152160958058,0.2746058356517524,0.2166079550517442,0.24718495128296497,0.24984402762221503,0.23624681931787686,0.24041399821831902,0.18295367899010379,0.2869341324917434,0.24676261651921882,0.23205190191463326,0.23141590732571624,0.24093348135825632,0.24273304747495486,0.23854787004144606,0.24247095618526193,0.2091765243061189,0.24623473814859967,0.25145368601640417,0.2316786275962138,0.25274494737536274,0.2278667863010818,0.21416056329330313,0.21257089373726748
Bosnian,0.21125447334568181,0.1936331517967949,0.17582709059843588,0.22633776929083912,0,0.16484518365770456,0.23023830737000794,0.1293819494606761,0.16001326195790086,0.2218563156634024,0.20006339817918767,0.2102319882341381,0.21219517102159552,0.2085168953549478,0.20799074223337052,0.19641806035885434,0.23056409867388244,0.2300609650476515,0.19048734609791756,0.2258791096577855,0.17413823344154322,0.1769625464184557,0.1807839118864419,0.13984587006779914,0.2279571739980434,0.1798605755805426,0.2281409419671146,0.2053981417768113,0.1792322856960567,0.15092161661833944,0.1962928414341916,0.19130570739545194,0.14491637973412974,0.11074713085837082,0.17477719973697445,0.15905168290972238,0.17235439512484269,0.1930055633706068,0.20620575783346232,0.13737035060033384,0.20751763463823397,0.17139630369823872
Bulgarian,0.2372052755921545,0.20947818104970206,0.19688467679752492,0.24445176580962927,0.16484518365770456,0,0.24655217717578784,0.15727892659490478,0.18639363011426938,0.23847416726343657,0.21770500689465574,0.22583710097552825,0.22723966970586892,0.22522562848839917,0.22931177316440085,0.20574459822726457,0.25251129277978235,0.24707616119339879,0.21853417132785088,0.23929050529393445,0.18222086158682196,0.21481550843326735,0.21766829158048176,0.16323929832385858,0.2459455760505484,0.1870114865096619,0.25861802735366,0.22435519576926827,0.2056865108705099,0.18157145375780628,0.210203921519285,0.20899445897058339,0.17895839527573487,0.17313085648214036,0.18554949403474746,0.18591605045101497,0.2001185465176574,0.19822534990574497,0.23031521146592382,0.17352388021138965,0.21536030923524777,0.18083650149310745
Catalan,0.2685345123648227,0.23359063362556617,0.2214577602113721,0.273303192930572,0.23023830737000794,0.24655217717578784,0,0.23334091242766614,0.23982508267137648,0.2654468037633343,0.24788981676285857,0.2465154520986953,0.2283801432620936,0.20728846688244218,0.256777679724442,0.23033549834946324,0.29152394837005263,0.28351241513734443,0.24776953898872822,0.26792927796944666,0.18727637051320584,0.24710424139508735,0.24572178715879772,0.24199505920789308,0.2762575261659862,0.21594752276712867,0.2704348572485459,0.25274552118641586,0.23493211186527768,0.23063218854071105,0.1997008091728463,0.2196048871273211,0.23703386572884436,0.24632536095631594,0.21695153153393776,0.24284096703667032,0.2555513808270472,0.1885990338293863,0.2531295401978398,0.228663293859735,0.25201944466091974,0.21042673969144207
Croatian,0.22242785622743314,0.19414515389287834,0.18509230534904467,0.2318353724540647,0.1293819494606761,0.15727892659490478,0.23334091242766614,0,0.16126931767173616,0.21911232440117345,0.20093518716260553,0.2109104870437082,0.20583275973871873,0.2095441183990772,0.2116526531853129,0.18935100770881344,0.24058361412083892,0.23914534246757305,0.20586781419467065,0.22340607119114744,0.16871107004694247,0.19666246398269144,0.20271577593301024,0.15821607088954523,0.23088025239057128,0.174239944737227,0.2398856769110712,0.20636833878926808,0.18836452260033495,0.16081468779741562,0.19521200915014153,0.19194109399008408,0.164511991411902,0.13202291632542354,0.17061007368086928,0.15986013683601258,0.16633093317323897,0.18477780476624744,0.21216792285399363,0.15059397355629606,0.20506714512617877,0.16874707039530834
Czech,0.21755607066782726,0.2002122044571352,0.1900419842825302,0.24140943071392215,0.16001326195790086,0.18639363011426938,0.23982508267137648,0.16126931767173616,0,0.221524880576002,0.20824123513841747,0.2129563884490599,0.20895359816028336,0.21211882335957444,0.22500522235857673,0.20180848524560419,0.2427122210375713,0.23880765865636439,0.20527631297940824,0.22751214456556187,0.1838115180538642,0.19357298807473675,0.20990791800608033,0.17911159746238792,0.23717751036713774,0.18124076527546307,0.24149605095646015,0.207377489778248,0.19462716565901184,0.16409049947451032,0.19960621912297463,0.20185457395291564,0.17045045907030346,0.17058763214389955,0.1757564739573611,0.14789883020118091,0.19150839771169317,0.19113390256322105,0.2209276272865943,0.15976929849455357,0.20987813198269778,0.17325491708585303
Danish,0.22516430855017078,0.22324926910243428,0.21193028773047792,0.269837709240537,0.2218563156634024,0.23847416726343657,0.2654468037633343,0.21911232440117345,0.221524880576002,0,0.2153186198804003,0.2064318824467964,0.22766970828140884,0.2315514270414406,0.2161222617527062,0.21776887452605692,0.28004113198417,0.26800971695976067,0.20309440590154673,0.23586952248183773,0.20850945729968026,0.24772461716295852,0.255944435409927,0.23610497128678426,0.26529933134255645,0.19548419068757894,0.22297227910442666,0.22995183457865995,0.21907114843530812,0.22734298757717564,0.21531746195401064,0.22995950933700324,0.22889045544834205,0.23638366420805254,0.1963009284786629,0.22828204181395909,0.24115942740572335,0.2070127930678014,0.21250277965385073,0.2183798320747311,0.22946480907303235,0.18798092469988917
Dutch,0.17307991294124883,0.20509361401145598,0.19527022311628423,0.2510774409477493,0.20006339817918767,0.21770500689465574,0.24788981676285857,0.20093518716260553,0.20824123513841747,0.2153186198804003,0,0.18627583695356942,0.22296719383429775,0.22404611864943935,0.1892599539638211,0.20219389813878247,0.2533779409220965,0.24592433053475485,0.20015540737132914,0.23313776901949274,0.1926288197324336,0.21385445305459,0.22524264025049462,0.2104680619451833,0.2435919836993341,0.18545523028217323,0.22329381054914543,0.21609933311986207,0.2006564323774247,0.21035243829258582,0.20473482730288148,0.21393170679083037,0.21101536053217282,0.21439647459899192,0.18868068269821783,0.21877962667964945,0.22262836681012088,0.19997750354117813,0.20092874893849932,0.20342120837399946,0.21621987200181142,0.17874130305896163
English,0.20710958112974542,0.21308975283740914,0.1987378555397678,0.24893908772098958,0.2102319882341381,0.22583710097552825,0.2465154520986953,0.2109104870437082,0.2129563884490599,0.2064318824467964,0.18627583695356942,0,0.22445779487248407,0.2240154302042139,0.20493724107917324,0.21553451957018338,0.25199349108010677,0.2531287291800268,0.19845297495334943,0.23227487613473707,0.19476042035262112,0.22251964827806242,0.23027432131260397,0.22031862008601724,0.24719931944789336,0.19043493673507514,0.22437515534041674,0.2265882687569099,0.20594850072309104,0.21442964071539705,0.20424838771813084,0.21998616707540217,0.2151575442289927,0.22386044012860765,0.19573685714082667,0.21990236641400146,0.2327679920172749,0.20394366000800396,0.20561219209068282,0.20883990020692564,0.22236976216881818,0.18283153780578884
French,0.23737411709096407,0.20221659125613323,0.20601982705013336,0.26099528702238234,0.21219517102159552,0.22723966970586892,0.2283801432620936,0.20583275973871873,0.20895359816028336,0.22766970828140884,0.22296719383429775,0.22445779487248407,0,0.1998462949019137,0.23607748915678822,0.20396639176965062,0.2664521221198495,0.25464929195190933,0.2255069822674535,0.2261218532301399,0.17729152777937027,0.23038853480685242,0.2473684755408512,0.22334014643608086,0.24626718462598057,0.18463608067403375,0.25392333153912766,0.2155624635631303,0.21284597596116805,0.21812961609050893,0.18845439382889975,0.2086557691128209,0.21910276850099838,0.22429654618811043,0.1853013210697723,0.21998580167617074,0.22930612690914656,0.17766150519890564,0.23780236904803023,0.2094539439484141,0.2203876173548887,0.1787807254339442
Galician,0.23501257389698282,0.20682872310380543,0.19983756553559098,0.2554923404277353,0.2085168953549478,0.22522562848839917,0.20728846688244218,0.2095441183990772,0.21211882335957444,0.2315514270414406,0.22404611864943935,0.2240154302042139,0.1998462949019137,0,0.2357295114412574,0.20759584734521438,0.26881014760815525,0.2574590264806281,0.21869226514421095,0.22855788271603472,0.1680493530676292,0.23007406708908568,0.24127783371855818,0.21805655132964233,0.2521907783133326,0.18578271703752078,0.2519863708036751,0.2183996645274279,0.2092523072200377,0.21470548624810468,0.1597652705518454,0.20174532279453672,0.21656881193443003,0.22472442507908483,0.18780195827368915,0.22019198413422547,0.2325612386626816,0.13983808403506676,0.22957573400535466,0.21016350073102041,0.22404215116551324,0.18403067365712825
