,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,2.990572987677236,2.79561011858653,3.3728550571675253,2.884994248573193,3.212154375876156,3.4127502903841043,3.1338186165566397,3.044616585696663,2.952602962899084,2.240062952704362,2.720949616367961,3.2907524120590717,3.14240460899594,2.887563888772998,3.3140856850054576,3.477493134501608,3.449343875374252,2.777494348722532,3.316779164626615,3.051855377218504,3.0129297393866414,3.012059915315133,3.0990277013145775,3.4359498123071317,2.8045594866839654,3.0372558840149297,3.1424753857653633,3.0147381278585565,3.1337390345171046,3.056327428901108,3.2777687195813003,3.0574775760408315,3.1163487183447347,2.721714081293313,3.2300459228194156,3.3803428346198006,3.1304315219688785,2.842488572744628,3.030689455015035,3.196802880240503,2.7293599301410625
Albanian,2.990572987677236,0,2.6222177014169765,3.079061904744475,2.685563693326184,2.9524534521804813,3.1486974026304484,2.8574278844466803,2.924663518190007,3.191748068349074,2.9552258990888487,3.0109614982342654,2.9503621125032136,2.8619121808900316,3.1056929926787076,3.008838738080508,3.2686904097873244,3.1580859246441095,2.927195504223905,3.0663095971160796,2.71344414921432,2.9359489048015597,2.867732801212716,2.8283019157879643,3.158013273754557,2.5768564179081315,3.29189653860248,2.9066584230310606,2.7716205915359016,2.950284028610214,2.839976150550824,2.963509634417469,2.8273328488096574,2.8881636941235254,2.4172090011195517,3.024170308111445,3.1641686818629933,2.8222369724753884,3.059681229860649,2.7326570001372583,2.9639835967428643,2.5867714651788756
Armenian,2.79561011858653,2.6222177014169765,0,2.8962382882403186,2.4641266578578853,2.784889011526734,2.995755572954873,2.6540412986054887,2.711894670247612,3.017601713692286,2.775439388889117,2.801051276093455,2.9621309849616813,2.7918309412238607,2.84896239445329,2.8115701087257645,3.011224838564284,2.95616307617717,2.5968902677679693,2.9837813352036,2.613604737039748,2.588946836243889,2.4856153655522126,2.6239956726391696,2.9854958673365015,2.551773501528385,3.005859405032133,2.761175413372311,2.5159836688731527,2.6950348997334794,2.7470121816653505,2.7795402862164624,2.6344907609932715,2.6425077306889113,2.4010573050378783,2.805849468548873,2.9819114923514225,2.7611425405266905,2.76265034535683,2.581215169283029,2.791985638161591,2.401340987552813
Bengali,3.3728550571675253,3.079061904744475,2.8962382882403186,0,2.9569628914045425,3.160068704885721,3.4528233910289905,3.1264511156961445,3.172120879873056,3.5639092094396436,3.2536142076432824,3.2285961673246266,3.3792666351648215,3.2447898501949184,3.3800897616951686,3.263279206020929,2.8343112502972962,2.7655474273701928,3.2081510250469054,3.5117662190506933,2.9560924252108096,3.1417964989463165,2.9978312170151633,3.073313281676258,2.9121487360162686,2.3339861592816304,3.6270624457207394,3.173326371732563,3.0100588729416935,3.087599417733564,3.145924014970254,3.3111187810152454,3.145040438006667,3.163260588799235,2.7101460227168364,3.29443295839699,3.367238560805137,3.073098255670265,3.277796930552014,3.050201068478007,2.6810695909488382,2.8597045079288117
Bosnian,2.884994248573193,2.685563693326184,2.4641266578578853,2.9569628914045425,0,2.260939818413657,3.090791783715382,1.7098286846780908,2.265202860163,3.1592736447640264,2.853954389399758,2.964775340461679,3.0580818257653206,2.8809581388549237,2.9714643201020667,2.985813765654694,3.0925425283720247,3.0651627020561394,2.6704234810445806,3.2350898718156795,2.551818225408032,2.4865847587906487,2.326629137116846,1.911274100802484,3.1194280846549667,2.60920071027394,3.1115503831528355,2.940749981005442,2.5443794675096068,2.1851653784411846,2.801650189353436,2.7804984948621616,2.059065082293683,1.476500216078704,2.490876640521884,2.250196761408057,2.4465805397515177,2.7769451061166275,2.844326798349904,1.9768775855454124,2.9124702323403864,2.5321791910802385
Bulgarian,3.212154375876156,2.9524534521804813,2.784889011526734,3.160068704885721,2.260939818413657,0,3.308698847841511,2.2725012021324096,2.6223943740339988,3.442877764694431,3.126142553232242,3.205834495573532,3.306540099527788,3.1061128536059095,3.2886599323230112,3.1775279701381396,3.2833770393237507,3.2418483872343415,3.0612652091735346,3.413328459576048,2.7561065960745403,2.9750658793457787,2.7450284927940576,2.199030980813051,3.310564805859167,2.7429707826328413,3.5403401589434575,3.20884040232551,2.929691791435659,2.5970053573299627,3.037944279870369,3.08455552283381,2.542418994565125,2.389625083185736,2.6622174256463746,2.6478164100535406,2.8622083390797495,2.9231035316949665,3.182257541101307,2.4887937956073185,3.047789359932859,2.6787072375587617
Catalan,3.4127502903841043,3.1486974026304484,2.995755572954873,3.4528233910289905,3.090791783715382,3.308698847841511,0,3.2175029418054986,3.2772033918098566,3.58690705600757,3.333843720414938,3.2925425012212193,3.08258652643229,2.634374323365542,3.453659209232495,3.3498049009807156,3.6409407001500638,3.5434950460609813,3.2534190060559034,3.579670553754889,2.6373624835388867,3.2472836907988745,3.0797556448342815,3.238507250848891,3.555588019500104,2.9994618166449314,3.5778561779859803,3.3973463864266304,3.181623710315591,3.2210966504271386,2.691719186273556,3.0379285512742173,3.245497589561005,3.291603143861103,2.929612850730231,3.3735660709658553,3.491577504368023,2.5565048801914103,3.3501297344020036,3.171564634317948,3.362074539239304,2.9376682810708674
Croatian,3.1338186165566397,2.8574278844466803,2.6540412986054887,3.1264511156961445,1.7098286846780908,2.2725012021324096,3.2175029418054986,0,2.369026017693897,3.3243519277979083,3.021965839002174,3.1191233421334776,3.183832742297612,3.014340466176587,3.152769500241662,3.092080848555604,3.228317219599065,3.2219786762487477,2.971076547040481,3.349919663427307,2.621580420289003,2.796341516994678,2.5434484060829163,2.2147549303794145,3.2418801210712105,2.67814823495317,3.404519680814086,3.083523237201624,2.7583211045690614,2.3637029751775844,2.9727066109294604,2.9150174796712363,2.373536826833035,1.7789391233874006,2.584726348232237,2.392523594845186,2.4866662156279684,2.859462780002228,3.0794875310419143,2.233130516317698,3.0302796716567895,2.6115957486242793
Czech,3.044616585696663,2.924663518190007,2.711894670247612,3.172120879873056,2.265202860163,2.6223943740339988,3.2772033918098566,2.369026017693897,0,3.2753002943041807,3.059460083847389,3.0879472113425663,3.1725232961787304,3.011694648138756,3.2731723163455086,3.208038476249862,3.268349875138864,3.2253016852044865,2.952439337692233,3.323035984609454,2.814781403133352,2.7436910218708825,2.6822474523993183,2.5211555252254514,3.2968751762074255,2.7012677243522623,3.3536677890238114,3.0688587094689423,2.8528040730055273,2.3552405426912917,2.982964768572137,3.019711680657233,2.435634866307162,2.415871186269584,2.6053285941911564,2.0885618028696786,2.82767709373472,2.9074279903234483,3.115172612131874,2.339836318985121,3.036566361148233,2.6468487138659507
Danish,2.952602962899084,3.191748068349074,3.017601713692286,3.5639092094396436,3.1592736447640264,3.442877764694431,3.58690705600757,3.3243519277979083,3.2753002943041807,0,3.058146840214102,2.8775173393644695,3.3779299471974658,3.2348077640190205,3.0283446602262325,3.5294464395766885,3.63883002062061,3.5785705379022845,2.799099134317251,3.348056167819938,3.176834349709642,3.404110178972717,3.273915730913549,3.3681222212627335,3.5815753278429603,2.8972901382656024,2.9188692274693926,3.2937093998910014,3.1372872984756293,3.343475177211282,3.208526568625173,3.459270125442352,3.3364323946946985,3.3741218769364183,2.8380345947953622,3.429419047339758,3.5483873705147264,3.213898875151119,2.83113139456083,3.230308424428507,3.296912883315687,2.8320019528033886
