,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.06769307608364443,0.06059902805401838,0.07784973664169388,0.06308994179289937,0.0699406597555253,0.07704763568090522,0.0658758677119656,0.0643218842682687,0.06586274032110814,0.05529297397453667,0.062396043819058326,0.07304762097813666,0.07030104377042008,0.06876478664284506,0.07482156790908778,0.08204018545137054,0.07934643827223115,0.05941788933526933,0.07509475423870564,0.06909974265318157,0.0668910113061615,0.06270176110108382,0.06767694143963233,0.07857456178435338,0.06510719720785345,0.06388245747668492,0.07318520608631172,0.06907847860955002,0.0695702297229775,0.07064787397014889,0.07078126142941656,0.06951558172995893,0.06839802776475506,0.06212141820451541,0.0696273227965042,0.07210640912014137,0.07057521135634894,0.06230420356458676,0.06485861180054625,0.07095759880182101,0.06306563190499456
Albanian,0.06769307608364443,0,0.05743385952794863,0.07127702301887102,0.060340646180085784,0.06504536856360181,0.07468442308104627,0.06237324900880002,0.06223480364787417,0.07006002804411984,0.06870519730799168,0.06794891318315278,0.0666028641784443,0.06620902398146362,0.07328039764836419,0.07082140034257714,0.07850120663873261,0.07406140616199454,0.062424237345831815,0.06760214350100378,0.0637304895397015,0.06841876489159424,0.06128335380191719,0.06438182215032973,0.07343816614540553,0.060468182943133934,0.06977588990467806,0.06938041453633066,0.061553290390273054,0.06558235733346109,0.06693636830241566,0.06602112976139353,0.06621931870835353,0.06350027064922183,0.05757445464124984,0.06693565179338186,0.0670962873211547,0.06352430410082197,0.06427406621040421,0.05875515797706652,0.06525430415100225,0.05873641068547985
Armenian,0.06059902805401838,0.05743385952794863,0,0.06690775039074334,0.05453864820690885,0.060413481107915196,0.06949083820639367,0.05830654754785224,0.05630434860208742,0.06604736431889408,0.06323373509915395,0.06258533300722734,0.06477758848817618,0.061336608528904414,0.06407063923130044,0.06165511620053848,0.06941641876330866,0.06735584902843293,0.05541076904249782,0.06299123870645586,0.06175007717027365,0.05896855449618168,0.05232236577744783,0.058801284301665944,0.06668468843722639,0.05936761347671836,0.0635606160308486,0.06096178906531362,0.05604990008697918,0.06235804372495306,0.06429125003678991,0.06058632795663114,0.05966906193220807,0.058741575680785516,0.05549771067068312,0.06048872078436332,0.06373622710173361,0.063107467842292,0.05743446529045912,0.05639538521126409,0.06053664272004281,0.05576824953715104
Bengali,0.07784973664169388,0.07127702301887102,0.06690775039074334,0,0.06594960563174444,0.06982740405309135,0.07808451828867422,0.06771399580205892,0.06827199330638682,0.08064261056343962,0.07466434568164246,0.07461044709675167,0.07434253674986836,0.07569404123180393,0.07921437837701245,0.0773209337721904,0.0691808132132909,0.06518509917228872,0.07253151703699139,0.0818198835667258,0.0667204449547909,0.07270487322616621,0.06663859937565257,0.06935360327932101,0.06584992620301608,0.056239899396139326,0.0806378726549874,0.07550448316707709,0.0705162029044455,0.06883524807187417,0.07242919102304614,0.07251075206006352,0.07339570495548715,0.07113097879909323,0.06261217690368938,0.07435732103083233,0.0739357441900031,0.06998535984454647,0.07294625856954329,0.06741087460465836,0.0629619191667787,0.06623606156305724
Bosnian,0.06308994179289937,0.060340646180085784,0.05453864820690885,0.06594960563174444,0,0.05237998969574903,0.06561637905695768,0.04657569727654421,0.050181133286892575,0.0676280390947045,0.06577654521484154,0.06554037633449361,0.0640901977624232,0.06310464804181529,0.07069988949955622,0.06600141218235633,0.07032710610952267,0.06885781971143315,0.057512578374686214,0.06874198659690076,0.05900626271847275,0.05790509164791908,0.05206377410427763,0.045831656964064,0.06798222583590138,0.060125544368255755,0.06393276178900463,0.0649237688290042,0.058463277545340295,0.052431427708663075,0.06177366512076013,0.061280361629408385,0.049879391723775916,0.03815094975400663,0.05698935304698243,0.05182647605006754,0.057452664520251384,0.06221591383428406,0.05979118412945908,0.047231615600605584,0.06266384423375873,0.056974457979201316
Bulgarian,0.0699406597555253,0.06504536856360181,0.060413481107915196,0.06982740405309135,0.05237998969574903,0,0.06998285666833813,0.04832801416966744,0.052865055146212946,0.06854553511027203,0.07008075991792298,0.0679719618823595,0.06636789417955966,0.06384571930975874,0.074529820363155,0.06938332133423489,0.07530197240029418,0.07258265973487832,0.06587061826695317,0.06895446737939782,0.05919653823334699,0.07022482149841408,0.06153753774122161,0.052324463831702916,0.07148954235701839,0.06063829655252102,0.07106997318325645,0.06920634075840672,0.06355285170008425,0.06134495832110973,0.0661224522171498,0.0652685185443119,0.060964589333151714,0.05539774309753092,0.05674324782664813,0.05890673087747523,0.05947798502143833,0.059209034921060395,0.0662788340767759,0.053855465831881943,0.0633243185450615,0.0544077517015387
Catalan,0.07704763568090522,0.07468442308104627,0.06949083820639367,0.07808451828867422,0.06561637905695768,0.06998285666833813,0,0.06350464802554147,0.06609992371694365,0.08029620197404341,0.07609925901140986,0.07407007087500617,0.06795722635434255,0.062389618669629915,0.08304147117844965,0.07845247280057337,0.08473456400297522,0.08158134587384369,0.07368195016512798,0.07828394327346301,0.05811341145106398,0.0731679347883978,0.06524229153789825,0.06931457014110907,0.07949325749070772,0.06783987355435961,0.07849335825064786,0.07686595152271863,0.07146865930777911,0.06990351189113109,0.06205929089621904,0.06571232693178616,0.07282196053342807,0.07059292769869975,0.06619338277835948,0.07124862465000631,0.07390851735073214,0.056810493833845135,0.07381573714681283,0.06745644941677821,0.07357463562873079,0.06298228423783528
Croatian,0.0658758677119656,0.06237324900880002,0.05830654754785224,0.06771399580205892,0.04657569727654421,0.04832801416966744,0.06350464802554147,0,0.04920283226887405,0.0663994422952999,0.0668361695291352,0.06472237728038839,0.06346828923442702,0.06065844145258687,0.07236179275156121,0.06877648744543116,0.07237771034794074,0.07149457600651483,0.06279093197380427,0.06534316103631509,0.056419136759952755,0.06439065690172721,0.059140305995688605,0.052224259917942176,0.06909330455737428,0.059155174561545676,0.06606846671672069,0.06595867758263525,0.06083739797286628,0.05439668582417213,0.0597431383698888,0.06219953620371193,0.05683963822045071,0.04761335247643764,0.05510875664485655,0.05174578420950913,0.05447635360384557,0.05767988353671692,0.0627124964706646,0.0528231660597492,0.06132319216015335,0.054159878467982474
Czech,0.0643218842682687,0.06223480364787417,0.05630434860208742,0.06827199330638682,0.050181133286892575,0.052865055146212946,0.06609992371694365,0.04920283226887405,0,0.06781930285523118,0.06591418546176417,0.06587883230440437,0.0635588405162035,0.06143019683907923,0.07155344201477751,0.06754949791024543,0.071858903126539,0.07029443814642752,0.06074083689972371,0.06788256694162918,0.05817541354125339,0.06094916719342773,0.05811647550777267,0.05439601115487136,0.06859615218390291,0.05867470640898604,0.06541619708274121,0.06626749552135346,0.06298656363270337,0.05403985280526189,0.06273780349798158,0.062137186333139784,0.055632942717274717,0.05240218033733094,0.0560874500224748,0.04585012160704947,0.057791970419992254,0.0602294171614844,0.062412267965381386,0.05089203080885138,0.061405750713519586,0.05569379862423292
Danish,0.06586274032110814,0.07006002804411984,0.06604736431889408,0.08064261056343962,0.0676280390947045,0.06854553511027203,0.08029620197404341,0.0663994422952999,0.06781930285523118,0,0.06947291957416744,0.06360874152664393,0.07463314066777921,0.06928160131455056,0.06700032871801884,0.07758950660873941,0.08750354672093971,0.08285452967628577,0.05992436305279505,0.07132786866267767,0.06697639387381674,0.07914989034330353,0.06999027180842786,0.07289613863414067,0.08015949293094975,0.06567089241509579,0.05964635297478091,0.0765728734881873,0.06857481510396532,0.07462309288478924,0.07236906773595987,0.07299838830205287,0.0769079708229945,0.07149234266300339,0.06193272574227564,0.07414101446897786,0.07545556469139961,0.0669534116697915,0.06162005955024763,0.06916712870460207,0.07140812979332918,0.059916773952238954
