,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.5067920015714991,0.44145372027702573,0.5124939246638206,0.45220642297423086,0.5086458490284647,0.5222912387384513,0.499064757354652,0.5003319840598636,0.5348760173890137,0.4109730123274456,0.4658492531430567,0.5359792041876907,0.5264217629856861,0.4837187967084445,0.5227948855141844,0.5144573740822246,0.5134612520768148,0.4701846441241522,0.5596353208604091,0.4680968315267631,0.4710717891042116,0.42178867544830745,0.482826696513044,0.5304691183837584,0.48344757947074696,0.513722443541266,0.5212225279219782,0.4825702725848397,0.4658066546263897,0.5030108618396184,0.5057571193195902,0.477641838076054,0.4838835701037133,0.4867823102199218,0.517530194275906,0.5229936485245605,0.5026158203431734,0.4708984835046939,0.47814126200654017,0.5083262074018121,0.44231641245978975
Albanian,0.5067920015714991,0,0.4255217781714917,0.4852349984116002,0.43974896796874446,0.48516153472924695,0.5020442321554057,0.4744704260599282,0.48319304387948053,0.5364436354800528,0.4806573243234192,0.4853369769595192,0.5106955302203048,0.4995489555057937,0.48680437708673613,0.49378432421010077,0.4905144316678769,0.4841340629340823,0.4732604223314264,0.5383959680808078,0.44452835425094284,0.46027706793979595,0.4023325439178193,0.4619598762561291,0.5035809173564726,0.45245855704047755,0.5188739965377488,0.4972243505261853,0.4591876302884172,0.44527709415410316,0.4836426233157294,0.47698524867823694,0.4615783863878378,0.46693978469992087,0.44996303434094026,0.49662649107276746,0.5023269370031089,0.48019683803780067,0.4714310507391978,0.4583026675240916,0.4799030427456102,0.42631606788086657
Armenian,0.44145372027702573,0.4255217781714917,0,0.43194708349288097,0.382107872558446,0.4334374139728116,0.4463749789630597,0.41836227789723884,0.41992040778844314,0.47179045630624916,0.42533461116258464,0.4282751900726082,0.4550158534902569,0.44463616332965233,0.43610774121282553,0.43583615759361577,0.4352562207213568,0.4317455018491057,0.40765695392374746,0.4768439191229581,0.3984894086493122,0.39630694697839064,0.35236790179465693,0.40699977170679846,0.4457445892178374,0.4054217303849647,0.4519258729947083,0.4383435986174034,0.40137148687618934,0.39253998383988026,0.427495798873483,0.42645381823462986,0.40451402760455674,0.4095027473807205,0.4047901653782274,0.43686171387216954,0.44283454167007485,0.4277307794839959,0.41269580903177033,0.402326288575341,0.4253491292089392,0.38217789687070225
Bengali,0.5124939246638206,0.4852349984116002,0.43194708349288097,0,0.4374609412774741,0.48056967508036574,0.5020413371009393,0.4734231527460628,0.472517118275501,0.5354749382737727,0.4841453860104187,0.4781958838798067,0.5118714394774557,0.5053296784105248,0.4931682555026568,0.49332888287597104,0.45449047279225036,0.4508590868219801,0.4747537194306426,0.5405493553026073,0.43696462453041174,0.4576788140915132,0.4023465419495028,0.4589353257267368,0.4726428630876438,0.4183185724661355,0.5227082111109905,0.49774487852897115,0.46047018392268463,0.43969122428855467,0.4802962273851565,0.4827124250191599,0.4582385984530301,0.4651675407164426,0.4529590509666241,0.49597535042461244,0.5025878260227614,0.4719569288025035,0.4731251274105905,0.4531956125703527,0.44004331325834717,0.4240116912369136
Bosnian,0.45220642297423086,0.43974896796874446,0.382107872558446,0.4374609412774741,0,0.4003083879902697,0.45149554463248726,0.35274807012593856,0.4005335605525914,0.48014054664013145,0.4343247390173493,0.4371583360504644,0.4624542671212812,0.45597206222532816,0.4467709993711922,0.45023390626384185,0.4438552656661226,0.43978769703981424,0.4200280216629911,0.4958195827620264,0.39162001707389427,0.3984150175700355,0.35151578368185055,0.35520319990334875,0.45593559003841905,0.411959101161157,0.46497430702678466,0.4545301062317314,0.4139827178506984,0.3678328716868266,0.4305608336797453,0.4272269905143859,0.36566590578909286,0.31612716331371904,0.4212027313990035,0.40334778442737607,0.4143395104588377,0.4301550491325912,0.4248371788463712,0.3636943621071526,0.4362718769565756,0.38634024211560714
Bulgarian,0.5086458490284647,0.48516153472924695,0.4334374139728116,0.48056967508036574,0.4003083879902697,0,0.5000827759555538,0.4112786055622842,0.44285112204903576,0.5322805604077885,0.48187899687287955,0.4767108810941428,0.5079743925186188,0.5018848505917912,0.4897744426266595,0.4938561660734867,0.48960234644847683,0.4814703291470401,0.47166376243654945,0.5434520584589714,0.4273242621596385,0.4528746577463151,0.39166598905453454,0.4009028305495772,0.5043636957900276,0.45850448968830676,0.5169575282330423,0.5026249670073023,0.4626515293375055,0.408841658133519,0.4823249438369422,0.47089689053634876,0.42768138725857757,0.42023488569455175,0.459519224638014,0.458342658906966,0.4709438936708915,0.47337782362279823,0.4705851281247889,0.42556628677629277,0.4769539796665562,0.4169386512343737
Catalan,0.5222912387384513,0.5020442321554057,0.4463749789630597,0.5020413371009393,0.45149554463248726,0.5000827759555538,0,0.4858519168693967,0.4900677244815746,0.5462062753573699,0.4942658359236492,0.4836770910706936,0.4991997487684493,0.47780112876903974,0.5017864446798675,0.5046323378199119,0.5019618305412399,0.4988553262054291,0.4868167391787525,0.5467944020657783,0.4284996152393437,0.4715878561763681,0.4183190176601717,0.4746078952111346,0.5153128979767865,0.4802139611607289,0.5278772399823498,0.5242816852193187,0.48889179694927276,0.4606872551559722,0.4578769189427946,0.47644269799051897,0.4734987259805778,0.47897762793884263,0.4851771494276389,0.5065756841538539,0.513765091004261,0.44196183884610035,0.48573159434484353,0.4708230293871427,0.4969466508872104,0.44164098943466
Croatian,0.499064757354652,0.4744704260599282,0.41836227789723884,0.4734231527460628,0.35274807012593856,0.4112786055622842,0.4858519168693967,0,0.42496347038278137,0.5186802321743329,0.47293856791442335,0.46892987453135676,0.49369749656960893,0.4937709918523385,0.4794768050336313,0.4875487806664504,0.4813192243158367,0.4728353916883744,0.4635312398461867,0.5351346737321516,0.41853970576005795,0.44228438948647425,0.38295601589551664,0.3972279622721155,0.4903121093332267,0.44482466166272966,0.5091336491421409,0.48912074950271345,0.45078282999328356,0.39796372251676426,0.4697275241623665,0.4579710202280474,0.41532095917057676,0.3638111275513034,0.4486473853771335,0.4343887100477432,0.4364630726553899,0.4643313009527298,0.46178733597674165,0.40430407715912037,0.47054461066406417,0.41205674226782857
Czech,0.5003319840598636,0.48319304387948053,0.41992040778844314,0.472517118275501,0.4005335605525914,0.44285112204903576,0.4900677244815746,0.42496347038278137,0,0.5149975485284278,0.4759686709056696,0.468371748605047,0.49956361481287387,0.49844494987507526,0.48938544848684634,0.4912178032559076,0.48477160510944617,0.4826902973459941,0.4632225601156504,0.5355419312920172,0.4293096696802576,0.4390988099842544,0.3950404132260279,0.4242474106191831,0.501894652074078,0.44521628750385406,0.5069789345487865,0.4909889620335725,0.4570362723311057,0.40058105000831545,0.47008938814640583,0.46710175911585755,0.42128186079463603,0.42214692256928327,0.4513421206766531,0.4195545324072473,0.46460148284001945,0.4691542120785094,0.46337992282929974,0.41530394031314444,0.4672999327282607,0.41364310943398314
Danish,0.5348760173890137,0.5364436354800528,0.47179045630624916,0.5354749382737727,0.48014054664013145,0.5322805604077885,0.5462062753573699,0.5186802321743329,0.5149975485284278,0,0.5038485132613567,0.48894088760921683,0.5509732545653346,0.5553080516796272,0.5076679827971482,0.5482776694734393,0.5354789542665253,0.527176673876447,0.49504447461905715,0.582871028736854,0.482682714512964,0.5060148656486576,0.4492547305457334,0.5048106502389854,0.5508144333661645,0.493734290290123,0.511057226294802,0.5486744089800905,0.5129896829382808,0.48822029891670826,0.5303400955243239,0.5230017844583866,0.5056049652601463,0.508386004723854,0.5052502328853126,0.5391973530801317,0.5398546075020831,0.529315980164899,0.47900035017998516,0.4997496319043292,0.5178863012438156,0.45747213598376485
