,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
Afrikaans,0,0.5268733423188763,0.4708951089220568,0.5420183176655285,0.4795036818188179,0.5376292211567926,0.5535304897505616,0.5231442373911137,0.5231171770105337,0.553803310092643,0.4377228366772431,0.4868049018879782,0.5616887801602598,0.563187575922154,0.5041841524165999,0.547157088140606,0.5432566818217314,0.5350954802578214,0.4963097235879,0.5822576919016914,0.48870304103922413,0.49370536975145074,0.4366321166732566,0.5147650512470485,0.5629989349907182,0.4965437025328451,0.5454158826462024,0.5493618348591605,0.5068307455739859,0.489329454212845,0.5234901068950804,0.5322311947607471,0.5050368535588988,0.5137877428803754,0.5057661767395039,0.5472675277566673,0.5534889103462869,0.5315271364601554,0.5027762506616621,0.5035913928159037,0.5342748948552127,0.46050122253502385
Albanian,0.5268733423188763,0,0.4470842060861869,0.5147777167753732,0.45481613163430706,0.5060932413620965,0.5272262569583234,0.49266009991815074,0.5034434414385947,0.5582879929042127,0.5040257787951335,0.49828208019333126,0.5281454947531089,0.5290911132674171,0.5088389242207275,0.5210830574690031,0.5256953557291911,0.5127944834613626,0.4989324916763858,0.5599230792558154,0.4587297010650402,0.4700168933594957,0.41623500244031636,0.4832416341458062,0.5361233885014585,0.46884703952089485,0.5476743448893305,0.5276632220340147,0.48222565485259766,0.4651221856656758,0.49656118428352536,0.5055845572316341,0.47762876242340296,0.488149734238204,0.4742292719055852,0.5216990326607729,0.5274066410007298,0.49749547638091296,0.5061389747268928,0.4765190590970667,0.5079348350617436,0.4401561099527696
Armenian,0.4708951089220568,0.4470842060861869,0,0.46173427839392334,0.4069914033437864,0.458736817671256,0.47325224736966676,0.4415263646688182,0.4473510295477344,0.49424284104551836,0.448736838265029,0.44855539194354566,0.48171806406953893,0.474514898683732,0.45625985372418637,0.4641652791048131,0.4696320548709655,0.45951680096831504,0.43722894256446126,0.5003153332936813,0.415665529811662,0.4142821914705785,0.36794341110046463,0.43538360666547987,0.4814462801008011,0.4267037239984683,0.48237205362170293,0.4683632240506379,0.42356233242586416,0.41455628699561664,0.44680969019583217,0.45341200572753926,0.4277336817903437,0.4375854505309648,0.4258693969603144,0.46572175202798133,0.4751736896364048,0.4522425266567685,0.4466035290938273,0.425730081967745,0.4530579122547578,0.3958596917821375
Bengali,0.5420183176655285,0.5147777167753732,0.46173427839392334,0,0.4690516203365193,0.5137089070463868,0.5321755181915859,0.5071591845911151,0.5057762550223461,0.5665568698593901,0.5117117706569191,0.5044631623886728,0.541583742707922,0.5395896698484873,0.5181561630222302,0.5143352067602714,0.48280022024626473,0.47172905957719063,0.5060163224094456,0.5715742474901196,0.4663377164638798,0.4798555453473811,0.41870747279954773,0.4964565460499184,0.505974976527372,0.4403097785051425,0.5532364872244475,0.5280900312573719,0.48792069255056203,0.4678243782489833,0.5025305055277042,0.513976811424785,0.49056734290036264,0.5020620350705489,0.4804779392126331,0.5305585775721553,0.5323133593952054,0.5031166661514166,0.5071913613963941,0.48881008014572747,0.4702153911978047,0.4518800890001366
Bosnian,0.4795036818188179,0.45481613163430706,0.4069914033437864,0.4690516203365193,0,0.4195838615114037,0.48360887303963995,0.3691765368056816,0.4212536456543191,0.5066989602905864,0.45807023302791844,0.46140210337243964,0.4870601141664806,0.4817324544322931,0.46188463119314366,0.4766698797439765,0.4789993558432487,0.47028720148776965,0.44839321399876364,0.5209081978051266,0.406409404740696,0.41499029615689637,0.36501971989508575,0.380135784075203,0.4926204930202788,0.4298687790597237,0.49536863942300036,0.4841860596425386,0.43508582941582946,0.38744516019223807,0.4531541452836658,0.45348976810863595,0.3902891837282327,0.3444471302630341,0.43628989609611496,0.4300907108840144,0.4409341647594054,0.4521323100677849,0.4552790243847846,0.38558500757838593,0.4658656333676586,0.40479179147254796
Bulgarian,0.5376292211567926,0.5060932413620965,0.458736817671256,0.5137089070463868,0.4195838615114037,0,0.5300945905355746,0.44121919766881545,0.46756605907375987,0.5585334230749055,0.5110215122612105,0.5045745666995853,0.5398504299432153,0.5307688255307231,0.5150456931070235,0.5154963124101631,0.5190364629359847,0.5070227495414759,0.5014264286777546,0.5682490183506873,0.4512323005984545,0.47453190549027935,0.4089529039090317,0.4335044698962336,0.5374384512387391,0.47188273548426934,0.5508963581271068,0.5323584368450864,0.4861291958763308,0.44002283851941776,0.5019786058238823,0.503110038371703,0.4533925970335664,0.4486971584336256,0.4818196684899518,0.4833683372954518,0.49750594152965427,0.4960422110938532,0.506061587363195,0.4527052554970777,0.5066693231833256,0.44452747654187474
Catalan,0.5535304897505616,0.5272262569583234,0.47325224736966676,0.5321755181915859,0.48360887303963995,0.5300945905355746,0,0.5184241053388784,0.52062291744494,0.5705926840438402,0.5211699381761123,0.510288968114754,0.5346408281936241,0.5105094594829682,0.5258573570997852,0.5275290465712634,0.5357019450572934,0.5204976996688887,0.5197858080736621,0.5795250935478173,0.45456773197263867,0.49037266138078434,0.42999109181460266,0.5098835324243205,0.5496823748566614,0.4996454917967266,0.5585560991325057,0.5508991202254414,0.5106841976398482,0.48113508164438673,0.4796670960732248,0.5032143493369523,0.5021356417906903,0.5130868409966332,0.5069034013682684,0.5354391412714146,0.539510739652903,0.47666794429571646,0.5184234194349929,0.5020978215021971,0.5259272196903283,0.4654002060907995
Croatian,0.5231442373911137,0.49266009991815074,0.4415263646688182,0.5071591845911151,0.3691765368056816,0.44121919766881545,0.5184241053388784,0,0.45100484474901065,0.5444364554205822,0.49484123164562543,0.4897805475502479,0.5234519389457154,0.520047833589145,0.4986031567714262,0.5092495939002626,0.5085712612100144,0.5050467111543765,0.4937903204888901,0.5551568087671169,0.4393986864915341,0.4586016059508942,0.39858206834479326,0.4254158592487253,0.5199378277425087,0.46415619339031733,0.5360607535384365,0.517812169453231,0.47526312223207534,0.41833712896546105,0.4927102824479047,0.48695346269079975,0.4335616542857353,0.39034107387959294,0.47407238825307446,0.45577652014057096,0.4597173408254713,0.48853867022727876,0.49645615606545507,0.4291060786392854,0.50313348114651,0.43790714324403573
Czech,0.5231171770105337,0.5034434414385947,0.4473510295477344,0.5057762550223461,0.4212536456543191,0.46756605907375987,0.52062291744494,0.45100484474901065,0,0.5406870401077531,0.5000929775396723,0.49044166995588645,0.5280201335535061,0.5159875854277604,0.5048693095002246,0.5148739767883348,0.515845340878495,0.507817101321901,0.49022175755940206,0.5585387437390454,0.4483165852955734,0.45588590189251527,0.4056080908483631,0.45450747799525193,0.5318027169392966,0.4628442182860737,0.5338747306609848,0.52169012807164,0.47389276392388413,0.41938340541584995,0.49429078406182686,0.48945515262917033,0.4421560102132534,0.4506638945445322,0.4704610237898981,0.43850389813532303,0.4907854036347787,0.48758996389638687,0.49722265699715573,0.4376541097648694,0.5025544296571379,0.4372114043913869
Danish,0.553803310092643,0.5582879929042127,0.49424284104551836,0.5665568698593901,0.5066989602905864,0.5585334230749055,0.5705926840438402,0.5444364554205822,0.5406870401077531,0,0.528431070247536,0.5100725835534082,0.5786687711543638,0.5773327693877185,0.5247815572357127,0.5660572159231639,0.5624431065346996,0.5552836246257217,0.5175163908330253,0.6009501135969203,0.5011185440145627,0.5244144255613151,0.4548178456346299,0.5385273774116659,0.5822407115123651,0.5171042127666813,0.5424439396260359,0.5745641246528631,0.5308745083064673,0.5075274449285712,0.5425413276563906,0.5506314571383406,0.5287275978346744,0.5404683767884274,0.5299043843118174,0.5649524222641349,0.5689695068248972,0.5447124551207647,0.5148794873096527,0.5248086072263254,0.5514503694775517,0.47655399374864016
